date,open,high,low,close,volume
2015-01-02,32.884626,32.941457,32.316303,32.671505,2556900
2015-01-05,32.664386,32.785156,32.188417,32.344704,2536000
2015-01-06,32.422859,32.905934,31.918473,31.968201,2943900
2015-01-07,32.138693,32.366022,31.840322,32.216835,2893500
2015-01-08,32.493901,32.593357,32.302091,32.330505,1661500
2015-01-09,32.344714,32.344714,31.826119,31.968201,1154800
2015-01-12,31.989511,32.081864,31.712453,31.840326,983200
2015-01-13,32.060559,32.607571,31.868749,32.117390,1872600
2015-01-14,32.025027,32.472580,31.946882,32.415749,1325600
2015-01-15,32.493899,32.778059,32.323401,32.714123,1347600
2015-01-16,32.707027,33.083540,32.536529,33.062229,992600
2015-01-20,33.218518,33.254040,32.451282,32.863316,2037100
2015-01-21,32.770954,33.055114,32.486791,33.005386,1372500
2015-01-22,33.140371,33.246930,32.650190,32.891727,1250100
2015-01-23,32.991190,33.232728,32.884631,32.913048,999600
2015-01-26,32.756750,32.884623,32.479693,32.827789,1347800
2015-01-27,32.735439,33.154575,32.692813,32.827789,1221300
2015-01-28,32.806476,33.197197,32.316297,32.394440,1400100
2015-01-29,32.437070,33.111955,32.337614,33.040913,1127900
2015-01-30,32.877515,32.962765,32.124488,32.167110,1893800
2015-02-02,32.294992,32.437073,31.797708,32.259472,1591500
2015-02-03,32.209745,32.437074,32.110289,32.273682,2234600
2015-02-04,32.110282,32.309195,31.584582,31.669832,1948800
2015-02-05,31.811911,32.152905,31.669833,32.060555,1470400
2015-02-06,31.890043,31.890043,30.312945,30.469234,1977800
2015-02-09,30.504759,30.646840,29.666482,29.979061,3172600
2015-02-10,30.028787,30.824439,29.971954,30.788919,2071800
2015-02-11,30.575810,30.653955,30.149566,30.177982,1869200
2015-02-12,30.177980,30.391101,29.893820,30.305853,2096800
2015-02-13,30.170875,30.234811,29.268661,29.510199,2170500
2015-02-17,29.453364,30.035896,29.226035,29.602549,2712700
2015-02-18,29.645174,30.447932,29.524406,30.383995,1706100
2015-02-19,30.433734,30.575815,30.028803,30.199299,1315800
2015-02-20,30.199289,30.547389,30.156667,30.526077,2686400
2015-02-23,30.497654,30.682357,30.312947,30.632629,2286500
2015-02-24,30.533189,30.909703,30.497669,30.540295,2554600
2015-02-25,30.710781,31.421186,30.526077,30.639742,3232800
2015-02-26,30.810241,30.902594,30.199293,30.213501,1627200
2015-02-27,30.263218,30.270324,30.000370,30.128242,1814300
2015-03-02,30.050103,30.128248,29.567028,29.971958,2959600
2015-03-03,29.893816,30.043000,29.574133,29.971958,1583900
2015-03-04,29.794362,29.872507,29.545721,29.666489,1678400
2015-03-05,29.780155,30.114046,29.751741,29.950653,1173700
2015-03-06,29.474670,29.524398,28.948970,29.091051,2375500
2015-03-09,29.277633,29.600549,29.069532,29.507261,1912600
2015-03-10,29.349395,29.916289,29.284812,29.758421,4040500
2015-03-11,29.744073,29.823008,29.170002,29.227407,2764600
2015-03-12,29.378097,30.110039,29.327866,29.973698,1620000
2015-03-13,29.866054,29.894758,29.148465,29.514437,1249100
2015-03-16,29.665140,30.246388,29.643613,30.052639,1374100
2015-03-17,30.023929,30.382723,29.916289,30.016754,1159400
2015-03-18,30.066989,30.942446,29.815832,30.719995,1512800
2015-03-19,30.633874,30.920910,30.160265,30.310961,1449400
2015-03-20,30.476011,30.741519,30.296614,30.612352,2098800
2015-03-23,30.612344,30.784567,30.404243,30.432947,1551700
2015-03-24,30.346843,30.612350,29.765595,29.909113,2225200
2015-03-25,29.952167,30.188970,29.729713,29.751240,2189200
2015-03-26,29.758414,29.937811,29.313507,29.385267,1997500
2015-03-27,29.485732,29.801470,29.385270,29.701008,1506000
2015-03-30,29.808649,30.375545,29.701010,30.196148,1315300
2015-03-31,30.196138,30.641042,30.074146,30.282248,1915100
2015-04-01,30.289431,30.432950,29.880406,30.404245,1181600
2015-04-02,30.354018,30.547768,30.260731,30.346844,1287500
2015-04-06,30.397079,30.856336,30.397079,30.454485,2038500
2015-04-07,30.447298,30.447298,29.973690,29.995216,2090900
2015-04-08,30.009576,30.110038,29.708190,29.937819,1913500
2015-04-09,29.866053,29.980867,29.614898,29.887583,1528800
2015-04-10,30.052632,30.346843,29.916288,30.224852,954200
2015-04-13,30.145912,30.275078,29.822999,29.830173,923700
2015-04-14,29.973702,30.174626,29.873240,29.988054,911600
2015-04-15,30.066988,30.440132,29.930644,29.959349,1433900
2015-04-16,29.866056,29.944991,29.528791,29.650780,1673800
2015-04-17,29.550316,29.837352,29.392445,29.514437,1198900
2015-04-20,29.600546,30.289431,29.600546,29.887583,1104900
2015-04-21,29.901944,30.153102,29.736899,29.815834,1495200
2015-04-22,29.909113,30.052631,29.729716,29.909113,1717300
2015-04-23,29.930639,30.318138,29.866056,30.074158,1181300
2015-04-24,30.059803,30.662578,29.966515,30.368366,819500
2015-04-27,30.662575,30.741511,30.059801,30.081327,1882400
2015-04-28,29.944999,30.425785,29.866064,30.354025,1184800
2015-04-29,30.059801,30.289429,29.887581,30.023922,1307800
2015-04-30,29.930636,30.009571,29.191520,29.378092,2005400
2015-05-01,29.457029,29.643604,29.184345,29.564669,1066200
2015-05-04,29.593384,30.088520,29.593384,29.844540,859400
2015-05-05,29.729715,29.801472,29.105413,29.126940,1413000
2015-05-06,29.098242,29.270465,28.595929,28.969076,1633900
2015-05-07,28.832734,29.457036,28.488291,28.990604,3481700
2015-05-08,29.327864,29.564669,28.811201,28.983421,1967300
2015-05-11,28.911662,29.277631,28.825549,28.918837,1811400
2015-05-12,28.725093,28.933195,28.588752,28.890139,1562900
2015-05-13,28.997770,29.112584,28.459578,28.581570,1127000
2015-05-14,28.753798,28.933195,28.653336,28.890139,1392700
2015-05-15,28.976245,29.234577,28.897309,29.091059,955200
2015-05-18,28.947541,29.363741,28.947541,29.263279,1083100
2015-05-19,29.105409,29.342212,29.019296,29.234575,1094600
2015-05-20,29.241760,29.571850,29.177177,29.363749,1163200
2015-05-21,29.342218,29.406801,29.083885,29.184347,1156600
2015-05-22,29.126946,29.263287,28.897317,29.170002,744200
2015-05-26,29.184346,29.184346,28.710738,28.933191,1103900
2015-05-27,28.961895,29.019300,28.775320,28.983421,1091500
2015-05-28,28.990605,29.119771,28.796855,29.019306,996100
2015-05-29,29.026477,29.119764,28.732266,28.868607,1189400
2015-06-01,28.882962,29.055184,28.760973,28.861435,1027300
2015-06-02,28.703562,28.710737,28.172545,28.430878,1480700
2015-06-03,28.351947,28.488291,27.885516,28.208431,1605900
2015-06-04,28.079253,28.351935,28.000318,28.050549,1146400
2015-06-05,27.799407,27.799407,27.469314,27.533897,1390900
2015-06-08,27.577415,27.693469,27.490375,27.512135,1106300
2015-06-09,27.483120,27.693469,27.439601,27.468613,1342400
2015-06-10,27.548393,27.795009,27.417832,27.425087,2190200
2015-06-11,27.599177,27.824033,27.555658,27.780512,1215600
2015-06-12,27.599174,27.736991,27.381573,27.396080,1020600
2015-06-15,27.381580,27.541156,27.265526,27.367073,1210200
2015-06-16,27.280019,27.432339,27.127698,27.425087,1262700
2015-06-17,27.425091,27.715225,27.345303,27.628185,1068900
2015-06-18,27.693463,28.092400,27.657197,27.954586,1154500
2015-06-19,27.954590,28.114163,27.744241,27.751493,1249100
2015-06-22,27.649945,27.925575,27.635438,27.787762,1123600
2015-06-23,27.707978,27.809525,27.381574,27.388826,1107100
2015-06-24,27.403334,27.541150,27.374322,27.403334,1865400
2015-06-25,27.541151,27.555658,27.200241,27.207493,1398400
2015-06-26,27.171231,27.410594,27.026162,27.367073,991300
2015-06-29,27.359806,27.715220,27.214737,27.229244,1599100
2015-06-30,27.446848,27.541143,27.265513,27.330793,2036600
2015-07-01,27.381575,27.570162,27.236506,27.548403,1356900
