date,open,high,low,close,volume
2015-01-02,48.923482,49.025484,48.153839,48.793663,648300
2015-01-05,48.237294,48.367113,47.161645,47.328556,867400
2015-01-06,47.328568,47.402749,46.048915,46.419830,1410100
2015-01-07,46.818556,46.939100,46.401278,46.558914,1207100
2015-01-08,46.957643,47.718015,46.864916,47.708744,1590300
2015-01-09,47.847828,47.959105,47.254368,47.282188,1090200
2015-01-12,47.207992,47.226538,45.993250,46.104527,1501300
2015-01-13,46.354893,46.772168,45.529608,46.104527,1149300
2015-01-14,45.427611,45.835615,44.973241,45.529610,1028700
2015-01-15,45.779989,45.872719,44.778524,44.815617,1152500
2015-01-16,44.630164,45.065985,44.379797,45.028896,2000900
2015-01-20,45.260720,45.409085,44.583803,44.936169,1354400
2015-01-21,44.787799,45.668720,44.759982,45.575993,953400
2015-01-22,45.650161,45.974712,45.103063,45.705799,1048800
2015-01-23,45.548172,45.733630,45.075259,45.279263,1025700
2015-01-26,45.344159,46.011801,44.982516,45.974712,1282400
2015-01-27,45.455432,45.761434,44.982515,45.436886,1421800
2015-01-28,45.872723,46.549640,45.103076,45.205078,2427100
2015-01-29,45.177254,45.724351,44.565247,45.566711,1538500
2015-01-30,45.149437,45.566715,44.370518,44.416885,1687700
2015-02-02,44.676519,45.974717,44.472515,45.919079,1589200
2015-02-03,46.215812,47.087458,46.215812,46.781456,1527000
2015-02-04,46.549618,46.660891,45.779971,45.909790,992700
2015-02-05,46.039633,46.531092,46.002540,46.076721,1169600
2015-02-06,46.113798,46.493984,45.835614,46.002525,1084100
2015-02-09,45.798548,46.382738,45.798548,46.225098,865300
2015-02-10,46.466183,46.521817,45.798537,46.391998,782200
2015-02-11,46.364177,46.512542,46.076718,46.271450,1015300
2015-02-12,46.494000,47.050373,46.364181,46.929825,974000
2015-02-13,47.374919,47.718013,47.198737,47.671650,1144600
2015-02-17,47.578906,47.847816,47.365632,47.755089,1149200
2015-02-18,47.634574,47.894216,47.523301,47.643848,554400
2015-02-19,47.458370,47.922012,47.458370,47.532551,716600
2015-02-20,47.458375,47.875654,46.985459,47.866379,940600
2015-02-23,47.838558,48.608202,47.755102,48.598930,1304800
2015-02-24,48.496939,48.886400,48.422758,48.775124,988800
2015-02-25,48.840021,49.127480,48.793658,49.099663,1289000
2015-02-26,49.034772,49.433504,48.849314,49.396412,1801900
2015-02-27,49.368579,49.600400,49.210939,49.275848,1990200
2015-03-02,49.275837,49.897119,49.062562,49.841480,1098500
2015-03-03,49.544753,49.832213,49.461298,49.646755,1182900
2015-03-04,49.405666,49.414941,48.895661,49.016209,761100
2015-03-05,49.136759,49.248032,48.765844,49.071846,1279000
2015-03-06,48.626739,48.877106,48.116734,48.237282,723700
2015-03-09,48.283652,48.524748,48.107470,48.413471,789000
2015-03-10,47.801468,47.940562,47.504738,47.699467,1124500
2015-03-11,47.699468,47.820016,47.439829,47.718014,740600
2015-03-12,47.884916,48.385650,47.857098,48.367104,590700
2015-03-13,48.218487,48.292799,47.837644,48.218487,978800
2015-03-16,48.302089,49.230976,48.255646,49.184532,1311700
2015-03-17,48.868694,49.082338,48.497138,49.045181,838400
2015-03-18,48.924443,50.104129,48.608625,49.899776,1019300
2015-03-19,49.546791,49.621100,48.980169,49.323856,773200
2015-03-20,49.463211,50.020542,49.426055,49.974098,1855900
2015-03-23,50.159854,50.159854,49.574654,49.844032,878300
2015-03-24,49.760433,49.964789,49.426033,49.426033,680900
2015-03-25,49.574667,49.658267,48.283515,48.302094,1568100
2015-03-26,48.069867,48.302088,47.884089,48.162754,1938700
2015-03-27,48.051286,48.264930,47.828356,48.125599,1331100
2015-03-30,48.339234,49.268120,48.311365,49.203098,1337200
2015-03-31,48.970888,49.035910,48.682932,48.803688,1136800
2015-04-01,48.478572,48.812972,48.339241,48.562172,1606200
2015-04-02,48.701503,49.073059,48.459990,48.673637,648700
2015-04-06,48.497150,49.342436,48.367106,49.156658,1008000
2015-04-07,49.147371,49.416749,49.063771,49.268127,1033700
2015-04-08,49.249556,49.435334,48.989469,49.416756,844500
2015-04-09,49.333154,49.713997,49.203110,49.602531,639800
