date,open,high,low,close,volume
2015-01-02,3.797500,3.929688,3.760000,3.917500,5928000
2015-01-05,3.937500,4.046875,3.878125,3.987500,7505600
2015-01-06,4.000000,4.056875,3.888125,3.988125,5769600
2015-01-07,4.024375,4.093750,3.998750,4.071250,6560000
2015-01-08,4.106875,4.176875,4.053500,4.132500,7592000
2015-01-09,4.126875,4.171875,4.102500,4.151250,4044800
2015-01-12,4.130000,4.151250,4.087500,4.129375,6982400
2015-01-13,4.129375,4.129375,4.000625,4.079375,9892800
2015-01-14,4.031250,4.071250,4.000000,4.066250,5603200
2015-01-15,4.096875,4.113750,3.938438,3.950625,7048000
2015-01-16,3.905000,4.050000,3.887500,4.033750,5892800
2015-01-20,4.033750,4.104375,3.998500,4.091875,4502400
2015-01-21,4.091875,4.138750,4.004375,4.017500,4051200
2015-01-22,4.005000,4.026875,3.921875,3.968750,6035200
2015-01-23,3.968750,4.043125,3.926250,3.963125,7528000
2015-01-26,3.963125,4.021875,3.888750,4.021875,4984000
2015-01-27,3.993125,4.007188,3.923125,3.976250,2659200
2015-01-28,4.006250,4.139375,3.981875,4.089375,8492800
2015-01-29,4.113125,4.179375,3.853750,3.966250,10254400
2015-01-30,3.911875,3.964375,3.895000,3.945000,7308800
2015-02-02,3.935000,3.986875,3.843750,3.916250,6596800
2015-02-03,3.915000,3.958125,3.908125,3.919375,3865600
2015-02-04,3.843750,3.873375,3.737500,3.803750,10571200
2015-02-05,3.803750,3.872375,3.761563,3.781250,4009600
2015-02-06,3.775000,3.777500,3.506875,3.544375,13984000
2015-02-09,3.531875,3.750000,3.531375,3.750000,9756800
2015-02-10,3.750000,4.121875,3.726875,3.941875,19624000
2015-02-11,3.910000,3.936250,3.789375,3.844375,5456000
2015-02-12,3.871875,3.871875,3.755000,3.811875,6348800
2015-02-13,3.810000,3.996250,3.804688,3.933125,5113600
2015-02-17,3.989375,4.056250,3.962500,3.999375,3665600
2015-02-18,3.991250,4.073750,3.912500,4.073750,5804800
2015-02-19,4.093125,4.250000,4.078125,4.249375,18987200
2015-02-20,4.513125,4.625000,4.243750,4.281250,56768000
2015-02-23,4.371875,4.462500,4.268750,4.315625,17300800
2015-02-24,4.246875,4.281250,4.140625,4.146875,31369600
2015-02-25,4.146875,4.255000,4.139375,4.189375,15924800
2015-02-26,4.211250,4.302500,4.196875,4.298125,13488000
2015-02-27,4.304375,4.375000,4.281250,4.325625,11649600
2015-03-02,4.312500,4.368125,4.260000,4.316875,8489600
2015-03-03,4.312500,4.375000,4.250625,4.336875,12462400
2015-03-04,4.297500,4.323750,4.195000,4.213750,9971200
2015-03-05,4.229375,4.350625,4.195000,4.330000,11256000
