date,open,high,low,close,volume
2015-01-02,7.607831,7.704313,7.472151,7.544513,13500000
2015-01-05,7.543006,7.599539,7.417126,7.423910,15596000
2015-01-06,7.458585,7.468384,7.174412,7.255066,22194000
2015-01-07,7.315365,7.491748,7.276169,7.451045,30907000
2015-01-08,7.577679,7.861851,7.564864,7.823408,33265000
2015-01-09,7.874665,7.974917,7.732202,7.907077,23432000
2015-01-12,7.919891,7.962857,7.742755,7.775921,18692000
2015-01-13,7.822654,8.094012,7.668130,7.732201,24337000
2015-01-14,7.621396,7.800794,7.538481,7.793256,20984000
2015-01-15,7.806074,7.955321,7.616876,7.637228,18372000
2015-01-16,7.589739,7.832453,7.561095,7.825669,15375000
2015-01-20,7.815871,7.932706,7.732203,7.904817,12840000
2015-01-21,7.864113,8.056325,7.847531,7.943260,16451000
2015-01-22,7.988483,8.026925,7.652301,7.929689,20639000
2015-01-23,7.916874,8.103056,7.858080,8.063860,15088000
2015-01-26,8.045773,8.069894,7.885973,8.045019,9611000
2015-01-27,7.919892,7.988485,7.750292,7.898786,15242000
2015-01-28,8.074416,8.166376,7.904063,7.914616,23302000
2015-01-29,7.886726,8.035219,7.708836,8.029943,15842000
2015-01-30,7.936475,8.045019,7.735218,7.754816,16938000
2015-02-02,7.782703,7.800794,7.474411,7.720140,21581000
2015-02-03,7.726174,7.818134,7.640244,7.778938,15390000
2015-02-04,7.758582,7.935718,7.722400,7.899537,16658000
2015-02-05,7.895018,8.006576,7.820394,8.005069,16585000
2015-02-06,8.010345,8.073663,7.858837,7.895018,10682000
2015-02-09,7.835467,7.865617,7.674913,7.706571,20346000
2015-02-10,7.766874,8.100042,7.755567,8.068383,20398000
2015-02-11,8.049540,8.163360,8.014867,8.136224,17169000
2015-02-12,8.201049,8.294516,8.175420,8.268888,21072000
2015-02-13,8.291505,8.306581,8.147534,8.302812,14614000
2015-02-17,8.306575,8.393259,8.222906,8.357078,15312000
2015-02-18,8.315624,8.335977,8.237986,8.291504,16681000
2015-02-19,8.291502,8.374417,8.265120,8.359342,13196000
2015-02-20,8.399288,8.454314,8.326172,8.446776,19283000
2015-02-23,8.517634,8.534970,8.439241,8.506327,23854000
2015-02-24,8.555321,8.562858,8.412857,8.531199,23213000
2015-02-25,8.539493,8.585473,8.465623,8.493512,38216000
2015-02-26,9.289495,9.790754,9.275174,9.742513,89263000
2015-02-27,9.701056,9.701056,9.508091,9.619649,33825000
2015-03-02,9.588745,9.864626,9.588745,9.725179,27893000
2015-03-03,9.666384,9.719148,9.615881,9.664876,18682000
2015-03-04,9.624929,9.790006,9.374677,9.753824,36143000
2015-03-05,9.750808,9.915130,9.707089,9.842014,21688000
2015-03-06,9.799045,9.835980,9.610602,9.639998,22329000
2015-03-09,9.632462,9.692764,9.567637,9.581959,17835000
2015-03-10,9.476433,9.567639,9.385227,9.431207,17688000
2015-03-11,9.444776,9.532967,9.385981,9.396534,17742000
2015-03-12,9.262361,9.513368,9.162109,9.506584,22305000
2015-03-13,9.475675,9.554068,9.342257,9.422157,18414000
2015-03-16,9.563117,9.832968,9.550303,9.789249,23077000
2015-03-17,9.709347,9.768896,9.610603,9.731207,19006000
2015-03-18,9.726675,9.924747,9.653343,9.861242,21250000
2015-03-19,9.865776,10.050995,9.829488,9.982200,24461000
2015-03-20,10.087280,10.143980,9.994292,10.076696,55522000
2015-03-23,10.205974,10.302742,10.122058,10.163638,23849000
2015-03-24,10.203706,10.233946,10.045703,10.063847,25819000
2015-03-25,10.026043,10.079719,9.404612,9.406880,48853000
2015-03-26,9.091634,9.460561,8.842155,9.428053,45058000
2015-03-27,9.449222,9.752377,9.438638,9.692654,24297000
2015-03-30,9.815123,9.896015,9.699456,9.869555,19523000
2015-03-31,9.775812,9.790176,9.580765,9.599665,16402000
2015-04-01,9.575477,9.598156,9.344897,9.497608,21830000
2015-04-02,9.533892,9.594372,9.422005,9.451488,14508000
2015-04-06,9.326747,9.580763,9.260975,9.512723,14227000
2015-04-07,9.564136,9.614032,9.480220,9.499120,16132000
2015-04-08,9.485510,9.636709,9.472658,9.585301,13607000
2015-04-09,9.513479,9.672239,9.499115,9.617807,13961000
2015-04-10,9.643509,9.674505,9.530866,9.587565,11669000
2015-04-13,9.620076,9.636707,9.457536,9.476436,10483000
2015-04-14,9.454513,9.475682,9.233762,9.372866,16047000
2015-04-15,9.432593,9.548261,9.423521,9.518021,16893000
2015-04-16,9.455267,9.537671,9.434855,9.474923,15456000
2015-04-17,9.350941,9.395545,9.143042,9.211838,26817000
2015-04-20,9.260977,9.360769,9.238297,9.301045,13295000
2015-04-21,9.398566,9.453754,9.294238,9.306334,20616000
2015-04-22,9.367571,9.676774,9.279875,9.669214,22580000
2015-04-23,9.466609,9.484752,9.264757,9.379668,28053000
2015-04-24,9.353962,9.353962,8.759748,9.034175,55059000
2015-04-27,9.071978,9.218641,8.975210,9.083318,27320000
2015-04-28,9.100705,9.147577,8.660714,8.879197,31023000
2015-04-29,8.771088,8.884487,8.675076,8.847444,20903000
2015-04-30,8.821745,8.991845,8.789238,8.836109,21339000
2015-05-01,8.914731,9.331286,8.911707,9.283658,25334000
2015-05-04,9.285925,9.363037,9.136994,9.159674,14207000
2015-05-05,9.079536,9.122628,8.817205,8.829301,22090000
2015-05-06,8.908683,8.948751,8.723463,8.828547,14475000
2015-05-07,9.071978,9.347161,9.071978,9.259465,23542000
2015-05-08,9.313896,9.444684,9.278365,9.323725,14846000
2015-05-11,9.341869,9.363793,9.268537,9.284413,12418000
2015-05-12,9.224690,9.342626,9.170258,9.294998,10264000
2015-05-13,9.346405,9.437881,9.246614,9.308605,11857000
2015-05-14,9.384959,9.728182,9.347159,9.596639,23279000
2015-05-15,9.660899,9.790174,9.568667,9.666946,22627000
2015-05-18,9.672995,9.858214,9.622343,9.841582,17984000
2015-05-19,9.892993,9.967837,9.771277,9.787909,16053000
2015-05-20,9.823440,9.908867,9.685092,9.760692,18721000
2015-05-21,9.790930,9.830242,9.664679,9.796978,21309000
2015-05-22,9.814369,10.117524,9.814369,10.027560,22856000
2015-05-26,10.157590,10.170443,9.876359,9.926255,26781000
2015-05-27,9.985979,10.948366,9.950448,10.696618,114248000
2015-05-28,10.962730,10.997505,10.281575,10.763902,249123000
2015-05-29,10.895444,11.282515,10.894688,11.194063,118244000
2015-06-01,11.206919,11.377775,10.973316,11.084447,83579000
2015-06-02,11.068568,11.088224,10.821357,10.898469,41264000
2015-06-03,11.037575,11.037575,10.796412,10.815311,30450000
2015-06-04,10.772219,10.844039,10.620263,10.674695,28017000
2015-06-05,10.657305,10.889397,10.531809,10.872008,38593000
2015-06-08,10.853866,10.868986,10.397243,10.480403,54422000
2015-06-09,10.504596,10.639164,10.320132,10.599852,44071000
2015-06-10,10.578683,10.884862,10.571879,10.800191,42617000
2015-06-11,10.748781,10.830429,10.661085,10.734417,31517000
2015-06-12,10.681496,10.695860,10.574900,10.619504,19145000
2015-06-15,10.520471,10.887886,10.509131,10.819846,34565000
2015-06-16,10.788093,10.847816,10.688300,10.734417,20998000
2015-06-17,10.727589,10.803403,10.572930,10.666181,25429000
2015-06-18,10.669219,10.898175,10.669219,10.841315,25298000
2015-06-19,10.842070,10.910302,10.735173,10.832973,26881000
2015-06-22,10.929258,11.003555,10.765501,10.862542,22846000
2015-06-23,10.914097,10.914097,10.679076,10.738210,21497000
2015-06-24,10.770048,10.782178,10.600984,10.611598,22402000
2015-06-25,10.623731,10.693479,10.525174,10.555499,17538000
2015-06-26,10.526689,10.541094,10.215854,10.246180,71798000
2015-06-29,10.071806,10.250726,9.934584,10.008123,40473000
2015-06-30,10.143828,10.187799,10.016461,10.077870,28695000
2015-07-01,10.190076,10.439502,10.183253,10.272713,43059000
2015-07-02,10.280296,10.443294,10.261342,10.434955,32797000
2015-07-06,10.322751,10.432681,10.149139,10.174157,30188000
2015-07-07,10.155205,10.193112,9.564619,10.071053,59268000
2015-07-08,9.863321,9.957330,9.617686,9.707904,51371000
2015-07-09,9.869389,9.958848,9.379634,9.452415,73469000
2015-07-10,9.598734,9.917908,9.590394,9.843611,50948000
2015-07-13,9.960363,9.960363,9.738988,9.793574,25304000
2015-07-14,9.806463,10.043759,9.742780,10.030112,26289000
2015-07-15,9.982349,10.120330,9.917908,9.986140,23100000
2015-07-16,10.130940,10.217368,9.923212,10.212061,33977000
2015-07-17,10.231776,10.234809,10.004336,10.133219,29000000
2015-07-20,10.200689,10.281809,10.140038,10.207512,23563000
2015-07-21,10.242387,10.339428,10.169606,10.197658,31532000
2015-07-22,9.631332,9.855739,9.505482,9.824656,61346000
