date,open,high,low,close,volume
2015-01-02,6.940000,7.010000,6.600000,6.750000,220200
2015-01-05,6.660000,6.770000,6.580000,6.630000,113000
2015-01-06,6.640000,6.680000,6.330000,6.400000,151800
2015-01-07,6.490000,6.590000,6.400000,6.420000,223600
2015-01-08,6.520000,6.640000,6.400000,6.560000,291600
2015-01-09,6.540000,6.730000,6.490000,6.600000,128700
2015-01-12,6.580000,6.580000,6.330000,6.400000,274700
2015-01-13,6.500000,6.570000,6.240000,6.300000,283000
2015-01-14,6.220000,6.360000,6.210000,6.330000,119500
2015-01-15,6.320000,6.340000,6.020000,6.040000,167800
2015-01-16,6.010000,6.230000,5.960000,6.110000,276800
2015-01-20,6.100000,6.100000,5.880000,5.930000,142200
2015-01-21,5.890000,6.000000,5.710000,5.750000,168000
2015-01-22,5.830000,5.930000,5.770000,5.880000,236300
2015-01-23,5.880000,5.980000,5.880000,5.920000,166800
2015-01-26,5.960000,6.130000,5.850000,6.130000,195900
2015-01-27,6.040000,6.180000,5.990000,6.110000,159100
2015-01-28,6.180000,6.220000,5.960000,5.990000,127100
2015-01-29,6.040000,6.310000,5.960000,6.250000,184700
2015-01-30,6.190000,6.290000,5.900000,5.920000,170500
2015-02-02,5.970000,6.060000,5.880000,6.000000,114800
2015-02-03,6.060000,6.260000,6.060000,6.200000,142300
2015-02-04,6.140000,6.220000,6.050000,6.070000,107200
2015-02-05,6.100000,6.330000,6.070000,6.290000,121800
2015-02-06,6.290000,6.380000,6.200000,6.290000,80200
2015-02-09,6.280000,6.400000,6.240000,6.270000,77500
2015-02-10,6.310000,6.450000,6.210000,6.340000,129500
2015-02-11,6.300000,6.410000,6.260000,6.350000,86900
2015-02-12,6.390000,6.540000,6.350000,6.440000,135700
2015-02-13,6.460000,6.680000,6.440000,6.660000,161800
2015-02-17,6.700000,6.820000,6.630000,6.730000,96500
2015-02-18,6.740000,6.860000,6.700000,6.770000,98100
2015-02-19,6.780000,7.060000,6.760000,7.020000,350600
2015-02-20,6.970000,6.970000,6.150000,6.500000,695100
2015-02-23,6.560000,6.560000,6.180000,6.300000,283700
2015-02-24,6.360000,6.460000,6.300000,6.400000,181200
2015-02-25,6.430000,6.430000,6.170000,6.200000,151700
2015-02-26,6.230000,6.250000,6.060000,6.150000,331300
2015-02-27,6.160000,6.170000,6.010000,6.030000,393500
2015-03-02,6.010000,6.200000,6.010000,6.160000,295700
2015-03-03,6.150000,6.180000,5.960000,6.020000,145600
2015-03-04,6.020000,6.050000,5.910000,6.040000,130200
2015-03-05,6.020000,6.070000,5.910000,5.960000,143400
2015-03-06,5.900000,6.130000,5.850000,6.060000,359600
2015-03-09,6.080000,6.110000,5.960000,6.000000,170900
2015-03-10,5.940000,5.990000,5.870000,5.870000,215200
2015-03-11,5.870000,5.970000,5.810000,5.930000,113400
2015-03-12,6.000000,6.070000,5.960000,6.030000,128500
2015-03-13,6.040000,6.040000,5.830000,6.000000,109100
2015-03-16,6.010000,6.040000,5.890000,5.950000,114000
2015-03-17,5.910000,6.050000,5.830000,6.020000,220000
2015-03-18,6.000000,6.120000,5.900000,6.110000,133100
2015-03-19,6.050000,6.140000,5.980000,6.020000,76400
2015-03-20,6.060000,6.310000,6.060000,6.280000,248400
2015-03-23,6.260000,6.450000,6.260000,6.350000,154300
2015-03-24,6.340000,6.450000,6.290000,6.440000,116600
2015-03-25,6.400000,6.480000,6.300000,6.330000,132300
2015-03-26,6.300000,6.340000,6.170000,6.180000,190300
2015-03-27,6.250000,6.560000,6.250000,6.520000,821100
2015-03-30,6.600000,6.710000,6.550000,6.630000,223400
2015-03-31,6.620000,6.830000,6.600000,6.670000,232100
2015-04-01,6.630000,6.720000,6.540000,6.700000,236900
2015-04-02,6.700000,6.990000,6.700000,6.980000,415300
2015-04-06,6.980000,7.080000,6.900000,6.900000,223100
2015-04-07,6.990000,7.000000,6.870000,6.890000,255000
2015-04-08,6.900000,7.000000,6.860000,7.000000,126800
2015-04-09,7.020000,7.050000,6.810000,6.840000,244500
2015-04-10,6.910000,6.930000,6.820000,6.900000,141200
2015-04-13,11.000000,11.740000,10.500000,11.570000,17377500
2015-04-14,12.630000,14.050000,12.590000,13.590000,12224500
2015-04-15,13.700000,13.750000,12.790000,13.670000,4320600
2015-04-16,13.350000,13.920000,13.230000,13.910000,2276600
2015-04-17,13.590000,13.860000,12.980000,12.990000,1995600
2015-04-20,13.070000,13.490000,12.830000,12.850000,1444200
2015-04-21,12.840000,13.240000,12.640000,13.090000,1039700
2015-04-22,13.000000,13.150000,12.840000,13.000000,652800
2015-04-23,12.920000,13.040000,12.670000,12.880000,610800
2015-04-24,12.920000,13.170000,12.300000,12.790000,897400
2015-04-27,12.790000,13.800000,12.700000,13.130000,1365400
2015-04-28,13.080000,13.140000,12.700000,13.060000,635600
2015-04-29,12.950000,13.020000,12.740000,12.880000,432600
2015-04-30,12.820000,12.890000,12.560000,12.760000,667800
2015-05-01,12.740000,13.100000,12.700000,12.910000,672900
2015-05-04,12.740000,13.000000,12.630000,12.860000,767300
2015-05-05,12.750000,12.890000,12.370000,12.520000,705900
2015-05-06,12.540000,12.810000,12.380000,12.630000,597700
2015-05-07,12.600000,12.850000,12.470000,12.780000,346200
2015-05-08,12.840000,12.950000,12.800000,12.860000,348500
2015-05-11,12.890000,12.990000,12.660000,12.720000,378700
2015-05-12,12.650000,12.740000,12.450000,12.680000,325600
2015-05-13,12.710000,12.830000,12.410000,12.530000,313500
2015-05-14,12.610000,12.920000,12.350000,12.800000,331000
2015-05-15,12.740000,12.800000,12.520000,12.710000,341300
2015-05-18,12.690000,12.830000,12.380000,12.790000,475200
2015-05-19,12.960000,13.350000,12.890000,13.270000,1043100
2015-05-20,13.250000,13.290000,12.840000,12.950000,237000
2015-05-21,12.910000,13.160000,12.870000,12.930000,168700
2015-05-22,12.930000,12.970000,12.550000,12.600000,303500
2015-05-26,12.570000,12.670000,12.300000,12.440000,318900
2015-05-27,12.490000,12.740000,12.290000,12.590000,367400
2015-05-28,12.490000,12.680000,12.150000,12.390000,355900
2015-05-29,12.350000,12.550000,12.160000,12.280000,234700
2015-06-01,12.370000,12.500000,11.920000,12.250000,315800
2015-06-02,12.190000,12.500000,12.060000,12.400000,255400
2015-06-03,12.500000,12.800000,12.440000,12.670000,313300
2015-06-04,12.580000,12.720000,12.200000,12.230000,151900
2015-06-05,12.230000,12.550000,12.050000,12.350000,353400
2015-06-08,12.350000,12.590000,12.300000,12.400000,244800
2015-06-09,12.340000,12.470000,12.110000,12.180000,270800
2015-06-10,12.260000,12.560000,12.260000,12.550000,274500
2015-06-11,12.520000,12.610000,12.210000,12.540000,624300
2015-06-12,12.500000,12.570000,12.250000,12.350000,320200
2015-06-15,12.590000,13.240000,12.400000,13.080000,1093400
2015-06-16,13.050000,13.290000,12.930000,13.280000,531700
2015-06-17,13.310000,13.640000,13.040000,13.250000,433200
2015-06-18,13.340000,13.520000,13.270000,13.310000,577300
2015-06-19,13.360000,13.770000,13.280000,13.690000,3276500
2015-06-22,13.830000,13.840000,13.470000,13.580000,441400
2015-06-23,13.620000,13.880000,13.500000,13.850000,471800
2015-06-24,13.860000,14.240000,13.450000,13.600000,641500
2015-06-25,13.600000,13.830000,13.450000,13.620000,319700
2015-06-26,13.630000,13.740000,13.370000,13.390000,699200
2015-06-29,13.290000,13.330000,12.710000,12.780000,491100
2015-06-30,12.830000,12.950000,12.650000,12.840000,1024000
2015-07-01,13.040000,13.190000,12.630000,12.850000,278800
2015-07-02,12.860000,13.000000,12.560000,12.670000,227000
2015-07-06,12.580000,12.890000,12.510000,12.690000,251300
2015-07-07,12.680000,12.680000,12.120000,12.590000,393200
2015-07-08,12.480000,12.480000,11.980000,12.050000,266800
2015-07-09,12.290000,12.490000,12.190000,12.200000,374600
2015-07-10,12.300000,12.710000,12.280000,12.690000,186200
2015-07-13,12.900000,12.900000,12.500000,12.680000,295900
2015-07-14,12.650000,12.850000,12.570000,12.620000,204200
2015-07-15,12.660000,12.660000,12.130000,12.230000,362400
2015-07-16,12.250000,12.500000,12.220000,12.430000,494100
2015-07-17,12.450000,12.740000,12.410000,12.710000,470100
2015-07-20,12.790000,13.100000,12.550000,13.020000,376500
2015-07-21,13.070000,13.420000,12.980000,13.390000,785100
2015-07-22,13.320000,13.900000,13.190000,13.850000,1604200
2015-07-23,13.800000,14.090000,13.740000,13.950000,1891300
2015-07-24,14.500000,14.500000,13.390000,13.390000,1614800
2015-07-27,13.040000,13.450000,12.390000,13.210000,1140700
2015-07-28,12.990000,13.620000,12.640000,12.900000,1632900
2015-07-29,13.370000,13.860000,13.290000,13.800000,8712400
2015-07-30,14.010000,14.770000,13.660000,14.750000,3789300
2015-07-31,14.840000,15.200000,14.700000,15.040000,2204600
2015-08-03,15.100000,15.390000,14.870000,15.280000,2452000
2015-08-04,15.220000,15.470000,14.700000,14.790000,1847100
2015-08-05,14.620000,14.910000,14.200000,14.340000,1250000
2015-08-06,14.300000,14.660000,14.120000,14.260000,1279200
2015-08-07,14.160000,14.340000,13.910000,14.230000,1838200
2015-08-10,14.260000,14.620000,14.190000,14.540000,1016500
2015-08-11,14.460000,14.840000,14.440000,14.480000,1127500
2015-08-12,14.520000,14.570000,13.810000,14.180000,964900
2015-08-13,14.260000,14.840000,14.220000,14.640000,895500
2015-08-14,14.510000,14.510000,14.020000,14.270000,792700
2015-08-17,14.160000,14.500000,14.000000,14.370000,592400
2015-08-18,14.410000,15.090000,14.100000,14.930000,1397900
2015-08-19,14.900000,15.500000,14.610000,15.350000,1893300
2015-08-20,15.250000,15.470000,14.810000,14.900000,1484400
2015-08-21,14.720000,15.190000,14.590000,14.920000,1414000
2015-08-24,13.920000,14.920000,12.900000,14.020000,1699500
2015-08-25,14.510000,14.790000,13.510000,13.520000,1222600
2015-08-26,13.850000,13.980000,13.230000,13.830000,1145900
2015-08-27,14.060000,14.430000,13.720000,14.360000,1359600
2015-08-28,14.230000,14.750000,14.140000,14.480000,790900
2015-08-31,14.480000,14.940000,14.290000,14.810000,1280400
2015-09-01,14.470000,14.620000,14.190000,14.390000,1007600
2015-09-02,14.620000,15.460000,14.400000,15.450000,1787200
2015-09-03,15.400000,15.690000,15.180000,15.330000,1692100
2015-09-04,15.060000,15.500000,14.890000,15.320000,1395600
2015-09-08,15.810000,16.000000,15.530000,15.730000,1364300
2015-09-09,15.940000,16.430000,15.800000,16.040001,2352000
2015-09-10,15.740000,16.450001,15.660000,16.230000,1763800
2015-09-11,16.110001,16.440001,16.040001,16.200001,1284900
2015-09-14,16.320000,16.690001,16.230000,16.440001,1040400
2015-09-15,16.490000,16.639999,16.230000,16.260000,754600
2015-09-16,16.200001,16.469999,15.980000,16.360001,1580200
2015-09-17,16.400000,16.450001,15.600000,15.780000,2246100
2015-09-18,15.110000,15.880000,15.010000,15.350000,2611700
2015-09-21,15.550000,15.850000,15.150000,15.310000,1335700
2015-09-22,15.160000,15.410000,14.820000,14.910000,1009300
2015-09-23,14.950000,15.060000,14.760000,14.960000,598000
2015-09-24,14.870000,14.870000,14.180000,14.490000,1660400
2015-09-25,14.650000,14.750000,13.820000,13.930000,1047800
2015-09-28,13.880000,13.900000,13.130000,13.210000,1555800
2015-09-29,13.230000,13.520000,12.340000,12.490000,2449800
2015-09-30,12.590000,12.850000,12.510000,12.680000,2639700
2015-10-01,12.750000,13.190000,12.500000,13.150000,1490000
2015-10-02,12.900000,13.220000,12.560000,13.170000,1055400
2015-10-05,13.240000,13.950000,13.240000,13.660000,1058400
2015-10-06,13.660000,13.990000,13.490000,13.710000,1093800
2015-10-07,13.740000,14.440000,13.680000,14.410000,1284100
2015-10-08,14.090000,14.720000,14.050000,14.550000,1581200
2015-10-09,14.540000,14.770000,14.130000,14.320000,732500
2015-10-12,14.280000,14.310000,13.800000,13.860000,479700
2015-10-13,13.780000,14.180000,13.350000,13.380000,905500
2015-10-14,13.370000,13.370000,12.510000,12.790000,1780800
2015-10-15,12.900000,13.230000,12.710000,13.210000,884800
2015-10-16,13.160000,13.430000,13.020000,13.250000,1012900
2015-10-19,13.200000,13.330000,13.070000,13.220000,500300
2015-10-20,13.170000,13.340000,12.510000,12.700000,1407100
2015-10-21,12.830000,12.880000,12.390000,12.490000,901700
2015-10-22,12.530000,12.870000,12.050000,12.850000,1079500
2015-10-23,12.930000,13.360000,12.600000,12.690000,660000
2015-10-26,12.890000,12.930000,12.240000,12.310000,732400
2015-10-27,12.250000,12.470000,11.580000,11.760000,1545900
