date,open,high,low,close,volume
2015-01-02,30.758037,30.780680,30.252323,30.539145,3891100
2015-01-05,30.357993,30.471211,29.648481,29.754152,4241900
2015-01-06,29.776796,29.791892,28.584213,28.893681,7633100
2015-01-07,29.203141,29.512608,29.014442,29.489965,7113900
2015-01-08,29.776791,29.920201,29.739051,29.897558,4795300
2015-01-09,29.799447,29.965504,29.391855,29.459787,3295700
2015-01-12,29.459793,29.512629,28.961626,29.037107,2584400
2015-01-13,29.210700,29.452235,28.757819,28.984261,4868000
2015-01-14,28.478545,28.621955,27.859610,28.252106,6390700
2015-01-15,28.357773,28.403062,27.995470,28.116238,5076500
2015-01-16,28.033209,28.304937,27.852059,28.274744,6479900
2015-01-20,28.440810,28.606867,28.025671,28.108700,4903800
2015-01-21,28.221920,28.440812,28.040770,28.342688,5584300
2015-01-22,28.523824,29.240883,28.312478,29.225786,6640300
2015-01-23,28.621952,28.629502,27.814318,27.852060,7033000
2015-01-26,27.655805,28.297385,27.497298,28.244547,8192400
2015-01-27,27.806777,28.086052,27.640721,27.731298,5487300
2015-01-28,27.852062,27.942637,26.893468,26.916111,10502900
2015-01-29,26.991593,27.580338,26.984046,27.504856,7654100
2015-01-30,27.254607,27.648942,27.186356,27.300108,10535000
2015-02-02,27.391098,27.876432,27.322847,27.808182,8255800
2015-02-03,28.005348,28.399683,27.982599,28.361767,8944700
2015-02-04,28.179771,28.634772,28.119106,28.187353,5828000
2015-02-05,28.255605,28.869859,28.255605,28.612024,4753400
2015-02-06,29.067040,29.567542,28.991204,29.173206,6802900
2015-02-09,28.938104,29.393104,28.915354,29.180771,6367800
2015-02-10,29.423446,29.681281,29.286945,29.635782,6726200
2015-02-11,29.605452,29.810203,29.431035,29.673702,3853400
2015-02-12,29.749524,29.999776,29.726775,29.886024,7692400
2015-02-13,29.878450,30.022533,29.673699,29.726782,5453200
2015-02-17,29.567530,29.931531,29.537196,29.923946,4684300
2015-02-18,29.870862,29.946698,29.461360,29.567530,4898300
2015-02-19,29.484112,29.757113,29.377945,29.666111,3484900
2015-02-20,29.575107,29.931525,29.317272,29.908773,4245500
2015-02-23,29.734367,29.795035,29.522034,29.704033,3584600
2015-02-24,29.643373,30.318292,29.613039,30.166624,6635100
2015-02-25,30.166608,30.356192,29.916358,30.227276,9407600
2015-02-26,30.174193,30.265192,29.757109,29.908773,5559100
2015-02-27,29.772278,29.886029,29.628195,29.681278,5030100
2015-03-02,29.681280,30.075615,29.650946,30.068033,5177300
2015-03-03,30.022532,30.219698,29.923947,30.068033,6037500
2015-03-04,29.984609,30.052859,29.741941,29.908773,4402800
2015-03-05,29.878449,29.916365,29.597863,29.719196,4391300
2015-03-06,29.590287,30.667123,29.590287,29.787453,9012400
2015-03-09,30.166615,30.257618,29.878449,30.174200,7136500
2015-03-10,29.870864,29.946700,29.484114,29.719196,10109700
2015-03-11,29.734366,30.068036,29.726784,29.893616,8878600
2015-03-12,30.621622,30.833955,30.318286,30.667120,7296000
2015-03-13,30.560941,31.084195,30.447193,31.046276,11655400
2015-03-16,31.167614,31.296533,30.978030,31.129698,5253100
2015-03-17,30.924945,31.258615,30.803611,31.197947,4604100
2015-03-18,31.137273,31.433024,30.826356,30.962856,7121500
2015-03-19,30.864287,30.947704,30.401701,30.560951,6760700
2015-03-20,30.651957,30.833959,30.515459,30.765709,9665100
2015-03-23,30.765689,30.894608,30.598854,30.651937,4384500
2015-03-24,30.553367,30.651948,30.189365,30.409281,4429800
2015-03-25,30.394125,30.409289,29.870871,29.969456,4893700
2015-03-26,29.726784,30.287951,29.726784,30.189369,5289500
2015-03-27,30.068033,30.174200,29.870864,30.143866,4789100
2015-03-30,30.295520,30.697437,30.227270,30.553354,3702900
2015-03-31,30.333442,30.576109,30.227275,30.515444,3650600
2015-04-01,30.500293,30.644376,30.234874,30.492708,4686600
2015-04-02,30.500288,30.758123,30.341036,30.750538,3555000
2015-04-06,30.439617,30.788451,30.303116,30.705036,3883000
2015-04-07,30.720208,30.962878,30.606459,30.765709,4396100
2015-04-08,30.849117,31.076617,30.712616,30.856699,3315600
2015-04-09,30.856704,31.000789,30.689872,30.970455,2905500
2015-04-10,30.940104,31.000772,30.788436,30.985605,2086200
2015-04-13,30.856696,31.197948,30.826365,31.053865,3662200
2015-04-14,31.053854,31.190355,30.887020,31.137272,4653600
2015-04-15,31.167620,31.311706,31.084206,31.190372,3498300
2015-04-16,31.167603,31.220686,31.000771,31.137272,2979900
2015-04-17,30.985621,31.061454,30.598868,30.712620,5111800
2015-04-20,30.841538,31.084208,30.796040,30.924955,3497500
2015-04-21,31.106951,31.213118,30.932534,31.122118,3839800
2015-04-22,31.652958,32.183791,31.160038,32.176208,9543600
2015-04-23,32.236861,32.532615,32.054862,32.289948,5304000
2015-04-24,32.153452,32.335452,31.690867,31.903200,5176700
2015-04-27,31.933531,32.153449,31.804612,31.827364,6406600
2015-04-28,31.797039,32.449209,31.774290,32.426456,6100300
2015-04-29,32.138284,32.691869,32.138284,32.502285,6322500
2015-04-30,32.456619,32.631730,32.121620,32.235825,4647900
2015-05-01,32.441386,32.555588,32.129230,32.540363,6102300
2015-05-04,32.563202,33.004787,32.509907,32.951492,3982400
2015-05-05,32.806835,33.225580,32.646951,32.662178,7238800
2015-05-06,32.768776,32.928660,32.471847,32.692638,5211900
2015-05-07,32.662171,33.080916,32.563194,32.974327,6132900
2015-05-08,33.179893,33.225572,32.959099,33.050461,6755900
2015-05-11,33.118977,33.248407,32.921026,32.928638,6139100
2015-05-12,32.730691,32.981936,32.624098,32.875347,3880100
2015-05-13,32.806819,33.050452,32.776364,32.943863,4396500
2015-05-14,33.096145,33.103758,32.882964,33.020008,4573800
2015-05-15,33.035230,33.088525,32.677392,32.806824,5656200
2015-05-18,32.829666,33.164664,32.745916,33.096142,6825400
2015-05-19,33.202739,33.294101,33.027628,33.149445,7493400
2015-05-20,33.126597,33.377845,33.020007,33.210346,4134800
2015-05-21,33.035243,33.324559,33.004788,33.225582,4208900
2015-05-22,33.195116,33.240798,33.080914,33.096142,2995500
2015-05-26,33.096143,33.179892,32.829667,33.088528,6258300
2015-05-27,33.217971,33.575806,33.027632,33.408310,6021100
2015-05-28,33.355004,33.492049,33.172278,33.461594,5545200
2015-05-29,33.393087,33.393087,33.012409,33.012409,7481500
2015-06-01,33.111370,33.164665,32.639328,32.677395,12563600
2015-06-02,32.639335,32.700245,32.456612,32.662178,7886600
2015-06-03,32.662171,33.217960,32.608876,33.050461,5037400
2015-06-04,32.601281,33.020026,32.601281,32.707870,8572500
2015-06-05,33.309338,33.400700,32.685026,33.012409,7996300
2015-06-08,32.974318,33.316926,32.936248,32.997158,5810300
2015-06-09,32.997164,33.164664,32.882960,33.042847,3552700
2015-06-10,33.233201,33.492063,33.149452,33.301723,9921800
2015-06-11,33.294105,33.522512,33.256038,33.408310,5825900
2015-06-12,33.362628,33.415923,33.157062,33.256039,5853700
2015-06-15,32.936256,33.020006,32.753532,32.959099,7393200
2015-06-16,32.852516,33.020012,32.806833,32.890583,8233800
2015-06-17,33.020009,33.096146,32.768763,32.852512,6824100
2015-06-18,32.966703,33.012385,32.715457,32.943863,8737100
2015-06-19,32.867741,32.989561,32.814446,32.829674,9539500
2015-06-22,33.141821,33.256026,33.012392,33.096142,4721700
2015-06-23,33.240807,33.332168,33.111377,33.240807,4676600
2015-06-24,33.103755,33.278867,32.936256,32.959099,3788200
2015-06-25,33.050464,33.088531,32.624104,32.624104,3055100
2015-06-26,32.745912,32.890571,32.601255,32.723072,6485300
2015-06-29,32.357632,32.441382,31.786615,31.817070,5083700
2015-06-30,32.228202,32.342403,31.824681,31.954113,6406200
2015-07-01,32.388087,32.395699,32.015021,32.113998,5146700
2015-07-02,32.098771,32.197748,31.664798,31.817070,4580100
2015-07-06,31.459234,31.687641,31.375485,31.634346,5207600
2015-07-07,31.619111,31.786610,31.040482,31.626726,4661100
2015-07-08,31.375477,31.436387,30.857755,30.865370,4696200
2015-07-09,31.238445,31.444011,31.086176,31.207993,5244600
2015-07-10,31.588670,31.832304,31.504920,31.756166,4771100
2015-07-13,31.862741,32.357624,31.847517,32.266262,7204700
2015-07-14,32.121602,32.403305,32.022627,32.380463,3454100
2015-07-15,32.433762,32.601261,32.327173,32.487057,3187600
2015-07-16,32.799218,32.829670,32.631719,32.791603,3206300
2015-07-17,32.677403,32.783996,32.448997,32.601269,3223300
2015-07-20,32.723072,32.806822,32.563188,32.723072,5732600
2015-07-21,33.179904,33.636716,33.118994,33.613876,9810600
2015-07-22,33.735686,34.063069,33.613869,34.055454,7123500
2015-07-23,34.108736,34.253396,33.788968,33.857491,4653800
2015-07-24,33.598643,33.781367,33.256033,33.286488,4928900
2015-07-27,33.050472,33.080927,32.525138,32.936268,6116000
2015-07-28,33.126586,33.233179,32.860113,33.187496,5434400
2015-07-29,33.202728,33.453974,33.065684,33.332157,5555100
2015-07-30,33.332168,33.607325,33.301595,33.576752,4726500
2015-07-31,33.592043,33.592043,33.118163,33.171665,4636200
2015-08-03,33.179307,33.355101,32.927082,33.171665,4589900
