date,open,high,low,close,volume
2015-01-02,82.802513,83.345212,81.202022,81.864296,184000
2015-01-05,81.395174,81.597536,79.435953,80.070633,254200
2015-01-06,80.116599,80.355755,79.187576,79.481926,311600
2015-01-07,80.263803,81.137633,79.647516,80.392578,222300
2015-01-08,82.425363,84.918083,81.836676,84.191422,539400
2015-01-09,84.200632,85.120455,82.949671,83.501564,338600
2015-01-12,83.786685,85.175620,82.986443,84.127022,485700
2015-01-13,84.982497,86.325438,84.467398,85.479202,303600
2015-01-14,84.586920,85.571130,83.832665,84.973244,176200
2015-01-15,85.102036,85.690729,83.437158,84.375381,214500
2015-01-16,84.347821,86.067894,84.347821,85.543594,360500
2015-01-20,85.819495,86.187418,84.163810,85.083633,195800
2015-01-21,84.954884,85.690746,83.713124,83.979874,194300
2015-01-22,84.734113,84.954869,83.519947,84.081039,282200
2015-01-23,84.099438,85.065256,83.814295,84.678925,190000
2015-01-26,84.467375,87.079670,84.402988,87.024483,280800
2015-01-27,85.828711,86.895710,85.396393,85.810318,235500
2015-01-28,86.380607,86.794525,84.752516,84.936478,239100
2015-01-29,85.332864,86.448265,84.364950,86.291557,195900
2015-01-30,85.627814,86.420580,84.023850,84.162125,241000
2015-02-02,84.632259,85.065516,83.231097,84.816628,313600
2015-02-03,85.111639,86.660297,84.392620,86.024239,398700
2015-02-04,85.867504,86.973684,85.083958,86.208572,299200
2015-02-05,86.309996,86.918401,83.996233,84.392616,408100
2015-02-06,84.392616,84.982580,83.157373,84.254341,366000
2015-02-09,83.931719,84.254355,82.696477,82.825531,198200
2015-02-10,83.452344,83.489218,82.622705,82.742546,224100
2015-02-11,82.668817,83.203474,82.051199,82.595070,159900
2015-02-12,83.074392,83.424681,82.650356,82.991425,177700
2015-02-13,82.982251,83.332547,81.654835,81.977470,238500
2015-02-17,82.281645,82.604280,81.452005,82.530533,228400
2015-02-18,82.973015,84.438705,82.650379,83.618286,313000
2015-02-19,83.129707,83.461563,82.364595,83.286415,153200
2015-02-20,83.443144,84.042329,82.410710,84.023895,159500
2015-02-23,84.069964,85.130058,83.636715,84.641495,253500
2015-02-24,84.383412,84.945722,83.830321,84.199043,205300
2015-02-25,84.069953,84.069953,81.829931,82.115700,270100
2015-02-26,81.931311,82.604243,81.719297,82.493622,170800
2015-02-27,82.585816,82.871585,80.382668,80.889671,283400
2015-03-02,81.018761,81.885274,80.797526,81.525764,238000
