date,open,high,low,close,volume
2015-01-02,38.754270,38.923098,38.247790,38.501030,2769700
2015-01-05,38.982191,38.999074,38.239351,38.315323,4301500
2015-01-06,38.517921,38.973752,38.002997,38.686749,6216100
2015-01-07,38.737387,39.075042,38.610768,38.830242,7102600
2015-01-08,38.889328,39.649051,38.855562,39.404251,4910000
2015-01-09,39.438023,39.438023,38.855568,39.083485,3696200
2015-01-12,39.927614,40.045793,39.007507,39.075039,3907000
2015-01-13,39.463346,39.547759,38.458826,38.796478,4364800
2015-01-14,38.593887,38.728948,38.078963,38.391293,4418400
2015-01-15,38.720504,38.813359,37.927017,38.129608,4535700
2015-01-16,38.399743,38.501038,37.791964,38.374416,4589400
2015-01-20,38.695183,38.771155,38.188702,38.306881,4114400
2015-01-21,38.543233,38.796473,38.357522,38.517910,3728500
2015-01-22,38.788043,39.395818,38.408181,39.041283,4002000
2015-01-23,39.404264,39.429587,39.108818,39.151024,2605700
2015-01-26,39.151017,39.471786,39.015956,39.471786,2734000
2015-01-27,39.328286,39.471788,38.720507,38.931541,3909600
2015-01-28,39.277639,39.353611,38.053645,38.121174,3898700
2015-01-29,37.395215,38.180261,36.998473,37.884815,6934600
2015-01-30,37.656897,38.002993,37.057562,37.108208,4365100
2015-02-02,36.990031,37.040680,36.095246,36.728348,5111800
2015-02-03,36.643938,37.057566,36.542642,36.880295,5310400
2015-02-04,36.686138,37.057560,36.508870,36.686138,4067400
2015-02-05,36.947822,37.006911,36.643933,36.888733,3352700
2015-02-06,36.753676,36.973150,36.483553,36.576408,3153800
2015-02-09,36.297838,36.432900,35.884210,36.002392,3784200
2015-02-10,36.703022,36.922500,36.449782,36.762112,4683200
2015-02-11,36.795876,37.344566,36.795876,37.201061,5808300
2015-02-12,37.504953,37.758193,37.395214,37.454304,3631700
2015-02-13,36.863407,36.998471,36.635493,36.703022,4900800
2015-02-17,36.542637,36.728345,36.407575,36.542637,5748000
2015-02-18,37.306774,37.417150,37.001122,37.247341,5339900
2015-02-19,37.875638,37.884127,36.984147,37.103012,5077300
2015-02-20,36.737919,36.856784,36.355851,36.737919,4736300
2015-02-23,37.069037,37.119981,36.771875,36.950172,4096200
2015-02-24,37.069046,37.086027,36.669996,37.009613,4761600
2015-02-25,37.128478,37.340738,37.077535,37.264324,6421000
2015-02-26,37.255828,37.374693,37.043569,37.162434,4255200
2015-02-27,37.136980,37.544518,37.136980,37.349239,6008800
2015-03-02,37.383187,38.724671,37.357717,38.368073,10802800
2015-03-03,38.334118,38.351096,37.654884,37.943558,5307400
2015-03-04,37.748270,37.892609,37.612424,37.858646,2143800
2015-03-05,38.232221,38.673722,38.232221,38.605801,3940600
2015-03-06,38.393550,38.410531,37.400172,37.697338,4490900
2015-03-09,37.790720,38.283164,37.731287,38.198261,4101900
2015-03-10,37.977510,38.053924,37.391675,37.417145,3209100
2015-03-11,37.383187,37.476581,37.196400,37.221870,2500900
2015-03-12,37.841663,38.461461,37.731287,38.452972,4433100
2015-03-13,38.113355,38.546367,37.986002,38.486935,3774400
2015-03-16,38.682218,39.420881,38.673726,39.310505,3416800
2015-03-17,38.826552,38.962398,38.656743,38.775608,2506400
2015-03-18,38.707688,39.760498,38.631274,39.667103,4005500
2015-03-19,39.463340,39.887859,39.310512,39.633148,4084500
2015-03-20,39.709546,40.108595,39.522756,39.802940,6474200
2015-03-23,38.826558,39.454849,38.707693,39.106743,5384000
2015-03-24,38.869001,39.038809,38.529387,38.537876,4647000
2015-03-25,38.419020,38.554866,37.637906,37.697338,6466600
2015-03-26,37.315275,37.943562,37.136977,37.714321,5500300
2015-03-27,39.743510,40.499154,39.268047,40.006710,12474200
2015-03-30,40.278411,40.558595,39.692575,40.516144,4949100
2015-03-31,40.235959,40.821798,40.185018,40.618027,5467800
2015-04-01,40.592551,40.753867,39.913317,40.312366,3140600
2015-04-02,40.397276,40.881228,40.261427,40.728401,3910700
2015-04-06,40.456714,40.813309,40.286906,40.550106,3997700
2015-04-07,41.118952,41.738750,41.008576,41.356682,6965300
2015-04-08,41.636873,41.781208,41.178391,41.271786,4736300
2015-04-09,41.220837,41.314232,40.796317,41.186874,2963300
2015-04-10,41.178381,41.254795,40.966122,41.034046,1775000
2015-04-13,40.915183,41.195367,40.541607,40.609531,2484600
2015-04-14,40.601047,40.711423,40.201997,40.320866,2726800
2015-04-15,40.210496,40.397285,39.887860,39.913330,2712700
2015-04-16,39.887845,40.422741,39.735018,40.134068,4085100
2015-04-17,39.981255,40.108612,39.480322,39.913330,4217500
2015-04-20,39.285035,39.794457,39.004851,39.471825,4904400
2015-04-21,39.590691,39.828421,39.327487,39.556728,2621900
2015-04-22,39.582191,39.692567,39.276537,39.582191,1900800
2015-04-23,39.437859,39.582195,39.234089,39.302013,2190100
2015-04-24,39.514272,39.565212,39.166166,39.378426,2138600
2015-04-27,39.794456,39.862380,38.877495,38.902966,2862700
2015-04-28,38.665234,38.741648,38.215241,38.563347,2565500
2015-04-29,38.580336,38.605810,37.153950,37.697338,7737400
2015-04-30,37.969020,37.994490,37.094508,37.332241,4208600
2015-05-01,37.255832,37.850159,37.255832,37.807705,2697500
2015-05-04,37.901105,38.104876,37.603943,37.637905,2498400
2015-05-05,37.323761,37.485080,36.797357,36.848301,2457500
2015-05-06,36.856781,37.103003,36.593578,36.890743,3425400
2015-05-07,37.502048,37.960530,37.391675,37.765251,4358700
2015-05-08,38.690706,39.285034,38.639762,39.191639,4731100
2015-05-11,39.709550,39.828415,39.225598,39.251068,2813900
2015-05-12,39.098238,39.132201,38.707681,38.885979,2015300
2015-05-13,39.293532,39.437870,38.809580,38.860523,3468300
2015-05-14,39.369940,40.235960,39.335981,40.218979,4364500
2015-05-15,40.592551,40.813299,40.439723,40.668964,3599100
2015-05-18,40.592557,40.940663,40.507651,40.677460,2203200
2015-05-19,40.711426,41.229341,40.702934,41.059532,3277700
2015-05-20,40.871764,41.068058,40.547452,40.555988,3368000
2015-05-21,40.462112,40.718147,40.334093,40.453579,2277300
2015-05-22,40.368232,40.666942,40.189008,40.410904,2373700
2015-05-26,40.342619,40.402361,39.975635,40.069515,2772000
2015-05-27,40.538920,40.752282,40.342626,40.615730,1962900
2015-05-28,40.445034,40.445034,40.052447,40.240208,2114000
2015-05-29,40.086594,40.257282,39.523317,39.540386,3738400
2015-06-01,39.676936,40.018315,39.472107,39.924435,2316200
2015-06-02,39.873231,40.334092,39.822022,40.137798,2134100
2015-06-03,40.530390,40.897371,40.445043,40.812027,2743000
2015-06-04,40.427976,40.786427,40.342632,40.445045,3023900
2015-06-05,40.274349,40.555990,40.052454,40.325558,2073200
2015-06-08,40.112192,40.453573,40.035381,40.129261,1965600
2015-06-09,40.043918,40.317025,39.924435,40.282887,2071300
2015-06-10,40.393834,40.649869,40.103661,40.112194,4142500
2015-06-11,40.257276,40.846159,40.129260,40.820557,2812800
2015-06-12,40.325557,40.666939,40.282885,40.470642,1890900
2015-06-15,40.035390,40.359703,39.728148,40.308495,2266300
