date,open,high,low,close,volume
2015-01-02,74.393778,74.579835,73.671020,74.329376,858900
2015-01-05,74.286432,75.066439,73.849916,74.343681,1307400
2015-01-06,74.672871,75.495813,74.300762,74.658562,1524600
2015-01-07,74.758765,76.240057,74.665733,75.939507,1226500
2015-01-08,76.025362,76.891237,75.975270,76.791054,1647200
2015-01-09,76.748105,76.948473,75.989571,76.297279,753900
2015-01-12,76.526271,76.640764,75.760579,76.111221,919400
2015-01-13,76.504820,77.206106,75.925181,76.411789,817400
2015-01-14,75.624615,76.583516,75.467182,76.533424,709600
2015-01-15,77.134538,77.978947,76.626463,76.848297,1173700
2015-01-16,76.719489,78.165004,76.719489,78.057663,958700
2015-01-20,78.358214,78.673079,77.091604,77.714172,1439600
2015-01-21,77.656907,78.429757,77.220397,77.871590,1376300
2015-01-22,78.093433,78.830506,77.649764,78.794724,1193000
2015-01-23,78.623017,78.687418,77.227592,77.571083,1645200
2015-01-26,77.657524,78.024990,77.347701,77.924118,1273600
2015-01-27,77.383707,78.017762,76.800083,77.816017,882100
2015-01-28,78.219521,78.399651,77.037871,77.167564,1143800
2015-01-29,77.592681,78.421273,77.261243,78.284378,1308900
2015-01-30,78.190704,78.269961,76.807309,76.886566,1672500
2015-02-02,76.828924,77.729573,76.374999,77.693550,889900
2015-02-03,77.895291,78.125857,77.030670,77.592674,1920900
2015-02-04,80.460326,81.015128,77.816023,78.976059,2328800
2015-02-05,78.846372,79.336325,77.506207,77.852058,1825700
2015-02-06,77.484607,77.960146,76.583958,77.045090,1250400
2015-02-09,77.037879,77.232422,76.641597,77.030678,1100400
2015-02-10,77.095522,78.075428,76.893778,77.888092,959800
2015-02-11,77.888092,78.169094,77.318881,77.772812,557000
2015-02-12,77.643098,78.068201,77.520605,78.003357,736000
2015-02-13,77.859278,78.594211,77.686355,78.536568,709800
2015-02-17,78.536572,78.803166,78.010590,78.435699,665300
2015-02-18,78.291553,79.213816,78.190676,79.091324,720900
2015-02-19,78.896827,78.997699,78.399667,78.738312,707700
2015-02-20,78.723882,78.824755,78.089822,78.493317,824000
2015-02-23,78.608608,79.098561,78.414070,79.062538,695300
2015-02-24,78.824746,79.148977,78.435665,78.803131,885500
2015-02-25,78.803113,78.882370,78.457261,78.529312,730000
2015-02-26,78.558161,78.867984,78.248337,78.608597,547600
2015-02-27,78.702270,78.702270,78.176288,78.277161,603700
2015-03-02,78.277162,79.365146,78.183496,79.199425,899100
2015-03-03,79.177822,79.876726,78.824769,79.862312,1125700
2015-03-04,79.602914,79.725401,78.594187,79.206627,952100
2015-03-05,79.257075,79.516462,78.860787,79.372360,753100
2015-03-06,79.004876,79.105748,78.125843,78.313179,849900
2015-03-09,78.291575,79.040910,78.097032,78.817551,685300
2015-03-10,78.298783,78.630221,77.664729,77.693550,676500
2015-03-11,77.599880,77.909703,76.756874,77.405342,961300
2015-03-12,77.599911,78.767154,77.434195,78.687897,733000
2015-03-13,78.428454,78.586969,77.844836,78.370811,747700
2015-03-16,78.673467,79.365165,78.478924,78.824776,1114300
2015-03-17,78.680661,78.795947,77.981762,78.558174,797000
2015-03-18,78.695074,79.365157,77.434166,79.141792,1103800
2015-03-19,78.954438,79.235440,78.673436,78.961639,753000
2015-03-20,79.386772,80.719731,79.213849,80.618858,2566200
2015-03-23,80.287408,81.166441,80.186535,80.647667,1040600
2015-03-24,80.568429,81.130433,80.049655,80.078476,700000
2015-03-25,80.539582,80.698097,79.264266,79.285881,677700
2015-03-26,79.242691,79.300328,78.673480,78.997711,755600
2015-03-27,79.048156,79.350772,78.723924,79.271515,537300
2015-03-30,79.257076,80.244189,78.882409,79.804672,665400
2015-03-31,79.502073,80.316263,79.502073,79.538101,686900
2015-04-01,79.127369,79.365142,78.601388,79.206627,836000
2015-04-02,79.055330,79.811872,78.896815,79.401176,900700
2015-04-06,80.986305,81.202457,79.516446,80.244171,1121000
2015-04-07,80.013613,80.762948,79.689376,79.710991,610200
2015-04-08,79.761442,79.970393,79.199438,79.617340,586900
2015-04-09,79.696594,79.963188,79.177819,79.898338,667700
2015-04-10,79.898307,80.114465,79.523640,79.739792,568300
2015-04-13,79.429989,80.064049,79.257066,79.797455,485000
2015-04-14,79.718195,80.301813,79.516450,79.970375,459600
2015-04-15,79.934359,80.633263,79.530864,79.602921,522200
2015-04-16,79.595714,79.963180,79.257069,79.516457,396600
2015-04-17,79.365138,79.429982,78.363618,78.723877,723400
2015-04-20,79.108336,79.463796,78.622292,78.687584,638100
2015-04-21,78.999543,79.724975,78.680352,79.050323,752200
2015-04-22,79.362274,79.434816,78.557044,78.992302,584300
2015-04-23,78.825437,79.514595,78.644079,79.144623,543600
2015-04-24,79.101132,79.456592,78.963298,79.246216,478500
2015-04-27,79.275198,79.398520,78.049216,78.564278,885100
2015-04-28,78.636832,78.927006,78.303134,78.578796,669600
2015-04-29,78.549789,78.948779,77.548694,77.701035,897100
2015-04-30,77.701026,77.969438,76.794236,76.968338,1379700
2015-05-01,77.599451,78.709361,76.859507,77.033615,1267700
2015-05-04,77.265785,77.860639,77.193243,77.265785,1006100
2015-05-05,77.534178,77.715536,76.569358,76.699936,1133500
2015-05-06,76.917556,77.280272,76.482297,77.244003,1026400
2015-05-07,77.345552,78.012948,76.946562,77.693756,857900
2015-05-08,78.346647,78.600547,77.577691,78.049217,661300
2015-05-11,77.867879,78.274125,77.584961,77.584961,512900
2015-05-12,77.613961,78.194309,77.178703,77.976677,693800
2015-05-13,77.962191,78.651350,77.672018,77.759071,691500
2015-05-14,78.165272,78.847180,77.911372,78.687584,613700
2015-05-15,78.818209,79.311503,78.818209,79.217194,533600
2015-05-18,79.209914,79.717714,79.072081,79.449303,508000
2015-05-19,79.442089,80.160265,79.151915,80.080467,600000
2015-05-20,80.036920,80.544721,79.761253,80.073189,640400
2015-05-21,79.848308,80.109464,79.413050,79.637932,578700
2015-05-22,79.572615,79.964349,79.413019,79.645157,487700
2015-05-26,79.659689,79.768505,78.956019,79.064835,582600
2015-05-27,79.028583,79.674217,78.752915,79.485603,580100
2015-05-28,79.260726,79.710490,78.716652,79.021332,872800
2015-05-29,79.122855,79.289706,77.991183,78.099998,1459800
2015-06-01,78.404694,78.542523,77.650244,78.281372,489600
2015-06-02,78.223335,78.252353,77.331052,77.541428,637200
2015-06-03,77.526937,77.751819,77.164221,77.722801,576000
2015-06-04,77.447130,78.179813,77.273023,77.367332,781300
2015-06-05,77.062645,77.273015,76.656399,76.874031,1054600
2015-06-08,76.895780,77.142424,76.105062,76.416992,958300
2015-06-09,76.344479,76.924827,76.083323,76.554855,860900
2015-06-10,76.910310,77.628492,76.808750,77.338318,620200
2015-06-11,77.360086,77.432628,76.525838,76.728958,733100
2015-06-12,76.598385,76.707201,76.032549,76.141365,544600
2015-06-15,75.959990,75.959990,75.278082,75.611786,618600
2015-06-16,75.814917,76.496819,75.698845,76.373497,481700
