date,open,high,low,close,volume
2015-01-02,13.760000,13.810000,13.260000,13.540000,177100
2015-01-05,13.430000,13.650000,13.270000,13.280000,176600
2015-01-06,13.350000,13.700000,12.850000,12.950000,200400
2015-01-07,13.060000,13.250000,12.770000,12.950000,153000
2015-01-08,13.050000,13.290000,12.990000,13.080000,171500
2015-01-09,13.040000,13.280000,13.000000,13.080000,238000
2015-01-12,13.100000,13.220000,12.780000,12.980000,167500
2015-01-13,13.090000,13.490000,12.920000,13.110000,161300
2015-01-14,12.940000,13.120000,12.640000,12.670000,207900
2015-01-15,12.750000,13.150000,12.550000,13.000000,546600
2015-01-16,12.960000,13.570000,12.960000,13.560000,317500
2015-01-20,13.610000,13.840000,13.450000,13.780000,193800
2015-01-21,13.780000,13.870000,13.680000,13.750000,154400
2015-01-22,13.810000,13.930000,13.620000,13.890000,132600
2015-01-23,13.810000,13.970000,13.680000,13.860000,205200
2015-01-26,13.880000,14.000000,13.740000,13.960000,183600
2015-01-27,14.320000,16.139999,14.190000,16.110001,1173400
2015-01-28,16.129999,17.209999,16.000000,16.730000,1242800
2015-01-29,16.730000,17.500000,16.590000,17.490000,754600
2015-01-30,17.270000,17.559999,17.000000,17.190001,598900
2015-02-02,17.200001,17.590000,16.969999,17.500000,501100
2015-02-03,17.549999,17.799999,17.309999,17.469999,381400
2015-02-04,17.420000,17.840000,17.299999,17.570000,404800
2015-02-05,16.910000,17.299999,16.540001,17.000000,617800
2015-02-06,16.990000,17.200001,16.719999,17.090000,416200
2015-02-09,17.030001,17.389999,16.770000,17.059999,236500
2015-02-10,17.230000,17.230000,16.790001,17.059999,277200
2015-02-11,17.080000,17.280001,16.910000,17.120001,157000
2015-02-12,17.240000,17.480000,17.040001,17.309999,140100
2015-02-13,17.340000,17.549999,17.219999,17.400000,190200
2015-02-17,17.350000,17.400000,17.080000,17.139999,163800
2015-02-18,17.150000,17.379999,17.000000,17.370001,235500
2015-02-19,17.280001,17.379999,17.170000,17.280001,102000
2015-02-20,17.299999,17.549999,17.170000,17.540001,353800
2015-02-23,17.540001,17.680000,17.280001,17.650000,293600
