date,open,high,low,close,volume
2015-01-02,4.512500,4.602500,4.512500,4.572500,4997600
2015-01-05,4.552500,4.573750,4.495000,4.527500,4297600
2015-01-06,4.543750,4.550000,4.430000,4.476250,3136000
2015-01-07,4.492500,4.508750,4.450000,4.490000,2844000
2015-01-08,4.515000,4.556250,4.503750,4.536250,4082400
2015-01-09,4.542500,4.552500,4.507500,4.515000,2492000
2015-01-12,4.510000,4.510000,4.440000,4.453750,2648800
2015-01-13,4.471250,4.530000,4.386250,4.440000,3860000
2015-01-14,4.398750,4.440000,4.366250,4.416250,2708000
2015-01-15,4.421250,4.473750,4.362500,4.376250,3461600
2015-01-16,4.371250,4.395000,4.317500,4.376250,5617600
2015-01-20,4.395000,4.407500,4.356250,4.375000,6724000
2015-01-21,4.373750,4.458750,4.357500,4.457500,5292800
2015-01-22,4.468750,4.580000,4.443750,4.567500,5408000
2015-01-23,4.563750,4.628750,4.561250,4.612500,4713600
2015-01-26,4.615000,4.655000,4.600000,4.652500,4591200
2015-01-27,4.616250,4.656250,4.588750,4.602500,3020000
2015-01-28,4.632500,4.637500,4.575000,4.585000,2897600
2015-01-29,4.586250,4.627500,4.547500,4.615000,2261600
2015-01-30,4.601250,4.625000,4.553750,4.575000,3110400
2015-02-02,4.602500,4.647500,4.537500,4.640000,4558400
2015-02-03,4.662500,4.725000,4.617500,4.725000,4912800
2015-02-04,4.697500,4.721250,4.640000,4.648750,1983200
2015-02-05,4.653750,4.707500,4.653750,4.686250,2177600
2015-02-06,4.686250,4.727500,4.668750,4.708750,2117600
2015-02-09,4.687500,4.735000,4.655000,4.710000,2660800
2015-02-10,4.748750,4.750000,4.681250,4.731250,1480800
2015-02-11,4.720000,4.736250,4.675000,4.728750,1665600
2015-02-12,4.743750,4.756250,4.707500,4.742500,2555200
2015-02-13,4.746250,4.771250,4.726250,4.771250,2011200
2015-02-17,4.761250,4.773750,4.727500,4.746250,4080800
2015-02-18,4.747500,4.757500,4.716250,4.755000,4458400
2015-02-19,4.746250,4.778750,4.722500,4.741250,2515200
2015-02-20,4.741250,4.757500,4.663750,4.750000,4108000
2015-02-23,4.730000,4.762500,4.680000,4.690000,4103200
2015-02-24,4.696250,4.773750,4.653750,4.700000,9504800
2015-02-25,4.523750,4.801250,4.510000,4.795000,5476000
2015-02-26,4.787500,4.812500,4.732500,4.740000,2580000
2015-02-27,4.726250,4.753750,4.673750,4.677500,2695200
2015-03-02,4.671250,4.763750,4.671250,4.761250,3231200
2015-03-03,4.761250,4.776250,4.723750,4.733750,2483200
2015-03-04,4.733750,4.733750,4.641250,4.658750,2060800
2015-03-05,4.655000,4.665000,4.622500,4.658750,1826400
2015-03-06,4.643750,4.673750,4.591250,4.652500,3721600
2015-03-09,4.666250,4.685000,4.643750,4.652500,3222400
2015-03-10,4.631250,4.700000,4.573750,4.585000,1774400
2015-03-11,4.606250,4.606250,4.537500,4.601250,3417600
2015-03-12,4.628750,4.678750,4.607500,4.665000,1908000
2015-03-13,4.672500,4.672500,4.598750,4.660000,2900000
2015-03-16,4.666250,4.722500,4.653750,4.716250,3184800
2015-03-17,4.706250,4.713750,4.662500,4.676250,3140800
2015-03-18,4.662500,4.692500,4.620000,4.668750,2436800
2015-03-19,4.668750,4.673750,4.628750,4.671250,2466400
2015-03-20,4.685000,4.732500,4.633750,4.725000,6712000
2015-03-23,4.728750,4.730000,4.683750,4.691250,2481600
2015-03-24,4.697500,4.703750,4.655000,4.682500,2005600
2015-03-25,4.682500,4.718750,4.575000,4.576250,2945600
2015-03-26,4.547500,4.616250,4.523750,4.593750,1988000
2015-03-27,4.595000,4.652500,4.582500,4.648750,1888000
2015-03-30,4.668750,4.697500,4.651250,4.687500,2624000
2015-03-31,4.672500,4.702500,4.643750,4.696250,4004800
2015-04-01,4.697500,4.712500,4.640000,4.693750,2594400
2015-04-02,4.703750,4.786250,4.685000,4.710000,2600000
2015-04-06,4.702500,4.768750,4.672500,4.765000,3344800
2015-04-07,4.771250,4.780000,4.721250,4.727500,1824000
2015-04-08,4.728750,4.765000,4.708750,4.760000,2404000
2015-04-09,4.758750,4.778750,4.717500,4.733750,2467200
2015-04-10,4.742500,4.760000,4.717500,4.732500,1804800
2015-04-13,4.731250,4.760000,4.700000,4.710000,1829600
2015-04-14,4.720000,4.720000,4.661250,4.700000,869600
2015-04-15,4.717500,4.773750,4.695000,4.726250,1656800
2015-04-16,4.731250,4.731250,4.678750,4.697500,1360800
2015-04-17,4.655000,4.737500,4.608750,4.625000,1467200
2015-04-20,4.660000,4.697500,4.637500,4.676250,1203200
2015-04-21,4.707500,4.707500,4.645000,4.668750,2537600
2015-04-22,4.688750,4.688750,4.620000,4.648750,2152000
2015-04-23,4.626250,4.672500,4.626250,4.667500,1132000
2015-04-24,4.676250,4.676250,4.636250,4.646250,1363200
2015-04-27,4.655000,4.711250,4.565000,4.581250,2927200
2015-04-28,4.498750,4.582500,4.498750,4.576250,4102400
2015-04-29,4.573750,4.576250,4.510000,4.533750,1877600
2015-04-30,4.502500,4.533750,4.435000,4.446250,4140800
2015-05-01,4.477500,4.516250,4.465000,4.471250,3019200
2015-05-04,4.488750,4.535000,4.488750,4.496250,2428800
2015-05-05,4.497500,4.512500,4.381250,4.395000,4120000
2015-05-06,4.386250,4.403750,4.348750,4.381250,5141600
2015-05-07,4.371250,4.417500,4.371250,4.388750,3836800
2015-05-08,4.432500,4.441250,4.378750,4.391250,3253600
2015-05-11,4.392500,4.423750,4.386250,4.390000,3620000
2015-05-12,4.375000,4.411250,4.343750,4.403750,3684000
2015-05-13,4.410000,4.432500,4.376250,4.378750,3967200
2015-05-14,4.413750,4.460000,4.368750,4.427500,4166400
2015-05-15,4.423750,4.451250,4.393750,4.413750,1701600
