date,open,high,low,close,volume
2015-01-02,68.316941,69.155375,67.839586,68.898338,5898800
2015-01-05,67.906898,68.053775,65.752680,66.144356,11758100
2015-01-06,66.015838,66.719627,65.165166,66.113754,11591600
2015-01-07,66.860412,67.154171,65.795543,66.058701,10353800
2015-01-08,66.823678,67.588672,66.462599,67.570312,8650800
2015-01-09,67.405065,67.454025,65.893438,66.223915,9584500
2015-01-12,65.771047,65.771047,64.602136,64.797974,8912300
2015-01-13,65.434455,65.887334,63.151718,63.769829,13277700
2015-01-14,63.157813,63.898331,62.319384,63.586212,14116900
2015-01-15,63.898339,64.222696,62.747787,62.833466,9664600
2015-01-16,62.711077,64.345101,62.711077,64.332863,12604600
2015-01-20,63.990146,65.226377,63.531150,65.159058,10406800
2015-01-21,65.354895,66.260644,65.085616,66.193329,8271000
2015-01-22,66.560538,66.780857,65.477305,66.658455,7471100
2015-01-23,66.230036,66.554392,65.318165,65.391602,7984400
2015-01-26,65.618049,66.921595,65.067253,66.633957,7670500
2015-01-27,66.162724,66.591118,65.868965,66.254524,6388700
2015-01-28,66.193302,66.199419,63.292446,63.469925,10526500
2015-01-29,63.794295,64.032972,62.215353,63.035423,13994400
2015-01-30,62.178629,63.206779,60.514003,62.747784,20584700
2015-02-02,63.635197,64.950982,63.017081,64.908142,11537600
2015-02-03,65.911780,67.386688,65.893421,67.031731,14266700
2015-02-04,66.395272,66.878748,65.722079,66.309593,10176000
2015-02-05,67.056230,67.386707,66.444235,66.897110,7533300
2015-02-06,67.111313,67.600906,66.774714,67.080711,7655500
2015-02-09,67.221471,68.237384,67.105195,67.582550,6403000
2015-02-10,67.637641,67.698845,66.150494,67.429565,7033700
2015-02-11,66.695150,67.429541,66.272872,67.307144,8662000
2015-02-12,68.153815,68.629683,67.869533,68.512260,6618000
2015-02-13,68.815087,69.735916,68.660585,69.698837,7494400
2015-02-17,69.408374,69.791540,68.920148,69.463997,7097300
2015-02-18,68.753285,69.000489,68.209441,68.252701,6920300
2015-02-19,66.868365,67.721218,66.275079,66.961067,9721100
2015-02-20,67.010495,67.282419,66.435748,67.115555,7610600
2015-02-23,66.614973,67.053758,66.343049,66.658234,6724000
2015-02-24,66.676802,66.893104,66.336896,66.720062,5708400
2015-02-25,66.818935,67.226818,66.596452,67.103218,4806500
2015-02-26,66.676796,66.695335,65.879566,66.163849,5903100
2015-02-27,66.448117,66.577903,65.861012,65.928993,6396500
2015-03-02,65.706499,65.718857,64.847470,65.446938,7343700
2015-03-03,65.434601,65.644725,64.773333,64.989639,6901200
2015-03-04,65.286280,65.286280,64.544673,64.989639,5784900
2015-03-05,64.896918,65.082317,64.476673,64.723877,5156900
2015-03-06,64.408708,64.594107,63.759798,63.994644,7213300
2015-03-09,64.025520,65.280073,63.963720,64.241821,7506200
2015-03-10,64.142973,64.612660,63.240683,63.599129,10679000
2015-03-11,63.976071,64.204735,63.314804,63.988434,8440700
2015-03-12,64.408691,64.587913,63.222118,63.296276,5900600
2015-03-13,62.937818,62.937818,62.208575,62.801861,8345200
2015-03-16,62.690625,63.821575,62.418701,63.735054,6780200
2015-03-17,63.222118,63.994627,63.098514,63.759781,7097500
2015-03-18,63.413714,66.052602,63.265393,65.941360,11059700
2015-03-19,64.952530,65.137934,64.674429,64.736229,7841900
2015-03-20,65.069971,66.287446,64.958729,66.145302,14064900
2015-03-23,66.441954,66.553195,65.459320,65.459320,6807700
2015-03-24,65.459320,65.626185,64.371631,64.396347,6677800
2015-03-25,64.680611,65.632337,64.476667,65.304794,9169400
2015-03-26,65.681781,65.830101,64.371609,65.045235,7276900
2015-03-27,64.884570,64.884570,64.068801,64.445786,5830300
2015-03-30,64.872218,66.256553,64.872218,66.064972,7172400
