date,open,high,low,close,volume
2015-01-02,43.557206,43.807614,43.148655,43.715355,1689900
2015-01-05,43.649460,43.794432,43.069578,43.300213,2465000
2015-01-06,43.326571,44.176630,43.280445,43.544029,3203600
2015-01-07,43.669229,44.374316,43.319982,44.189808,2173500
2015-01-08,44.321608,44.657673,44.196404,44.466579,2025600
2015-01-09,44.552234,44.578593,43.919634,44.235931,1355300
2015-01-12,44.334780,44.400675,43.787843,44.084377,1428000
2015-01-13,44.025070,44.657670,43.702181,43.998711,2535600
2015-01-14,43.721954,44.506117,43.623109,44.473167,2381600
2015-01-15,44.539062,45.165077,44.334786,45.053055,1800200
2015-01-16,45.204620,45.567050,45.151902,45.534100,1920600
2015-01-20,45.632939,46.160108,45.560453,46.120567,2597700
2015-01-21,46.034892,46.529111,45.718589,46.423676,2250000
2015-01-22,46.562080,46.753174,45.949247,46.160114,1990800
2015-01-23,46.324833,46.568645,46.206220,46.370960,1408900
2015-01-26,46.364374,46.410501,45.896513,46.397324,1444600
2015-01-27,46.377559,46.891552,46.305073,46.707039,1746500
2015-01-28,46.739978,47.609804,46.548879,46.687260,2404200
2015-01-29,46.647725,47.141944,46.225991,47.049690,2101500
2015-01-30,46.884958,46.937676,45.613166,45.652702,5384900
2015-02-02,45.652704,45.922879,44.973976,45.771317,2680800
2015-02-03,45.672464,45.784491,45.237554,45.461597,3078200
2015-02-04,45.362753,45.646106,44.861948,44.960793,2353300
2015-02-05,45.217781,45.408879,44.776274,45.342979,1488400
2015-02-06,45.105762,45.191430,43.853744,43.998711,4040800
2015-02-09,43.998711,44.262296,43.379293,43.517673,2852600
2015-02-10,43.445190,44.249121,43.438599,44.150276,2342000
2015-02-11,43.906449,43.952576,43.234313,43.451771,2989300
2015-02-12,43.497895,43.596740,43.069570,43.234310,3100100
2015-02-13,43.227652,43.287554,42.162768,42.542133,3402800
2015-02-17,42.409032,43.101207,42.062944,42.475586,3654800
2015-02-18,42.695230,43.633658,42.468942,43.533829,2326400
2015-02-19,43.560424,43.660258,42.841631,43.127819,2532900
2015-02-20,42.701865,43.121161,41.510522,42.428986,5134700
2015-02-23,42.635312,42.788392,42.255950,42.775078,2700800
2015-02-24,42.834992,43.926498,42.801712,43.433990,3250900
2015-02-25,43.500545,43.507202,42.395728,42.455627,1979300
2015-02-26,42.468941,42.661949,41.929842,41.969776,1832900
2015-02-27,41.989745,42.216033,41.790079,42.023022,1634900
2015-03-02,41.969768,41.976423,40.938159,41.144482,2562100
2015-03-03,41.151141,41.477260,40.811707,41.377426,1754700
2015-03-04,41.344142,41.344142,41.057954,41.177753,1261100
2015-03-05,41.324180,41.590402,41.137826,41.477257,1185200
2015-03-06,40.858294,40.858294,39.713542,39.919865,3635500
2015-03-09,39.933173,40.352472,39.933173,40.212704,1578000
2015-03-10,40.166117,40.638661,39.979763,39.986420,2520400
2015-03-11,40.092914,40.139503,39.607058,39.746826,2007700
2015-03-12,39.933177,41.037995,39.933177,40.864952,2768400
2015-03-13,40.851644,40.851644,40.112880,40.492245,2289300
2015-03-16,40.778431,41.390739,40.778431,41.077930,2598400
2015-03-17,41.124528,41.231017,40.625363,40.711884,1686200
2015-03-18,40.718524,41.710196,40.365782,41.324177,4258800
2015-03-19,41.131175,41.264286,40.405722,40.492245,3767800
2015-03-20,40.738500,41.117865,40.485591,40.911545,4196400
2015-03-23,40.911534,41.297553,40.825011,40.951466,1538300
2015-03-24,40.858291,41.197724,40.425683,40.518860,1730200
2015-03-25,40.612045,40.931510,40.305891,40.319202,2194600
2015-03-26,40.332509,40.552142,39.034682,39.134514,5895200
2015-03-27,39.560465,40.325852,39.533844,39.800064,4757200
2015-03-30,39.833344,40.512208,39.780101,40.458965,2895500
2015-03-31,40.458974,40.964793,40.319209,40.598740,2435000
2015-04-01,40.578755,40.878252,40.139491,40.698555,2218100
2015-04-02,40.645314,40.825014,40.478926,40.565449,1985700
2015-04-06,40.625348,41.237655,40.625348,40.964779,1602100
2015-04-07,40.931501,41.064612,40.285914,40.325848,1321200
2015-04-08,40.365788,40.465619,39.986423,40.332508,1567200
2015-04-09,40.272605,40.292573,39.873274,40.106216,1714800
2015-04-10,40.272617,40.725193,40.152820,40.505562,1155400
2015-04-13,40.538837,40.671948,40.206061,40.239338,861200
2015-04-14,40.339166,40.645320,40.265955,40.478931,942700
2015-04-15,40.472275,40.878260,40.392407,40.438995,1143700
2015-04-16,40.392404,40.618692,40.033007,40.538826,1756600
2015-04-17,40.419030,40.918195,40.345819,40.558796,2314600
2015-04-20,40.698564,41.443983,40.685253,41.131172,1591000
2015-04-21,41.131176,41.557130,40.731845,40.911545,1944100
2015-04-22,40.884923,41.144488,40.612047,41.024689,1867800
2015-04-23,40.978106,41.530517,40.884929,41.330849,1570100
2015-04-24,41.250970,41.949800,41.117858,41.597057,1416100
2015-04-27,41.690232,41.690232,40.904880,41.057957,1541600
2015-04-28,40.931505,41.450636,40.691906,41.443981,1751900
2015-04-29,41.184424,41.430678,40.904891,41.317535,1988800
2015-04-30,41.264278,41.264278,40.545480,40.964779,3625600
2015-05-01,40.944814,41.117856,40.671937,41.037991,2065700
2015-05-04,41.024695,41.623694,40.904895,41.330849,1791900
2015-05-05,41.157796,41.231007,40.319200,40.478931,2245300
2015-05-06,40.498891,40.705213,40.166115,40.665279,2780100
2015-05-07,40.678593,41.237657,40.585416,40.758461,2598600
2015-05-08,41.237662,41.450639,40.445655,40.651978,3377400
2015-05-11,40.618702,41.144490,40.558803,40.938168,3338300
2015-05-12,40.738496,40.871607,40.332508,40.685253,2521700
2015-05-13,40.811703,40.964780,39.953139,40.092907,2651500
2015-05-14,40.372437,40.738491,40.252637,40.665279,1842900
2015-05-15,40.805056,41.137833,40.658634,40.911545,2119200
2015-05-18,40.803907,41.294953,40.736641,41.066246,2494700
2015-05-19,40.884640,41.288242,40.709748,41.126801,1572100
