date,open,high,low,close,volume
2015-01-02,107.761219,108.680148,105.846788,106.748695,1181600
2015-01-05,105.761663,106.748655,104.536425,104.876770,1550000
2015-01-06,106.374300,108.007953,105.736156,106.306236,2117000
2015-01-07,106.476374,108.824744,106.476374,106.833733,1578500
2015-01-08,107.225124,112.143089,107.225124,111.930374,1967400
2015-01-09,112.092019,112.092019,110.381787,110.441353,1387200
2015-01-12,110.985933,111.173123,109.071502,109.616051,1229700
2015-01-13,110.713637,111.879321,109.675589,110.849777,1194800
2015-01-14,109.488384,112.993927,108.782177,112.151573,3216700
2015-01-15,112.313255,114.806263,112.262206,114.091545,1964400
2015-01-16,113.802270,115.937919,113.317275,115.725204,2317500
2015-01-20,116.516489,117.197178,115.572036,116.678154,2269100
2015-01-21,116.448441,119.571089,116.286776,118.847855,2536700
2015-01-22,119.749789,121.996054,118.711741,121.553604,2329600
2015-01-23,121.247295,122.225777,119.494530,119.775314,1794300
2015-01-26,119.630638,119.630638,117.426906,118.014000,2513100
2015-01-27,117.520551,118.243786,116.644168,117.231262,2393200
2015-01-28,117.597100,118.507512,113.189649,113.657623,3475900
2015-01-29,114.542512,116.882371,113.810773,116.652649,1950400
2015-01-30,115.214709,116.907908,114.134115,114.831825,2246200
2015-02-02,114.831795,115.367826,113.113058,115.291252,1819000
2015-02-03,115.784772,116.771770,115.291273,116.533531,1709700
2015-02-04,116.133612,117.988477,115.206167,117.120598,1674500
2015-02-05,115.291302,117.733261,115.206211,116.763283,2314600
2015-02-06,116.525003,116.763242,114.942407,115.452927,2244600
2015-02-09,114.687161,115.452941,114.338319,114.763748,1744400
2015-02-10,116.040024,118.303297,115.384860,118.048050,2100200
2015-02-11,117.928915,120.583587,117.894873,120.387894,2104400
2015-02-12,121.298355,121.298355,119.783828,120.821877,1515800
2015-02-13,120.285810,120.600636,119.698716,120.013542,1446300
2015-02-17,119.596611,120.770799,119.120132,120.617638,1091000
2015-02-18,120.617660,121.477035,120.005041,120.685730,1300000
2015-02-19,120.813344,121.587615,120.558084,121.374901,1191700
2015-02-20,120.719711,123.153164,120.651640,123.025528,1622100
2015-02-23,123.799862,125.484558,123.629693,125.373955,2218800
2015-02-24,125.373951,126.573651,125.076145,125.314384,1998200
2015-02-25,125.501567,125.926996,124.701758,125.050613,1228600
2015-02-26,124.761347,125.365449,124.420996,124.837921,1129300
2015-02-27,124.837874,125.441976,124.429466,124.608139,1523500
2015-03-02,124.608163,125.680252,124.480539,125.016571,1339100
2015-03-03,124.276358,125.135733,123.051120,124.216805,1478900
2015-03-04,123.187238,125.331404,122.693738,124.693260,1847900
2015-03-05,124.650673,125.671700,124.446463,124.948479,1175700
2015-03-06,124.004265,125.499631,123.816275,124.038452,1494000
2015-03-09,124.038444,125.550890,123.927355,125.397087,970700
2015-03-10,124.183690,124.662205,123.286469,123.286469,1495300
2015-03-11,124.200848,124.636635,123.286532,123.371986,1245600
2015-03-12,124.140964,126.089211,124.004242,126.003769,1836600
2015-03-13,125.465467,128.199848,125.098028,128.182755,2124500
2015-03-16,128.242548,132.309937,128.242548,130.951294,2959300
2015-03-17,130.438620,131.216213,130.216456,130.994049,2678700
2015-03-18,130.763384,134.993132,130.763384,134.488983,2275200
2015-03-19,134.822214,135.095658,133.651560,134.429153,2341900
2015-03-20,135.651059,137.266054,134.796564,135.334900,2497600
2015-03-23,135.181130,135.762194,134.189913,134.642807,1570400
2015-03-24,134.027570,135.258032,134.027570,134.668442,1611300
2015-03-25,136.326105,136.326105,131.925462,131.951096,1457800
2015-03-26,131.745978,131.951061,130.430062,130.583878,1966800
2015-03-27,131.703273,134.651277,131.703273,133.531891,1548700
2015-03-30,134.420603,135.394726,133.762638,134.027542,1430300
2015-03-31,133.138854,133.984808,131.857111,131.942566,1466000
2015-04-01,131.660581,131.925472,130.336111,131.583679,1595400
2015-04-02,131.745999,132.515052,131.199123,131.549469,1628400
2015-04-06,130.652292,133.361053,130.652292,132.814163,1373000
2015-04-07,133.899322,134.634188,132.309961,132.609039,1199900
2015-04-08,132.446703,133.284104,131.609301,132.139084,880000
2015-04-09,131.908334,132.207412,130.515516,131.156387,1248300
2015-04-10,131.694731,131.822913,130.712067,131.523834,1370200
