date,open,high,low,close,volume
2015-01-02,38.745159,39.009089,38.606593,38.890320,837900
2015-01-05,38.877116,39.939441,38.857322,39.748093,1206000
2015-01-06,39.939450,40.632273,39.886665,40.612476,1663900
2015-01-07,40.863211,41.404270,40.381536,41.199722,1218100
2015-01-08,41.272310,41.892551,41.245916,41.819969,983600
2015-01-09,41.734187,42.037708,41.404273,41.661606,658600
2015-01-12,41.701183,42.314822,41.687987,42.255440,651000
2015-01-13,42.420405,42.572163,42.011309,42.301636,559600
2015-01-14,42.202650,42.756909,41.998105,42.743710,791400
2015-01-15,42.921886,43.185814,42.473202,43.166019,760200
2015-01-16,43.139623,44.076584,42.908684,44.010597,946400
2015-01-20,44.195327,44.386673,43.588281,43.733444,910400
2015-01-21,43.647686,43.806044,43.271584,43.641087,611900
2015-01-22,43.720262,44.267917,43.621287,44.175541,1142100
2015-01-23,44.347117,44.505475,43.799458,43.878639,761500
2015-01-26,43.575097,44.036975,43.363952,44.030380,1228900
2015-01-27,43.792847,44.208537,43.726860,44.116161,643700
2015-01-28,44.360310,44.874975,44.274529,44.360310,1030300
2015-01-29,44.380098,44.505462,44.010590,44.465874,480300
2015-01-30,44.399890,44.591241,43.522316,43.548710,717200
2015-02-02,43.548718,43.720275,42.446805,43.647694,1303800
2015-02-03,43.522321,44.017193,42.961467,43.990799,790700
2015-02-04,43.918217,44.142562,43.495927,43.990799,579600
2015-02-05,44.102966,44.921157,43.924814,44.848576,532500
2015-02-06,44.657212,44.861758,43.304561,43.660870,1136900
2015-02-09,43.674068,43.852219,43.165997,43.185791,820700
2015-02-10,43.403549,43.410148,42.605156,43.034046,1024300
2015-02-11,43.093426,43.291377,42.671136,42.816299,443500
2015-02-12,42.935074,43.449740,42.862492,43.317776,984600
2015-02-13,43.344179,43.436554,42.750332,43.106640,590200
2015-02-17,43.093429,43.370561,42.512782,42.690933,655300
2015-02-18,42.723913,43.278167,42.347811,43.185791,566700
