date,open,high,low,close,volume
2015-01-02,45.907492,47.023643,44.906015,45.815754,1023200
2015-01-05,45.257678,45.555828,42.711932,43.789860,1421500
2015-01-06,43.361758,44.485553,42.452015,43.858673,1394500
2015-01-07,44.646085,45.892197,43.713409,44.531410,1197000
2015-01-08,44.906012,46.886035,44.118587,46.702557,1217300
2015-01-09,46.832524,47.696396,45.930431,47.275928,858200
2015-01-12,46.381471,46.870746,44.179749,45.464088,1168200
2015-01-13,45.899848,47.084804,45.425864,46.817234,927900
2015-01-14,47.008359,50.456198,46.863104,49.921059,2873500
2015-01-15,50.800221,51.450040,48.376795,48.506760,2094200
2015-01-16,49.080107,51.006619,48.927212,50.173325,2162800
2015-01-20,49.194796,50.295660,47.329446,48.017487,1837700
2015-01-21,47.375314,52.673215,47.031294,52.397999,2502400
2015-01-22,52.703775,53.139533,51.342988,51.969868,1611900
2015-01-23,51.648788,52.879613,50.670244,51.220676,1035200
2015-01-26,51.258898,52.726713,50.578505,52.375050,1585300
2015-01-27,51.740522,54.148659,51.625847,52.726711,1336600
2015-01-28,52.061620,52.405643,49.951632,50.517357,1225500
2015-01-29,50.976035,52.489723,49.087750,52.474430,1136500
2015-01-30,51.656437,54.018707,51.021911,52.742008,1544700
2015-02-02,53.307736,55.043120,51.985169,53.315376,1456100
2015-02-03,54.530910,55.662349,52.558531,53.269505,1676800
2015-02-04,52.497361,53.177754,50.914872,51.320049,1019400
2015-02-05,52.336837,53.093678,51.434741,52.795528,1056800
2015-02-06,53.368889,54.324499,52.726722,54.148670,1270600
2015-02-09,54.316847,55.134848,53.575293,53.613514,983900
2015-02-10,53.835229,53.858163,51.656440,53.055454,1084400
2015-02-11,51.748185,52.657922,50.112182,52.581474,1473300
2015-02-12,53.452971,56.113390,53.414750,55.784660,1622200
2015-02-13,56.954335,57.550635,55.509454,56.159267,1238200
2015-02-17,55.570634,56.717366,55.241904,56.243382,1456200
2015-02-18,54.546199,57.932880,54.485038,56.419197,1725400
2015-02-19,55.249531,58.812047,54.469756,57.994045,1322800
2015-02-20,58.124001,58.720300,56.854954,57.405380,1241700
2015-02-23,56.197496,57.489476,55.318334,56.847309,1056400
2015-02-24,57.397735,57.596498,55.715859,56.633247,755300
2015-02-25,57.191329,58.146939,56.228079,57.306004,1075600
2015-02-26,56.862610,57.015511,55.295413,55.937580,856900
2015-02-27,56.373324,56.373324,54.163955,54.439171,931300
2015-03-02,54.194525,55.249516,53.315364,54.263332,1051300
2015-03-03,54.454462,55.043115,53.881096,54.806126,1694900
2015-03-04,55.723502,56.243354,54.286267,54.897854,1532600
2015-03-05,54.584433,55.234246,54.064581,54.416245,1059400
2015-03-06,53.651744,54.546193,53.185406,53.407108,740700
2015-03-09,53.475907,54.584418,53.055443,53.215984,983800
2015-03-10,52.527955,53.667040,52.046330,52.053970,859000
2015-03-11,52.229802,53.850518,51.985166,53.552368,817700
2015-03-12,54.194538,54.653230,53.422404,53.468277,738300
2015-03-13,52.711426,53.368886,51.618208,53.269505,1105200
2015-03-16,52.742014,53.514149,51.824631,53.514149,662300
2015-03-17,53.812302,54.660884,53.147196,53.873463,856100
