date,open,high,low,close,volume
2015-01-02,44.720001,45.340000,43.720001,44.549999,1873800
2015-01-05,43.880001,43.980000,41.509998,41.830002,3668000
2015-01-06,42.009998,42.009998,39.880001,40.860001,3712200
2015-01-07,42.000000,42.470001,41.400002,41.750000,2869800
2015-01-08,42.389999,43.680000,42.029999,43.630001,3205400
2015-01-09,43.910000,44.439999,42.830002,44.200001,1965600
2015-01-12,43.810001,43.889999,42.150002,42.830002,2358900
2015-01-13,43.200001,44.490002,42.330002,42.709999,2455100
2015-01-14,42.040001,42.820000,41.389999,42.279999,2131100
2015-01-15,42.750000,43.090000,40.119999,40.160000,2499000
2015-01-16,40.180000,41.060001,39.810001,40.720001,2787600
2015-01-20,40.669998,40.720001,39.180000,39.830002,2071000
2015-01-21,39.770000,41.900002,39.689999,41.400002,2434700
2015-01-22,41.740002,42.000000,40.570000,41.900002,1740300
2015-01-23,41.740002,43.099998,41.500000,42.540001,1797400
2015-01-26,42.349998,44.380001,42.029999,44.169998,1745100
2015-01-27,43.299999,44.040001,42.689999,43.720001,1915900
2015-01-28,43.660000,44.480000,42.529999,42.700001,2192600
2015-01-29,42.880001,42.990002,41.150002,42.360001,1604800
2015-01-30,41.919998,43.220001,41.820000,42.320000,1944500
2015-02-02,42.680000,45.639999,42.590000,45.480000,3311200
2015-02-03,46.189999,48.619999,46.150002,48.160000,4290400
2015-02-04,47.459999,47.950001,46.220001,46.980000,2236800
2015-02-05,47.240002,47.650002,46.290001,46.900002,1766500
2015-02-06,46.990002,47.869999,46.750000,46.900002,1406800
2015-02-09,46.779999,47.680000,46.060001,46.330002,2359600
2015-02-10,46.700001,48.689999,44.619999,48.540001,9140400
2015-02-11,49.849998,50.290001,48.119999,48.770000,12070000
2015-02-12,49.270000,49.849998,48.709999,49.419998,3267500
2015-02-13,49.639999,49.990002,48.619999,48.840000,2695900
2015-02-17,49.160000,49.849998,48.330002,49.619999,2467800
2015-02-18,49.599998,50.790001,48.590000,48.840000,3780900
2015-02-19,48.070000,48.980000,47.349998,48.410000,1971700
2015-02-20,48.660000,49.619999,48.200001,49.020000,2091000
2015-02-23,49.049999,49.970001,48.500000,49.639999,3228100
2015-02-24,56.840000,57.889999,54.630001,54.700001,18453700
2015-02-25,56.150002,59.240002,56.119999,58.540001,15704700
