date,open,high,low,close,volume
2015-01-02,103.575162,104.065656,101.654080,102.430687,8538620
2015-01-05,102.226308,102.226308,100.223477,100.550468,8770735
2015-01-06,99.978232,100.427848,97.811906,98.384140,13304295
2015-01-07,98.956398,99.692134,98.016288,98.425034,9106535
2015-01-08,99.405986,99.651230,98.629379,99.610359,9019294
2015-01-09,100.223495,100.264365,97.893666,98.220657,9000055
2015-01-12,98.384165,98.670285,97.157941,98.016296,8945573
2015-01-13,99.160764,99.446878,96.585686,97.525795,8591202
2015-01-14,96.667421,97.484905,95.686441,97.198792,8732675
2015-01-15,97.525824,97.975440,96.299600,96.381348,6568703
2015-01-16,96.095227,96.667462,95.849984,96.422218,10390099
2015-01-20,97.444038,97.566657,96.258686,97.484909,9298421
2015-01-21,97.403182,98.425039,96.912695,98.261543,7849930
2015-01-22,99.324263,99.569507,97.934538,99.242516,9834098
2015-01-23,99.855632,101.735845,99.283391,100.060005,13299850
2015-01-26,101.040976,101.122724,99.732998,100.509605,8174317
2015-01-27,99.692107,99.978221,98.915493,99.651230,8012228
2015-01-28,100.019133,100.100881,97.321436,97.444061,10360866
2015-01-29,97.444053,98.915520,97.198810,98.425034,8437544
2015-01-30,97.607529,98.547631,97.362285,97.648399,11416362
2015-02-02,98.098036,98.997269,97.689297,98.956398,8263540
2015-02-03,99.283398,100.264378,99.160779,100.019135,7871527
2015-02-04,99.773902,99.855650,98.425053,98.752045,6935093
2015-02-05,99.119927,100.141785,99.079050,100.141785,5351640
2015-02-06,100.305259,101.163614,100.019138,100.223511,5732365
2015-02-09,100.019137,101.163613,99.937389,100.713997,5693136
2015-02-10,101.245344,101.367969,100.346111,101.040977,5649693
2015-02-11,101.000103,101.449719,100.550487,101.245346,5102894
2015-02-12,101.408865,102.144602,101.000126,101.735863,5534199
2015-02-13,102.144572,102.880309,101.940206,102.798561,6901749
2015-02-17,102.675937,103.043806,102.103703,102.880310,7509644
2015-02-18,103.370823,103.370823,102.798582,103.207321,6414440
2015-02-19,103.248568,103.991068,102.918571,103.166069,6934446
2015-02-20,102.629818,104.032319,102.299821,103.991066,8323489
2015-02-23,104.032286,104.362283,103.537284,103.826035,6421471
2015-02-24,103.619831,104.981079,103.496086,104.733582,8860648
2015-02-25,104.981051,107.497296,104.939805,106.878548,14234844
2015-02-26,107.002310,107.291061,106.466062,106.796059,7980741
2015-02-27,106.548556,108.363554,106.218559,107.208557,10752733
2015-03-02,106.754800,107.744798,106.631048,107.703545,6762530
2015-03-03,107.456056,107.579809,106.342306,106.672310,6373020
2015-03-04,106.259825,106.301078,105.063575,105.847328,6581995
2015-03-05,105.682309,106.507301,105.517303,106.507301,5920536
2015-03-06,106.053573,106.342324,104.486080,104.857330,6737031
2015-03-09,105.269799,106.012299,105.146047,105.764801,6591865
2015-03-10,105.187282,105.764784,103.826035,103.826035,7812747
2015-03-11,104.279842,105.146088,103.702341,103.908592,7553171
2015-03-12,104.238546,104.816041,103.826043,104.774788,6128301
2015-03-13,104.279800,104.609797,102.341051,103.289803,9453853
2015-03-16,103.372318,105.104816,102.959822,104.981064,7221878
2015-03-17,104.362319,104.733569,103.496073,104.403572,7148555
2015-03-18,103.867305,106.631047,103.578554,105.764801,7992342
2015-03-19,104.939810,105.641058,104.197310,104.486061,7994846
2015-03-20,104.527290,105.311043,104.362292,104.774788,10565104
2015-03-23,105.104829,106.177326,104.981076,105.063576,6673953
2015-03-24,104.692314,105.104817,104.238571,104.238571,5383753
2015-03-25,104.073558,104.486061,102.753563,102.753563,7281764
2015-03-26,102.299812,102.794815,101.763564,102.299812,6782436
2015-03-27,102.794807,102.794807,101.928554,102.547302,5909436
2015-03-30,103.042325,103.949823,103.001072,103.619820,5692594
2015-03-31,103.496075,103.496075,102.341072,102.341072,7290841
2015-04-01,101.969795,102.794794,101.351040,102.464790,8085552
2015-04-02,102.341064,103.124817,101.887315,102.877319,6095667
2015-04-06,102.712307,104.816055,102.258557,103.867310,6978724
2015-04-07,103.826069,104.279818,103.124822,103.207321,4436490
2015-04-08,103.331068,103.619818,102.588574,103.166069,4682210
2015-04-09,103.496059,106.548551,102.794811,106.136055,12551004
2015-04-10,111.911026,118.304755,111.374778,117.603508,73595516
2015-04-13,115.747322,116.283571,113.437315,113.973564,32130811
2015-04-14,113.354833,114.839834,112.942330,114.386078,11638587
2015-04-15,114.221029,114.881023,113.148532,113.272278,11772736
2015-04-16,112.653529,113.437268,112.117280,112.529770,13012815
2015-04-17,113.024806,114.262302,111.044810,112.406052,18319384
2015-04-20,112.694763,113.189772,111.416028,111.457268,12871738
2015-04-21,111.498565,111.622311,109.518569,109.807320,16040335
2015-04-22,110.137318,111.457313,109.724822,111.003571,9818824
2015-04-23,110.467314,111.663556,110.178556,110.756058,7963756
2015-04-24,110.879807,111.127299,110.137301,110.549797,5782861
2015-04-27,111.209819,111.374818,110.591064,110.879822,7557261
2015-04-28,111.168557,112.034803,109.889808,111.869804,8018175
2015-04-29,111.168546,112.406042,110.962295,111.746048,7752631
2015-04-30,111.622267,112.818523,111.251017,111.704773,8969340
2015-05-01,111.746035,112.694774,111.333533,112.653534,5905826
