date,open,high,low,close,volume
2015-01-02,26.163278,26.275053,25.920445,25.955559,28951268
2015-01-05,25.878903,25.931822,25.374442,25.414501,41196796
2015-01-06,25.470385,25.528497,24.780460,24.825464,57998800
2015-01-07,25.074730,25.086798,24.711221,24.782934,41301082
2015-01-08,24.629123,24.900642,24.283418,24.861076,67071641
2015-01-09,24.963948,24.971860,24.470861,24.539112,41427428
2015-01-12,24.478276,24.529514,24.113282,24.360073,46535413
2015-01-13,24.671163,24.875914,24.352165,24.539608,47409807
2015-01-14,24.463934,24.888274,24.382329,24.771557,44714427
2015-01-15,25.004008,25.009449,24.617748,24.817060,54316718
2015-01-16,24.729023,25.133582,24.728527,25.128141,45965854
2015-01-20,25.272559,25.346742,25.026064,25.069784,44640224
2015-01-21,25.087093,25.682062,25.035163,25.620735,45374234
2015-01-22,25.790869,26.525307,25.702837,26.429359,53538588
2015-01-23,26.488707,26.814133,26.360612,26.704338,45634948
2015-01-26,26.634112,26.657357,26.195924,26.469913,30874534
2015-01-27,26.210760,26.246865,25.628156,25.649918,38080263
2015-01-28,25.855162,25.865548,25.223101,25.223101,33676205
2015-01-29,25.272559,25.277009,24.787880,25.255743,83727244
2015-01-30,25.512921,26.700384,25.496105,26.435789,112127002
2015-02-02,26.297802,26.360612,25.645958,26.137068,56996054
2015-02-03,26.113331,26.380399,25.878904,26.174658,40773638
2015-02-04,26.174655,26.344393,25.780484,25.854174,33273101
2015-02-05,25.905115,26.138058,25.821037,26.092556,36995292
2015-02-06,26.095526,26.568335,26.034693,26.261702,35270570
2015-02-09,26.113327,26.311156,26.015402,26.104919,25355423
2015-02-10,26.177621,26.593062,26.059914,26.555473,34997823
2015-02-11,26.474365,26.630156,26.379308,26.507502,27555446
2015-02-12,26.570809,26.945197,26.443357,26.851723,32404724
2015-02-13,26.872497,27.196935,26.861616,27.152424,38006060
2015-02-17,27.044606,27.201385,26.760722,26.847273,32336537
2015-02-18,26.776058,26.978337,26.583668,26.691980,29061570
2015-02-19,26.609879,26.860626,26.608396,26.848757,19782163
2015-02-20,26.861613,26.892277,26.499091,26.654882,28887092
2015-02-23,26.511457,26.530697,26.183062,26.306705,29157834
2015-02-24,26.212241,26.548056,26.125692,26.513435,20101036
2015-02-25,26.504039,27.014436,26.481536,26.898212,36519991
2015-02-26,26.865574,27.505054,26.781002,27.472410,46230579
2015-02-27,27.411081,27.928895,27.344806,27.616821,48203982
2015-03-02,27.722167,28.296857,27.634133,28.256798,42592618
2015-03-03,28.212780,28.457097,28.018413,28.370548,34095352
2015-03-04,28.283009,28.542164,28.092106,28.357195,37536775
2015-03-05,28.438797,28.581729,28.359172,28.454130,27792094
2015-03-06,28.431874,28.520897,28.030283,28.076031,33182854
2015-03-09,28.035228,28.203878,27.870786,28.133650,21242161
2015-03-10,27.906149,27.935822,27.435317,27.449165,35846146
