date,open,high,low,close,volume
2015-01-02,6.807044,6.807044,6.685031,6.742826,6410200
2015-01-05,6.717137,6.729980,6.543750,6.543750,7511800
2015-01-06,6.543751,6.582281,6.331833,6.370364,11543200
2015-01-07,6.441003,6.511643,6.383207,6.453847,13178300
2015-01-08,6.505220,6.614390,6.492377,6.601546,11257800
2015-01-09,6.537329,6.607968,6.389629,6.415316,10312700
2015-01-12,6.421740,6.447427,6.351101,6.428162,11017200
2015-01-13,6.485955,6.588703,6.351098,6.408894,15076700
2015-01-14,6.344677,6.351099,6.196977,6.325412,14271100
2015-01-15,6.293303,6.331833,6.196976,6.235507,10945200
2015-01-16,6.203399,6.376786,6.184134,6.370364,10062200
2015-01-20,6.383205,6.389627,6.235506,6.274036,8346700
2015-01-21,6.274037,6.344676,6.229084,6.267615,13969700
2015-01-22,6.299724,6.537328,6.241928,6.518063,12438800
2015-01-23,6.511643,6.550173,6.402473,6.447425,10773900
2015-01-26,6.460269,6.543751,6.441003,6.530908,7661500
2015-01-27,6.447424,6.511641,6.396050,6.441002,11043900
2015-01-28,6.492375,6.518062,6.267615,6.274036,10053000
2015-01-29,6.306147,6.473113,6.274039,6.473113,15199600
2015-01-30,6.376786,6.492376,6.351099,6.434581,12693500
2015-02-02,6.479535,6.614392,6.408896,6.595127,12822900
2015-02-03,6.614391,6.729982,6.601547,6.659343,13757400
2015-02-04,6.646500,6.646500,6.524487,6.563017,15902300
2015-02-05,6.582281,6.646499,6.569437,6.620812,13630700
2015-02-06,6.691453,6.774936,6.659344,6.685031,12621200
2015-02-09,6.640078,6.717139,6.595126,6.659343,6814800
2015-02-10,6.717136,6.813462,6.704292,6.807041,9093900
2015-02-11,6.787778,6.800622,6.717140,6.742826,7197900
2015-02-12,6.787777,6.877682,6.736403,6.877682,8227900
2015-02-13,6.877680,6.903367,6.813462,6.864836,4351400
2015-02-17,6.832731,6.903369,6.807044,6.871261,4669100
2015-02-18,6.858414,6.903366,6.819884,6.826305,5515000
2015-02-19,6.819887,6.884104,6.742826,6.832730,6359100
2015-02-20,6.800619,6.890523,6.749245,6.884102,6921200
