date,open,high,low,close,volume
2015-01-02,79.124856,79.322038,78.063082,78.654640,786500
2015-01-05,78.229918,78.874565,77.736951,78.100990,857800
2015-01-06,78.381630,79.102123,78.040348,78.358879,1241200
2015-01-07,79.026244,80.004593,78.745637,79.739151,1020600
2015-01-08,80.338306,81.529009,80.019776,81.278732,1245800
2015-01-09,81.377377,81.392543,80.543121,80.702393,748300
2015-01-12,80.732689,80.937463,79.883274,79.959114,1123400
2015-01-13,80.725113,81.233246,80.406576,80.899544,1414400
2015-01-14,80.611335,81.286319,80.497572,81.164970,1499500
2015-01-15,81.786872,82.750055,81.589689,82.257088,1516400
2015-01-16,82.636261,83.993814,82.598344,83.925560,2532200
2015-01-20,84.183450,84.448892,83.015499,83.713234,1148700
2015-01-21,82.636288,83.713227,82.446685,83.576714,1320600
2015-01-22,83.690462,84.175844,82.863799,84.016579,1151900
2015-01-23,82.461882,82.909341,82.022003,82.378456,1556900
2015-01-26,82.340493,82.969974,82.029548,82.916885,808500
2015-01-27,81.081537,83.258168,81.081537,82.803123,1071400
2015-01-28,82.803141,83.591888,81.445588,81.665527,1431300
2015-01-29,77.297097,78.427132,74.877775,78.336121,6049800
2015-01-30,77.615620,78.540880,77.206084,77.517029,3111800
2015-02-02,77.357776,78.995943,77.024073,78.920097,1624700
2015-02-03,79.026244,79.466123,78.654625,79.405449,1264300
2015-02-04,79.299293,80.755444,79.299293,80.163879,1555400
2015-02-05,80.338287,80.649232,79.701221,80.247276,886600
2015-02-06,80.057717,80.702370,79.777109,80.034966,1106800
2015-02-09,79.663337,80.368658,79.488901,79.595078,879500
2015-02-10,80.095639,80.558270,79.625423,80.300407,793700
2015-02-11,80.444477,80.732671,79.625394,80.520317,781400
2015-02-12,80.361070,80.899540,79.921191,80.891960,1043600
2015-02-13,80.459651,80.778188,80.179043,80.406563,1122100
2015-02-17,80.307979,80.626510,79.632995,80.323151,1105100
2015-02-18,80.323137,81.149800,80.027352,81.111877,1267100
2015-02-19,81.127066,81.384923,79.951529,80.353485,1447900
2015-02-20,80.421744,81.582109,79.981865,81.331833,1483700
2015-02-23,80.863068,81.160336,80.184700,80.771606,1141300
2015-02-24,80.459085,80.840191,79.757851,80.596283,1233300
2015-02-25,80.413347,80.664878,79.391986,79.521561,1428500
2015-02-26,79.681653,79.681653,78.789866,78.988037,1768000
2015-02-27,79.003286,79.513966,78.827974,79.102371,1100600
2015-03-02,79.102377,79.422505,78.012413,78.248703,1124400
2015-03-03,78.225821,78.431621,77.745629,78.164848,769800
2015-03-04,77.821835,77.989523,77.021516,77.387375,832500
2015-03-05,77.677028,78.187709,77.509341,78.012398,891300
2015-03-06,77.547434,77.646526,75.680018,75.954414,1266000
2015-03-09,75.954424,76.747125,75.954424,76.228821,1447100
2015-03-10,75.908706,76.007798,75.085522,75.093140,1406900
2015-03-11,75.390367,75.786714,74.902546,75.550430,1311400
2015-03-12,75.779125,76.808110,75.565707,76.678535,998600
2015-03-13,76.640409,76.800473,75.535198,76.129723,783500
2015-03-16,76.305058,76.922447,76.213590,76.876717,739900
2015-03-17,76.571814,76.769990,75.969665,76.274551,709500
2015-03-18,76.167835,77.410239,75.237936,77.067245,1075800
2015-03-19,76.770001,77.212086,76.320293,76.640427,650200
2015-03-20,77.143472,78.042883,76.907188,77.814217,1011700
2015-03-23,78.012416,78.157238,77.433133,77.585579,554600
2015-03-24,77.699901,78.279178,76.655668,76.686157,723500
2015-03-25,77.128225,78.500203,76.800473,77.509331,1851000
2015-03-26,77.455978,77.859949,76.869071,76.991028,892200
2015-03-27,76.945315,77.776130,76.853854,77.661797,649000
2015-03-30,77.875188,78.256293,77.250174,78.073364,585200
2015-03-31,77.936187,78.294427,76.914825,76.914825,843700
2015-04-01,76.327938,76.899597,75.748655,76.899597,1016400
2015-04-02,76.678514,77.280662,76.244053,76.792847,643000
2015-04-06,76.724262,77.821843,76.670902,77.364517,1151200
2015-04-07,77.486467,78.172453,77.448354,77.547440,675300
2015-04-08,77.524570,77.699882,76.289785,76.648026,846800
2015-04-09,76.564190,76.968168,76.144977,76.785233,694400
2015-04-10,76.785249,77.105383,76.228838,76.289810,853600
2015-04-13,76.373659,76.670921,75.634318,75.809624,1147100
2015-04-14,75.741010,77.257810,75.718139,76.983414,905100
2015-04-15,77.265415,77.638897,76.648019,76.716621,1138100
2015-04-16,76.922414,77.722739,76.587045,77.303520,651800
2015-04-17,76.533709,77.135852,76.076378,76.426994,1093300
2015-04-20,76.205968,76.282188,74.742517,74.856850,2130900
2015-04-21,74.925453,75.458999,74.643432,74.712029,1232500
2015-04-22,74.742495,75.070246,74.498588,74.948296,1568600
2015-04-23,73.058030,74.330923,71.510740,72.356796,3400100
2015-04-24,72.524459,72.600679,71.731758,72.128105,1713700
2015-04-27,72.158618,72.242462,71.022924,71.426895,2046800
2015-04-28,71.579345,71.579345,71.038169,71.160126,1648600
2015-04-29,71.122013,71.221105,69.551858,69.643326,3189200
2015-04-30,69.650905,70.329273,69.460352,70.062500,2093800
2015-05-01,70.359756,71.617407,70.359756,71.343010,2225700
2015-05-04,71.548842,72.143366,71.548842,71.830856,1361900
2015-05-05,71.830868,72.128130,71.099145,71.564095,1315000
2015-05-06,71.762255,71.929942,71.205837,71.800362,1179800
2015-05-07,71.533601,72.044282,71.297317,71.929955,882400
2015-05-08,72.051896,72.532093,71.914697,71.983299,1055500
2015-05-11,71.922348,72.112901,71.358313,71.594597,1076000
2015-05-12,71.442139,72.128125,71.274452,71.929955,784000
2015-05-13,72.029012,72.676891,71.739373,71.876572,823900
2015-05-14,72.379633,73.370511,72.189080,73.263802,1610200
2015-05-15,73.187583,73.477227,72.997030,73.309540,708000
2015-05-18,73.126619,73.172350,72.600691,72.608315,696400
2015-05-19,72.585451,72.707402,72.051899,72.600693,1019500
2015-05-20,72.669301,72.951322,72.372039,72.471130,1219100
2015-05-21,72.520926,72.865860,72.045678,72.099335,997900
2015-05-22,72.229663,72.436623,71.555118,71.693092,753100
2015-05-26,71.723731,71.969018,70.911216,71.286812,755400
2015-05-27,71.440137,71.754415,71.141193,71.647102,885600
2015-05-28,71.332823,71.708424,71.148858,71.585777,613900
2015-05-29,71.670095,71.754413,71.179520,71.179520,1015800
2015-06-01,71.225508,71.463135,70.865240,71.079872,695900
2015-06-02,70.895905,71.079876,70.604628,70.926567,570300
2015-06-03,70.742620,70.934251,70.037418,70.290367,1516800
2015-06-04,69.960747,70.558641,69.907090,69.960747,1076400
2015-06-05,69.899432,70.014406,69.592821,69.654144,1371300
2015-06-08,69.753785,70.466654,69.531492,70.190704,964800
2015-06-09,70.083414,70.190727,69.738480,69.807465,857200
2015-06-10,70.006733,70.443652,69.807435,69.838097,931400
2015-06-11,69.845789,70.037420,69.439526,69.569839,895000
2015-06-12,69.462523,70.152391,69.201901,69.784462,1420800
2015-06-15,69.508494,70.114050,69.194216,69.646469,712900
2015-06-16,69.615811,71.018553,69.592816,70.596962,1075900
2015-06-17,70.550948,71.210160,70.366984,70.880554,817700
2015-06-18,71.026216,71.302159,70.665948,70.719604,1134300
2015-06-19,69.270860,70.098703,67.998426,68.251381,5668100
2015-06-22,68.634653,68.672976,68.052093,68.404694,2170300
2015-06-23,68.489011,68.588663,68.297380,68.312714,1136100
2015-06-24,68.297388,68.305055,67.592186,67.638176,1236500
2015-06-25,67.783820,67.837477,67.293244,67.346901,1395800
2015-06-26,67.676526,68.121112,67.546218,67.875824,987500
2015-06-29,67.308581,68.036784,67.300920,67.385239,1192200
2015-06-30,67.791472,68.726633,67.515522,68.090416,1403200
2015-07-01,68.381719,68.650002,67.852815,68.650002,1184300
2015-07-02,68.841595,69.286181,68.680626,69.017899,1253500
2015-07-06,68.749644,68.933608,67.645846,68.159416,1019200
2015-07-07,68.381708,70.075728,68.182410,69.976082,1592500
2015-07-08,69.677093,69.891719,69.017881,69.270836,954400
2015-07-09,69.907099,70.083402,69.462518,69.608154,1155600
2015-07-10,70.635319,70.819283,69.845798,70.420692,1164900
2015-07-13,70.520303,70.880571,70.321005,70.619949,738900
2015-07-14,70.681293,71.210198,70.642971,70.849930,766200
2015-07-15,70.842244,70.865238,70.152370,70.275017,813700
2015-07-16,70.773254,70.926556,70.504971,70.765587,641500
2015-07-17,70.305676,70.328671,69.723116,70.144707,618900
2015-07-20,70.144719,70.213704,69.822774,70.006744,570100
2015-07-21,70.045058,70.045058,69.270871,69.539154,783800
2015-07-22,69.546818,70.014393,69.385843,69.822762,575700
2015-07-23,69.730792,69.991408,69.362857,69.485504,428700
2015-07-24,69.217221,69.355196,68.795630,69.140564,538000
2015-07-27,68.948940,69.807450,68.604006,69.500839,721400
2015-07-28,69.784468,70.550994,69.554508,70.535660,767500
