date,open,high,low,close,volume
2015-01-02,15.66,16.0,15.53,15.96,330700
2015-01-05,15.82,16.43,15.66,15.8,387800
2015-01-06,15.9,16.18,15.01,15.35,300400
2015-01-07,15.45,16.0,15.4,15.94,449000
2015-01-08,16.15,16.44,15.93,16.07,659000
2015-01-09,16.1,16.1,15.41,15.55,409300
2015-01-12,15.66,15.66,14.41,14.6,520200
2015-01-13,14.0,14.87,14.0,14.21,651500
2015-01-14,14.09,14.84,13.93,14.55,356800
2015-01-15,14.62,14.8,14.12,14.16,482600
2015-01-16,14.09,14.77,14.05,14.72,397900
2015-01-20,14.9,15.0,14.23,14.84,373000
2015-01-21,14.74,14.86,14.25,14.3,304700
2015-01-22,14.36,14.71,13.97,14.59,535800
2015-01-23,14.6,15.0,14.4,14.89,281300
2015-01-26,14.97,15.99,14.89,15.95,606300
2015-01-27,15.74,16.27,15.7,15.91,615700
2015-01-28,16.03,16.06,15.06,15.26,341000
2015-01-29,15.26,15.99,14.99,15.96,401000
2015-01-30,15.97,16.43,15.31,15.46,450300
2015-02-02,15.48,16.34,15.1,15.41,489100
2015-02-03,15.43,15.59,15.03,15.48,404200
2015-02-04,15.36,15.45,14.81,15.23,445900
2015-02-05,15.36,15.8,15.11,15.66,454000
2015-02-06,15.69,16.03,15.49,15.6,287200
2015-02-09,15.53,15.83,15.36,15.44,279300
2015-02-10,16.05,16.24,15.8,16.12,553100
2015-02-11,16.06,16.49,15.83,16.32,384400
2015-02-12,16.5,16.98,16.15,16.71,296700
2015-02-13,16.79,17.46,16.78,17.4,387400
2015-02-17,17.51,17.81,17.33,17.47,399600
2015-02-18,17.45,17.85,17.37,17.81,318400
2015-02-19,17.79,17.95,17.56,17.61,398600
2015-02-20,17.61,17.84,17.37,17.58,251300
2015-02-23,17.6,17.98,17.27,17.39,350700
2015-02-24,17.44,17.94,16.96,17.4,333300
2015-02-25,17.45,17.87,17.21,17.78,353900
2015-02-26,17.73,18.19,17.17,18.16,345200
2015-02-27,18.04,18.85,17.53,18.54,506400
2015-03-02,18.85,19.14,18.56,18.78,651800
2015-03-03,18.64,18.95,18.11,18.42,461100
2015-03-04,18.29,19.41,18.02,19.0,754200
2015-03-05,19.5,20.6,19.36,20.33,2228500
2015-03-06,20.33,21.15,19.69,20.16,768100
2015-03-09,20.25,20.49,19.85,20.43,520400
2015-03-10,20.13,20.65,19.78,20.06,693300
2015-03-11,20.14,20.51,19.88,20.26,410700
