date,open,high,low,close,volume
2015-01-02,59.139999,59.860001,58.779999,59.110001,458400
2015-01-05,58.459999,59.380001,58.130001,58.410000,638300
2015-01-06,58.630001,58.630001,56.459999,57.070000,966000
2015-01-07,57.820000,58.200001,57.500000,57.770000,737700
2015-01-08,58.439999,59.240002,58.169998,59.200001,436100
2015-01-09,59.330002,59.750000,58.459999,58.820000,454400
2015-01-12,59.060001,59.459999,58.639999,59.060001,388800
2015-01-13,59.439999,60.000000,58.910000,59.490002,612200
2015-01-14,59.040001,59.480000,58.630001,59.099998,354600
2015-01-15,59.240002,60.500000,58.959999,59.040001,557800
2015-01-16,58.580002,59.980000,58.549999,59.580002,967200
2015-01-20,60.000000,60.099998,59.369999,59.950001,573500
2015-01-21,59.860001,60.639999,59.580002,59.779999,552500
2015-01-22,60.080002,60.730000,59.240002,60.540001,430600
2015-01-23,60.529999,61.709999,60.529999,60.970001,645500
2015-01-26,60.790001,62.220001,60.549999,61.959999,733000
2015-01-27,61.349998,62.130001,60.860001,61.900002,409900
2015-01-28,62.250000,62.730000,61.439999,61.660000,472900
2015-01-29,61.650002,61.810001,60.599998,61.759998,364300
2015-01-30,61.599998,61.599998,60.320000,60.500000,487500
2015-02-02,60.310001,60.650002,59.570000,60.560001,559800
2015-02-03,60.610001,60.810001,59.740002,60.270000,550400
2015-02-04,59.959999,61.000000,59.779999,60.750000,487800
2015-02-05,60.849998,61.310001,60.599998,61.209999,305100
2015-02-06,61.220001,61.639999,60.290001,60.459999,289900
2015-02-09,60.360001,60.509998,59.000000,59.240002,405400
2015-02-10,59.610001,60.230000,58.799999,60.110001,712100
2015-02-11,60.209999,61.139999,59.730000,60.680000,770800
2015-02-12,63.349998,64.000000,62.759998,63.250000,1192700
2015-02-13,64.019997,64.190002,63.209999,63.310001,596400
2015-02-17,63.310001,64.129997,62.520000,64.010002,1371200
2015-02-18,64.599998,64.629997,63.730000,64.610001,463200
2015-02-19,64.440002,65.199997,63.910000,64.519997,567900
2015-02-20,64.239998,65.150002,63.540001,65.150002,587200
2015-02-23,65.099998,66.279999,64.900002,64.989998,582300
2015-02-24,65.199997,65.300003,64.300003,64.489998,506300
2015-02-25,64.660004,65.339996,64.309998,65.029999,428000
2015-02-26,64.900002,65.309998,64.750000,64.949997,317900
2015-02-27,64.910004,65.360001,64.570000,64.980003,317000
2015-03-02,64.980003,65.900002,64.589996,65.540001,530900
2015-03-03,65.559998,65.639999,65.029999,65.540001,438200
2015-03-04,65.389999,65.400002,64.599998,64.930000,368300
2015-03-05,65.160004,65.989998,64.980003,65.699997,413000
2015-03-06,65.599998,65.989998,64.870003,65.300003,277600
2015-03-09,65.449997,65.769997,64.879997,65.339996,277200
2015-03-10,65.000000,65.000000,64.000000,64.440002,494200
2015-03-11,64.779999,65.279999,64.580002,64.980003,455800
2015-03-12,65.080002,65.769997,65.080002,65.339996,473000
2015-03-13,65.370003,66.139999,65.029999,66.050003,512200
2015-03-16,66.300003,66.900002,66.120003,66.570000,443100
2015-03-17,66.339996,66.839996,65.779999,66.800003,355800
2015-03-18,66.809998,66.970001,66.230003,66.750000,310200
2015-03-19,66.669998,66.889999,66.320000,66.870003,310600
2015-03-20,67.449997,67.589996,66.790001,67.250000,882900
2015-03-23,67.290001,68.000000,67.000000,67.970001,624600
2015-03-24,67.989998,68.519997,67.389999,67.449997,665900
2015-03-25,67.690002,67.910004,66.250000,66.309998,534200
2015-03-26,64.769997,66.599998,63.619999,66.290001,981800
2015-03-27,66.300003,67.370003,66.250000,67.260002,600100
2015-03-30,67.959999,68.199997,67.570000,68.000000,425900
2015-03-31,68.900002,69.970001,66.839996,66.970001,1052100
2015-04-01,66.459999,67.930000,66.150002,67.870003,789800
2015-04-02,67.879997,67.980003,66.230003,66.389999,469600
2015-04-06,65.970001,66.879997,65.769997,66.459999,532600
2015-04-07,66.449997,67.339996,66.080002,66.199997,546400
2015-04-08,66.139999,67.290001,66.080002,67.169998,438000
2015-04-09,67.089996,67.430000,66.709999,67.410004,557700
2015-04-10,67.430000,67.769997,67.129997,67.629997,389300
2015-04-13,67.580002,67.989998,67.279999,67.870003,326600
2015-04-14,67.900002,67.900002,67.080002,67.209999,270700
2015-04-15,67.500000,67.769997,67.040001,67.160004,289300
2015-04-16,67.150002,67.720001,66.870003,67.480003,302800
2015-04-17,66.949997,67.459999,66.239998,66.690002,556100
2015-04-20,67.099998,67.099998,66.459999,66.489998,255200
2015-04-21,66.750000,66.959999,66.290001,66.699997,257300
2015-04-22,66.730003,66.879997,65.989998,66.449997,575400
2015-04-23,66.790001,67.739998,66.480003,67.690002,733300
2015-04-24,68.500000,70.000000,67.809998,69.089996,951000
2015-04-27,69.089996,69.330002,68.629997,68.900002,865600
2015-04-28,69.059998,69.980003,68.239998,69.309998,1151700
2015-04-29,64.510002,68.830002,64.250000,68.470001,1577900
2015-04-30,68.110001,68.230003,65.580002,65.879997,970900
2015-05-01,65.940002,67.480003,65.519997,67.300003,1176200
2015-05-04,67.279999,68.519997,66.019997,66.230003,1078000
2015-05-05,66.199997,66.209999,64.529999,64.589996,665400
2015-05-06,65.070000,65.150002,64.260002,64.900002,552400
2015-05-07,65.190002,65.750000,64.680000,64.860001,730900
2015-05-08,65.510002,65.910004,64.620003,64.849998,916400
2015-05-11,64.699997,65.080002,64.360001,64.360001,1071300
2015-05-12,64.010002,64.919998,63.630001,64.470001,925500
2015-05-13,64.919998,65.709999,64.599998,65.480003,789800
2015-05-14,65.699997,66.160004,64.660004,65.669998,3189500
2015-05-15,66.089996,67.190002,65.849998,67.139999,1572200
2015-05-18,67.500000,67.940002,66.879997,67.529999,1012800
2015-05-19,67.900002,68.629997,67.639999,68.370003,839700
2015-05-20,68.720001,69.089996,67.680000,68.809998,731500
2015-05-21,68.919998,68.989998,68.290001,68.709999,675100
2015-05-22,68.529999,69.930000,68.480003,69.699997,991800
2015-05-26,70.190002,70.629997,69.160004,69.269997,1311000
2015-05-27,69.629997,70.559998,69.389999,70.519997,833700
2015-05-28,70.180000,70.769997,69.900002,70.589996,475800
2015-05-29,70.639999,70.790001,69.440002,69.709999,1109800
2015-06-01,69.709999,70.250000,69.570000,70.040001,522300
2015-06-02,69.949997,70.050003,68.769997,69.680000,833900
2015-06-03,70.139999,70.209999,69.459999,69.639999,381500
2015-06-04,69.349998,70.190002,69.209999,69.669998,364900
2015-06-05,69.639999,70.070000,68.980003,69.709999,595400
2015-06-08,69.879997,70.339996,69.360001,69.449997,270700
2015-06-09,69.290001,69.720001,68.230003,69.430000,372100
2015-06-10,69.550003,69.910004,69.080002,69.419998,613100
2015-06-11,69.709999,69.889999,69.169998,69.860001,513300
2015-06-12,69.470001,70.699997,68.779999,70.029999,398700
2015-06-15,69.769997,69.959999,69.059998,69.690002,400800
2015-06-16,69.739998,70.639999,69.540001,70.580002,422600
2015-06-17,70.930000,70.930000,70.080002,70.779999,466800
2015-06-18,70.720001,71.540001,70.489998,71.110001,414400
2015-06-19,71.400002,71.910004,70.699997,71.849998,669800
2015-06-22,72.160004,72.730003,71.599998,72.720001,702400
2015-06-23,72.629997,73.519997,72.480003,73.510002,1005700
2015-06-24,73.269997,73.760002,72.739998,72.900002,1131000
2015-06-25,73.440002,73.620003,72.699997,73.489998,862600
2015-06-26,73.449997,73.820000,72.830002,73.250000,1974600
2015-06-29,72.860001,73.239998,71.879997,72.080002,689500
2015-06-30,72.410004,72.959999,71.940002,72.610001,1069600
2015-07-01,72.750000,73.440002,72.419998,72.970001,627900
2015-07-02,72.059998,73.099998,72.059998,72.800003,428800
2015-07-06,72.480003,72.910004,71.989998,72.620003,702400
2015-07-07,72.900002,72.900002,71.900002,72.860001,595300
2015-07-08,72.500000,72.699997,71.459999,71.669998,589800
2015-07-09,72.589996,72.650002,71.940002,72.160004,389100
2015-07-10,74.610001,74.970001,73.699997,74.169998,507000
2015-07-13,74.949997,75.300003,74.059998,75.239998,673400
2015-07-14,75.449997,76.120003,75.080002,76.070000,489800
2015-07-15,76.279999,76.279999,75.599998,75.930000,525800
2015-07-16,76.440002,77.169998,75.860001,76.720001,490500
2015-07-17,76.750000,76.910004,76.150002,76.860001,407000
2015-07-20,77.209999,77.209999,76.139999,76.410004,530600
2015-07-21,76.070000,76.169998,74.440002,75.290001,538700
2015-07-22,75.599998,76.349998,75.010002,76.230003,499100
2015-07-23,76.430000,76.430000,75.349998,75.639999,378600
2015-07-24,75.559998,75.750000,74.800003,74.940002,386400
2015-07-27,74.629997,75.180000,74.330002,74.580002,454500
2015-07-28,74.750000,76.800003,74.449997,76.750000,875300
2015-07-29,78.250000,80.449997,77.570000,79.099998,1134500
2015-07-30,79.110001,79.330002,78.370003,78.750000,572400
2015-07-31,76.970001,77.440002,76.500000,76.720001,4645600
2015-08-03,76.720001,77.410004,75.110001,77.110001,1768200
2015-08-04,77.269997,77.970001,77.230003,77.489998,1373700
2015-08-05,77.849998,77.949997,77.120003,77.320000,1147700
