Date,open,high,low,close,volume
2015-01-02,54.313489,54.495574,53.515783,53.940647,200600
2015-01-05,53.680528,53.741222,53.064906,53.437748,202800
2015-01-06,53.411725,53.628494,52.822115,53.246983,263600
2015-01-07,53.567794,53.975320,53.151599,53.715199,378100
2015-01-08,54.261455,54.955113,53.923293,54.825050,227200
2015-01-09,54.781706,54.816390,54.079376,54.226780,164900
2015-01-12,54.348174,54.712343,53.810589,54.625637,236300
2015-01-13,55.145881,55.839543,54.486907,55.067844,280900
2015-01-14,54.400200,54.929113,54.131406,54.781712,166700
2015-01-15,54.816387,55.310618,53.897288,54.209435,193300
2015-01-16,54.070708,55.189233,53.871281,55.085182,185600
2015-01-20,54.192101,55.223917,53.897296,54.703674,422300
2015-01-21,54.556270,54.877090,54.114064,54.799053,287900
2015-01-22,55.128546,56.151693,54.486910,56.143021,423300
2015-01-23,56.108325,56.420472,55.562071,55.614094,326600
2015-01-26,55.744168,55.787518,55.189241,55.501389,452100
2015-01-27,55.050496,55.249922,54.547591,54.790371,323800
2015-01-28,55.293271,55.536053,54.235440,54.296135,282600
2015-01-29,54.486905,54.486905,53.784575,54.322163,448600
2015-01-30,54.114053,54.339490,53.116917,53.212296,488200
2015-02-02,53.559125,53.957978,52.544647,53.715199,637800
2015-02-03,54.209440,54.773036,53.593819,54.729683,510100
2015-02-04,55.406010,56.359789,53.203642,54.140079,713600
2015-02-05,54.148732,55.692124,53.897280,55.622757,498100
2015-02-06,55.657455,55.943585,54.911772,55.128540,413700
2015-02-09,55.015822,55.145881,54.573612,54.799053,276900
2015-02-10,55.111207,55.839549,54.877097,55.761509,498500
2015-02-11,55.856875,56.151683,55.301948,55.960926,212500
2015-02-12,56.472500,56.585224,55.978269,56.585224,285400
2015-02-13,56.550532,57.131469,56.307752,57.036091,206600
2015-02-17,57.790459,57.851154,56.862690,57.339577,392600
2015-02-18,57.088126,57.946534,56.958070,57.911850,330400
2015-02-19,58.310687,58.310687,57.617025,57.833794,227500
2015-02-20,57.790459,58.440764,57.278882,58.319374,273300
2015-02-23,58.354045,58.354045,57.807785,57.937847,221300
2015-02-24,58.059237,58.354045,57.729751,58.293350,227200
2015-02-25,58.319382,58.466783,57.747110,57.963879,211500
2015-02-26,58.102590,58.276002,57.495634,57.599686,230900
2015-02-27,57.599711,57.712854,56.955655,57.007874,257000
2015-03-02,58.652807,58.652807,57.225435,58.356892,546500
2015-03-03,58.322092,58.356907,57.895616,57.947842,390700
2015-03-04,57.843400,58.113206,57.503964,57.625813,324500
2015-03-05,57.852105,58.374313,57.390821,58.322094,253400
2015-03-06,57.965240,58.278566,57.538770,57.773762,207600
2015-03-09,57.947840,58.905222,57.573589,58.174126,258000
2015-03-10,57.547477,57.773763,57.260260,57.416924,342900
2015-03-11,57.634487,57.895587,57.312455,57.852074,356700
2015-03-12,58.174119,58.922620,57.956532,58.774662,272300
2015-03-13,58.748567,58.748567,57.730260,57.973957,297200
2015-03-16,58.295979,58.922624,58.130610,58.896515,314200
2015-03-17,58.713742,59.009664,58.557079,58.905220,330200
2015-03-18,58.705037,60.088895,58.478751,59.932232,381500
2015-03-19,59.940932,60.497955,59.453532,60.358696,295800
2015-03-20,60.637231,61.081111,60.350014,60.898338,677500
2015-03-23,60.811280,60.933128,60.506653,60.933128,386600
2015-03-24,60.759046,60.759046,60.010546,60.384796,479200
2015-03-25,60.349996,60.550179,59.514461,59.592796,642600
2015-03-26,59.235962,60.123722,59.000970,59.914833,281900
2015-03-27,60.001866,60.010565,59.444843,59.775574,216000
2015-03-30,60.019264,61.011461,59.923525,60.637211,252400
2015-03-31,60.558895,60.846112,60.480560,60.828701,647100
2015-04-01,60.933148,60.933148,59.775582,60.585007,313800
2015-04-02,60.611112,61.142026,60.410936,60.654633,356100
2015-04-06,60.376127,61.124628,60.350011,61.002773,429100
2015-04-07,60.976664,61.081108,60.210759,60.341312,291500
2015-04-08,60.454433,60.497954,59.688529,60.114998,491000
2015-04-09,59.923529,60.219451,59.087994,59.549278,511500
2015-04-10,59.723352,59.819091,58.983550,59.209843,366600
2015-04-13,59.183716,59.627596,59.009649,59.314270,348700
2015-04-14,59.209832,59.575377,58.879102,59.540569,363800
2015-04-15,59.758168,59.949639,58.853004,58.853004,369900
2015-04-16,58.713748,58.861706,58.383018,58.600605,274400
2015-04-17,58.409128,58.417833,57.590998,58.043583,216800
2015-04-20,58.522258,58.826879,58.208932,58.400410,223600
2015-04-21,58.539674,59.053176,58.426524,58.922623,402200
2015-04-22,58.913927,59.270767,58.678929,59.209843,185500
2015-04-23,59.140212,59.514462,58.957439,59.305580,237000
2015-04-24,59.244655,59.244655,58.487449,58.705036,356600
2015-04-27,58.739838,58.957425,58.287260,58.530956,254900
2015-04-28,58.391709,59.192435,58.261162,59.140209,226300
2015-04-29,58.800775,59.410023,58.539674,58.713741,272300
2015-04-30,58.383012,58.818186,57.756360,57.886913,334600
2015-05-01,58.078396,58.670233,57.634516,58.278572,155600
2015-05-04,58.295986,58.818194,58.295986,58.487457,259000
2015-05-05,58.356910,58.757269,57.564889,57.686737,382700
2015-05-06,57.678034,58.487459,57.538781,58.391720,312200
2015-05-07,53.657015,57.678023,52.307971,57.443031,1307500
2015-05-08,57.268971,57.930432,56.085296,56.642319,772500
2015-05-11,56.433423,56.973042,56.215836,56.703236,412700
2015-05-12,56.468237,56.816378,55.841592,56.572681,331300
2015-05-13,56.816382,57.260262,56.485651,56.581390,271000
2015-05-14,56.729357,57.155826,56.468249,57.103607,315200
2015-05-15,56.964346,57.390822,56.416028,56.598801,408200
2015-05-18,56.598788,57.268960,56.346386,57.173222,346200
2015-05-19,57.277659,57.651909,56.633603,57.112297,273500
2015-05-20,57.077502,57.451753,56.877319,56.894730,192600
2015-05-21,56.964602,57.226712,56.606393,56.781128,449700
2015-05-22,56.781129,57.191764,56.588916,56.877235,360700
2015-05-26,56.414180,56.990818,56.021022,56.090912,479700
2015-05-27,56.090919,56.955877,55.855026,56.920929,365000
2015-05-28,56.851033,57.095665,56.580191,56.868504,167100
2015-05-29,56.885985,57.043250,56.239456,56.859776,370000
2015-06-01,57.078187,57.375239,56.265655,56.877235,366300
2015-06-02,56.641342,57.086919,56.230706,56.877235,247200
2015-06-03,56.990824,57.619876,56.606398,57.436401,301800
2015-06-04,57.200522,57.549999,56.737467,56.772415,276400
2015-06-05,56.772390,57.148077,56.291858,57.121861,195200
2015-06-08,57.156833,57.628627,56.693778,56.824833,228400
2015-06-09,56.947123,56.947123,56.370484,56.606384,248200
2015-06-10,56.685024,57.418928,56.597657,56.982082,339000
2015-06-11,57.095664,57.637354,57.017035,57.602406,251200
2015-06-12,57.392727,57.628621,57.078198,57.252934,261600
2015-06-15,57.060712,57.060712,56.361764,56.833557,181700
2015-06-16,56.763658,57.794613,56.667551,57.410187,393000
2015-06-17,57.401447,57.628609,56.999551,57.008289,223600
2015-06-18,57.104422,57.794639,56.807364,57.785900,225600
2015-06-19,58.030532,58.580962,57.567477,57.785900,427700
2015-06-22,58.056725,58.056725,57.392725,57.681038,355600
2015-06-23,57.829561,57.881980,57.200503,57.410187,349400
2015-06-24,57.174295,57.619872,57.121869,57.515034,274300
2015-06-25,57.532511,57.986834,57.488831,57.742195,271200
2015-06-26,57.646079,58.126605,57.427657,57.707237,892300
2015-06-29,57.357779,57.681040,56.798618,57.104408,735400
2015-06-30,57.471362,57.567469,56.414197,56.527775,661400
2015-07-01,56.580175,57.462597,56.580175,57.383968,341800
2015-07-02,57.523757,57.707238,56.912177,57.349022,287600
2015-07-06,56.781122,57.576183,56.370486,57.488815,650700
2015-07-07,57.305348,57.681035,56.842293,57.611145,331600
2015-07-08,57.095655,57.480080,56.824813,57.418922,548500
2015-07-09,57.742191,57.960613,57.506297,57.637352,465300
2015-07-10,58.144090,58.467352,57.759665,58.414932,329000
2015-07-13,58.895485,58.912956,58.511059,58.668324,384900
2015-07-14,58.974112,59.210006,58.904216,59.105167,280400
2015-07-15,59.078939,59.603152,58.930407,59.437149,299200
2015-07-16,59.664311,60.258421,59.498308,60.223473,536600
2015-07-17,60.415690,60.607903,59.629367,59.777893,366300
2015-07-20,60.057471,60.485584,59.943894,60.328320,360900
2015-07-21,60.520524,60.520524,59.769156,60.206001,354600
2015-07-22,60.337056,60.992324,60.232217,60.896217,398000
2015-07-23,60.896204,61.158313,60.459358,60.616623,365300
2015-07-24,60.817573,61.044734,60.337040,60.651569,407600
2015-07-27,60.258402,60.476825,59.856506,60.074928,230900
2015-07-28,60.206001,60.511791,59.847785,60.371998,286700
2015-07-29,60.258430,61.184540,60.258430,61.114643,248100
2015-07-30,60.922450,61.595189,59.244959,61.236973,394100
2015-07-31,61.516543,61.525275,60.922433,61.036011,350100
