date,open,high,low,close,volume
2015-01-02,8.838011,8.919387,8.750469,8.828147,1042400
2015-01-05,8.752938,8.841713,8.745541,8.801024,1433500
2015-01-06,8.833086,8.876240,8.727049,8.813358,1549100
2015-01-07,8.867604,8.969942,8.847877,8.941583,1163600
2015-01-08,9.029124,9.154888,9.019260,9.148723,1794800
2015-01-09,9.152425,9.156124,9.050087,9.105571,1159900
2015-01-12,9.143794,9.147492,9.016796,9.029126,1049900
2015-01-13,9.115433,9.231333,9.045153,9.098171,1311400
2015-01-14,9.021727,9.231335,9.008164,9.223936,1395600
2015-01-15,9.381758,9.381758,9.251062,9.310246,1566700
2015-01-16,9.306548,9.432312,9.286820,9.427380,1036500
2015-01-20,9.508756,9.596298,9.403952,9.592599,1445000
2015-01-21,9.596299,9.715898,9.533417,9.708500,2058900
2015-01-22,9.757822,9.791113,9.649320,9.782481,3003900
2015-01-23,9.796041,9.800973,9.669044,9.680141,1088800
2015-01-26,9.680140,9.761516,9.627122,9.755352,1264900
2015-01-27,9.662879,9.803439,9.635753,9.765216,1497200
2015-01-28,9.799739,9.868785,9.654247,9.673974,1050200
2015-01-29,9.696169,9.766449,9.606162,9.750421,1870900
2015-01-30,9.704798,9.714662,9.509987,9.527248,1590500
2015-02-02,9.546977,9.682605,9.456969,9.678906,1400300
2015-02-03,9.673977,9.722063,9.570407,9.595066,1225100
2015-02-04,9.586432,9.765214,9.570403,9.697400,1249200
2015-02-05,9.698636,9.726994,9.523552,9.538348,1922900
2015-02-06,9.427378,9.665343,9.427378,9.616024,1981500
2015-02-09,9.620958,9.662880,9.556843,9.602463,939900
2015-02-10,9.702339,9.754124,9.581506,9.714668,1273100
2015-02-11,9.730691,9.805903,9.666576,9.800971,1656300
2015-02-12,9.925505,10.042638,9.588900,9.654249,2782800
2015-02-13,9.561774,9.590132,9.389156,9.487794,2685000
2015-02-17,9.439707,9.551909,9.402718,9.502589,1518100
2015-02-18,9.454504,9.654248,9.454504,9.619723,1377400
2015-02-19,9.623421,9.715895,9.611090,9.644382,1626800
