Date,open,high,low,close,volume
2015-07-06,43.205101,45.207140,43.205101,44.397804,3809700
2015-07-07,44.866373,45.462723,44.397808,45.414040,5794300
2015-07-08,45.213240,45.943465,45.055023,45.882614,4276600
2015-07-09,46.533730,46.896410,45.334939,45.517498,4267100
2015-07-10,45.669630,47.343067,45.639202,47.044888,4983000
2015-07-13,48.377554,48.499257,47.410005,47.969845,9078900
2015-07-14,48.347120,48.377548,47.251782,47.464764,18746100
2015-07-15,47.251784,47.568214,46.491131,46.679771,6330500
2015-07-16,46.837988,47.975923,46.825815,47.921158,5634100
2015-07-17,48.334962,48.493180,47.014469,48.456665,6100900
2015-07-20,48.651375,49.412028,48.152387,48.748741,10284500
2015-07-21,48.663558,49.095609,48.316701,48.815689,6088600
2015-07-22,49.186872,49.229468,47.817696,47.854206,5201200
2015-07-23,48.056447,48.148369,46.965648,47.026928,2975400
2015-07-24,47.137228,47.449762,46.542803,46.824699,3116000
2015-07-27,46.959514,47.786810,46.751162,47.419121,5774300
2015-07-28,48.068702,48.197391,47.492660,47.995163,1895900
2015-07-29,47.958394,47.982907,47.186254,47.743912,2278600
2015-07-30,47.927749,48.834708,47.553936,48.540558,3247000
2015-07-31,48.987907,48.987907,48.329135,48.699886,2685500
2015-08-03,49.024686,49.655878,48.969535,49.251427,2681800
2015-08-04,49.373985,49.637493,48.822456,48.908249,2429600
2015-08-05,49.030815,49.637495,48.932764,49.318836,4324300
2015-08-06,49.668148,49.753941,48.724422,48.877625,3708600
2015-08-07,48.497665,48.644738,47.363971,48.080956,3274100
2015-08-10,48.675384,48.902125,48.148368,48.295441,3252300
2015-08-11,47.572313,49.318821,47.229142,47.780670,3889100
2015-08-12,47.694894,47.989039,46.628603,46.996292,3688800
2015-08-13,47.192389,47.229156,46.450891,46.567322,2917500
2015-08-14,46.616348,47.026928,46.032339,46.830830,2572800
2015-08-17,46.487657,46.824703,46.273175,46.450890,2260300
2015-08-18,46.401879,46.544665,45.997423,46.077091,2009700
2015-08-19,45.960651,46.138366,45.298817,45.825832,3025700
2015-08-20,45.360078,45.816010,45.213005,45.501026,2207000
2015-08-21,44.924984,45.501025,44.281538,44.287663,5564500
2015-08-24,41.818059,44.269293,37.638704,43.429749,9844600
2015-08-25,43.840320,44.367336,42.896595,43.025284,4423400
2015-08-26,43.950619,45.415231,42.608567,45.292671,5356300
2015-08-27,44.839199,46.113842,44.808562,46.070946,5937800
2015-08-28,45.592964,46.077084,45.237534,45.770679,2150100
2015-08-31,45.476523,45.611341,44.471517,44.526672,2688400
2015-09-01,43.650356,44.453134,42.675988,42.970139,4671400
2015-09-02,43.411355,44.165112,43.086567,44.165112,2986500
2015-09-03,44.465388,45.280424,43.993527,44.220268,2595300
2015-09-04,43.595200,43.932246,42.975649,43.245899,2997000
2015-09-08,44.030307,45.550075,43.392985,45.390743,4450700
2015-09-09,45.623586,45.654228,44.109953,44.226383,2936400
2015-09-10,44.201880,44.765667,43.987398,44.220268,3619700
2015-09-11,44.275414,45.304932,43.877087,45.200756,2146700
2015-09-14,45.041432,45.782930,44.462328,45.684883,2927400
2015-09-15,45.923888,46.279313,45.197706,46.199650,3393300
2015-09-16,46.083204,47.008546,45.531680,46.800194,2302800
2015-09-17,46.928890,47.652004,46.573460,46.836967,3142600
2015-09-18,46.297680,46.879846,45.966763,46.230270,7231700
2015-09-21,46.383478,46.689882,45.936126,46.083199,3256300
2015-09-22,45.439761,45.880983,45.139486,45.537807,2628700
2015-09-23,45.452011,45.714294,44.891291,44.924995,3713200
2015-09-24,44.735030,44.820823,43.938377,44.686005,4416100
2015-09-25,45.225264,45.255901,44.600197,44.949497,3517000
2015-09-28,44.618581,44.900472,42.890461,42.890461,5006600
2015-09-29,42.994661,43.497164,42.069319,42.406361,3870900
2015-09-30,42.694371,43.386848,42.565682,43.252029,3132800
2015-10-01,43.674856,44.103825,42.755644,43.405224,2519700
2015-10-02,43.013031,43.791296,42.510528,43.760658,2593100
2015-10-05,44.122214,44.888225,43.723888,44.269287,6323500
2015-10-06,44.299934,44.765670,44.054810,44.410240,2760200
2015-10-07,44.575685,45.188493,44.416358,44.826939,2325200
2015-10-08,44.833075,45.635852,44.575692,45.611340,2239700
