date,open,high,low,close,volume
2015-01-02,29.664235,29.762509,29.341340,29.580002,9921100
2015-01-05,29.966072,30.162618,29.537887,29.580002,26292600
2015-01-06,29.769537,30.141568,29.650208,29.804634,16897500
2015-01-07,30.043302,30.260907,29.888876,30.176674,13412300
2015-01-08,30.310046,30.583805,30.253889,30.541687,21743600
2015-01-09,30.513595,30.576770,30.148582,30.204737,12733500
2015-01-12,30.232825,30.324079,29.804638,29.930988,11415800
2015-01-13,30.064365,30.352163,29.797624,29.923975,12529500
2015-01-14,29.537908,29.902918,29.530887,29.874842,13447600
2015-01-15,30.064350,30.085408,29.601063,29.748474,11193100
2015-01-16,29.734445,29.895893,29.650213,29.853775,15114900
2015-01-20,29.973103,30.415330,29.909928,30.295998,17047300
2015-01-21,30.106472,30.485524,30.015219,30.436388,10720600
2015-01-22,30.443415,30.766312,30.232831,30.731213,14709100
2015-01-23,30.604861,30.710154,30.310045,30.401299,12357700
2015-01-26,30.310042,30.345138,30.064361,30.183691,11151900
2015-01-27,29.860800,29.930993,29.587041,29.755507,15274000
2015-01-28,29.895894,30.043302,29.411552,29.425589,14278500
2015-01-29,29.320283,29.587023,29.109700,29.551924,13657900
2015-01-30,29.362413,29.432607,28.857011,28.899126,19193700
2015-02-02,28.927191,29.222010,28.709590,29.193932,15197500
2015-02-03,29.306256,29.376449,29.039515,29.222023,13193100
2015-02-04,29.320299,29.544922,29.215006,29.257124,16400000
2015-02-05,29.341354,29.355393,29.137789,29.334335,11078500
2015-02-06,29.222015,29.313267,29.004411,29.095665,12366400
2015-02-09,29.046533,29.095669,28.807872,28.941240,13371100
2015-02-10,30.120513,30.204746,29.622132,29.762522,32184200
2015-02-11,29.551944,29.825706,29.271168,29.741470,20496300
2015-02-12,29.762520,29.945025,29.530877,29.601070,13818200
2015-02-13,29.495772,29.643180,29.313264,29.474714,10792100
2015-02-17,29.348377,29.397513,29.229045,29.348377,12804200
2015-02-18,29.306262,29.341359,29.109718,29.292223,9789800
2015-02-19,29.257125,29.650216,29.151832,29.558962,16578300
2015-02-20,29.509818,29.558954,29.229038,29.460682,15982400
2015-02-23,29.278187,29.601082,29.264148,29.376459,11830300
2015-02-24,29.376447,29.713384,29.320293,29.572994,12782700
2015-02-25,29.601073,29.650211,29.299238,29.516840,10323300
2015-02-26,29.509818,29.867809,29.460682,29.804634,14346500
2015-02-27,29.846753,30.646971,29.811656,30.394270,28312800
2015-03-02,30.394279,30.394279,30.239852,30.324085,13514600
2015-03-03,30.260903,30.296000,30.071377,30.148592,10036300
2015-03-04,30.127519,30.169636,29.811645,29.832703,16263000
2015-03-05,29.874833,29.909930,29.657229,29.762522,9223000
2015-03-06,29.565967,29.622124,29.011431,29.144800,18180500
2015-03-09,29.151828,29.165868,29.004420,29.053556,10123300
2015-03-10,28.849975,28.885075,28.555159,28.562178,14599100
2015-03-11,28.590268,28.590268,28.134004,28.148041,18549700
2015-03-12,28.381607,28.714260,28.324987,28.714260,17728700
2015-03-13,28.622253,28.714264,28.034804,28.247135,17438400
2015-03-16,28.310836,28.558555,28.303760,28.516090,15238800
2015-03-17,28.785040,28.827507,28.537321,28.671797,21661800
