Date,open,high,low,close,volume
2015-01-02,6.831367,6.858737,6.743270,6.795444,8306000
2015-01-05,6.780047,6.790311,6.690239,6.712477,14408000
2015-01-06,6.719321,6.733861,6.534573,6.600432,23414000
2015-01-07,6.610697,6.708202,6.590169,6.634645,15085000
2015-01-08,6.695371,6.815115,6.671423,6.806562,18713000
2015-01-09,6.792878,6.870711,6.774061,6.819393,14618000
2015-01-12,6.799719,6.799719,6.595300,6.612406,21542000
2015-01-13,6.679121,6.746691,6.472991,6.548259,16532000
2015-01-14,6.460160,6.555955,6.456739,6.504636,13507000
2015-01-15,6.559376,6.655170,6.533716,6.558520,21477000
2015-01-16,6.541415,6.664579,6.522598,6.635499,23135000
2015-01-20,6.664579,6.743268,6.590167,6.714187,15311000
2015-01-21,6.721031,6.904067,6.660304,6.845906,19332000
2015-01-22,6.868144,6.921173,6.725307,6.916042,16032000
2015-01-23,6.808272,6.893804,6.734716,6.878407,21025000
2015-01-26,6.892948,6.950255,6.815970,6.943412,16412000
2015-01-27,6.851039,6.922885,6.820248,6.855316,14573000
2015-01-28,6.931437,7.004138,6.808272,6.818536,23806000
2015-01-29,6.842486,7.027233,6.633790,6.831367,32648000
2015-01-30,6.756100,6.792878,6.532863,6.537995,34629000
2015-02-02,6.565365,6.586748,6.414830,6.556812,22221000
2015-02-03,6.574772,6.642342,6.531152,6.639776,21841000
2015-02-04,6.630368,6.698793,6.584182,6.623526,21131000
2015-02-05,6.650895,6.687674,6.613262,6.673989,17298000
2015-02-06,6.675700,6.795444,6.653462,6.683398,13139000
2015-02-09,6.646619,6.670567,6.584181,6.644053,16165000
2015-02-10,6.702214,6.915186,6.670567,6.892093,24135000
2015-02-11,6.892094,6.907490,6.855316,6.893805,19682000
2015-02-12,6.906633,6.937425,6.864723,6.937425,15684000
2015-02-13,6.959663,7.034075,6.939135,7.031508,18350000
2015-02-17,7.033219,7.045194,6.938280,7.005849,12331000
2015-02-18,7.013547,7.046049,6.963939,7.006705,8794000
2015-02-19,6.985322,7.117040,6.981901,7.105066,10926000
2015-02-20,7.092237,7.205994,7.066578,7.170926,25414000
2015-02-23,7.145263,7.167501,7.064009,7.114472,10069000
