date,open,high,low,close,volume
2015-01-02,126.6118,127.0177,123.3055,124.5825,207900
2015-01-05,123.6025,124.5429,121.5236,123.0481,335600
2015-01-06,123.6718,125.0676,120.1377,120.8505,233900
2015-01-07,122.0681,123.0382,120.0882,120.6129,227200
2015-01-08,121.8701,124.3746,121.3158,122.4146,370400
2015-01-09,122.8204,123.1075,120.0585,121.0584,156500
2015-01-12,121.3454,121.6127,118.8013,119.0686,300300
2015-01-13,120.6921,121.9889,117.0887,118.7716,326900
2015-01-14,117.1778,118.93,115.5445,117.3362,468300
2015-01-15,118.0292,118.049,115.683,115.7127,402300
2015-01-16,116.5542,119.4844,115.8909,118.1183,396500
2015-01-20,118.7716,121.9592,116.7918,121.2464,474000
2015-01-21,120.5436,124.5528,120.5436,121.8602,384800
2015-01-22,123.0481,124.4736,120.9891,124.3944,253500
2015-01-23,124.4241,127.4632,123.7708,126.008,357700
2015-01-26,126.404,127.1761,125.7902,126.2258,353800
2015-01-27,125.7209,127.0078,123.4045,126.7802,386300
2015-01-28,127.8394,127.8394,124.1766,124.9785,409500
2015-01-29,124.5924,126.6317,122.9887,126.3743,357600
2015-01-30,125.5823,127.3642,122.3453,122.6917,443000
2015-02-02,122.8006,125.3348,121.9988,124.2756,280600
2015-02-03,124.5033,127.9581,123.0679,127.7899,389400
2015-02-04,127.4137,128.3046,125.8298,126.4832,326200
2015-02-05,126.7207,128.4729,126.7207,128.265,251100
2015-02-06,127.5424,128.364,124.2657,124.8399,286500
2015-02-09,124.632,125.6318,122.474,124.3251,266000
2015-02-10,124.533,128.0572,124.2459,127.0573,315800
2015-02-11,126.5426,128.2848,125.6615,126.5525,248800
2015-02-12,127.7899,130.8883,126.6118,130.6112,450000
2015-02-13,129.9974,130.8785,127.1167,128.6808,572000
2015-02-17,128.0967,130.5221,127.1563,130.5221,364500
2015-02-18,130.5617,132.4425,129.5717,131.2744,388800
2015-02-19,131.2942,131.6803,127.1266,129.1857,616600
2015-02-20,128.6808,130.1756,127.3741,129.6014,550300
2015-02-23,129.1163,130.9873,129.1163,130.235,382200
2015-02-24,129.9578,131.2249,128.9085,131.1556,491000
2015-02-25,131.2645,134.6204,130.0172,132.8682,1226400
2015-02-26,136.6002,136.6002,127.8988,129.6905,1019400
2015-02-27,129.2352,133.6899,128.4729,129.6509,1449500
2015-03-02,129.1263,132.1456,128.2353,131.9575,558600
2015-03-03,131.2249,132.7197,130.7399,132.5514,443400
2015-03-04,131.9674,132.6306,129.2451,129.9776,569100
2015-03-05,129.7103,132.1059,128.9382,130.6705,493500
