Date,open,high,low,close,volume
2015-01-02,77.968142,78.315415,77.094989,77.839149,18177500
2015-01-05,77.372824,78.632932,76.261542,76.588974,26452200
2015-01-06,76.628653,76.985843,74.773211,75.557060,27399300
2015-01-07,76.162311,76.757638,75.229628,75.557060,22045300
2015-01-08,76.142476,77.620880,75.487619,77.571266,23961000
2015-01-09,77.591107,78.007842,76.598893,77.134689,21157000
2015-01-12,77.233909,77.392667,75.616604,76.122635,19190200
2015-01-13,76.628662,77.472042,75.259402,75.854729,25179600
2015-01-14,75.824960,76.598885,75.437997,75.686050,25918600
2015-01-15,75.805127,75.973802,72.967396,73.473427,34134000
2015-01-16,73.463489,74.733521,73.265042,74.594612,21791500
2015-01-20,75.130422,75.715825,74.237428,75.646370,22821600
2015-01-21,75.567008,76.698131,75.259417,76.142487,25096700
2015-01-22,76.569121,77.144607,76.082939,77.045387,19519500
2015-01-23,77.045400,77.581197,76.440149,77.223999,16746500
2015-01-26,77.372819,77.859001,76.688189,76.896553,19260800
2015-01-27,76.112693,76.281367,75.041100,75.189934,20110000
2015-01-28,76.301235,77.035471,75.408241,75.646370,53306400
2015-01-29,76.251622,77.412511,73.632179,77.392670,61293500
2015-01-30,77.392646,77.551404,75.160166,75.318924,42649500
2015-02-02,75.517372,75.547137,73.175747,74.406090,41955300
2015-02-03,74.604556,74.991518,73.284910,74.812920,26957700
2015-02-04,74.505326,75.755518,74.425955,75.041122,20277400
2015-02-05,75.120498,75.388400,74.624391,75.021278,15062600
2015-02-06,75.090730,75.110571,73.671864,73.890152,21211000
2015-02-09,73.473427,74.247352,72.878093,73.860390,16194300
2015-02-10,74.267189,74.753372,73.919916,74.604546,15811300
2015-02-11,74.505312,76.152390,74.445781,75.914261,20877400
2015-02-12,76.261544,76.271468,75.299095,75.636452,17235000
2015-02-13,75.864641,75.884489,74.912117,75.150246,18621900
2015-02-17,74.713685,76.311150,74.495397,75.011345,25254400
2015-02-18,75.348700,76.301224,74.862510,76.112701,22426400
2015-02-19,76.390518,79.218325,76.350829,78.801598,45851200
2015-02-20,78.930605,79.714447,78.583324,79.277878,36931700
2015-02-23,79.337402,79.565614,77.769703,78.226120,24139100
2015-02-24,77.888763,78.861136,77.491876,77.839149,18897100
2015-02-25,77.888770,79.575530,77.888770,78.940514,25593800
2015-02-26,79.258033,80.736437,79.099283,79.783913,31111900
2015-02-27,80.051802,80.597523,78.007845,78.355118,30739200
2015-03-02,78.384876,79.238180,77.908610,79.129036,21662500
2015-03-03,78.990118,79.079414,77.908602,78.980194,18635000
2015-03-04,78.682533,80.518126,78.236032,80.270073,28126700
2015-03-05,80.597508,81.351585,80.418909,80.577660,27825700
2015-03-06,80.270101,80.696754,79.208433,79.387032,24488600
2015-03-09,79.059578,79.287791,78.017751,78.821449,18925100
2015-03-10,77.888775,78.642859,76.946175,76.946175,23067100
2015-03-11,77.194216,77.819308,76.658420,76.966003,20215700
2015-03-12,77.491883,78.434490,77.303367,78.315422,16093300
2015-03-13,77.987989,78.761914,77.075154,77.442276,18557300
2015-03-16,77.352976,77.511734,76.757649,77.462120,19305400
2015-03-17,77.749859,79.158801,77.730011,78.742073,22170000
2015-03-18,78.632928,80.607431,78.553549,80.280006,36912400
2015-03-19,80.488369,82.353728,80.369301,82.105675,42099500
2015-03-20,82.740688,83.941265,82.423180,83.147499,44466300
2015-03-23,83.266575,84.298478,82.651407,83.772606,27357300
2015-03-24,84.050418,85.399829,83.861895,84.645744,32576500
2015-03-25,84.834266,84.854107,82.274353,82.274353,37436100
2015-03-26,82.075920,83.117740,81.500434,82.363663,32794800
2015-03-27,82.730761,83.296323,82.234655,82.651390,18372600
2015-03-30,83.157428,83.683300,81.768335,82.552177,24527700
2015-03-31,82.254517,82.849843,81.569887,81.579811,19734300
2015-04-01,81.857635,82.075923,80.240329,81.034096,22058200
2015-04-02,81.609580,81.917163,80.805889,80.924950,19664100
2015-04-06,80.170858,82.165202,80.170858,81.798088,19062900
2015-04-07,82.006456,82.770457,81.579804,81.679024,17467000
2015-04-08,81.986601,82.452943,81.202752,81.639328,18966700
2015-04-09,81.857622,82.155289,81.073772,81.530190,15927300
2015-04-10,81.569897,81.966784,81.272237,81.401222,12529700
2015-04-13,81.292070,83.286422,81.282146,82.363663,26883100
2015-04-14,82.522401,83.038357,81.798090,82.869675,19634200
2015-04-15,82.899442,83.008586,81.629403,82.065979,22390900
2015-04-16,81.827856,82.423182,81.510348,81.669098,13769700
2015-04-17,80.845570,81.470662,79.744213,80.151016,24215000
2015-04-20,80.905105,82.502569,80.607438,82.443031,28796800
2015-04-21,83.345949,83.832131,82.889531,82.968910,27171900
2015-04-22,83.663463,84.080191,82.998681,83.971046,45548000
2015-04-23,83.445162,84.923558,81.768326,81.768326,73728100
2015-04-24,82.125515,82.294197,80.845566,80.895172,29660400
2015-04-27,81.232535,82.284279,80.994398,81.272224,25446000
2015-04-28,81.192843,81.262298,79.605303,80.051796,23775300
2015-04-29,79.387005,80.756257,78.900815,79.843422,26430300
2015-04-30,79.387012,80.329612,77.710169,78.156662,28999000
2015-05-01,78.623000,79.138955,77.501801,78.374947,24136400
2015-05-04,78.712313,79.069511,78.017759,78.196358,14692000
2015-05-05,77.938382,78.186436,76.618736,76.956085,22311300
2015-05-06,77.362897,78.196353,76.450063,77.491882,28663000
2015-05-07,77.392661,78.325344,76.956084,77.819313,19749400
2015-05-08,78.484099,78.613092,77.422431,77.898697,19943600
2015-05-11,77.868930,78.414642,77.323209,77.402588,18874100
2015-05-12,77.263676,77.283517,76.192084,76.856865,21285300
2015-05-13,77.114844,77.918534,77.045389,77.829239,21512300
2015-05-14,78.325348,81.212686,78.057446,80.736427,49438000
2015-05-15,80.776120,80.885257,79.555694,79.793823,27069900
2015-05-18,79.704516,80.746336,79.605296,80.250229,21613700
2015-05-19,80.617349,81.053926,79.922803,80.002174,17955400
2015-05-20,79.843427,80.468519,78.841289,79.922806,23056900
2015-05-21,79.565605,80.289917,79.456461,79.853348,13402700
2015-05-22,79.724365,80.676889,79.625145,79.912888,19567900
2015-05-26,79.803752,79.972427,78.464265,78.712318,16321300
2015-05-27,78.980198,80.031950,78.811524,79.922806,14160900
2015-05-28,79.625137,80.438752,79.377084,79.525917,11982000
2015-05-29,79.327479,79.446548,78.265811,78.573402,16134600
2015-06-01,78.682536,79.754121,78.047520,79.664825,18119000
2015-06-02,79.138969,80.716585,78.940522,79.813675,18923300
2015-06-03,80.716571,81.887384,80.617352,81.798088,31775000
2015-06-04,81.500436,82.304127,80.875344,81.411140,20863900
2015-06-05,81.232525,81.817928,80.875328,81.500420,16143100
2015-06-08,81.182933,81.361532,79.506089,80.041885,16915500
2015-06-09,79.972431,80.557841,78.702398,80.041885,16497500
2015-06-10,80.200625,81.956840,80.180777,81.520271,21531200
2015-06-11,81.669099,82.254509,80.726499,81.192841,18656800
2015-06-12,80.736422,81.450809,80.567740,80.895172,11417900
2015-06-15,79.922808,80.299846,79.446542,80.081558,18805100
2015-06-16,80.190704,80.875334,79.823582,80.428833,13693700
2015-06-17,81.123395,81.579812,80.706659,81.153160,18350300
2015-06-18,81.004319,82.542253,80.934865,82.264435,26782600
2015-06-19,82.185054,82.333888,81.480583,81.867546,23353200
2015-06-22,82.760539,84.308390,82.661312,84.080177,29383100
2015-06-23,84.298463,87.285028,84.100023,87.195724,50667900
2015-06-24,86.977445,88.555061,86.769074,88.168098,41370200
2015-06-25,88.565000,88.703909,87.156051,87.294968,27302000
2015-06-26,87.433874,87.652155,86.153917,87.324730,38214600
2015-06-29,85.935633,86.818703,85.062488,85.131943,35957900
2015-06-30,85.925689,86.024909,84.903710,85.102150,23016500
2015-07-01,86.094375,87.265187,85.816556,86.233292,25260000
2015-07-02,86.719473,86.759162,85.667721,86.610329,16908800
2015-07-06,85.816557,87.503325,85.717338,86.868309,24635900
2015-07-07,87.116372,87.165978,84.566383,86.540886,33059900
2015-07-08,85.618117,86.074534,84.784654,84.983101,24399300
2015-07-09,86.054699,86.917920,84.983106,85.211311,23307400
2015-07-10,86.669856,87.533084,86.094370,87.265182,23245900
2015-07-13,87.969655,89.517506,87.731518,89.398438,29976700
2015-07-14,89.755645,90.093002,88.951955,88.981720,26627800
