Date,open,high,low,close,volume
2015-01-02,36.147539,36.289418,35.792841,36.076599,1572200
2015-01-05,35.792838,36.013537,35.319910,35.430260,2067300
2015-01-06,35.682491,36.084480,35.367204,35.903191,3284500
2015-01-07,36.092369,36.376127,35.918961,36.092369,2434100
2015-01-08,36.399768,36.596822,36.273654,36.518002,2882300
2015-01-09,36.691415,36.715064,36.037198,36.226368,2058000
2015-01-12,36.360356,36.651995,35.658845,36.541645,3485800
2015-01-13,36.336694,36.454927,35.438130,35.824356,2782300
2015-01-14,35.871669,36.194838,35.296273,35.863789,3917600
2015-01-15,36.210601,36.399774,35.777083,35.808613,2228900
2015-01-16,35.824371,36.305182,35.674608,36.250008,2816100
2015-01-20,37.314097,37.684559,36.715055,37.558445,6895700
2015-01-21,37.700317,38.133835,37.416560,37.968307,8476100
2015-01-22,38.196898,38.378187,37.834320,38.354542,4436800
2015-01-23,38.354537,38.354537,37.787022,37.787022,3043700
2015-01-26,37.692434,38.181127,37.668789,38.102306,4145000
2015-01-27,37.794903,38.669822,37.779138,38.315125,2958800
2015-01-28,38.551606,38.583135,37.511162,37.597866,2874500
2015-01-29,37.889507,38.055031,37.463870,38.007740,3472000
2015-01-30,37.613619,39.016640,37.503269,38.378185,5135800
2015-02-02,38.551606,38.827480,38.157499,38.693485,2968800
2015-02-03,38.756532,39.655100,38.693476,39.505337,4331000
2015-02-04,39.126994,39.205817,38.819590,38.890530,2907500
2015-02-05,39.174285,39.276753,38.890527,39.245224,2375600
2015-02-06,39.182167,39.284636,38.898409,39.174286,2124800
2015-02-09,39.568391,39.994028,39.339808,39.796974,4233300
2015-02-10,39.978267,40.057088,39.505337,40.025558,3162100
2015-02-11,40.222618,41.121182,39.710280,40.348732,5207700
2015-02-12,41.255179,41.278824,40.766486,41.018715,4286200
2015-02-13,41.042346,41.467983,40.900467,41.247284,3465700
2015-02-17,41.310351,41.310351,40.829539,40.995064,4062700
2015-02-18,41.294590,41.515289,40.861072,41.515289,3334100
2015-02-19,41.365531,41.885753,41.066009,41.791168,2661900
2015-02-20,41.712334,41.869978,41.404931,41.838451,3528500
2015-02-23,41.791153,42.035501,41.594100,41.751743,3080400
2015-02-24,41.988214,42.114329,41.759631,41.925156,2486000
2015-02-25,41.909387,42.429611,41.885741,42.216793,3534900
2015-02-26,42.122207,42.232559,41.538929,41.933037,3757800
2015-02-27,41.838452,42.098561,41.696573,41.980328,4316000
2015-03-02,41.854213,42.208910,41.199996,42.193146,2706900
2015-03-03,42.058512,42.137702,41.591283,41.662556,2917400
2015-03-04,41.638801,41.670475,40.989429,41.100300,3304600
2015-03-05,41.092404,41.155759,39.437304,39.936211,6993900
2015-03-06,39.571907,39.595664,38.629529,38.827507,6998900
2015-03-09,38.906722,39.183891,38.851288,39.065105,2808600
2015-03-10,38.692895,38.708734,38.273182,38.273182,4595200
2015-03-11,38.463245,38.558274,37.703009,37.893066,3856800
2015-03-12,38.098957,38.502832,37.655485,37.805950,4675000
2015-03-13,37.560463,37.560463,36.958607,37.085316,4360700
2015-03-16,37.077385,37.528775,36.372582,37.140739,5075500
2015-03-17,37.061550,37.631729,36.871492,37.449589,5301200
2015-03-18,37.283282,37.996002,36.982354,37.655479,4334000
2015-03-19,36.919003,37.085307,36.562641,36.689350,3565900
2015-03-20,36.855644,37.227841,36.364656,36.823967,5644000
2015-03-23,36.926913,37.291192,36.681418,37.116970,3733400
2015-03-24,37.156582,37.330804,36.760625,37.156582,3865500
2015-03-25,37.275374,37.695088,36.816066,36.847740,3528800
2015-03-26,36.895255,37.449595,36.831901,37.006123,3871800
2015-03-27,37.132821,37.132821,36.388423,36.467613,4372200
2015-03-30,36.689358,37.663411,36.633921,37.505028,4044000
2015-03-31,37.307049,37.528784,36.388429,36.475540,5448300
2015-04-01,36.633918,36.633918,35.834086,36.008308,4667400
2015-04-02,36.055819,36.507209,35.929113,36.325069,2453000
2015-04-06,36.230052,36.451787,36.000396,36.340919,2917700
2015-04-07,36.332996,36.681437,36.277563,36.301319,2179200
2015-04-08,36.428020,36.823977,36.237960,36.428020,3456800
2015-04-09,36.515131,36.633917,36.364666,36.428020,2308100
2015-04-10,36.507205,36.744782,36.301309,36.309227,2268000
2015-04-13,36.261725,36.546814,36.055826,36.127098,2558000
2015-04-14,36.277551,36.309225,35.913268,36.119167,2274100
2015-04-15,36.325077,36.475543,36.150858,36.388432,3502600
2015-04-16,36.388429,36.681436,36.214207,36.443863,3125000
2015-04-17,36.356740,36.491367,35.865755,35.889511,4482400
2015-04-20,35.968711,36.190448,35.604431,35.636108,4199700
