date,open,high,low,close,volume
2015-01-02,13.0792,13.205,12.8724,13.0522,3179700
2015-01-05,12.9983,13.0612,12.7915,12.8365,3481400
2015-01-06,12.8545,13.5197,12.441,13.3309,16125900
2015-01-07,13.3758,13.5556,13.1781,13.5196,9601500
2015-01-08,13.5916,14.5534,13.5916,14.4006,27679700
2015-01-09,14.3826,14.5264,14.1938,14.4096,9152800
2015-01-12,14.3017,14.4635,14.2298,14.3107,9750200
2015-01-13,14.3736,14.3916,13.9421,14.1219,17136800
2015-01-14,13.9331,14.2837,13.8972,13.9421,18925900
2015-01-15,13.9781,14.1938,13.7624,13.7983,7399400
2015-01-16,13.7264,14.086,13.6635,13.9691,5560700
2015-01-20,13.9601,14.2118,13.9242,14.1039,4269900
2015-01-21,13.9781,14.2028,13.9781,14.1669,4014800
2015-01-22,14.1039,14.1579,13.8972,14.1039,4293900
2015-01-23,14.095,14.2927,13.8073,13.9511,7688900
2015-01-26,13.6815,14.05,13.6725,14.05,5822700
2015-01-27,13.9062,14.041,13.7893,13.9152,3493300
2015-01-28,14.014,14.068,13.7354,13.7534,4505400
2015-01-29,13.8253,13.9601,13.4208,13.7264,6586200
2015-01-30,13.6365,14.1759,13.5736,13.9242,11557400
2015-02-02,13.9062,13.9421,13.3938,13.8433,8577600
2015-02-03,14.2118,14.3646,14.1669,14.3287,9321900
2015-02-04,14.1399,14.5534,14.1219,14.4995,8467500
2015-02-05,14.5174,14.5534,14.3916,14.5444,6680200
2015-02-06,14.5624,14.7422,14.5444,14.5894,7267800
2015-02-09,14.5444,14.5444,14.3556,14.4455,4412400
2015-02-10,14.5624,14.7601,14.4815,14.6972,7779600
2015-02-11,14.7332,14.7961,14.4815,14.7062,7328100
2015-02-12,14.8141,14.886,14.5624,14.8411,6185300
2015-02-13,14.85,15.0568,14.7961,14.913,7984500
2015-02-17,14.85,14.886,14.5624,14.6882,10002700
2015-02-18,14.6972,14.7422,14.5354,14.5894,9004100
2015-02-19,14.5983,14.7871,14.5534,14.7422,8223600
2015-02-20,14.6613,15.0838,14.3736,14.6433,18541500
2015-02-23,14.5714,14.6163,14.3736,14.4635,5147400
2015-02-24,14.4365,14.5983,14.3916,14.5444,7422000
2015-02-25,14.3287,14.7781,14.3287,14.6882,11431800
2015-02-26,14.7332,14.7512,14.4096,14.4725,6482000
2015-02-27,14.4725,14.6163,14.4455,14.4905,9878800
2015-03-02,14.6523,14.8051,14.5354,14.7512,8150900
2015-03-03,14.5624,14.6972,14.3466,14.3826,8055300
2015-03-04,14.3017,14.5894,14.2118,14.5714,5227100
2015-03-05,14.6343,14.8411,14.4815,14.8411,7847500
2015-03-06,15.0208,15.0478,14.8231,14.886,10584200
2015-03-09,14.8321,14.9759,14.7601,14.8321,6201600
2015-03-10,14.796,14.9223,14.7058,14.7238,5585800
2015-03-11,14.7509,14.7869,14.5614,14.6065,5481000
2015-03-12,14.2547,14.6246,14.2547,14.4982,5129900
2015-03-13,14.4531,14.5704,14.3539,14.4892,4090000
2015-03-16,14.4892,14.6336,14.399,14.4261,5374100
2015-03-17,14.4441,14.4712,14.1283,14.1915,7293400
2015-03-18,14.2186,14.3629,14.0111,14.2817,4312000
2015-03-19,14.2366,14.4351,14.2095,14.2547,3703000
2015-03-20,14.3629,14.4261,14.1644,14.1825,7464300
2015-03-23,14.1644,14.2456,14.002,14.0562,7095100
2015-03-24,14.0652,14.1013,13.8848,13.9569,4594600
2015-03-25,14.0381,14.0381,13.3976,13.4156,11158500
2015-03-26,13.2622,13.6321,13.1089,13.4968,7742000
2015-03-27,13.4878,13.7945,13.3434,13.7494,7631700
2015-03-30,13.7584,13.7675,13.5419,13.6953,4602300
2015-03-31,13.6863,13.6863,13.2171,13.2622,8957900
2015-04-01,13.2262,13.5239,13.2262,13.5058,7544900
2015-04-02,13.4337,13.5329,13.3164,13.3254,4849600
2015-04-06,12.9645,13.569,12.9645,13.4698,6616700
2015-04-07,13.5961,13.8036,13.4697,13.587,5803600
2015-04-08,13.5509,13.6682,13.4156,13.5329,5439700
2015-04-09,13.6231,13.8938,13.5149,13.8757,6092500
2015-04-10,13.7585,13.8757,13.7314,13.7765,2623400
2015-04-13,13.7494,13.8848,13.6682,13.7675,4363200
2015-04-14,13.7314,13.7765,13.5961,13.6682,5355000
2015-04-15,13.7585,13.8757,13.6502,13.8577,4338500
2015-04-16,13.8848,13.9569,13.7765,13.8306,4672000
2015-04-17,13.7133,13.7855,13.4337,13.5419,4273000
2015-04-20,13.5329,13.6502,13.4607,13.5509,3837700
2015-04-21,13.6502,13.6773,13.4427,13.4788,3384400
2015-04-22,13.5329,13.6231,13.2262,13.3164,7905200
2015-04-23,13.0096,13.154,12.9916,13.1179,10513100
2015-04-24,13.1991,13.2081,12.6758,12.9104,9715600
2015-04-27,12.4683,12.9194,12.3691,12.6939,14790400
2015-04-28,12.6397,12.748,12.4593,12.739,5986300
2015-04-29,12.4593,12.7931,12.4593,12.6848,7376200
2015-04-30,12.6397,12.766,12.5585,12.6397,6961700
2015-05-01,12.7209,12.9645,12.6488,12.9014,4173400
2015-05-04,12.9735,12.9826,12.7751,12.7841,3635500
