Date,open,high,low,close,volume
2015-01-02,56.386355,56.544980,55.401221,55.526451,1077900
2015-01-05,55.301021,55.493041,54.232403,54.315887,1628800
2015-01-06,54.265791,54.449461,53.522768,53.856712,1738500
2015-01-07,54.265801,54.265801,53.372503,53.789932,1567600
2015-01-08,54.190678,54.791771,54.165627,54.624802,1234800
2015-01-09,54.825162,54.992137,54.349293,54.357643,908500
2015-01-12,54.357647,54.474526,52.445819,53.723152,5705400
2015-01-13,54.274155,54.833509,53.263974,53.522781,3212900
2015-01-14,53.188829,53.489379,52.738005,53.230572,1554500
2015-01-15,53.414239,53.714785,52.888277,52.938370,1471100
2015-01-16,52.729671,53.497743,52.662884,53.472698,1668100
2015-01-20,53.781584,53.965254,53.147093,53.447639,1635400
2015-01-21,53.230587,53.781593,53.080315,53.689758,1171600
2015-01-22,53.898456,54.733314,53.589562,54.566345,970400
2015-01-23,54.599740,55.175788,54.599740,54.666531,771200
2015-01-26,54.532945,55.050560,54.374320,54.858540,815900
2015-01-27,54.274157,54.583051,53.840027,54.215717,974600
2015-01-28,54.649837,54.750022,53.289020,53.297367,1003500
2015-01-29,53.222238,53.422605,52.546001,53.289028,1459600
2015-01-30,53.038552,53.163782,52.028374,52.103512,2298600
2015-02-02,52.379026,52.437466,51.669394,52.437466,2801000
2015-02-03,52.712960,53.489379,52.712960,53.439289,2474600
2015-02-04,53.556178,54.841861,52.520952,53.380856,3794200
2015-02-05,53.305720,53.514435,52.729669,53.430950,2375800
2015-02-06,53.439301,54.340943,53.322418,53.981960,1587100
2015-02-09,58.531918,58.657148,55.943859,56.586697,7313900
2015-02-10,56.453134,57.087622,56.119190,56.954048,2444300
2015-02-11,56.920637,57.421551,56.920637,57.246231,1592100
2015-02-12,57.496721,58.456804,57.496721,58.440109,2193800
2015-02-13,58.431732,58.490172,58.072743,58.364948,2294000
2015-02-17,58.164593,58.565328,57.855699,58.264778,1880400
2015-02-18,58.139530,58.256409,57.613571,57.705406,1587600
2015-02-19,57.922475,58.156241,57.563486,57.630276,1893800
2015-02-20,57.555141,58.331559,57.429911,58.298164,2353900
2015-02-23,58.314869,58.314869,57.171117,57.296341,1415400
2015-02-24,57.221218,57.438283,56.945713,57.212868,1138300
2015-02-25,57.171096,57.171096,56.711922,56.787056,1416100
2015-02-26,56.862201,57.246235,56.561651,57.162750,1554700
2015-02-27,57.012471,57.187791,56.444767,56.720272,5007200
2015-03-02,56.770377,57.738816,56.770377,57.513401,1490900
2015-03-03,57.321394,57.605243,56.853869,56.887264,1197500
2015-03-04,56.595060,56.695245,55.910476,56.469830,1351400
2015-03-05,56.695243,56.887256,56.536617,56.711937,1053200
2015-03-06,56.411384,56.603404,55.643316,55.785240,1313400
2015-03-09,55.785222,55.985586,55.476322,55.576508,1295800
2015-03-10,55.301027,55.392862,54.282499,54.541309,1971400
2015-03-11,54.826645,55.221082,54.725935,54.809856,1330300
2015-03-12,54.314731,54.835048,54.272767,54.516144,1657400
2015-03-13,54.558096,54.868605,53.861536,54.381859,1557700
2015-03-16,54.516134,55.388930,54.457388,55.271439,1032900
2015-03-17,54.927369,54.986114,54.465798,54.818272,1226700
2015-03-18,54.616822,56.286880,54.608428,55.934406,1437500
2015-03-19,55.766575,56.236546,55.430889,55.674259,1383500
2015-03-20,55.842092,56.471511,55.766558,56.085468,2748700
2015-03-23,56.026732,56.228145,55.825314,55.825314,904800
2015-03-24,55.900855,56.127443,55.573557,55.581951,843500
2015-03-25,55.565168,55.573563,54.759512,54.843433,1219000
2015-03-26,54.490953,55.019663,54.155261,54.902172,957100
2015-03-27,54.876982,55.078394,54.197211,54.868587,1213000
2015-03-30,55.263042,55.774970,55.153945,55.716225,969000
2015-03-31,55.598729,56.144227,55.506414,55.951202,1722900
2015-04-01,55.942815,56.018342,55.447668,55.951202,1109400
2015-04-02,55.951211,56.614200,51.318685,52.460030,8069900
2015-04-06,52.107540,52.233425,51.578827,51.595612,3462600
2015-04-07,51.595617,52.359313,51.427771,52.023624,1358000
2015-04-08,51.948108,52.418072,51.612416,52.384502,1488300
2015-04-09,52.258599,52.401266,51.864162,52.300560,923900
2015-04-10,52.241821,52.527158,52.124329,52.476803,900400
2015-04-13,52.476808,52.862855,51.948098,52.006844,1257000
2015-04-14,52.040403,52.149504,51.738285,51.956482,1286100
2015-04-15,51.998450,52.308966,51.830604,51.880959,1273300
2015-04-16,51.788643,52.141119,51.788643,51.914528,1936400
2015-04-17,51.620796,51.704721,50.748003,50.924240,2097700
2015-04-20,51.209573,51.578832,51.201179,51.327065,1424600
2015-04-21,51.478127,51.788640,51.410987,51.553658,1273200
2015-04-22,51.704731,51.872577,51.536885,51.687946,993900
2015-04-23,51.343847,51.578829,51.058510,51.058510,1380600
2015-04-24,51.285107,51.285107,50.504627,50.831924,1823400
2015-04-27,51.066914,51.327075,50.748010,51.176014,1456300
2015-04-28,51.167614,51.310281,50.672471,50.932629,993200
2015-04-29,50.773171,50.932623,50.118576,50.135361,1366800
2015-04-30,49.891990,50.219287,49.782889,50.143757,1890000
2015-05-01,50.454282,50.664089,50.387146,50.588558,1526400
2015-05-04,50.664079,50.999771,50.638903,50.924240,993700
2015-05-05,50.034656,50.479448,48.842956,49.170254,2343800
2015-05-06,50.638901,50.764786,48.842957,49.304531,2316200
2015-05-07,49.757724,50.689266,49.615054,50.361965,1862800
2015-05-08,50.823530,51.192788,50.697644,50.848705,1040200
2015-05-11,50.747994,50.873876,50.152141,50.185711,1216100
2015-05-12,49.875215,50.093413,49.598269,49.866821,769100
2015-05-13,49.891990,50.118581,49.698968,49.724144,825400
2015-05-14,50.034664,50.269649,49.866818,50.177334,906800
2015-05-15,50.177320,50.294811,49.715747,49.766098,1300000
2015-05-18,49.698960,50.496222,49.698960,50.454262,1630000
2015-05-19,50.647285,50.647285,50.126965,50.185711,760500
2015-05-20,50.269635,50.378732,50.026259,50.185711,563600
2015-05-21,50.059843,50.303216,50.009488,50.177334,650100
2015-05-22,49.925563,50.135369,49.749323,50.068230,1049900
2015-05-26,49.850031,49.850031,49.270963,49.606655,1095400
2015-05-27,49.808051,49.808051,49.262556,49.564678,1571100
2015-05-28,49.480762,50.244457,49.388447,50.043045,854600
2015-05-29,49.992702,50.126978,49.514343,49.514343,1769300
2015-06-01,49.589854,50.345159,49.396833,50.059822,1196000
2015-06-02,49.866812,50.135367,49.472378,49.673790,1159000
2015-06-03,49.883594,50.051440,49.615042,49.917164,815600
2015-06-04,49.715754,50.001091,49.296141,49.346493,677500
2015-06-05,49.405247,49.405247,49.002419,49.187050,533400
2015-06-08,49.128296,49.136686,48.582797,48.742252,887900
2015-06-09,48.817775,48.918484,48.473692,48.591187,852600
2015-06-10,48.725467,49.262571,48.574406,49.086334,830700
2015-06-11,49.348012,49.584372,49.153862,49.423985,896500
2015-06-12,49.069456,49.120102,48.427913,48.664272,1131400
2015-06-15,48.250649,49.010370,47.972087,48.917515,1186800
2015-06-16,48.934404,49.255173,48.723371,49.111671,947800
2015-06-17,49.272042,49.381780,48.529208,48.934391,1060100
2015-06-18,48.959706,49.457745,48.942823,49.288918,1212500
2015-06-19,49.145415,49.246710,48.773995,49.001911,2303000
2015-06-22,49.162305,50.040201,49.001918,49.989555,1238700
2015-06-23,50.234347,50.420058,49.719429,49.905136,1085900
2015-06-24,49.744762,49.854500,49.196074,49.204517,741600
2015-06-25,49.381775,49.432424,49.001914,49.255154,845600
2015-06-26,49.204511,49.348012,48.909063,49.280483,4395100
2015-06-29,48.714913,49.035684,48.149345,48.233757,1067600
2015-06-30,48.799324,48.799324,48.199987,48.402580,1520900
2015-07-01,48.849964,48.849964,48.301279,48.622047,827800
2015-07-02,48.731799,48.731799,48.453237,48.546089,765200
2015-07-06,48.022723,48.351935,47.929868,48.301289,892700
2015-07-07,48.225321,48.655827,47.609104,48.529209,1375900
2015-07-08,48.427896,48.605167,47.896095,47.938301,1455900
2015-07-09,48.487012,48.562984,48.031182,48.064945,1262900
2015-07-10,48.512331,48.672715,48.174677,48.520771,914000
2015-07-13,48.875300,49.348012,48.782444,49.322689,692300
2015-07-14,49.373338,49.651901,49.288923,49.466190,809200
2015-07-15,49.390223,49.786967,49.314251,49.710995,1133700
2015-07-16,49.913591,50.090859,49.820736,50.048653,846800
2015-07-17,50.065535,50.209036,49.457758,49.677231,735500
2015-07-20,50.225918,50.293450,49.803852,50.141506,1142600
2015-07-21,50.065519,50.293435,49.879809,50.284992,1378300
2015-07-22,50.040208,50.403185,49.981118,50.099297,970800
2015-07-23,50.200596,50.225919,49.575936,49.677231,818100
2015-07-24,49.635024,50.479157,49.550612,50.225918,1315300
2015-07-27,50.082409,50.082409,49.474632,49.559044,880200
2015-07-28,49.702555,49.913589,49.246723,49.896706,734800
