date,open,high,low,close,volume
2020-03-19,36.345808,41.797680,36.345808,41.116196,7000.000000
2020-03-20,40.898127,41.806772,40.889042,40.889042,3600.000000
2020-03-23,38.163096,38.163096,36.327633,36.345806,11900.000000
2020-03-24,36.345806,36.345806,35.437161,36.345806,77800.000000
2020-03-25,36.345808,40.707305,34.528518,37.263538,7000.000000
2020-03-26,40.889042,43.160655,40.207558,40.889042,29100.000000
2020-03-27,40.889034,43.160647,40.879949,41.102566,263200.000000
2020-03-30,40.207552,45.432262,40.207552,45.432262,118100.000000
2020-03-31,42.252004,45.432262,40.689133,45.432262,210300.000000
2020-04-01,41.788605,44.069304,39.980399,42.433743,1206100.000000
2020-04-02,40.910836,44.214671,39.253469,39.980385,9264200.000000
2020-04-03,39.753230,44.796210,37.981371,42.997093,22551600.000000
2020-04-06,42.706325,43.478672,40.616442,41.743160,10294200.000000
2020-04-07,41.025334,42.697241,39.008140,40.234810,12146500.000000
2020-04-08,38.353925,41.070777,37.490711,40.062180,22265800.000000
2020-04-09,40.025821,45.659422,39.980390,44.650826,17355600.000000
2020-04-13,44.114716,44.223753,41.543253,41.797672,8545100.000000
2020-04-14,41.715908,42.070279,39.953137,41.697735,10152100.000000
2020-04-15,40.153028,40.752734,38.890012,40.480141,7935500.000000
2020-04-16,40.053085,42.167503,39.571501,41.452396,8740200.000000
2020-04-17,42.706326,44.123814,41.724988,41.933979,7878100.000000
2020-04-20,40.889041,42.688158,40.798178,41.243412,5407500.000000
2020-04-21,40.434724,42.888068,40.434724,41.706829,6939700.000000
2020-04-22,42.988008,45.023372,41.797682,42.751759,6801900.000000
2020-04-23,43.106134,43.651324,42.233836,43.133396,5174800.000000
2020-04-24,43.633151,44.069301,42.079368,43.478680,6446900.000000
2020-04-27,43.687659,44.160152,43.260595,43.814869,5541100.000000
2020-04-28,44.587219,46.295473,44.205590,45.305050,5368200.000000
2020-04-29,46.131917,47.004216,45.168752,46.477203,4343900.000000
2020-04-30,46.313641,46.886085,45.886577,46.259121,6123800.000000
2020-05-01,45.732129,45.913855,43.896664,45.168766,3089700.000000
2020-05-04,44.387317,45.132405,43.169732,45.005196,5676600.000000
2020-05-05,45.005202,46.013799,43.578630,43.696754,4103600.000000
2020-05-06,44.169241,44.523612,43.515016,43.896648,2931800.000000
2020-05-07,44.541798,48.421714,44.514540,47.076920,4803200.000000
2020-05-08,47.358589,49.221311,47.349504,48.112766,4289400.000000
2020-05-11,47.249561,47.613020,46.395436,47.076920,3150600.000000
2020-05-12,47.422189,47.513055,45.150576,45.177837,3059800.000000
2020-05-13,44.523605,45.704843,43.510464,43.805775,4567000.000000
2020-05-14,43.260596,43.978427,42.915310,43.614967,4849900.000000
2020-05-15,42.997088,44.723515,42.888051,44.423660,2981400.000000
2020-05-18,45.541290,47.558483,45.541290,47.367668,4452600.000000
2020-05-19,46.958791,48.092781,46.390888,47.531239,2050300.000000
2020-05-20,47.749311,49.702900,47.681162,48.321758,4755100.000000
2020-05-21,47.756267,48.841635,47.309348,47.455280,3813100.000000
2020-05-22,47.847474,48.084616,46.442877,47.163418,2134300.000000
2020-05-26,48.367349,49.242944,46.242215,46.415508,6247000.000000
2020-05-27,47.053977,48.020778,46.306075,47.774517,5202300.000000
2020-05-28,48.221422,48.294390,46.451998,46.479359,4260700.000000
2020-05-29,46.005089,48.221433,45.767951,48.020779,7522700.000000
2020-06-01,47.838348,49.653375,47.528242,49.325031,3073300.000000
2020-06-02,49.398005,49.936129,48.604500,49.388885,2638100.000000
2020-06-03,50.164146,50.693152,49.753712,50.592823,4134500.000000
2020-06-04,50.437774,51.678198,49.881408,50.528984,3281300.000000
2020-06-05,52.745316,53.547028,51.076217,53.420250,4615100.000000
2020-06-08,53.520566,55.928444,53.228703,55.873718,5966500.000000
2020-06-09,55.089360,56.056158,54.031353,55.317379,4610200.000000
2020-06-10,55.280894,55.600119,53.830694,53.839813,2658300.000000
2020-06-11,51.076230,52.964226,50.807169,51.304249,3293900.000000
2020-06-12,52.654115,53.794210,50.255356,51.112709,4313000.000000
2020-06-15,49.717230,52.717959,49.097022,52.599388,4464300.000000
2020-06-16,54.268495,54.542117,52.330334,52.763569,3510300.000000
2020-06-17,53.009821,53.073666,51.495776,51.751160,2441500.000000
2020-06-18,51.477537,52.608512,51.295125,52.435219,2137500.000000
2020-06-19,53.775963,53.775963,51.030618,51.988297,7096100.000000
2020-06-22,51.878860,53.064557,51.659960,52.043034,2027000.000000
2020-06-23,52.617628,52.781802,51.614347,51.805882,2386900.000000
2020-06-24,51.213036,51.960938,50.392167,50.656670,3022000.000000
2020-06-25,50.209752,51.532262,49.945249,51.258640,2942900.000000
2020-06-26,51.286001,51.514020,49.655212,50.884689,6634300.000000
2020-06-29,50.975881,51.805869,50.465121,51.596092,2257300.000000
2020-06-30,51.048857,52.079499,50.629300,51.860603,2518100.000000
2020-07-01,51.988302,51.988302,50.848207,50.875568,2400200.000000
2020-07-02,51.468404,52.207187,50.866435,51.532249,3162900.000000
2020-07-06,52.334883,52.517299,51.468411,51.860603,1999100.000000
2020-07-07,51.468411,52.271038,51.185666,51.824120,2537900.000000
2020-07-08,52.015662,52.125113,51.322486,51.915333,6694900.000000
2020-07-09,51.860597,52.845636,51.140057,51.176540,2424200.000000
2020-07-10,51.285998,52.271041,51.112705,51.970055,2137300.000000
2020-07-13,51.586983,52.845645,51.500335,51.887966,2882500.000000
