date,open,high,low,close,volume
2015-01-02,20.433332,20.493334,19.600000,20.236668,9902400
2015-01-05,20.121668,20.698334,20.030001,20.621668,8101200
2015-01-06,20.666668,20.865000,19.681667,20.308332,8107200
2015-01-07,20.726667,21.161667,20.605000,20.921667,7582800
2015-01-08,21.093332,21.270000,20.966667,21.201668,4288800
2015-01-09,21.198334,21.570000,20.963333,20.969999,5563200
2015-01-12,20.998333,21.338333,20.666668,21.213333,5253000
2015-01-13,21.233334,21.431667,20.530001,20.791668,6830400
2015-01-14,20.631666,21.080000,20.533333,21.049999,4902600
2015-01-15,21.176666,21.198334,20.216667,20.346666,6967800
2015-01-16,20.278334,20.863333,20.263332,20.834999,5076000
2015-01-20,20.834999,20.995001,20.376667,20.743334,4658400
2015-01-21,20.778334,21.031668,20.510000,20.891666,4549800
2015-01-22,20.916668,20.938334,20.184999,20.613333,6247800
2015-01-23,20.379999,21.363333,20.295000,21.135000,7120800
2015-01-26,21.103333,21.221666,20.760000,21.155001,6809400
2015-01-27,20.750000,21.258333,20.625000,21.000000,3831000
2015-01-28,21.195000,21.469999,20.766666,20.908333,5195400
2015-01-29,20.948334,21.666668,20.838333,21.548332,7269600
2015-01-30,21.421667,21.594999,20.945000,21.065001,7054800
2015-02-02,21.026667,21.121668,20.440001,20.851667,8651400
2015-02-03,20.933332,20.933332,20.218332,20.588333,8341800
2015-02-04,20.358334,21.038334,20.358334,20.946667,5437800
2015-02-05,21.141666,21.233334,20.968332,21.184999,4797600
2015-02-06,21.268333,21.358334,20.785000,20.936666,4248000
2015-02-09,20.931667,21.016666,20.598333,20.838333,3883800
2015-02-10,21.059999,21.490000,20.966667,21.405001,3906600
2015-02-11,21.568333,22.030001,21.525000,21.953333,7326000
2015-02-12,22.420000,22.493334,22.038334,22.168333,6999600
2015-02-13,22.525000,22.661667,22.105000,22.545000,7425600
2015-02-17,22.764999,23.053333,22.476667,22.815001,7772400
2015-02-18,22.821667,22.875000,22.483334,22.813334,4373400
2015-02-19,22.981667,23.196667,22.803333,22.985001,4804800
2015-02-20,23.011667,23.748333,22.959999,23.601667,6699600
2015-02-23,23.756666,23.916668,22.773333,23.033333,10122600
2015-02-24,23.086666,23.368334,22.990000,23.101667,5619000
2015-02-25,23.166668,23.725000,23.155001,23.676666,7074600
2015-02-26,23.806667,24.379999,23.788334,23.841667,10239000
2015-02-27,24.083332,24.088333,23.598333,23.703333,9945000
2015-03-02,23.703333,24.400000,23.703333,24.330000,19134600
2015-03-03,23.695000,24.891666,23.331667,24.816668,31173000
2015-03-04,24.761667,24.761667,23.738333,23.918333,17479200
2015-03-05,23.993334,24.121668,23.730000,23.856667,10623600
2015-03-06,23.863333,24.000000,23.370001,23.455000,8271600
2015-03-09,23.428333,23.491667,22.344999,23.121668,15926400
2015-03-10,22.823334,23.110001,22.525000,23.091667,9442800
2015-03-11,23.091667,23.538334,22.968332,23.426666,8375400
2015-03-12,23.578333,23.658333,23.253332,23.556667,6295800
2015-03-13,23.476667,23.828333,23.280001,23.556667,5750400
2015-03-16,23.626667,24.026667,23.565001,24.021667,7023600
2015-03-17,23.826668,24.275000,23.709999,24.153334,6416400
2015-03-18,24.000000,24.344999,23.799999,24.193333,7336200
2015-03-19,24.178333,24.463333,24.145000,24.365000,5767200
2015-03-20,24.401667,24.481667,23.968332,24.013332,14763000
2015-03-23,24.018333,24.040001,23.525000,23.553333,7546800
