date,open,high,low,close,volume
2015-01-02,32.402842,32.682416,32.025414,32.318970,1998000
2015-01-05,32.437794,32.808231,32.172196,32.374889,4599100
2015-01-06,32.367902,32.591562,31.976495,32.144241,3249100
2015-01-07,32.451773,32.759306,32.151229,32.731350,2262300
2015-01-08,32.934053,33.283523,32.766309,33.241589,1826500
2015-01-09,33.017920,33.234590,32.801248,32.948025,1942100
2015-01-12,33.031885,33.157694,31.501208,32.906078,1992500
2015-01-13,33.199632,33.584048,32.668439,32.906078,2104800
2015-01-14,32.661460,32.968992,32.430811,32.948025,2452500
2015-01-15,32.941025,33.129739,32.717364,32.906078,2277100
2015-01-16,32.857152,33.080815,32.752312,33.059845,2511300
2015-01-20,33.402335,33.409323,32.892109,33.227600,1577300
2015-01-21,33.185650,33.276513,32.878118,33.094788,1799200
2015-01-22,33.199633,33.577061,32.864143,33.521145,1833000
2015-01-23,33.528140,33.884598,33.402330,33.814705,2061100
2015-01-26,33.765767,33.828671,33.346401,33.674904,1531000
2015-01-27,33.395346,33.542126,33.031897,33.318462,1740500
2015-01-28,33.514154,33.591038,32.717363,32.766289,2472000
2015-01-29,32.787440,32.864952,32.343511,32.681744,2919100
2015-01-30,32.519677,32.590141,31.850257,31.892534,3166000
2015-02-02,32.019361,32.428060,31.371083,32.385780,3180800
2015-02-03,32.716970,33.055202,32.505575,33.055202,2921200
2015-02-04,32.984745,33.322978,32.977697,33.167953,2252900
2015-02-05,33.238418,33.463909,32.984746,33.463909,2387800
2015-02-06,33.499139,33.858511,33.470953,33.633022,2277500
2015-02-09,33.576648,33.731669,33.301831,33.428669,1966900
2015-02-10,33.463903,33.823274,33.386391,33.773949,1426100
2015-02-11,33.766906,33.992397,33.703490,33.936024,1088300
2015-02-12,33.964199,34.126268,33.886687,34.112175,1306800
2015-02-13,34.147404,34.415172,34.013521,34.358799,1260400
2015-02-17,34.358799,34.415172,33.957148,34.358799,2100500
2015-02-18,34.408142,34.520886,34.253117,34.499744,1341100
2015-02-19,34.450402,34.689983,34.288332,34.689983,1135700
2015-02-20,34.633628,34.971860,34.499742,34.922535,2146500
2015-02-23,34.978895,35.014127,34.746361,34.901382,1140800
2015-02-24,34.901381,35.211430,34.689986,35.211430,2023400
2015-02-25,35.232574,35.366457,35.063457,35.176201,1744700
2015-02-26,35.176191,35.211426,34.964797,35.190285,1822200
2015-02-27,35.232568,35.246661,35.007079,35.119823,2040000
2015-03-02,35.204394,35.521488,35.091650,35.514442,1342100
2015-03-03,35.239624,35.514441,34.429277,34.760464,4770800
2015-03-04,34.668859,34.746371,34.302439,34.379951,2123800
2015-03-05,34.351762,34.661808,34.274250,34.654762,1766100
2015-03-06,34.513837,34.711139,33.879652,34.492699,2084500
2015-03-09,34.499735,34.809784,34.478597,34.725224,1476700
2015-03-10,34.408127,34.746359,34.217870,34.527916,2671100
2015-03-11,34.534957,34.647701,34.394029,34.520866,2113200
2015-03-12,34.704090,35.429880,34.668858,35.415787,2370600
2015-03-13,35.281900,35.401692,34.859110,35.176201,1815900
2015-03-16,35.422842,35.972469,35.288959,35.944283,1959900
2015-03-17,35.810400,35.965424,35.697656,35.944283,1558500
2015-03-18,35.937229,36.345929,35.493298,36.148624,2413900
2015-03-19,36.176806,36.289551,35.951318,36.106342,1258500
2015-03-20,36.360010,36.430477,36.155663,36.374104,2278300
2015-03-23,36.402299,36.444579,36.120438,36.120438,1717300
2015-03-24,36.155672,36.303649,36.007694,36.148624,2528100
2015-03-25,35.803343,35.901994,34.654760,34.668854,3855600
2015-03-26,34.450400,34.760449,34.210819,34.534958,2489300
2015-03-27,34.443370,34.985952,34.351765,34.915485,2184800
2015-03-30,35.035262,35.324169,35.000027,35.239609,1352500
2015-03-31,35.169159,35.274858,34.957764,34.964809,1798900
2015-04-01,34.682947,34.915481,34.309480,34.880249,2334600
2015-04-02,35.098696,35.098696,34.605439,34.704090,1808800
2015-04-06,34.943660,35.000031,34.591334,34.675892,2222700
2015-04-07,34.654755,34.809779,34.619523,34.626568,1914800
2015-04-08,34.619526,34.915478,34.471547,34.767502,2127800
2015-04-09,34.816839,34.859119,34.379956,34.802746,1141700
2015-04-10,34.950712,34.957760,34.675898,34.725224,1374600
2015-04-13,34.795686,34.936617,34.534963,34.570198,1217700
2015-04-14,34.344714,34.654760,34.337666,34.457458,929100
2015-04-15,34.499735,34.647711,34.386991,34.513828,1101700
2015-04-16,34.386993,34.661806,34.253110,34.556110,1198800
2015-04-17,34.330617,34.520873,33.823267,34.020569,2139100
2015-04-20,34.196735,34.577247,34.055806,34.513828,1397700
2015-04-21,35.056407,35.091639,34.549057,34.570198,1509400
2015-04-22,34.704085,34.830922,34.379946,34.725224,1246900
2015-04-23,34.598386,35.028223,34.534967,34.894341,1105400
2015-04-24,34.887285,34.887285,34.231962,34.689983,1320900
2015-04-27,34.767504,34.795690,34.457458,34.725224,1673200
2015-04-28,34.626565,34.760450,34.372890,34.718170,1302100
2015-04-29,34.513835,34.612486,34.267208,34.415184,1376300
2015-04-30,34.288340,34.492689,33.957153,34.098083,1728500
2015-05-01,34.182641,34.520876,34.126270,34.422222,1837200
2015-05-04,34.492700,34.908445,34.436327,34.802746,3355100
2015-05-05,34.774551,34.774551,34.288343,34.591343,2230100
2015-05-06,34.584289,34.753404,34.260148,34.527916,2037500
2015-05-07,34.513714,34.826186,34.400089,34.655746,1580500
2015-05-08,34.904310,35.195475,34.819089,34.890106,1454100
2015-05-11,34.797785,35.053443,34.733871,34.847496,1605500
2015-05-12,34.762289,35.003744,34.471124,34.804897,1823400
2015-05-13,34.904295,35.124443,34.712552,34.776466,1114800
2015-05-14,34.982421,35.479533,34.961117,35.458229,1550600
2015-05-15,35.571858,35.642872,35.230982,35.358810,1235200
2015-05-18,35.266498,35.692592,35.266498,35.593170,1620100
2015-05-19,35.593170,35.806217,35.415631,35.742306,1119100
2015-05-20,35.770717,35.990867,35.614484,35.706802,1167000
2015-05-21,35.756503,35.792013,35.593167,35.692589,1010700
2015-05-22,35.685474,35.777795,35.394309,35.408512,1351600
2015-05-26,35.301991,35.401413,34.826186,35.017929,1402600
2015-05-27,34.954014,35.401412,34.946911,35.309093,1317600
2015-05-28,35.266482,35.358804,35.088943,35.209671,1121900
2015-05-29,35.088940,35.209668,34.826182,35.088940,2042600
2015-06-01,35.209668,35.358801,34.861689,35.088940,1258900
2015-06-02,34.946923,35.131565,34.655757,34.911415,3412100
2015-06-03,34.932712,35.025034,34.691258,34.797783,2851900
2015-06-04,34.783568,34.897193,34.222542,34.222542,2149600
2015-06-05,34.208351,34.520823,34.116032,34.392994,2454400
