date,open,high,low,close,volume
2015-01-02,107.218767,107.467640,105.733759,107.152397,791300
2015-01-05,103.676323,104.713335,102.207910,102.556351,1631500
2015-01-06,102.531468,103.319601,100.540410,101.054764,1757300
2015-01-07,102.041992,102.855013,101.370011,101.842888,1309100
2015-01-08,103.551886,105.078371,102.855017,105.061775,1171100
2015-01-09,105.401907,105.401907,103.634835,104.406372,2069500
2015-01-12,104.414678,105.194513,103.601658,104.356606,2788300
2015-01-13,105.269174,106.430622,101.594002,103.012634,1580600
2015-01-14,101.345161,102.033733,100.432585,101.519379,1452800
2015-01-15,102.224495,102.324044,99.445304,99.495079,1375800
2015-01-16,99.345759,99.677604,97.794387,99.553162,2216700
2015-01-20,99.735658,100.921999,98.881161,100.482307,1220600
2015-01-21,100.117308,101.544237,99.694205,101.303650,1129400
2015-01-22,101.793089,102.315747,100.573568,102.033676,1845400
2015-01-23,101.751627,102.398722,101.087937,101.187492,1284900
2015-01-26,101.403196,101.950735,100.341290,101.842888,2211400
2015-01-27,101.610589,102.531450,98.856285,100.673126,3174100
2015-01-28,100.615054,100.615054,96.599747,97.122398,2957100
2015-01-29,97.246842,98.458071,96.276200,98.391701,1175800
2015-01-30,97.487426,98.499550,96.450414,96.616333,1316800
2015-02-02,97.437654,99.271097,96.491900,99.254501,1620800
2015-02-03,99.992852,100.714615,99.685900,100.590172,1093500
2015-02-04,100.175366,100.415954,98.831396,99.320869,1094200
2015-02-05,99.553185,100.540423,98.914388,99.826958,841900
2015-02-06,100.135500,101.069555,99.968707,100.560829,1578000
2015-02-09,100.202240,101.336448,99.851972,100.777679,1268700
2015-02-10,101.361465,101.428184,100.035439,101.169647,1301300
2015-02-11,101.077899,101.228015,99.243155,100.385704,1399600
2015-02-12,101.077908,101.903549,100.685945,101.603317,1069800
2015-02-13,101.845172,104.021850,101.720074,103.463081,1327100
2015-02-17,103.388007,103.671556,102.028622,102.745842,777400
2015-02-18,102.662458,103.162843,101.886860,102.453964,865000
2015-02-19,101.795156,102.896005,101.578327,102.787590,907700
2015-02-20,102.478963,103.229542,101.670011,103.154488,924600
2015-02-23,102.904348,103.146202,101.928597,102.695854,682500
2015-02-24,102.353903,103.312970,102.278842,103.021080,1301300
2015-02-25,102.704145,103.379664,102.153718,102.945999,745100
2015-02-26,102.820908,103.337976,102.195426,102.754189,1015600
2015-02-27,102.512322,102.962670,100.969468,102.320511,1315000
2015-03-02,102.320525,103.604849,101.419829,103.221214,1228700
2015-03-03,103.971799,105.030953,102.420603,102.887634,847300
2015-03-04,102.228774,102.320512,100.610858,101.311401,1320800
2015-03-05,101.486544,101.936892,100.627550,101.928551,1104200
2015-03-06,100.702586,101.086214,98.342433,98.634323,2066900
2015-03-09,98.534271,98.876198,98.000527,98.751106,1826900
2015-03-10,97.541834,98.092261,96.908010,97.450096,1035700
2015-03-11,97.817035,98.292401,96.624449,98.108925,1666700
2015-03-12,98.634344,98.934576,97.475118,98.751106,1357000
2015-03-13,98.417521,98.417521,97.466788,98.175667,1255800
2015-03-16,98.609329,100.193885,98.409177,100.110489,1069800
2015-03-17,99.243159,99.676823,98.375823,99.601768,1139400
2015-03-18,99.101384,101.619989,97.975517,101.444855,1668400
2015-03-19,100.719298,100.852737,99.109723,99.718529,904300
2015-03-20,99.860290,100.911102,99.384924,100.227242,2540200
2015-03-23,100.786007,100.794348,99.026317,99.276512,1279100
2015-03-24,99.334874,100.118814,98.625996,99.685143,1021700
2015-03-25,100.035401,100.444054,97.500120,97.566833,1568800
2015-03-26,97.041466,98.242394,96.682856,97.875443,1306900
2015-03-27,98.425850,98.600991,97.533496,98.534271,728000
2015-03-30,99.318195,99.851946,98.826152,99.501671,1006000
2015-03-31,98.984645,99.359932,97.992211,99.059700,1138200
2015-04-01,98.767783,99.668479,97.500142,98.751106,1066300
2015-04-02,98.659367,100.002069,98.309093,98.409172,1054800
2015-04-06,98.025554,102.203776,97.950493,101.294739,1443800
2015-04-07,101.094603,101.328116,99.910359,100.027115,893900
2015-04-08,99.443312,100.077135,98.517598,99.835281,1298100
2015-04-09,99.693504,100.210571,98.509259,99.885315,956500
2015-04-10,99.993739,100.769338,99.093044,100.519142,792300
2015-04-13,100.494095,101.011162,99.885290,100.494095,626300
2015-04-14,100.444085,101.369799,99.876981,101.061226,894100
2015-04-15,101.361456,103.287938,101.361456,102.996048,1110000
2015-04-16,102.487307,103.154490,101.986923,102.845917,1449100
2015-04-17,101.945236,101.945236,101.186322,101.303078,1847200
2015-04-20,102.087010,102.937663,101.786778,102.437279,1300800
2015-04-21,102.403917,102.662448,101.294728,101.861832,980400
2015-04-22,101.870175,103.054420,101.061218,102.971024,1457500
2015-04-23,103.046098,103.563165,102.087030,102.937683,1166900
2015-04-24,102.645782,102.787556,101.703384,102.153732,836300
2015-04-27,102.353911,104.230357,102.220472,104.155296,1742600
2015-04-28,99.243165,100.735983,97.600231,100.310654,4189000
2015-04-29,98.425846,100.794341,97.600212,99.810249,2248500
2015-04-30,99.226472,99.810253,98.776124,99.543381,1731600
2015-05-01,100.152178,101.236349,99.618434,100.660904,1308400
2015-05-04,100.877768,101.736763,100.627579,101.436531,1248000
2015-05-05,101.728398,103.496423,101.419825,101.928551,2814700
2015-05-06,101.978859,102.213581,100.897455,101.484261,1527100
2015-05-07,101.450717,101.811185,100.880675,101.400421,1026900
2015-05-08,102.615965,103.093794,101.618389,101.844727,1288900
2015-05-11,102.163275,103.110548,102.071062,102.515358,1020000
2015-05-12,102.062689,102.322559,101.324990,101.953712,864600
2015-05-13,102.171655,103.772806,101.978851,103.253059,1109300
2015-05-14,104.250639,104.560811,103.688981,104.443443,873900
2015-05-15,104.342876,104.577598,101.962108,102.548920,1136000
2015-05-18,102.339330,103.043496,101.350139,102.867455,1033700
2015-05-19,102.791997,103.001571,101.509397,102.364464,828700
2015-05-20,102.389625,103.152479,101.953714,102.867455,912800
2015-05-21,102.926106,105.063766,102.900958,104.912872,2117900
2015-05-22,104.929674,105.021888,104.208738,104.569206,938400
2015-05-26,104.300937,104.368003,102.565662,102.800385,1027000
2015-05-27,102.775238,103.529707,102.062687,103.403961,968300
2015-05-28,103.328523,103.462647,101.651928,102.498604,1152600
2015-05-29,102.347686,102.347686,100.503435,100.956116,2201600
2015-06-01,101.190844,101.366886,100.176505,100.981270,1251100
2015-06-02,100.729762,102.087799,100.184868,101.140526,1194700
2015-06-03,101.542919,102.389600,101.031557,101.643517,1029900
2015-06-04,101.182443,101.576444,100.033980,100.201637,1348800
2015-06-05,100.025624,100.511838,99.396901,100.402855,859000
2015-06-08,100.109433,100.142966,99.438799,99.690285,1054400
2015-06-09,99.681920,100.696259,99.522642,99.891495,926100
2015-06-10,100.536968,100.889051,99.707056,100.771690,1283600
2015-06-11,101.090241,101.400413,100.511820,100.771690,868300
2015-06-12,100.377709,100.746561,99.539411,99.899879,991300
2015-06-15,98.843630,99.623241,98.416097,99.086731,1321000
2015-06-16,99.111883,99.363369,98.390947,98.969368,1038000
2015-06-17,99.262750,99.522620,98.583725,99.220833,1104700
2015-06-18,99.631607,100.142969,99.095097,99.623222,1037100
2015-06-19,99.522636,99.732210,99.086718,99.354973,1584700
2015-06-22,99.732239,100.126240,99.472369,99.866364,640600
2015-06-23,99.765738,100.168117,99.229228,99.623222,940600
2015-06-24,99.480747,100.327429,99.371770,100.210068,968400
2015-06-25,100.126215,100.293872,98.960982,99.120255,990500
2015-06-26,99.111879,99.237618,98.617280,99.061577,914300
2015-06-29,97.762222,98.240051,96.949072,96.974220,2023300
2015-06-30,98.030489,98.600531,97.317931,97.519127,1396100
2015-07-01,98.139447,98.349021,97.653233,98.206512,1103800
2015-07-02,98.550183,98.902272,97.133465,97.502312,866400
2015-07-06,96.647299,97.678401,96.211381,96.664062,722500
2015-07-07,96.420942,97.234092,95.037757,96.949074,1527700
2015-07-08,96.303592,96.571846,94.065339,94.518021,1648000
2015-07-09,95.993415,95.993415,94.685667,94.735970,1071900
2015-07-10,95.364698,95.565887,94.015039,94.928780,1190200
2015-07-13,95.414998,95.943123,95.230572,95.473679,1424000
2015-07-14,95.264091,96.311962,94.761114,96.085625,1058500
2015-07-15,95.909601,96.001808,94.492876,94.761131,892300
2015-07-16,95.096446,96.068868,95.096446,95.641335,694000
2015-07-17,95.641325,95.917964,94.635371,94.895241,644500
2015-07-20,94.861737,95.415010,94.450966,95.230583,543900
2015-07-21,94.803012,94.811397,93.713230,93.947952,1690000
2015-07-22,93.730009,94.174305,93.319245,93.470139,968400
2015-07-23,93.319222,94.308413,92.799476,92.983902,1101000
2015-07-24,93.025825,93.025825,91.919273,92.237823,1118700
2015-07-27,91.516923,91.910924,91.181603,91.508545,990000
2015-07-28,91.936047,92.246220,91.651030,92.003113,1919400
2015-07-29,92.003117,93.947967,91.659412,93.662949,1651000
2015-07-30,93.302484,94.568308,92.992312,94.375504,1075600
2015-07-31,94.870104,95.129980,94.358742,94.518021,1565500
2015-08-03,94.517981,94.585047,93.277299,94.232964,1988300
2015-08-04,93.218640,94.601831,90.133706,90.452263,8477700
2015-08-05,90.678606,93.956351,90.678606,92.883331,5107400
2015-08-06,92.992305,94.098857,92.539624,93.067749,3114900
2015-08-07,93.067742,94.224596,92.732428,93.218636,1846700
2015-08-10,94.107251,96.395799,94.015038,96.228142,2245200
2015-08-11,95.255695,95.381441,94.140765,94.383865,1918800
2015-08-12,93.612654,95.289249,92.942020,94.920403,1896000
2015-08-13,94.585080,95.523968,93.906054,94.962311,1274000
2015-08-14,95.046139,96.177845,94.777884,95.289246,1007000
2015-08-17,94.727578,94.786258,93.486895,94.400642,1210400
2015-08-18,94.425807,95.054530,93.981511,94.518021,948100
2015-08-19,93.981517,94.023434,92.724071,93.302498,976200
2015-08-20,92.464198,93.109684,90.628325,90.670242,1633300
2015-08-21,89.739727,90.888190,88.800832,88.867897,2438300
2015-08-24,84.642854,89.245103,83.611746,86.051193,2692900
2015-08-25,88.255942,90.703768,84.148283,84.181816,2654400
2015-08-26,85.177225,86.999375,84.620453,86.957199,3184100
2015-08-27,88.096075,90.458129,87.438076,90.441254,2300200
2015-08-28,89.960376,91.132965,89.479531,90.247200,1678800
2015-08-31,89.909776,91.402927,89.327697,90.820854,1525800
2015-09-01,88.695004,90.230337,88.576902,89.150543,2769300
2015-09-02,90.356860,90.356860,88.745601,89.892883,1751700
2015-09-03,89.732626,90.609960,88.593775,88.813110,1829900
2015-09-04,87.488679,88.112934,86.990965,87.564606,1053800
2015-09-08,89.319277,90.373764,88.804686,90.272537,973600
2015-09-09,91.149843,91.225763,88.787790,88.973381,1082600
2015-09-10,88.813125,89.437380,88.146688,88.703461,898600
2015-09-11,88.467250,89.715759,88.205732,89.631401,1146600
2015-09-14,89.403617,89.403617,88.062306,88.526283,1116900
2015-09-15,88.846862,91.470426,88.652833,91.251091,1452900
2015-09-16,91.116103,92.027174,90.761790,91.824715,1303600
2015-09-17,91.672890,91.959714,89.690455,89.994148,1442900
2015-09-18,88.695006,88.695006,85.793055,85.995522,2646200
2015-09-21,86.417344,87.218751,85.911185,86.451088,1331400
2015-09-22,85.278448,86.231708,84.721683,85.809914,1716500
2015-09-23,86.029270,86.307649,84.772317,84.856674,1806000
2015-09-24,83.253862,83.270731,80.081963,82.595863,2514300
2015-09-25,83.304442,83.321311,81.330446,81.591957,1696100
2015-09-28,80.874908,81.322009,79.955392,80.031319,1363300
2015-09-29,80.419382,82.030634,79.837303,81.406380,1499200
2015-09-30,82.545223,82.848916,80.225352,82.081253,1525700
2015-10-01,81.786020,83.144200,80.335051,81.026794,1508000
2015-10-02,79.845760,82.798324,78.850324,82.789886,1612000
2015-10-05,82.840471,86.434163,82.840471,86.155777,1587100
2015-10-06,85.995549,87.404342,85.607498,86.451088,1063500
2015-10-07,87.134382,89.724202,86.467946,87.767075,1423400
2015-10-08,87.362139,90.989577,87.227168,90.103806,1500300
2015-10-09,90.854585,90.930511,89.243332,89.302383,1449000
2015-10-12,89.504847,89.867591,89.066183,89.698875,1044500
2015-10-13,89.083053,89.302388,87.134363,87.362129,1683800
2015-10-14,87.075310,87.665820,85.379694,86.299210,1450800
2015-10-15,86.586035,86.586035,84.274601,86.358269,1675600
2015-10-16,86.079884,86.130498,84.029961,84.881989,1635300
2015-10-19,84.519233,84.671079,83.785308,84.401131,1087700
2015-10-20,83.844337,86.763155,82.983879,86.164207,2356200
2015-10-21,86.467928,88.264771,85.582156,85.835236,1989100
2015-10-22,82.182513,86.484819,82.182513,85.008537,5011200
2015-10-23,85.632764,87.007812,85.295327,86.948761,2891400
2015-10-26,86.729431,87.176533,85.312201,85.868973,1546400
2015-10-27,84.806061,85.691832,83.599727,85.615906,1441000
2015-10-28,85.987092,87.733322,83.835936,86.872864,1332100
2015-10-29,86.586036,88.247909,86.324526,88.163551,1397300
2015-10-30,88.357589,89.099952,87.868312,88.323845,1220300
2015-11-02,88.231029,90.415929,87.826109,90.095367,1198400
2015-11-03,89.791661,90.964250,89.260196,90.373734,1118300
2015-11-04,90.517177,91.107688,89.108378,89.251793,1443000
2015-11-05,89.150570,89.842314,87.800828,89.580803,1068000
2015-11-06,89.139481,89.640166,87.756226,88.995216,1171100
2015-11-09,88.783072,89.241330,86.771830,87.068848,1273700
2015-11-10,86.839703,87.416768,85.931676,86.729378,1003100
2015-11-11,87.153700,87.272506,86.313563,87.043381,1097100
2015-11-12,86.008073,86.483307,84.141102,84.276878,1776400
2015-11-13,84.276857,85.694064,83.708281,84.735115,1406700
2015-11-16,84.718163,86.542707,84.446604,86.474815,710500
2015-11-17,86.517232,87.060351,85.541320,85.600723,916100
2015-11-18,86.135363,87.136739,85.931695,87.026421,888400
2015-11-19,86.992472,88.282378,86.551184,88.010818,940500
2015-11-20,88.477556,89.309204,87.824112,88.027786,988200
2015-11-23,87.866541,88.791538,87.365849,87.645897,1005700
2015-11-24,87.204621,88.282370,87.043380,87.908974,946900
2015-11-25,88.070242,88.409693,87.756255,88.044785,685000
2015-11-27,87.892039,88.604887,87.654425,88.002357,313900
2015-11-30,88.494505,89.784417,88.256891,88.816986,1025100
2015-12-01,88.918834,89.300718,87.136724,87.832596,1373400
2015-12-02,87.832620,87.976885,86.313582,86.517250,1057500
2015-12-03,86.865156,87.255522,85.083047,85.974098,1636700
2015-12-04,86.033551,87.247085,85.677131,86.933098,1670400
2015-12-07,86.322050,86.703928,84.786042,85.057602,1125200
2015-12-08,84.047744,84.310816,82.757832,82.953018,1404400
2015-12-09,82.223194,84.064707,82.223194,82.893608,991400
2015-12-10,82.808748,83.928932,82.740857,83.165169,1104700
2015-12-11,81.900717,82.078928,80.984202,81.094521,1446500
2015-12-14,81.128467,81.781911,80.059199,81.035118,1231400
2015-12-15,80.551405,81.289710,79.388794,81.204849,2100300
2015-12-16,81.552786,83.911961,80.967240,83.776184,1714900
2015-12-17,83.699803,83.699803,80.755083,80.780540,1522300
2015-12-18,80.254410,81.247299,79.448219,79.448219,1947500
2015-12-21,80.127115,80.551427,79.456701,79.923447,1056300
2015-12-22,80.305302,82.299574,80.135580,81.883743,977900
2015-12-23,82.698422,84.913332,82.630537,84.421135,1062500
2015-12-24,84.200484,84.964247,84.090159,84.735115,522800
