date,open,high,low,close,volume
2015-01-02,55.054954,55.289079,54.127107,54.699425,184300
2015-01-05,54.395933,54.838178,53.901662,54.317890,114800
2015-01-06,54.317884,54.872856,53.476754,54.109772,280800
2015-01-07,54.395934,55.462520,53.945018,55.393150,275300
2015-01-08,55.818045,56.529102,55.185027,56.182243,279900
2015-01-09,56.156231,56.451057,55.792026,56.000145,190400
2015-01-12,56.069527,56.268966,55.393152,55.818054,135900
2015-01-13,56.312319,56.702531,54.985586,55.826714,196100
2015-01-14,55.202369,55.653284,54.760127,55.193699,79600
2015-01-15,55.271743,55.289083,54.456626,54.578026,113900
2015-01-16,54.395924,55.011595,54.109768,54.968239,126200
2015-01-20,55.054965,55.419164,54.179148,54.508663,137500
2015-01-21,54.335226,55.159013,53.953684,55.011597,160300
2015-01-22,55.384490,56.251637,54.473989,55.948132,162800
2015-01-23,55.948117,56.355676,55.401819,56.173576,99100
2015-01-26,56.268953,56.745884,55.609922,56.433712,144000
2015-01-27,55.904760,56.598471,55.618601,56.112873,148600
2015-01-28,56.442398,56.451072,54.517341,54.734127,157200
2015-01-29,54.864192,55.661966,54.395934,55.393150,193700
2015-01-30,55.054953,55.783354,53.858294,53.945007,278800
2015-02-02,53.962352,54.751453,53.615497,54.560680,172800
2015-02-03,54.786141,55.922097,54.786141,55.549225,247200
2015-02-04,55.315106,55.713991,55.037620,55.505878,162500
2015-02-05,55.809366,56.468397,55.722652,56.294964,223100
2015-02-06,56.347005,56.347005,55.505875,55.852734,193300
2015-02-09,55.549240,55.870086,54.083768,54.976929,124100
2015-02-10,55.419177,56.156252,54.760149,56.078205,169000
2015-02-11,55.826733,56.416391,55.271764,56.078205,180200
2015-02-12,56.936663,61.229022,55.401815,60.526638,568600
2015-02-13,60.526656,61.090294,59.061180,60.778122,360400
2015-02-17,60.994895,61.298401,59.425367,60.257824,289600
2015-02-18,60.145089,60.543974,59.538091,60.535301,161800
2015-02-19,60.405234,60.717399,60.188448,60.552647,144600
2015-02-20,60.526644,60.743430,59.945652,60.639370,215800
2015-02-23,60.379204,60.786762,59.754866,60.223118,171100
2015-02-24,60.223143,60.674061,59.989017,60.266502,147400
2015-02-25,59.746212,60.500623,59.572779,60.162437,131800
2015-02-26,60.162430,60.648035,59.460045,60.569988,119700
2015-02-27,60.335867,60.613353,59.893622,59.980335,119900
2015-03-02,59.702837,60.821453,59.529411,60.509281,187400
2015-03-03,60.396576,60.587349,59.486072,60.145103,285500
2015-03-04,59.798220,60.266478,59.277935,59.434021,221100
2015-03-05,59.572776,59.989008,59.026478,59.121864,155900
2015-03-06,58.601567,59.286612,58.324082,58.670940,188800
2015-03-09,58.861699,59.425343,58.428127,59.052471,133900
2015-03-10,58.513124,59.452669,58.495721,58.565319,178700
2015-03-11,58.808905,59.365676,58.373928,59.313480,223500
2015-03-12,59.713651,60.400916,59.478766,60.348721,160800
2015-03-13,60.435720,60.487915,59.974645,60.313927,197900
2015-03-16,60.748896,60.983781,60.209522,60.688000,210100
2015-03-17,60.774999,60.809798,60.487913,60.644505,189300
2015-03-18,60.644500,61.270868,60.174724,61.149075,236900
2015-03-19,60.809792,61.323061,60.601005,60.705395,183500
2015-03-20,61.175140,61.453525,61.062049,61.270836,274100
2015-03-23,61.140354,61.366544,60.888067,61.236050,114600
2015-03-24,61.079482,61.758045,60.079033,60.748901,361300
2015-03-25,60.896794,60.896794,59.722357,59.748455,168500
2015-03-26,59.678832,59.678832,58.817580,59.043770,322800
2015-03-27,59.052484,60.766295,58.852398,60.148628,220500
2015-03-30,60.453107,61.288263,59.939838,61.079475,161300
2015-03-31,60.931586,61.201269,60.531408,60.688000,197100
2015-04-01,60.470524,61.088191,59.461374,60.000748,242300
2015-04-02,60.166042,60.244335,59.130795,59.591869,265400
2015-04-06,59.148196,59.887656,58.913311,58.991604,308100
2015-04-07,58.878504,59.905051,58.869803,59.478775,276600
2015-04-08,59.583162,60.209530,59.522265,59.939846,190900
2015-04-09,59.957253,60.079046,59.156896,59.670166,268700
2015-04-10,59.809350,60.270425,59.626661,59.957241,104900
2015-04-13,60.026831,60.427009,59.461360,59.583153,116800
2015-04-14,59.591852,59.870237,58.852392,59.835438,148800
2015-04-15,60.026835,60.609703,59.783249,60.244324,295600
2015-04-16,60.218232,60.574910,60.026842,60.183434,166200
2015-04-17,59.774551,60.392218,59.026390,59.226482,332200
2015-04-20,59.617949,60.601001,59.565754,59.948536,251200
2015-04-21,60.131245,60.418325,59.704962,59.739761,165300
2015-04-22,59.739747,59.739747,58.713201,59.635357,192000
2015-04-23,60.688005,63.115178,59.591861,60.922890,615500
2015-04-24,61.140368,63.062966,58.669702,58.800190,351400
2015-04-27,58.774099,59.617955,58.243426,58.652306,250500
2015-04-28,58.556639,59.226508,58.556639,58.678432,204700
2015-04-29,58.513126,58.652316,57.477879,57.851959,235200
2015-04-30,57.443072,58.191233,56.425227,56.451324,262900
2015-05-01,56.590527,57.764964,56.416532,57.321285,411400
2015-05-04,57.199492,57.999849,56.999400,57.321285,353800
2015-05-05,57.121215,57.799778,56.634036,56.947220,232900
2015-05-06,57.034201,57.182099,56.112052,56.694920,316800
2015-05-07,56.755815,57.625769,56.329539,57.208195,296200
2015-05-08,57.947647,58.112940,56.721008,57.677963,233300
2015-05-11,57.564875,58.452232,57.382186,57.869358,156500
2015-05-12,57.521364,58.260823,56.894996,58.052036,201600
2015-05-13,58.269548,58.434835,57.704076,57.764973,152900
