date,open,high,low,close,volume
2015-01-02,53.956214,54.216907,53.405860,53.789658,6662700
2015-01-05,53.376888,53.948965,53.318955,53.536201,12042800
2015-01-06,53.485523,54.028633,52.674476,52.775856,11094000
2015-01-07,53.130675,53.927236,52.833772,53.391369,10030700
2015-01-08,53.804145,54.528292,53.688278,53.956215,10937200
2015-01-09,53.999675,54.216922,53.326218,53.891052,9038900
2015-01-12,53.688273,53.862066,52.775846,53.275509,8749300
2015-01-13,53.557931,54.347254,52.536886,52.841026,12584500
2015-01-14,52.471718,52.862758,51.733090,52.297924,13203500
2015-01-15,52.326882,52.565846,51.450664,51.689629,10858400
2015-01-16,51.305824,51.725831,50.777200,51.624451,12372300
2015-01-20,51.957565,53.014819,51.544801,52.486195,12036700
2015-01-21,50.893082,52.580346,50.654112,51.841713,17008900
2015-01-22,52.037208,52.203759,51.298575,52.073418,10450100
2015-01-23,52.145844,52.392051,51.725837,52.268948,8142100
2015-01-26,52.261700,52.790329,51.935836,52.580326,9203700
2015-01-27,52.066177,52.500664,51.370997,51.972034,11398800
2015-01-28,52.500687,52.500687,51.305843,51.407223,15722100
2015-01-29,47.438888,47.569235,45.237480,46.120937,47115300
2015-01-30,45.650247,46.352670,45.179550,45.230240,26407800
2015-02-02,45.251971,47.743037,45.085415,47.453377,21130600
2015-02-03,47.634394,48.546821,47.417153,48.488888,16354200
2015-02-04,48.220951,49.031998,47.880607,48.488888,13089600
2015-02-05,48.640950,49.234750,48.365776,49.205784,10650500
2015-02-06,49.104423,49.205803,47.844408,48.047169,11779500
2015-02-09,49.357872,49.937186,48.488892,48.597515,15651100
2015-02-10,50.031329,51.023413,49.843055,50.878586,36081200
2015-02-11,51.103066,51.378240,50.690303,50.842373,13439300
2015-02-12,50.386175,50.972733,50.371689,50.972733,12798300
2015-02-13,51.045140,51.363766,50.885826,51.327557,8050200
2015-02-17,51.240675,51.349299,51.023429,51.269642,8764300
2015-02-18,50.936508,51.327548,50.769957,51.081341,8097400
2015-02-19,50.856868,51.609976,50.842382,51.399979,9785300
2015-02-20,51.291354,51.935845,51.117555,51.791012,8657300
2015-02-23,51.602733,51.812736,50.950999,51.371006,8617700
2015-02-24,51.226198,51.754829,50.958267,51.682415,10131900
2015-02-25,51.421713,52.305174,51.421713,51.906891,10578100
2015-02-26,52.044463,52.334118,51.856184,52.145844,9838700
2015-02-27,52.001009,52.551363,51.559279,52.507915,10297400
2015-03-02,52.296689,53.097891,52.158298,52.923084,8979300
2015-03-03,52.449657,52.799269,51.968932,52.012638,9236400
2015-03-04,51.786832,52.078179,51.393513,51.604740,8476200
2015-03-05,51.859678,51.910663,51.488215,51.663021,6955800
2015-03-06,51.393517,52.216574,51.357102,52.085468,12022100
2015-03-09,52.180159,53.076052,52.180159,52.959511,12754700
2015-03-10,53.804431,53.964667,52.340413,52.362263,29111600
2015-03-11,52.092762,52.238439,51.160454,51.182304,21690200
2015-03-12,50.985644,51.386248,50.402949,50.526775,16004300
2015-03-13,50.264561,50.723430,49.761987,49.995064,13946800
2015-03-16,50.359238,51.007484,50.191717,50.985634,11643400
2015-03-17,50.577749,51.109454,50.410223,50.854527,11540300
2015-03-18,50.694290,51.342535,50.300971,51.153164,10245700
2015-03-19,51.153168,51.415375,50.825400,50.861820,6959800
2015-03-20,51.131314,51.429947,50.832687,51.014778,22646600
2015-03-23,50.927357,51.408082,50.847237,51.036613,7700600
2015-03-24,50.978347,51.153159,50.235416,50.235416,9964700
2015-03-25,50.155297,50.162582,48.946206,48.953491,11980500
2015-03-26,48.465491,49.128301,47.839095,48.917080,13835900
2015-03-27,48.960764,49.477903,48.618431,48.822372,8560400
2015-03-30,49.339528,50.257271,49.135586,50.169865,11404500
2015-03-31,49.645435,50.650578,49.645435,50.504902,13035300
2015-04-01,49.871234,50.599600,49.856664,50.570465,10455800
2015-04-02,50.636022,50.701577,49.354101,49.507057,14206200
2015-04-06,48.210561,49.499766,48.203276,49.354095,11906300
2015-04-07,49.324970,49.616318,48.989923,49.033623,13948000
2015-04-08,48.756845,49.230278,48.749559,48.989922,15783100
2015-04-09,49.106438,50.322808,49.026317,50.118866,14169200
2015-04-10,50.016895,50.402928,49.871224,50.373798,10437900
2015-04-13,51.881539,52.369543,49.995067,50.060623,28612900
2015-04-14,50.373808,50.402938,49.965919,50.235416,12305100
2015-04-15,50.468502,50.621458,49.667300,49.863956,11923400
2015-04-16,49.645440,49.710990,49.332242,49.463348,10649900
2015-04-17,49.157438,49.492486,48.771405,48.880661,14011100
2015-04-20,48.982635,50.111605,48.938935,49.995064,12893800
2015-04-21,50.140714,50.213555,49.805666,49.944057,7839300
2015-04-22,50.082456,50.410218,49.710988,50.213562,13289500
2015-04-23,49.055450,49.842087,48.771388,49.776531,18341100
2015-04-24,49.550745,49.761972,49.288533,49.703701,8757800
2015-04-27,50.089736,50.752552,49.973200,50.424789,11818400
2015-04-28,50.286420,50.854545,50.264570,50.730724,8272600
2015-04-29,50.395660,50.504911,49.528903,50.016907,7660400
2015-04-30,49.769270,49.958641,49.244845,49.528908,8319800
2015-05-01,49.754684,49.922210,49.499757,49.834805,7166200
2015-05-04,49.856657,50.519473,49.689136,50.300961,7013800
2015-05-05,50.148002,50.257258,49.623578,49.798389,8660600
2015-05-06,49.674569,50.148008,49.164715,49.390507,7858200
2015-05-07,49.383241,49.856675,49.375956,49.842110,6514000
2015-05-08,50.148000,50.555889,49.929494,50.555889,7393300
2015-05-11,50.381090,50.512196,50.126163,50.293690,6379200
2015-05-12,50.038746,50.271823,49.601727,50.104301,8070400
2015-05-13,50.424799,51.349822,50.257273,50.788982,12031200
2015-05-14,50.978335,51.466345,50.847229,51.364368,10945700
2015-05-15,51.429939,51.779552,51.298833,51.757702,9858600
2015-05-18,51.706718,51.808689,51.167729,51.291550,5352500
2015-05-19,51.225990,51.291540,50.599595,50.708851,7609100
2015-05-20,50.839977,50.869107,50.417523,50.461224,8420200
2015-05-21,50.716149,51.677593,50.279130,51.051197,27529700
2015-05-22,50.672439,50.941936,50.577753,50.628738,13177300
2015-05-26,50.643283,50.708839,50.075159,50.519463,14768600
2015-05-27,50.548612,51.815967,50.330100,51.728561,17559100
2015-05-28,51.677580,51.947078,51.357103,51.422653,11939000
2015-05-29,51.488196,51.641152,50.694274,50.752544,18256900
2015-06-01,50.979920,51.265953,50.686552,50.913910,8600500
2015-06-02,50.869907,51.089935,50.649880,50.862572,12071300
2015-06-03,51.192615,51.375969,50.935914,51.236618,6533300
2015-06-04,50.869911,50.979925,50.429861,50.532539,9909300
2015-06-05,50.576520,50.576520,50.033792,50.063129,8067900
2015-06-08,49.894447,50.019127,49.322382,49.344383,9158400
2015-06-09,49.417729,49.483740,48.970344,49.021683,7611700
2015-06-10,49.073031,49.645097,49.073031,49.366394,12825900
2015-06-11,49.571743,49.733096,49.425061,49.579079,10609800
2015-06-12,49.183039,49.542418,48.985019,49.161037,6855600
2015-06-15,48.801663,49.029021,48.449620,48.867668,6817500
2015-06-16,48.735660,48.867676,48.354285,48.742996,6746800
2015-06-17,48.911688,49.197721,48.464302,48.809010,9563600
2015-06-18,48.933666,49.630411,48.896993,49.403053,10443500
2015-06-19,49.439730,49.513071,48.874995,49.051014,13233700
2015-06-22,49.168360,49.601074,49.139022,49.403053,11762800
2015-06-23,49.535087,49.593762,48.963021,49.124374,11791100
2015-06-24,49.197699,49.234366,47.884879,47.928883,15282700
2015-06-25,48.046239,48.310270,47.686860,47.862885,9838800
2015-06-26,47.950895,48.082910,47.378829,47.430168,34801400
2015-06-29,46.498731,46.960782,45.897328,45.926662,16549700
2015-06-30,46.021996,46.315364,45.801971,45.933987,12697400
2015-07-01,46.278700,46.410716,45.479274,46.132019,12669900
2015-07-02,46.212682,46.682073,46.198017,46.286026,11302800
2015-07-06,45.955987,46.608729,45.948654,46.286026,10068400
2015-07-07,46.403393,46.484069,45.090573,46.058685,13582600
2015-07-08,45.801988,45.911999,45.251924,45.405941,13827900
2015-07-09,46.095353,46.520737,45.361935,45.369270,12238900
2015-07-10,45.772638,46.256694,45.713966,46.007332,12906100
2015-07-13,46.205370,46.718764,46.205370,46.520741,11426600
2015-07-14,46.660078,47.144134,46.535398,46.894772,10282300
2015-07-15,46.432717,47.085456,46.425381,46.850765,8492000
2015-07-16,46.535390,47.437494,46.484051,47.342152,10385900
2015-07-17,47.019446,47.415493,46.946106,47.188129,8953500
2015-07-20,47.400824,47.400824,46.748085,46.784756,11381000
2015-07-21,47.386169,48.442293,47.268819,47.774879,17818900
2015-07-22,47.305491,47.650198,46.975454,47.078133,22660300
2015-07-23,45.889990,46.044007,44.613844,45.310589,37879800
2015-07-24,45.369258,45.618620,44.965878,45.207905,18525500
2015-07-27,45.457275,45.838653,45.112568,45.457275,14749700
2015-07-28,45.721305,46.506063,45.633296,46.278702,14090200
2015-07-29,46.264043,46.616083,46.022013,46.330048,9779100
2015-07-30,46.198035,47.510852,46.058683,47.239491,12697200
2015-07-31,47.422849,47.635536,47.107479,47.224823,9611600
2015-08-03,47.195472,47.459503,46.997451,47.254147,9847900
2015-08-04,47.239476,47.540175,46.366707,46.535393,12106800
2015-08-05,46.689412,47.298148,46.572065,46.850765,9451300
2015-08-06,46.755427,47.019458,45.948668,46.088017,12280300
2015-08-07,46.029349,46.520741,45.912002,46.220039,17441700
2015-08-10,45.838653,46.447392,45.838653,46.315376,17649600
2015-08-11,45.889989,46.249365,45.721303,45.875320,13667000
2015-08-12,45.765300,45.963321,45.178564,45.897316,12672100
2015-08-13,45.838650,45.911991,45.435270,45.493942,9402600
2015-08-14,45.317932,45.875328,45.317932,45.405941,9202800
2015-08-17,45.105233,45.552619,45.090564,45.523281,11549700
2015-08-18,45.156575,45.361932,44.958552,44.973221,10632100
2015-08-19,44.657856,45.193251,44.525841,44.870548,11577000
2015-08-20,44.628507,44.987883,44.115116,44.115116,13173500
2015-08-21,43.777744,44.078446,42.215565,42.252235,19647300
2015-08-24,39.736610,42.398920,38.570475,40.543369,29486900
2015-08-25,41.526147,41.746172,39.413904,39.516582,21855400
2015-08-26,40.704720,41.614160,40.227997,41.555485,22001500
2015-08-27,41.856190,42.134890,41.196112,42.068882,18261600
2015-08-28,41.914867,42.362249,41.826854,42.134892,12673300
2015-08-31,41.839049,42.349371,41.676337,41.846447,9898800
2015-09-01,40.862772,41.350907,40.448597,40.692665,13136600
2015-09-02,41.143839,41.328738,40.685286,41.313946,11629100
2015-09-03,41.580199,41.979580,41.025501,41.084667,10717900
2015-09-04,40.633500,40.751836,40.041823,40.152763,11424700
2015-09-08,40.759234,40.936736,40.507771,40.825798,10938500
2015-09-09,41.306541,41.336126,40.056622,40.174957,12577200
2015-09-10,40.308095,41.276969,40.145383,40.921963,13997100
2015-09-11,40.714861,40.796217,40.197142,40.426418,10793300
2015-09-14,40.492979,40.663086,39.990052,40.167557,9720700
2015-09-15,40.544747,40.803605,40.204532,40.581726,9265000
2015-09-16,40.537355,41.069864,40.441207,40.825798,8091900
2015-09-17,40.818401,41.350912,40.566937,40.663086,9698100
2015-09-18,40.123183,40.648297,39.953076,40.271103,26572500
2015-09-21,40.404220,40.478178,39.938272,40.226715,9289600
2015-09-22,39.775566,40.108386,39.627649,39.893902,9946800
2015-09-23,40.049228,40.049228,39.472340,39.612865,7243900
2015-09-24,39.331816,39.590674,38.747533,39.398380,13502000
2015-09-25,39.901307,39.938286,39.169104,39.361401,11661900
2015-09-28,39.235668,39.398381,38.843682,38.858475,11773100
2015-09-29,38.828879,39.132114,38.584810,38.777107,9789900
2015-09-30,39.191286,39.797756,39.124722,39.738586,12849700
2015-10-01,39.642447,39.805160,39.198690,39.331818,9554900
2015-10-02,39.250442,40.788806,39.198670,40.729637,13192200
2015-10-05,41.106852,41.779886,41.099455,41.587589,9933200
2015-10-06,41.417485,41.802076,40.988516,41.654156,10336500
2015-10-07,41.831650,42.415930,41.447059,41.868629,8952300
2015-10-08,41.779893,42.660014,41.654160,42.645222,8635200
2015-10-09,42.800519,42.985419,42.430720,42.733955,8883000
2015-10-12,42.623024,42.955844,42.504689,42.741360,6913400
2015-10-13,42.297604,42.955848,42.171874,42.534275,7377300
2015-10-14,42.541678,43.739827,42.534281,43.362633,12471600
2015-10-15,43.636254,44.309288,43.384791,43.828548,9055600
2015-10-16,43.991272,44.375863,43.569702,44.309299,8924900
2015-10-19,43.976484,44.102217,43.347827,43.710228,10975200
2015-10-20,43.399586,43.791572,43.399586,43.636257,9102200
2015-10-21,43.843364,44.205768,43.554921,43.614090,6915400
2015-10-22,43.998673,44.849208,43.998673,44.693893,10913600
2015-10-23,44.841817,45.255990,44.738273,44.915775,9175600
2015-10-26,45.048909,45.048909,43.414398,43.791592,13381000
2015-10-27,43.569703,43.895125,43.466160,43.843353,9485900
2015-10-28,43.880341,44.597749,43.806379,44.575562,7738300
2015-10-29,44.131801,44.545977,44.065240,44.375870,5567700
2015-10-30,44.464618,44.523788,43.946899,43.946899,8630300
2015-11-02,44.153984,44.937956,44.013459,44.849205,8577200
2015-11-03,44.671705,45.248590,44.568159,45.019314,7704300
2015-11-04,45.034120,45.122871,44.427650,44.568172,10795900
2015-11-05,41.957387,42.016556,36.920724,37.771263,65856400
2015-11-06,38.185441,39.716409,38.185441,39.509319,31252900
2015-11-09,39.109927,39.457536,38.917630,39.154301,15092000
2015-11-10,38.851077,39.191294,38.422112,38.658783,13489500
2015-11-11,38.902842,39.376187,38.732735,39.087742,11026300
2015-11-12,39.013788,39.339210,38.843681,38.888058,10807000
2015-11-13,38.680978,39.013798,38.325971,38.414722,10439900
2015-11-16,38.429504,39.095144,38.429504,39.028580,9214000
2015-11-17,38.976809,39.605466,38.880660,39.183895,10686200
2015-11-18,38.414700,38.414700,35.145680,35.500687,45214500
2015-11-19,35.877886,36.447377,35.670799,35.789135,20547900
2015-11-20,36.092375,36.809786,35.870496,36.698845,17229800
2015-11-23,36.306852,36.669257,36.062784,36.218102,11632800
2015-11-24,36.262482,36.780201,36.136751,36.543530,12090100
2015-11-25,36.543527,36.721032,36.129351,36.314251,9967100
2015-11-27,36.351596,36.486038,36.202219,36.254501,3441600
2015-11-30,36.299322,36.493517,36.075253,36.441235,13716000
2015-12-01,36.411349,36.837082,36.299313,36.822144,9915800
2015-12-02,38.771549,39.914304,38.689390,38.726734,36745100
2015-12-03,38.958279,39.018032,37.621328,38.390636,25438100
2015-12-04,38.906003,39.264514,38.398111,39.092728,16177700
2015-12-07,39.070304,39.242091,38.756605,39.159931,10160700
2015-12-08,37.815520,38.061996,36.829613,36.956585,18917100
2015-12-09,37.076095,37.330041,36.164877,36.291851,16131000
2015-12-10,36.336666,37.023812,36.202224,36.276913,11619500
2015-12-11,36.000552,36.120056,35.358218,35.447845,12977600
2015-12-14,35.410503,35.821297,34.305092,34.977303,17157400
2015-12-15,35.634576,36.456167,34.954897,35.866116,20086900
2015-12-16,36.037892,36.299306,35.216304,35.903450,13308300
2015-12-17,36.837087,37.046218,35.507607,35.507607,15328000
2015-12-18,35.380638,35.881062,35.119224,35.425453,46440200
2015-12-21,35.559890,36.545798,35.507608,36.418823,16779000
2015-12-22,36.247026,36.739980,36.172337,36.650352,10139800
2015-12-23,36.777329,36.986460,36.523383,36.627949,9397900
2015-12-24,36.598079,37.255351,36.598079,37.008873,5338500
2015-12-28,36.934187,37.203071,36.769868,37.031284,8395600
2015-12-29,37.554105,38.278599,37.397257,38.002247,14371300
2015-12-30,38.002255,38.278607,37.613866,37.651211,8529300
2015-12-31,37.389800,37.673619,37.262825,37.337517,7613400
2016-01-04,36.919253,37.479427,36.530864,37.434612,12571300
2016-01-05,37.688555,37.793121,36.650365,36.702648,13482300
2016-01-06,36.120058,36.344128,35.671917,36.329189,15783500
2016-01-07,35.686859,35.851178,34.342441,34.461945,20495600
2016-01-08,34.962367,34.992240,34.237873,34.267750,15285500
2016-01-11,34.626266,34.753237,33.856960,34.409664,13624900
2016-01-12,34.693483,34.865269,34.073555,34.745766,9290700
2016-01-13,35.268601,35.828776,34.409666,34.432072,17285100
2016-01-14,34.514229,35.858648,34.237877,35.649517,21649400
2016-01-15,34.387269,34.738310,33.707590,34.222950,17273300
2016-01-19,34.730824,34.790577,33.961518,34.424595,12680000
2016-01-20,33.983932,34.491824,33.154873,34.305099,14761500
2016-01-21,34.626261,35.432911,34.140775,35.141621,12913700
2016-01-22,35.709257,36.060298,35.432903,35.903450,12154900
2016-01-25,35.828758,36.142455,35.492653,35.537468,9365800
2016-01-26,35.552414,36.486038,35.492664,36.239563,9273400
2016-01-27,35.851166,36.284369,35.223770,35.500122,12305000
2016-01-28,34.207985,34.222924,32.467712,32.557339,27935200
2016-01-29,32.900925,33.871893,32.617102,33.864426,24039200
2016-02-01,33.393877,34.663606,33.154869,34.439537,13120400
2016-02-02,33.744931,33.909250,32.027062,32.228725,21079700
2016-02-03,32.564809,33.610469,32.348210,33.408806,16733600
2016-02-04,33.326656,34.178121,33.147401,34.103432,10798900
2016-02-05,33.946592,34.058625,32.691800,32.878525,10709800
2016-02-08,32.497595,32.983081,31.989706,32.781418,12799000
2016-02-09,32.602180,32.908409,32.243666,32.572304,10339800
2016-02-10,32.863580,33.251968,32.041991,32.086803,10044600
2016-02-11,31.750698,32.333282,31.549038,32.116680,12537700
2016-02-12,32.378087,33.431215,32.176427,33.281837,11696500
2016-02-16,34.058621,34.977310,33.909243,34.902618,13832500
2016-02-17,35.141626,36.247037,35.111749,36.157410,14868200
2016-02-18,36.157409,36.829620,35.866119,36.657833,13173100
2016-02-19,36.627950,37.374850,36.418816,36.911770,16196800
2016-02-22,37.404725,38.308473,37.397255,38.301003,16793600
2016-02-23,38.091868,38.091868,37.427128,37.658665,9358700
2016-02-24,37.344990,38.584844,37.143327,38.480278,10966600
2016-02-25,38.465316,38.681917,38.017178,38.569881,8352400
2016-02-26,38.838781,38.838781,38.256200,38.554958,9528400
2016-02-29,38.577560,38.848968,38.230763,38.291077,12127300
2016-03-01,38.509721,39.286247,38.494642,39.286247,11977400
2016-03-02,39.497341,39.942148,39.384256,39.844139,15664800
2016-03-03,39.542573,39.813981,39.097766,39.489799,12365200
2016-03-04,39.452112,39.881841,39.127931,39.700901,12770300
2016-03-07,39.535032,40.349256,39.474721,40.183395,10171500
2016-03-08,39.874291,40.115542,39.188233,39.550110,11684300
2016-03-09,39.512421,39.595351,39.007302,39.165623,13964500
2016-03-10,39.135468,39.482266,38.577574,39.218399,9539100
2016-03-11,39.648128,39.685823,39.120391,39.369183,11404300
2016-03-14,39.384255,39.512419,39.007300,39.271168,7407200
