date,open,high,low,close,volume
2015-01-02,8.492103,8.537979,8.153133,8.270370,866025
2015-01-05,8.199004,8.344277,8.173518,8.262720,412763
2015-01-06,8.298399,8.298399,8.097057,8.132738,405675
2015-01-07,8.173518,8.466613,8.069024,8.311145,602775
2015-01-08,8.402901,8.581306,8.331539,8.497201,745875
2015-01-09,8.502299,8.548175,8.377415,8.387609,328050
2015-01-12,8.420736,8.438577,8.260172,8.265268,397575
2015-01-13,8.303502,8.441129,8.252530,8.334086,623700
2015-01-14,8.267820,8.349377,8.260175,8.306049,436388
2015-01-15,8.318792,8.318792,8.150582,8.201554,334463
2015-01-16,8.168423,8.349377,8.168423,8.336634,512325
2015-01-20,8.328986,8.410542,8.186261,8.298401,335813
2015-01-21,8.300951,8.369765,8.196457,8.359571,839363
2015-01-22,8.420741,8.509944,8.323892,8.497201,384075
2015-01-23,8.525235,8.540527,8.443677,8.492103,249075
2015-01-26,8.476810,8.581305,8.374864,8.573659,495113
2015-01-27,8.515040,8.616987,8.497200,8.573659,443475
2015-01-28,8.670505,8.884592,8.548171,8.882043,796163
2015-01-29,8.925372,8.925372,8.438580,8.657763,986513
2015-01-30,8.622084,8.629730,8.418192,8.423289,773888
2015-02-02,8.438579,8.509941,8.313695,8.469163,696263
2015-02-03,8.525231,8.616984,8.504842,8.566010,546413
2015-02-04,8.550721,8.632278,8.420740,8.438581,554513
2015-02-05,8.484453,8.611886,8.464064,8.609337,371925
2015-02-06,8.637477,8.665613,8.512148,8.568419,654750
2015-02-09,8.565855,8.647703,8.517258,8.609337,384413
2015-02-10,8.675838,8.698858,8.420065,8.514701,506925
2015-02-11,8.491686,8.596554,8.491686,8.568419,358763
2015-02-12,8.611895,8.637472,8.547951,8.632357,364838
2015-02-13,8.627243,8.670724,8.547953,8.629801,378675
2015-02-17,8.604220,8.688625,8.545392,8.611894,938588
2015-02-18,8.576087,8.680954,8.576087,8.665607,433013
2015-02-19,8.627242,8.693743,8.553067,8.606780,509288
2015-02-20,8.573529,8.678396,8.501912,8.665607,596700
2015-02-23,8.670725,8.670725,8.576090,8.640033,366188
2015-02-24,8.645144,8.678394,8.568412,8.678394,325688
2015-02-25,8.696301,8.696301,8.563299,8.601665,381375
2015-02-26,8.624688,8.624688,8.489129,8.614457,467438
2015-02-27,8.619568,8.629800,8.542836,8.578646,357413
2015-03-02,8.627243,8.785823,8.576089,8.739783,623700
2015-03-03,8.696303,8.767920,8.609340,8.732112,450563
2015-03-04,8.706534,8.706534,8.599109,8.673284,428288
2015-03-05,8.701419,8.726996,8.601667,8.696303,589613
2015-03-06,8.680953,8.716762,8.596548,8.642588,1132313
2015-03-09,8.657935,8.762801,8.622126,8.698858,525150
2015-03-10,8.655378,8.693744,8.458433,8.478894,524813
2015-03-11,8.808840,8.808840,8.440526,8.609337,748125
2015-03-12,8.632358,8.678397,8.559463,8.624684,541575
2015-03-13,8.647705,8.877900,8.647705,8.870228,955350
2015-03-16,8.923939,9.085076,8.893246,9.054383,890325
2015-03-17,9.031364,9.204011,9.000672,9.192501,844200
2015-03-18,9.192502,9.303764,9.054385,9.257725,673650
2015-03-19,9.441882,9.441882,9.253888,9.353640,885150
2015-03-20,9.392006,9.526287,9.326783,9.472574,1764000
2015-03-23,9.487922,9.591511,9.415027,9.549308,841725
2015-03-24,9.572326,9.583835,9.484084,9.499430,660150
2015-03-25,9.553146,9.572329,9.307603,9.326786,559800
