date,open,high,low,close,volume
2015-01-02,57.580242,58.438198,57.226445,57.633316,449400
2015-01-05,57.438730,58.031336,56.686909,57.058399,397800
2015-01-06,57.323758,57.659868,56.395045,57.093796,492500
2015-01-07,57.491820,57.872151,57.173403,57.553734,394900
2015-01-08,58.093245,59.119248,57.536019,59.066181,681000
2015-01-09,59.066202,59.136963,58.358614,58.420528,376300
2015-01-12,58.597411,58.641638,57.279524,57.297211,565300
2015-01-13,57.597941,58.305528,56.598467,57.297211,496200
2015-01-14,56.793052,57.226450,56.173909,56.757671,473100
2015-01-15,56.872669,57.120325,55.855504,55.970486,396500
2015-01-16,55.713981,57.394508,55.713981,57.217613,441600
2015-01-20,57.491809,57.854453,56.465801,56.916889,399800
2015-01-21,56.943417,57.536030,56.607314,57.076092,346500
2015-01-22,57.447576,58.402826,56.731142,58.385139,313400
2015-01-23,58.385142,58.880454,57.907517,58.535503,328200
2015-01-26,58.376282,59.517274,57.721762,59.464207,507400
2015-01-27,58.995443,59.349240,58.508978,58.986603,331600
2015-01-28,59.013133,59.358083,57.651018,57.810226,453400
2015-01-29,57.960591,58.845080,57.509499,58.809700,318400
2015-01-30,58.473577,58.721233,57.323739,57.686382,652400
2015-02-02,57.686386,57.765986,56.341962,57.376816,436200
2015-02-03,57.757155,59.393459,57.544873,59.260784,536400
2015-02-04,59.871088,60.145278,58.659335,59.393463,670400
2015-02-05,59.729581,60.127605,58.951232,59.906483,388700
2015-02-06,59.826870,60.136440,58.924694,59.243111,408400
2015-02-09,58.942377,59.243107,57.934060,58.066734,396700
2015-02-10,58.668169,58.756616,57.544864,58.464733,714100
2015-02-11,58.500126,58.694715,57.854453,58.225937,356200
2015-02-12,58.473587,58.712396,57.836754,58.243618,305500
2015-02-13,58.119790,58.615101,57.527183,57.934048,354100
2015-02-17,57.792520,57.969422,57.279522,57.774834,349300
2015-02-18,57.774829,58.393969,57.067235,58.367435,494400
2015-02-19,58.340912,58.526653,57.615631,57.801373,213200
2015-02-20,57.819050,59.110404,57.421026,58.712379,392300
2015-02-23,58.721275,59.173928,57.594064,58.170982,470100
2015-02-24,58.091097,58.162103,57.443178,58.011219,407100
2015-02-25,58.002355,58.455015,57.221300,57.514198,266500
2015-02-26,57.354425,57.469806,56.848514,57.061527,612300
2015-02-27,56.963906,57.647328,56.537875,57.265675,412800
2015-03-02,57.407677,57.718323,56.440231,57.682819,530700
2015-03-03,57.576318,57.576318,56.165086,56.289345,576900
2015-03-04,56.076333,56.733129,55.526044,56.173965,363400
2015-03-05,55.889942,57.114778,55.756806,57.034901,314900
2015-03-06,56.546736,56.750875,55.889940,56.253841,614100
2015-03-09,56.404726,56.839634,55.889941,56.697624,498000
2015-03-10,56.138470,57.895851,55.925453,57.514198,1247100
2015-03-11,57.682824,57.691702,56.546743,57.052654,662400
2015-03-12,57.301195,58.011250,56.990549,57.869236,407700
2015-03-13,57.815962,58.614771,57.292302,58.490513,456100
2015-03-16,58.552634,60.673913,58.552634,60.318886,791200
2015-03-17,60.247873,60.247873,59.688710,59.857349,442500
2015-03-18,59.759718,59.999357,59.129548,59.537827,574400
2015-03-19,59.342561,60.549649,59.173921,60.505268,451100
2015-03-20,61.170956,61.694623,60.718303,61.650242,984700
2015-03-23,61.304082,61.588103,61.046688,61.357334,538800
2015-03-24,61.153221,61.889901,61.028962,61.392860,546700
