date,open,high,low,close,volume
2015-01-02,53.920032,54.295509,52.814854,53.367443,3710300
2015-01-05,53.254092,53.494967,52.340192,52.411041,3778200
2015-01-06,52.637735,52.914030,51.532552,52.403946,4659300
2015-01-07,53.048636,54.515125,53.048636,54.387604,6946900
2015-01-08,54.415947,55.081891,54.330937,54.642651,6344900
2015-01-09,54.734750,54.812680,54.075892,54.146736,3215300
2015-01-12,53.898782,54.508048,53.870443,54.288425,2842900
2015-01-13,54.472622,55.018131,53.466626,53.806679,4915600
2015-01-14,52.857346,53.161979,52.205575,52.658981,5634900
2015-01-15,54.763093,54.904781,53.190336,53.608318,17296000
2015-01-16,53.367466,53.459562,51.964735,53.091171,9973000
2015-01-20,53.091162,53.232850,51.638840,52.191429,9165600
2015-01-21,52.078087,52.651929,51.773454,52.389801,5034400
2015-01-22,52.758173,53.799594,52.163074,53.679153,4662800
2015-01-23,53.764172,53.792510,52.885697,53.339104,3954600
2015-01-26,53.367438,53.473706,52.977789,53.310760,3584800
2015-01-27,53.133657,53.374527,52.701503,52.963631,3228200
2015-01-28,53.374522,53.870440,52.517300,52.609402,4174300
2015-01-29,52.609408,53.480797,52.304775,53.480797,4545700
2015-01-30,52.970708,53.225750,52.106405,52.148911,7176900
2015-02-02,51.851375,52.701512,50.937475,52.602329,4926500
2015-02-03,52.935287,53.764170,52.517299,53.750004,4920000
2015-02-04,53.565819,54.309692,53.459550,53.565819,5670200
2015-02-05,53.799598,54.118398,53.714582,53.806679,3111300
2015-02-06,53.842111,54.338023,53.530391,54.097153,4101400
2015-02-09,53.877537,54.253014,53.211593,53.409958,3112700
2015-02-10,53.558724,54.338016,53.537471,54.302597,2810100
2015-02-11,54.139648,54.338013,53.764171,54.139648,2760400
2015-02-12,54.125501,54.508064,53.735852,54.458473,3751000
2015-02-13,54.558330,54.708117,53.987714,54.294422,2381100
2015-02-17,54.066170,54.779444,53.452754,54.665318,4037200
2015-02-18,54.743771,55.200265,54.515523,55.171734,4545200
2015-02-19,55.086143,55.107540,54.401395,54.693840,5613100
2015-02-20,54.601125,54.829372,54.208822,54.829372,4477600
2015-02-23,54.829340,55.100382,54.415640,54.700951,4264100
2015-02-24,54.800836,54.929225,54.258746,54.886425,4810000
2015-02-25,55.692417,55.920664,54.187409,55.029072,9410300
2015-02-26,55.021934,55.207387,54.401384,54.850750,5283000
2015-02-27,54.943468,55.136055,54.715221,54.800816,4741000
2015-03-02,54.800830,55.749486,54.729504,55.407112,6116300
2015-03-03,55.121810,55.735226,53.552610,55.635368,12906900
2015-03-04,55.592556,56.348624,55.342906,55.435635,8019500
2015-03-05,55.485568,55.806539,55.485568,55.778008,6622300
2015-03-06,55.506982,55.506982,54.815105,55.071884,3927900
2015-03-09,55.000544,56.106121,54.886418,56.041924,4418000
2015-03-10,55.827938,55.885001,55.221656,55.399975,4807000
2015-03-11,55.899278,55.963470,55.079012,55.478443,3829900
2015-03-12,55.706690,56.676743,55.635364,56.562622,4190900
2015-03-13,56.555469,56.847909,56.091840,56.477009,5401500
2015-03-16,56.819387,57.639647,56.783721,57.411400,4452100
2015-03-17,57.397138,58.024817,57.204551,57.796570,5042400
2015-03-18,57.753767,58.046206,57.004827,57.817959,4906600
2015-03-19,57.390006,57.639651,57.325814,57.489864,3991700
2015-03-20,57.625392,58.374326,57.489868,57.996292,5534900
2015-03-23,58.081900,58.659650,57.917844,57.939247,3372500
2015-03-24,57.846520,58.623992,57.711002,58.488468,5686000
2015-03-25,58.545524,58.559787,58.024832,58.217419,5617100
2015-03-26,58.031958,58.031958,57.290153,57.375748,4795000
2015-03-27,57.340077,58.388591,57.297283,58.174606,3752700
2015-03-30,58.424257,59.023404,58.424257,58.588306,3854700
2015-03-31,58.645368,59.066197,58.488447,58.538376,5368000
2015-04-01,58.367188,58.652499,57.960622,58.552635,4961700
2015-04-02,58.495600,59.080485,58.203155,58.966358,3002000
2015-04-06,59.108991,59.643947,58.780886,59.444225,3825800
2015-04-07,59.380041,59.686749,58.873617,58.923546,3021300
2015-04-08,59.044811,59.643964,59.009151,59.301590,3272200
2015-04-09,59.201727,59.636824,58.973480,59.408577,3369900
2015-04-10,59.437119,59.729558,59.173206,59.608303,2811500
2015-04-13,59.529828,59.900733,59.137531,59.173191,2429700
2015-04-14,59.051948,59.479911,58.695311,59.244530,2861100
2015-04-15,59.437110,59.786613,58.402860,58.459923,3841700
2015-04-16,58.438523,58.695302,58.153213,58.431389,4219700
2015-04-17,58.067616,58.124674,56.997705,57.076160,6089800
2015-04-20,57.710999,57.974906,57.340093,57.725262,3898100
2015-04-21,58.181750,58.331537,57.825113,57.953503,2929400
2015-04-22,58.010568,58.260212,57.782320,58.017696,4212600
2015-04-23,57.974886,58.673896,57.932091,58.438515,4628700
2015-04-24,59.180342,59.201739,58.802308,58.987755,3611700
2015-04-27,59.094732,59.158930,57.896432,58.046219,4778900
2015-04-28,57.974899,58.352933,57.682459,58.138954,3233300
2015-04-29,57.917825,57.982022,56.163172,56.255901,6637200
2015-04-30,56.191724,56.619688,55.913548,56.227390,5376700
2015-05-01,56.134646,56.847920,56.056186,56.812260,3066500
2015-05-04,56.876443,57.618248,56.812251,57.190285,2946400
2015-05-05,57.076174,57.197435,56.291574,56.327240,3172100
2015-05-06,56.655329,56.655329,55.991984,56.434216,3907000
2015-05-07,56.598272,57.268751,56.462754,57.140362,3964700
2015-05-08,57.632529,58.010564,57.475608,57.589729,4021200
2015-05-11,57.632522,58.039087,57.439935,57.496998,2778000
2015-05-12,57.211682,57.996281,57.161753,57.639645,2760900
2015-05-13,57.461336,57.725249,56.869322,56.926380,4881200
2015-05-14,55.178874,55.706695,54.536926,55.107548,9895600
2015-05-15,55.378591,56.020539,55.093281,56.013405,6851300
2015-05-18,56.207262,56.386769,55.762088,56.264706,4754100
2015-05-19,55.999015,56.336489,55.568199,55.948753,8702700
2015-05-20,56.961190,57.011452,55.697458,56.135456,10683400
2015-05-21,56.221643,57.420749,56.006232,57.004292,6725000
2015-05-22,57.147881,57.147881,56.673985,56.932476,3847300
