date,open,high,low,close,volume
2015-01-02,26.700001,26.959999,26.360001,26.910000,1106000
2015-01-05,26.799999,26.820000,25.900000,26.030001,1254900
2015-01-06,26.010000,26.139999,25.370001,25.660000,2291600
2015-01-07,25.600000,25.680000,25.190001,25.340000,2096400
2015-01-08,25.570000,25.780001,25.320000,25.670000,2036000
2015-01-09,25.590000,25.870001,25.309999,25.620001,1266000
2015-01-12,25.570000,25.799999,25.209999,25.660000,1085700
2015-01-13,25.879999,26.490000,25.629999,25.870001,1225600
2015-01-14,25.559999,25.830000,24.930000,25.320000,1823600
2015-01-15,25.400000,25.760000,24.600000,24.760000,1469800
2015-01-16,24.629999,24.930000,24.500000,24.740000,1163100
2015-01-20,24.790001,25.000000,24.420000,24.590000,1671300
2015-01-21,24.610001,24.820000,24.420000,24.690001,1715300
2015-01-22,24.760000,25.490000,24.730000,25.469999,1144600
2015-01-23,25.420000,25.790001,25.340000,25.559999,1410700
2015-01-26,25.600000,25.790001,25.549999,25.740000,1181200
2015-01-27,25.340000,25.389999,24.740000,25.049999,1630700
2015-01-28,24.459999,24.980000,24.450001,24.580000,1602600
2015-01-29,24.870001,24.920000,24.309999,24.590000,1200200
2015-01-30,24.450001,24.490000,23.709999,23.840000,2118600
2015-02-02,23.910000,24.120001,23.680000,23.870001,3309200
2015-02-03,24.139999,24.549999,23.969999,24.490000,3833400
2015-02-04,24.440001,25.610001,24.440001,25.410000,4208000
2015-02-05,25.469999,26.370001,25.459999,26.350000,2507400
2015-02-06,26.350000,26.600000,26.170000,26.440001,2199300
2015-02-09,26.240000,26.730000,26.170000,26.490000,1968400
2015-02-10,26.750000,26.770000,26.340000,26.350000,1828600
2015-02-11,25.740000,26.629999,24.900000,26.420000,2869200
2015-02-12,26.610001,27.290001,26.379999,27.260000,2452500
2015-02-13,27.320000,27.620001,26.770000,26.870001,1992300
2015-02-17,26.809999,26.860001,26.090000,26.350000,2134100
2015-02-18,26.510000,26.510000,26.129999,26.290001,1670800
2015-02-19,26.139999,26.480000,26.129999,26.400000,977500
2015-02-20,26.290001,26.540001,26.120001,26.530001,1040500
