date,open,high,low,close,volume
2016-09-21,2.875000,3.040000,2.780000,3.010000,63438000.000000
2016-09-22,3.100000,3.170000,2.841000,2.890000,22728000.000000
2016-09-23,2.885000,2.890000,2.684000,2.766000,10587000.000000
2016-09-26,2.710000,2.842000,2.700000,2.777000,3061000.000000
2016-09-27,2.833000,3.084800,2.734000,2.998000,10158000.000000
2016-09-28,3.073000,3.340000,3.002000,3.339000,20565000.000000
2016-09-29,3.260000,3.319500,2.880000,2.899000,17033000.000000
2016-09-30,2.935000,3.095000,2.919000,2.921000,9490000.000000
2016-10-03,2.912000,2.931700,2.619000,2.638000,10804000.000000
2016-10-04,2.639000,2.725000,2.363000,2.383000,13381000.000000
2016-10-05,2.442000,2.520000,2.350000,2.478000,9634000.000000
2016-10-06,2.512000,2.694000,2.461300,2.608000,8553000.000000
2016-10-07,2.528000,2.649000,2.502000,2.626000,4485000.000000
2016-10-10,2.577000,2.637000,2.510100,2.528000,3645000.000000
2016-10-11,2.506000,2.592500,2.350000,2.552000,5394000.000000
2016-10-12,2.532000,2.696000,2.532000,2.690000,3318000.000000
2016-10-13,2.640000,2.673000,2.550000,2.597000,2453000.000000
2016-10-14,2.611000,2.724000,2.605000,2.636000,2229000.000000
2016-10-17,2.702000,2.725000,2.614000,2.627000,3376000.000000
2016-10-18,2.627000,2.650800,2.581000,2.588000,1716000.000000
2016-10-19,2.575000,2.622000,2.525100,2.546000,1116000.000000
2016-10-20,2.510000,2.666000,2.505000,2.649000,1041000.000000
2016-10-21,2.651000,2.750000,2.624000,2.748000,2359000.000000
2016-10-24,2.738000,2.870000,2.705000,2.852000,2728000.000000
2016-10-25,2.861000,2.947000,2.856800,2.880000,2805000.000000
2016-10-26,2.895000,2.909000,2.789000,2.818000,1825000.000000
2016-10-27,2.816000,2.859700,2.544000,2.552000,3674000.000000
2016-10-28,2.575000,2.675500,2.550000,2.561000,1685000.000000
2016-10-31,2.601000,2.601000,2.417000,2.518000,1765000.000000
2016-11-01,2.544000,2.570000,2.500000,2.524000,889000.000000
2016-11-02,2.502000,2.600000,2.420000,2.443000,1825000.000000
2016-11-03,2.426000,2.451200,2.201000,2.290000,4019000.000000
2016-11-04,2.293000,2.418900,2.279000,2.387000,1537000.000000
2016-11-07,2.416000,2.434000,2.227500,2.290000,2068000.000000
2016-11-08,2.426000,2.430000,2.255000,2.280000,5774000.000000
2016-11-09,2.215000,2.350000,2.200000,2.295000,5573000.000000
2016-11-10,2.390000,2.434000,2.318500,2.343000,5620000.000000
2016-11-11,2.501000,2.649000,2.402000,2.545000,11264000.000000
2016-11-14,2.557000,2.735000,2.550000,2.577000,6952000.000000
2016-11-15,2.584000,2.612000,2.503000,2.525000,5441000.000000
2016-11-16,2.500000,2.597000,2.480000,2.536000,4681000.000000
2016-11-17,2.557000,2.646000,2.541000,2.593000,6080000.000000
2016-11-18,2.597000,2.925000,2.597000,2.910000,8259000.000000
2016-11-21,2.886000,3.048000,2.800000,2.933000,7483000.000000
2016-11-22,2.940000,2.960000,2.832000,2.873000,3833000.000000
2016-11-23,2.871000,3.050000,2.819000,3.019000,5275000.000000
2016-11-25,2.999000,3.048000,2.866000,2.908000,2576000.000000
2016-11-28,2.928000,2.928000,2.571000,2.670000,9057000.000000
2016-11-29,2.665000,2.778000,2.550000,2.712000,4603000.000000
2016-11-30,2.694000,2.783800,2.581500,2.658000,3137000.000000
2016-12-01,2.640000,2.700000,2.548000,2.608000,4862000.000000
2016-12-02,2.587000,2.648000,2.562000,2.620000,3055000.000000
2016-12-05,2.620000,2.721000,2.609100,2.662000,2795000.000000
2016-12-06,2.661000,2.841000,2.608000,2.810000,5033000.000000
2016-12-07,2.812000,2.852500,2.746000,2.758000,2082000.000000
2016-12-08,2.753000,2.863900,2.700000,2.741000,1664000.000000
2016-12-09,2.756000,2.843000,2.706000,2.747000,3625000.000000
2016-12-12,2.864000,2.955000,2.810000,2.936000,4978000.000000
2016-12-13,2.940000,3.038000,2.867000,2.929000,5632000.000000
2016-12-14,2.912000,2.955000,2.793000,2.800000,5030000.000000
2016-12-15,2.810000,2.965000,2.804000,2.952000,4314000.000000
2016-12-16,2.969000,2.997000,2.864000,2.923000,11764000.000000
2016-12-19,2.936000,2.990000,2.876000,2.922000,3269000.000000
