date,open,high,low,close,volume
2015-01-02,110.040001,111.080002,106.769997,107.849998,216200
2015-01-05,106.750000,108.500000,105.279999,105.970001,270300
2015-01-06,106.459999,107.430000,103.529999,104.910004,239600
2015-01-07,105.529999,106.150002,103.370003,106.029999,220300
2015-01-08,107.309998,110.379997,106.550003,109.199997,264700
2015-01-09,109.059998,109.910004,106.589996,107.489998,155900
2015-01-12,107.290001,109.209999,106.550003,107.690002,166100
2015-01-13,108.910004,112.489998,107.470001,108.750000,182200
2015-01-14,107.370003,109.720001,107.129997,108.690002,109400
2015-01-15,109.279999,109.279999,104.070000,104.169998,227600
2015-01-16,103.519997,108.760002,103.519997,108.440002,133600
2015-01-20,108.599998,110.230003,106.730003,108.540001,173800
2015-01-21,108.129997,109.580002,106.169998,106.900002,144800
2015-01-22,107.779999,109.629997,104.940002,109.510002,136700
2015-01-23,109.510002,112.290001,109.099998,111.169998,131900
2015-01-26,111.160004,111.750000,108.720001,111.190002,166200
2015-01-27,109.699997,111.000000,107.690002,110.099998,121400
2015-01-28,110.690002,111.050003,108.089996,108.820000,135700
2015-01-29,108.790001,110.680000,106.919998,110.500000,112500
2015-01-30,109.389999,109.699997,105.820000,106.080002,162600
2015-02-02,106.260002,108.970001,103.180000,108.459999,269500
2015-02-03,108.589996,110.360001,107.370003,109.919998,245200
2015-02-04,109.070000,110.620003,108.760002,110.029999,175100
2015-02-05,110.750000,115.989998,110.099998,114.029999,340000
2015-02-06,114.370003,116.480003,113.480003,114.900002,186500
2015-02-09,113.389999,114.889999,111.070000,114.290001,250600
2015-02-10,115.000000,115.000000,109.820000,114.570000,269000
2015-02-11,114.199997,114.440002,112.110001,112.610001,133600
2015-02-12,113.790001,115.070000,113.269997,114.919998,173100
2015-02-13,115.029999,116.500000,113.459999,116.279999,155300
2015-02-17,115.949997,116.570000,114.639999,115.339996,125200
2015-02-18,114.809998,116.559998,114.419998,115.760002,161800
2015-02-19,115.019997,117.529999,114.519997,116.430000,128800
2015-02-20,116.639999,118.540001,115.510002,118.070000,150600
2015-02-23,117.540001,117.730003,115.580002,117.660004,202400
