date,open,high,low,close,volume
2015-01-02,20.489728,20.780550,20.370755,20.734283,1071500
2015-01-05,20.661568,21.018486,20.602082,20.952391,1784700
2015-01-06,21.031710,21.236608,20.886300,21.071367,2513900
2015-01-07,21.137465,21.249830,20.919349,21.216780,3551300
2015-01-08,21.250090,21.290072,21.063511,21.256754,2929200
2015-01-09,21.283423,21.489993,21.196796,21.330067,2110800
2015-01-12,21.396698,21.603267,21.363381,21.576614,1383500
2015-01-13,21.603266,21.603266,21.310070,21.383369,2104500
2015-01-14,21.256758,21.649909,21.243430,21.589937,1960900
2015-01-15,21.723211,21.849821,21.616595,21.823166,2022700
2015-01-16,21.816506,22.103037,21.716551,22.069719,1308800
2015-01-20,22.196324,22.276286,21.769854,21.863146,1610700
2015-01-21,21.849821,21.876476,21.716549,21.823166,1571600
2015-01-22,21.869810,22.409559,21.836493,22.409559,1501200
2015-01-23,22.429543,22.522832,22.349581,22.429543,1629800
2015-01-26,22.422885,22.722744,22.349586,22.689426,3210300
2015-01-27,22.609460,22.915983,22.609460,22.909321,2000300
2015-01-28,22.989290,23.242506,22.809373,22.822701,2855100
2015-01-29,22.822697,22.895996,22.489519,22.636118,1557900
2015-01-30,22.569485,22.676102,22.163008,22.163008,2192100
2015-02-02,22.156339,22.236301,21.649909,22.176329,2076200
2015-02-03,22.183003,22.249638,21.569954,22.242975,2366200
2015-02-04,22.176329,22.289611,21.863143,22.103029,1846700
2015-02-05,22.209651,22.309603,22.069714,22.309603,1597000
2015-02-06,22.262956,22.276283,21.463328,21.589937,1951600
2015-02-09,21.589938,21.736535,21.416684,21.423349,1747000
2015-02-10,21.430012,21.556619,21.243432,21.529966,1620700
2015-02-11,21.509977,21.696558,21.310070,21.443342,1474000
2015-02-12,21.496648,21.809836,21.416686,21.769854,1688600
2015-02-13,21.776516,21.776516,21.423348,21.623255,1293800
2015-02-17,21.623258,21.803175,21.529969,21.603266,1843000
2015-02-18,21.623257,21.809836,21.450003,21.769854,2233200
2015-02-19,21.703215,21.709880,21.143476,21.210112,1567600
2015-02-20,21.170138,21.476661,21.116830,21.450006,1382600
2015-02-23,21.489985,21.703219,21.489985,21.696556,1489800
2015-02-24,21.656578,21.656578,20.956904,21.070185,1787300
2015-02-25,21.096839,21.503317,21.076848,21.190128,1714200
2015-02-26,21.196785,21.216776,20.930243,20.983551,1446000
2015-02-27,21.003551,21.316738,20.930251,21.283421,2075300
2015-03-02,21.270088,21.676564,21.196788,21.549957,1656600
2015-03-03,21.463332,21.549959,21.303407,21.469997,1616100
2015-03-04,21.476655,21.549954,21.370038,21.456665,1726200
2015-03-05,21.370040,21.689891,21.370040,21.489985,2052400
2015-03-06,21.056854,21.083508,20.923583,21.056854,2832700
2015-03-09,21.136820,21.290083,21.036867,21.250101,2289300
2015-03-10,21.196790,21.303407,21.096837,21.163473,3910200
2015-03-11,21.170135,21.336724,21.096835,21.290079,1736800
2015-03-12,21.396698,21.863148,21.363381,21.823166,2967000
2015-03-13,21.876472,22.029734,21.723208,21.989752,2525500
2015-03-16,22.229639,22.536162,22.103030,22.449535,2074500
2015-03-17,22.396233,22.496185,22.269624,22.422888,1851600
2015-03-18,22.416216,22.955965,22.329589,22.882666,2102700
2015-03-19,22.789383,23.069252,22.762728,22.822701,1997300
2015-03-20,22.989292,23.462404,22.896002,23.429087,3960500
2015-03-23,23.429088,23.648987,23.335799,23.469070,1339600
2015-03-24,23.422418,23.495715,23.149212,23.155874,1593700
2015-03-25,23.215847,23.249164,22.589473,22.616125,1181000
2015-03-26,22.602800,22.729409,22.422886,22.502848,1121200
2015-03-27,22.516178,22.756067,22.456206,22.596140,2101500
2015-03-30,22.716072,22.942634,22.529494,22.922644,1646100
2015-03-31,22.882667,23.082574,22.669434,22.676096,1956900
2015-04-01,22.676101,22.749400,22.336260,22.476194,1449200
2015-04-02,22.462864,22.769387,22.396229,22.642780,1313500
2015-04-06,22.722743,22.895997,22.682764,22.769388,1874000
2015-04-07,22.742735,22.776053,22.402892,22.416220,1205100
2015-04-08,22.429544,22.622788,22.389562,22.576143,1159000
2015-04-09,22.489516,22.582806,21.829823,21.929777,1161700
2015-04-10,22.056385,22.236301,21.936440,21.983088,1178100
2015-04-13,21.949773,22.063055,21.823166,21.823166,1409800
2015-04-14,21.922626,22.225054,21.895746,21.989834,1285200
2015-04-15,22.023439,22.157852,21.741172,21.747894,1151100
2015-04-16,21.707569,22.003278,21.626923,21.902468,860900
2015-04-17,21.808376,21.962949,21.680682,21.895744,1089400
2015-04-20,21.942787,22.003272,21.781491,21.882301,969300
2015-04-21,21.983110,22.171289,21.949507,21.996552,796600
2015-04-22,22.016716,22.446837,21.996555,22.305702,1250700
2015-04-23,22.285540,22.453555,22.218335,22.406511,1063600
2015-04-24,22.386355,22.655178,22.319147,22.520765,1580900
2015-04-27,22.601415,22.715664,22.487163,22.614857,2111500
2015-04-28,22.722387,22.856797,22.547650,22.749268,2072800
2015-04-29,22.493880,22.715659,22.198172,22.466997,2494900
2015-04-30,22.413224,22.493873,21.835254,22.023430,3450900
2015-05-01,22.057044,22.460280,22.010000,22.144413,1777100
2015-05-04,22.366189,22.635015,22.258660,22.312426,1494100
2015-05-05,22.265381,22.305703,21.593320,21.694128,1658500
2015-05-06,21.721011,21.875585,21.586598,21.687408,1834600
2015-05-07,21.768048,22.265374,21.721004,22.184725,1565100
2015-05-08,22.500600,22.823189,22.466997,22.547644,1516500
2015-05-11,22.480442,22.601413,21.996557,22.057043,1576100
2015-05-12,21.915916,22.285549,21.714298,22.211622,867900
2015-05-13,22.305698,22.500597,21.821816,21.868860,1267000
2015-05-14,21.962950,22.265378,21.949508,22.238495,1201600
2015-05-15,22.319148,22.520766,22.218340,22.419958,1064000
2015-05-18,22.319141,22.399791,22.184729,22.238495,1022900
2015-05-19,22.151125,22.278818,22.043596,22.130964,1915200
2015-05-20,22.043593,22.366182,22.043593,22.184725,1277300
2015-05-21,22.258661,22.265383,21.969674,22.057043,912500
2015-05-22,21.996560,22.238502,21.909191,22.110811,732900
2015-05-26,22.097371,22.097371,21.835268,21.915915,1049900
2015-05-27,21.989835,22.325866,21.875584,22.305702,1127200
2015-05-28,22.305703,22.339309,22.137688,22.258659,1502400
2015-05-29,22.178007,22.204890,21.828535,21.882301,4267500
2015-06-01,21.929351,22.312425,21.808380,22.258659,2151000
2015-06-02,22.157851,22.245218,21.808379,21.848701,1510300
2015-06-03,21.828540,21.976394,21.297613,21.351377,1674600
2015-06-04,21.344653,21.465624,21.183359,21.317770,1047900
2015-06-05,21.048951,21.458908,20.867494,21.311054,1852700
2015-06-08,21.344656,21.445465,21.183361,21.324493,862500
2015-06-09,21.284173,21.445467,21.203525,21.250570,1099600
2015-06-10,21.230405,21.586596,21.122875,21.452185,1371700
2015-06-11,21.586592,21.774771,21.539548,21.774771,1664000
2015-06-12,21.895747,22.003277,21.741171,21.875584,2297300
2015-06-15,21.815099,21.983114,21.667247,21.902468,2234000
2015-06-16,21.929349,22.198172,21.848700,22.036879,2393000
2015-06-17,22.077195,22.231771,21.801650,22.184725,1476400
2015-06-18,22.204892,22.675335,22.204892,22.608128,1505800
2015-06-19,22.554365,22.594687,22.325864,22.359467,2294900
2015-06-22,22.413229,22.574524,22.117523,22.130964,2692400
2015-06-23,22.077208,22.164576,21.875590,21.915915,2562900
2015-06-24,21.949511,22.184731,21.848701,21.875584,2198700
2015-06-25,21.915904,22.036875,21.754608,21.754608,1657200
2015-06-26,21.754613,22.043600,21.667247,21.902468,2831200
2015-06-29,21.889025,22.157850,21.606760,21.620199,2103000
2015-06-30,21.848699,21.929348,21.512668,21.526110,2747700
2015-07-01,21.593319,21.956230,21.492509,21.956230,2473000
2015-07-02,22.104081,22.359464,22.009992,22.083920,1898300
2015-07-06,21.989832,22.191450,21.942788,22.151125,1591900
2015-07-07,22.245222,22.534209,22.231783,22.433401,3817300
2015-07-08,22.404929,22.533692,22.330381,22.432035,2125100
2015-07-09,22.520142,22.540472,22.276168,22.357494,1767600
2015-07-10,22.452368,22.635349,22.330381,22.384596,1739500
2015-07-13,22.567576,22.743780,22.303271,22.377819,1299300
2015-07-14,22.445590,22.838660,22.235503,22.547247,921700
2015-07-15,22.642125,22.648901,22.418483,22.587910,1393200
2015-07-16,22.676011,23.035197,22.628572,22.709896,869500
2015-07-17,22.716679,22.716679,22.499814,22.594692,710400
2015-07-20,22.520133,22.750553,22.499803,22.750553,1376700
2015-07-21,22.798000,22.960650,22.628574,22.642128,1142900
2015-07-22,22.635344,22.865764,22.635344,22.811546,1112400
2015-07-23,22.791224,22.798000,22.472702,22.642128,1673900
2015-07-24,22.737008,22.784447,22.594690,22.682793,1163100
2015-07-27,22.716674,22.926764,22.628572,22.662457,1959700
2015-07-28,22.682795,22.913215,22.411712,22.621801,2399800
2015-07-29,22.621799,22.621799,22.371046,22.615021,1286700
2015-07-30,22.554026,22.662459,22.459148,22.648905,1171200
2015-07-31,22.940314,23.082634,22.831882,22.913208,2038000
2015-08-03,22.967429,23.191072,22.886105,23.191072,1589100
2015-08-04,23.163968,23.394388,23.048757,23.109751,1480200
2015-08-05,23.123294,23.157179,22.797996,23.008085,1406300
2015-08-06,22.987748,23.143622,22.723443,23.123289,1512300
2015-08-07,23.089412,23.319832,22.886101,23.279169,1398200
2015-08-10,23.346941,23.374050,23.096191,23.279169,1216700
2015-08-11,23.238513,23.577366,23.048754,23.570587,1731500
2015-08-12,23.489257,23.638353,23.367270,23.631575,1748500
2015-08-13,23.557035,23.679022,23.333394,23.604477,1341500
2015-08-14,23.543475,23.590914,23.143629,23.590914,1595500
2015-08-17,23.597688,24.017864,23.462146,24.017864,1766700
2015-08-18,23.943319,24.180515,23.909432,24.173737,2791200
2015-08-19,23.753560,23.950096,23.685791,23.773893,3239800
2015-08-20,23.577361,23.821335,23.279169,23.645130,2305400
2015-08-21,23.462144,23.563801,22.960644,22.960644,2139800
2015-08-24,20.351485,22.438817,20.351485,21.740782,3421800
2015-08-25,22.005086,22.106740,21.076629,21.103737,2690500
2015-08-26,21.442588,21.734001,21.164729,21.679785,2592600
2015-08-27,21.815323,22.310047,21.618789,22.208393,2005600
2015-08-28,22.160958,22.310051,21.957647,22.235506,1352000
2015-08-31,22.201615,22.357490,21.889872,21.889872,3637700
2015-09-01,21.435812,21.774666,21.198616,21.361265,1744600
2015-09-02,21.537467,21.666230,21.286715,21.523912,1314800
2015-09-03,21.591684,21.754332,21.490028,21.537468,898600
2015-09-04,21.354491,21.374823,20.954645,21.117294,948000
2015-09-08,21.517135,21.517135,21.178282,21.422256,1195300
2015-09-09,21.659453,22.357491,21.110512,21.137621,1136200
2015-09-10,21.103738,21.517139,21.042744,21.259611,1088300
2015-09-11,21.246061,21.883104,21.171513,21.876326,1356900
2015-09-14,21.937313,21.957646,21.700117,21.801771,1032500
2015-09-15,21.869541,22.330381,21.700115,22.255833,1887200
2015-09-16,22.221946,22.594683,21.706889,22.533689,1254300
2015-09-17,22.533693,23.116520,22.364267,22.723450,1948700
2015-09-18,22.418485,23.279168,22.404930,22.838661,2649700
2015-09-21,22.899658,23.191071,22.865773,23.069084,1762400
2015-09-22,22.947097,23.062305,22.784446,22.845440,1593300
2015-09-23,22.913209,23.102965,22.784443,22.980978,1298000
2015-09-24,22.947095,23.102967,22.554025,22.784445,1693400
2015-09-25,22.825108,23.143631,22.709897,22.899656,1687700
2015-09-28,22.845440,22.892880,22.418488,22.682793,1637400
2015-09-29,22.730228,23.306276,22.608241,23.177513,2264300
2015-09-30,23.435045,23.475706,23.143632,23.367273,2706700
2015-10-01,23.448596,23.570583,23.218176,23.502813,1661800
2015-10-02,23.292724,23.760342,23.285948,23.740009,1827400
2015-10-05,23.963657,24.004318,23.692574,23.916218,1455700
2015-10-06,23.875554,24.051759,23.618026,23.699352,1331900
2015-10-07,23.814112,23.998559,23.663821,23.984896,2350700
2015-10-08,23.984899,24.196670,23.383739,24.073708,2258900
2015-10-09,24.053209,24.196667,23.902921,24.183006,1512700
2015-10-12,24.223995,24.510913,24.162513,24.476757,1548300
2015-10-13,24.381112,24.476753,24.114689,24.196665,1045600
2015-10-14,24.251323,24.264986,23.827780,23.875599,1161600
2015-10-15,23.971234,24.572394,23.971234,24.299139,1341100
2015-10-16,24.353794,24.524578,24.258153,24.442600,1538100
2015-10-19,24.415265,24.872965,24.353783,24.872965,1016700
2015-10-20,24.845648,25.276024,24.497250,24.579226,1691200
2015-10-21,24.688528,24.852481,24.387949,24.613382,1280400
2015-10-22,24.715850,24.804658,24.346956,24.435764,2771500
2015-10-23,24.449430,25.412651,24.169344,24.299139,1817400
2015-10-26,24.353790,24.408440,24.094198,24.360620,1814800
2015-10-27,24.620219,24.866148,24.039551,24.189842,2059100
2015-10-28,24.299146,24.913970,23.650166,24.101036,2099900
2015-10-29,24.012222,24.142017,23.786786,24.025883,1358000
2015-10-30,24.066874,24.155682,23.438390,23.540859,2186100
2015-11-02,23.704815,24.189841,23.397404,24.176178,1671700
2015-11-03,24.107860,24.107860,23.684314,23.868761,1436900
2015-11-04,23.923411,23.978061,23.759457,23.902918,997200
2015-11-05,23.861930,24.114690,23.738965,24.094196,862300
2015-11-06,23.882429,24.251323,23.089991,23.281271,1375600
2015-11-09,22.987522,23.178800,22.666448,23.069498,1492200
2015-11-10,22.973860,23.417897,22.932871,23.356415,1495800
2015-11-11,23.356418,23.718482,23.308599,23.616011,1135500
2015-11-12,23.561356,23.745800,23.411065,23.561356,1590200
2015-11-13,23.602339,23.732137,23.192459,23.588676,1378100
2015-11-16,23.602340,23.978064,23.288098,23.950741,1270100
2015-11-17,23.875590,24.305966,23.855094,24.251314,1331100
2015-11-18,24.305970,24.360620,23.950739,24.244488,2062600
2015-11-19,24.299135,24.592884,24.183003,24.469919,1330000
2015-11-20,24.586055,24.941283,24.524572,24.913960,1717900
2015-11-23,24.913963,25.166723,24.900300,25.084747,1147600
2015-11-24,24.879804,25.043757,24.661201,24.927626,1566800
2015-11-25,24.975449,25.460474,24.900303,25.371666,1718800
2015-11-27,25.296516,25.884013,25.009600,25.767881,1218700
2015-11-30,25.829370,25.931838,25.146234,25.214546,7045000
2015-12-01,25.323837,25.542441,25.269188,25.487791,1745700
2015-12-02,25.494631,25.521957,24.975448,25.030098,1615200
2015-12-03,25.009604,25.146231,24.551901,24.620216,1644200
2015-12-04,24.668034,25.248698,24.668034,25.091578,1386900
2015-12-07,25.098401,25.207702,24.811483,24.879795,1190600
2015-12-08,24.872971,25.050586,24.750007,24.804659,1226600
2015-12-09,24.674859,24.886632,24.428929,24.524570,1084700
2015-12-10,24.572396,24.661202,24.019055,24.387949,1676900
2015-12-11,24.299133,24.606544,24.237650,24.531399,1852700
2015-12-14,24.483584,25.009599,24.333294,24.934454,2537600
2015-12-15,25.071080,25.235031,24.989105,25.009598,1602700
2015-12-16,25.125729,25.501455,24.968608,25.467297,1329100
2015-12-17,25.289687,25.412651,24.627044,24.982275,2307700
2015-12-18,24.941281,25.009596,24.750004,24.838812,2850200
2015-12-21,25.016430,25.132565,24.722682,24.920792,1187600
2015-12-22,25.030100,25.262367,24.900305,24.941292,2295300
2015-12-23,25.002766,25.248695,24.961780,25.241865,964500
2015-12-24,25.214542,25.289687,25.030095,25.228205,442600
2015-12-28,25.180386,25.562941,25.098411,25.562941,977900
2015-12-29,25.679078,25.993320,25.672247,25.884018,967900
2015-12-30,25.890849,26.006981,25.767885,25.795208,816700
2015-12-31,25.836189,25.952324,25.221366,25.665405,1635600
2016-01-04,25.631254,25.665410,25.043756,25.255529,1655700
2016-01-05,25.255533,25.706402,25.241870,25.576605,1052300
2016-01-06,25.337515,25.597107,25.221380,25.392164,1234500
