date,open,high,low,close,volume
2015-01-02,128.130005,129.089996,125.239998,126.839996,410800
2015-01-05,126.309998,127.980003,125.650002,127.150002,477400
2015-01-06,127.050003,128.789993,124.699997,126.949997,758200
2015-01-07,128.779999,130.639999,127.970001,130.580002,597200
2015-01-08,131.529999,132.880005,131.139999,132.240005,618400
2015-01-09,132.000000,132.869995,129.839996,131.570007,574200
2015-01-12,132.380005,132.429993,129.139999,129.839996,428300
2015-01-13,130.589996,132.940002,127.510002,128.809998,542600
2015-01-14,127.150002,129.059998,127.129997,128.750000,410900
2015-01-15,131.809998,131.809998,126.860001,127.139999,678200
2015-01-16,126.750000,129.949997,126.610001,129.720001,529100
2015-01-20,130.389999,130.690002,126.949997,127.160004,481000
2015-01-21,127.089996,128.669998,126.610001,128.350006,315500
2015-01-22,128.899994,132.630005,127.500000,132.559998,638700
2015-01-23,133.139999,137.330002,132.500000,135.339996,1233400
2015-01-26,136.679993,137.490005,134.770004,136.080002,844100
2015-01-27,135.809998,136.830002,134.149994,135.839996,437600
2015-01-28,136.649994,137.199997,133.550003,133.860001,486700
2015-01-29,134.380005,134.580002,132.330002,134.399994,563700
2015-01-30,134.279999,135.089996,131.500000,131.940002,606900
2015-02-02,132.080002,132.350006,128.110001,130.960007,904100
2015-02-03,131.139999,134.029999,130.539993,133.850006,569300
2015-02-04,133.360001,133.830002,131.169998,132.000000,735400
2015-02-05,132.309998,133.600006,131.720001,133.029999,588000
2015-02-06,132.979996,133.570007,132.000000,133.259995,386500
2015-02-09,133.130005,135.059998,132.759995,134.970001,513100
2015-02-10,135.880005,138.110001,135.289993,137.000000,741100
2015-02-11,136.690002,137.979996,135.240005,135.899994,548300
2015-02-12,136.500000,136.639999,134.720001,136.070007,408600
2015-02-13,135.940002,136.669998,134.690002,136.660004,521500
2015-02-17,136.740005,136.940002,134.559998,135.910004,336800
2015-02-18,135.380005,136.740005,134.589996,136.619995,275500
2015-02-19,136.850006,139.729996,136.600006,136.919998,562700
2015-02-20,137.119995,138.130005,135.710007,138.000000,286500
2015-02-23,137.990005,138.919998,136.669998,137.250000,316300
2015-02-24,137.669998,138.410004,136.110001,138.389999,523600
2015-02-25,138.419998,140.309998,137.139999,138.759995,463000
2015-02-26,138.520004,141.000000,138.470001,140.589996,539600
2015-02-27,141.979996,143.339996,140.009995,140.759995,720600
2015-03-02,141.970001,143.690002,141.000000,143.619995,507500
2015-03-03,143.250000,143.250000,141.600006,142.029999,662100
2015-03-04,141.550003,142.009995,139.440002,139.910004,659900
2015-03-05,139.949997,141.800003,139.490005,140.860001,479300
2015-03-06,140.559998,141.169998,138.270004,138.589996,640500
2015-03-09,139.880005,141.699997,139.419998,140.960007,1691600
2015-03-10,140.270004,142.089996,139.029999,140.470001,1195700
2015-03-11,141.779999,142.820007,140.490005,141.960007,943400
2015-03-12,143.929993,145.899994,142.279999,144.820007,2368300
2015-03-13,155.089996,156.000000,148.110001,150.100006,4533700
2015-03-16,150.000000,151.000000,148.440002,150.179993,1256800
2015-03-17,149.380005,151.940002,148.779999,150.460007,923000
2015-03-18,150.729996,151.589996,149.130005,150.990005,840700
2015-03-19,151.009995,152.669998,150.389999,152.289993,719500
2015-03-20,152.679993,152.750000,151.100006,152.020004,856800
2015-03-23,153.100006,154.520004,152.610001,153.179993,734700
2015-03-24,153.240005,154.500000,152.800003,153.770004,536800
2015-03-25,153.619995,154.330002,151.289993,151.580002,556000
2015-03-26,150.350006,151.279999,148.360001,150.009995,620400
2015-03-27,149.630005,151.750000,149.570007,151.199997,441800
2015-03-30,152.839996,153.020004,151.000000,151.580002,553600
2015-03-31,151.509995,152.960007,150.399994,150.850006,477100
2015-04-01,150.889999,151.380005,148.419998,150.979996,744500
2015-04-02,150.649994,152.240005,149.520004,151.330002,691500
2015-04-06,150.869995,153.869995,150.679993,153.270004,696300
2015-04-07,153.679993,155.550003,151.429993,151.449997,546700
2015-04-08,152.100006,153.229996,151.720001,152.169998,458100
2015-04-09,152.169998,153.080002,150.500000,151.800003,368600
2015-04-10,151.899994,152.679993,151.369995,151.679993,304600
2015-04-13,151.720001,152.960007,151.720001,152.000000,540900
2015-04-14,152.699997,154.240005,151.619995,153.490005,785800
2015-04-15,156.199997,156.300003,153.389999,153.559998,873300
2015-04-16,153.509995,154.619995,153.509995,154.160004,435600
2015-04-17,154.899994,155.830002,151.750000,152.050003,688800
2015-04-20,152.500000,153.369995,150.789993,151.589996,600400
2015-04-21,151.779999,153.809998,151.639999,152.970001,524900
2015-04-22,152.820007,153.979996,150.509995,153.940002,529900
2015-04-23,153.880005,157.910004,153.119995,156.990005,817700
2015-04-24,157.929993,158.970001,156.710007,157.080002,745300
2015-04-27,156.970001,157.470001,155.639999,155.910004,454800
2015-04-28,155.500000,156.960007,154.250000,154.470001,759100
2015-04-29,154.289993,154.630005,151.389999,151.830002,555900
2015-04-30,151.220001,153.610001,150.300003,151.089996,642000
2015-05-01,150.410004,154.320007,150.000000,154.270004,475800
2015-05-04,154.520004,154.949997,153.029999,153.850006,506000
2015-05-05,154.250000,154.539993,152.110001,153.470001,578800
2015-05-06,153.330002,153.850006,151.169998,152.039993,626800
2015-05-07,151.369995,154.869995,151.009995,153.839996,503000
2015-05-08,155.000000,156.220001,154.179993,154.289993,487700
2015-05-11,154.000000,155.220001,154.000000,154.270004,478400
2015-05-12,153.259995,154.380005,152.119995,153.190002,374200
2015-05-13,152.990005,154.110001,151.160004,152.130005,521800
2015-05-14,152.690002,152.690002,149.529999,149.830002,1027500
2015-05-15,149.410004,152.059998,149.119995,151.000000,723100
2015-05-18,150.399994,152.110001,149.850006,151.509995,567700
2015-05-19,151.360001,153.509995,150.750000,152.139999,697200
2015-05-20,151.679993,152.089996,149.529999,150.830002,615900
2015-05-21,151.199997,153.190002,151.050003,152.250000,451300
2015-05-22,152.070007,152.970001,151.110001,151.240005,401700
2015-05-26,150.899994,152.380005,150.139999,150.160004,861500
2015-05-27,151.880005,155.479996,151.720001,154.779999,1377500
2015-05-28,155.179993,156.490005,152.800003,156.270004,2504500
2015-05-29,159.270004,159.850006,152.250000,152.619995,3788700
2015-06-01,153.050003,154.169998,151.000000,153.869995,1207000
2015-06-02,154.300003,156.149994,154.000000,154.350006,973700
2015-06-03,154.509995,157.000000,153.669998,156.259995,905300
2015-06-04,154.720001,157.500000,154.259995,155.899994,816500
2015-06-05,156.110001,157.179993,154.600006,156.279999,682600
2015-06-08,156.460007,156.509995,153.539993,153.690002,723700
2015-06-09,153.729996,154.490005,152.220001,153.770004,538800
2015-06-10,154.490005,155.690002,153.850006,154.979996,571100
2015-06-11,155.009995,156.460007,155.009995,155.369995,412600
2015-06-12,154.710007,156.289993,154.279999,155.320007,341700
2015-06-15,154.470001,155.320007,153.570007,154.570007,433000
2015-06-16,154.449997,156.100006,154.100006,155.500000,386800
2015-06-17,155.679993,156.389999,154.589996,155.619995,473900
