date,open,high,low,close,volume
2015-01-02,113.570000,114.919998,113.230003,113.879997,493000
2015-01-05,113.620003,114.300003,112.910004,113.019997,340300
2015-01-06,112.949997,113.809998,111.769997,112.529999,396900
2015-01-07,113.470001,115.980003,113.110001,115.930000,439000
2015-01-08,117.110001,118.400002,116.489998,118.089996,486700
2015-01-09,118.139999,118.639999,116.290001,116.519997,439200
2015-01-12,116.820000,117.519997,115.419998,116.459999,404300
2015-01-13,117.519997,118.029999,115.400002,116.019997,414300
2015-01-14,114.680000,115.180000,113.739998,114.400002,316300
2015-01-15,114.820000,114.970001,112.769997,112.790001,268700
2015-01-16,112.339996,113.949997,112.300003,113.459999,495700
2015-01-20,114.059998,114.480003,112.449997,113.959999,384100
2015-01-21,113.540001,114.519997,113.099998,114.269997,264000
2015-01-22,114.580002,116.029999,113.430000,115.910004,426200
2015-01-23,115.910004,116.480003,114.440002,114.449997,559900
2015-01-26,114.110001,116.220001,113.449997,116.110001,721600
2015-01-27,116.510002,122.800003,116.510002,119.349998,1231400
2015-01-28,119.430000,120.279999,118.730003,118.949997,596700
2015-01-29,118.800003,120.720001,117.839996,120.620003,467000
2015-01-30,119.839996,121.129997,118.599998,119.050003,582200
2015-02-02,119.000000,119.470001,117.160004,119.059998,467200
2015-02-03,119.790001,119.790001,118.320000,119.480003,389900
2015-02-04,118.669998,120.099998,118.190002,119.129997,301500
2015-02-05,119.650002,121.480003,119.620003,120.099998,316100
2015-02-06,119.839996,119.910004,118.540001,119.059998,496200
2015-02-09,118.690002,118.919998,117.290001,117.739998,446400
2015-02-10,118.690002,118.959999,117.860001,118.680000,353100
2015-02-11,118.400002,119.480003,117.930000,118.750000,434700
2015-02-12,119.010002,119.540001,118.519997,119.150002,273600
2015-02-13,119.360001,120.160004,118.540001,119.860001,388200
2015-02-17,119.500000,120.180000,118.529999,119.989998,288300
2015-02-18,119.879997,120.870003,119.290001,120.010002,252700
2015-02-19,119.660004,119.949997,119.089996,119.489998,252100
2015-02-20,119.330002,121.199997,118.459999,121.040001,280800
2015-02-23,121.040001,122.250000,120.269997,121.620003,301100
2015-02-24,121.430000,121.750000,120.250000,120.559998,313700
2015-02-25,120.699997,121.430000,120.500000,120.730003,230000
2015-02-26,120.779999,121.389999,119.910004,120.930000,171900
2015-02-27,120.519997,120.690002,119.550003,120.379997,381800
2015-03-02,120.169998,121.680000,119.959999,121.360001,367900
2015-03-03,120.889999,121.519997,119.320000,119.529999,825200
2015-03-04,119.430000,120.809998,119.050003,120.239998,321600
2015-03-05,120.290001,122.120003,120.190002,121.889999,300300
2015-03-06,121.449997,121.570000,118.570000,118.940002,465800
2015-03-09,118.919998,119.459999,118.029999,119.169998,289800
2015-03-10,117.480003,118.580002,116.830002,116.870003,377900
2015-03-11,117.220001,119.930000,116.940002,119.760002,683100
2015-03-12,120.040001,122.349998,119.730003,121.980003,511400
2015-03-13,121.980003,122.620003,119.940002,120.949997,305300
2015-03-16,121.870003,124.690002,121.699997,124.599998,425300
2015-03-17,123.430000,124.000000,122.230003,123.459999,319500
2015-03-18,122.980003,124.419998,121.440002,124.070000,364700
2015-03-19,123.610001,123.940002,122.169998,123.610001,365000
2015-03-20,124.120003,125.019997,123.449997,124.820000,630800
2015-03-23,124.519997,124.809998,123.529999,123.839996,259700
2015-03-24,123.589996,124.470001,122.750000,123.139999,357500
2015-03-25,123.070000,123.959999,121.459999,121.540001,298600
2015-03-26,120.839996,122.290001,120.620003,121.849998,327300
2015-03-27,122.269997,124.279999,121.779999,124.110001,346300
2015-03-30,124.639999,125.470001,124.029999,124.940002,264100
2015-03-31,124.480003,125.860001,124.199997,124.320000,299500
2015-04-01,124.019997,124.480003,121.800003,123.470001,417300
2015-04-02,123.639999,124.940002,122.970001,124.199997,338400
2015-04-06,123.570000,126.169998,122.930000,125.629997,255100
2015-04-07,125.919998,126.610001,124.820000,124.940002,262700
2015-04-08,124.900002,126.220001,124.199997,124.919998,279900
2015-04-09,125.029999,125.879997,124.610001,125.430000,344100
2015-04-10,125.750000,126.739998,125.110001,125.769997,332600
2015-04-13,125.669998,126.040001,124.599998,124.750000,309600
2015-04-14,125.000000,125.019997,124.320000,124.559998,329000
2015-04-15,125.190002,125.410004,124.070000,124.580002,289800
2015-04-16,124.120003,125.500000,123.879997,124.940002,534200
2015-04-17,124.099998,124.940002,123.309998,124.410004,472300
2015-04-20,124.940002,125.209999,123.980003,124.019997,316100
2015-04-21,124.400002,124.449997,123.480003,124.160004,392600
2015-04-22,123.680000,124.889999,123.680000,124.080002,477400
2015-04-23,123.870003,124.800003,123.379997,124.349998,357900
2015-04-24,124.250000,124.779999,122.879997,123.540001,411000
2015-04-27,123.900002,124.370003,120.790001,122.000000,546500
2015-04-28,127.190002,129.410004,122.169998,125.589996,1011300
2015-04-29,125.550003,126.559998,124.440002,125.449997,342500
2015-04-30,124.639999,127.000000,124.180000,125.190002,684000
2015-05-01,125.989998,127.080002,125.339996,126.589996,300900
2015-05-04,126.830002,128.289993,126.480003,127.019997,273500
2015-05-05,126.580002,127.989998,126.019997,127.690002,570800
2015-05-06,128.029999,128.520004,127.239998,127.389999,595300
2015-05-07,127.230003,128.389999,126.669998,128.059998,327300
2015-05-08,128.949997,131.339996,128.789993,130.399994,918500
2015-05-11,130.399994,131.509995,130.000000,131.199997,640600
2015-05-12,131.039993,131.350006,130.020004,130.820007,751100
2015-05-13,130.889999,131.460007,129.460007,129.789993,591300
2015-05-14,130.649994,131.119995,129.460007,130.009995,883100
2015-05-15,130.580002,131.259995,130.240005,130.570007,697900
2015-05-18,130.699997,131.679993,130.479996,131.490005,271700
2015-05-19,131.619995,133.910004,131.199997,133.190002,469200
2015-05-20,133.070007,135.899994,132.910004,134.759995,595900
2015-05-21,134.929993,135.000000,133.559998,133.839996,377600
2015-05-22,133.660004,134.050003,133.160004,133.289993,284400
2015-05-26,133.100006,133.330002,132.440002,132.690002,379600
2015-05-27,133.270004,134.839996,132.550003,134.720001,482800
2015-05-28,134.690002,135.029999,133.529999,134.570007,357300
2015-05-29,134.580002,134.809998,133.119995,133.619995,545900
2015-06-01,134.039993,134.610001,133.169998,133.820007,325700
2015-06-02,133.479996,135.020004,132.990005,134.089996,503800
2015-06-03,134.229996,134.720001,133.699997,134.669998,566300
2015-06-04,134.490005,134.710007,133.600006,133.860001,309600
2015-06-05,133.649994,133.949997,132.320007,133.399994,369500
2015-06-08,133.139999,133.899994,132.830002,133.220001,268500
2015-06-09,132.990005,133.990005,132.380005,133.429993,271400
2015-06-10,133.839996,134.990005,133.259995,134.820007,611700
2015-06-11,134.970001,134.979996,133.729996,134.639999,345600
2015-06-12,134.270004,134.610001,133.279999,133.940002,252000
2015-06-15,133.440002,133.440002,131.330002,132.990005,413700
2015-06-16,132.990005,134.750000,132.940002,134.229996,348500
2015-06-17,134.470001,134.970001,133.419998,134.369995,307800
2015-06-18,134.789993,137.080002,134.039993,136.500000,488400
2015-06-19,136.389999,136.990005,136.029999,136.399994,889400
2015-06-22,136.919998,137.389999,136.220001,136.360001,230900
2015-06-23,136.690002,136.889999,134.820007,135.229996,387100
2015-06-24,135.009995,135.520004,133.789993,134.220001,280000
2015-06-25,132.720001,132.720001,128.419998,130.220001,1532200
2015-06-26,130.850006,131.559998,130.270004,130.779999,556100
2015-06-29,130.080002,131.000000,127.720001,127.830002,426300
2015-06-30,128.679993,129.720001,127.739998,128.380005,634900
2015-07-01,129.279999,130.009995,127.949997,129.029999,397000
2015-07-02,129.429993,129.500000,128.089996,129.369995,343600
2015-07-06,128.720001,130.139999,127.919998,129.610001,455100
2015-07-07,130.220001,130.220001,127.669998,129.800003,441400
2015-07-08,128.360001,129.369995,125.349998,125.459999,628200
2015-07-09,126.940002,127.220001,125.029999,125.410004,564600
2015-07-10,126.900002,128.750000,126.349998,128.529999,477100
2015-07-13,129.639999,129.820007,128.960007,129.710007,264300
2015-07-14,130.169998,131.949997,129.559998,131.699997,391300
2015-07-15,132.059998,132.710007,129.979996,130.410004,352800
2015-07-16,131.490005,131.740005,129.979996,130.789993,294100
2015-07-17,130.300003,131.279999,130.149994,130.880005,250700
2015-07-20,130.800003,131.470001,129.720001,131.119995,282100
2015-07-21,131.240005,131.509995,129.789993,130.630005,363900
2015-07-22,131.070007,133.509995,130.570007,132.410004,898000
2015-07-23,133.000000,133.309998,131.470001,131.570007,363800
2015-07-24,131.139999,131.970001,130.460007,130.729996,246200
2015-07-27,130.300003,130.610001,128.789993,129.869995,491200
2015-07-28,131.500000,133.639999,129.360001,130.580002,846700
2015-07-29,131.639999,133.889999,131.639999,133.380005,601400
2015-07-30,133.300003,133.300003,131.639999,132.589996,559900
2015-07-31,133.419998,134.389999,132.929993,133.490005,593600
2015-08-03,133.419998,134.000000,132.679993,133.589996,593700
2015-08-04,133.320007,134.660004,133.250000,134.550003,538800
2015-08-05,135.410004,136.169998,134.839996,135.139999,522700
2015-08-06,134.880005,135.279999,131.089996,131.539993,309200
2015-08-07,131.259995,132.070007,129.649994,131.940002,408100
2015-08-10,132.589996,134.399994,132.589996,133.899994,408200
2015-08-11,133.000000,133.070007,131.179993,132.600006,325900
2015-08-12,131.490005,132.460007,127.330002,129.619995,874600
2015-08-13,129.380005,130.039993,128.330002,128.619995,388300
2015-08-14,128.399994,129.190002,128.259995,128.820007,306600
2015-08-17,128.320007,129.300003,127.720001,129.240005,503300
2015-08-18,129.270004,129.690002,128.360001,128.919998,310900
2015-08-19,128.669998,129.940002,126.559998,128.759995,477700
2015-08-20,127.650002,128.919998,125.790001,125.820000,282800
2015-08-21,124.830002,126.080002,122.750000,122.760002,526000
2015-08-24,116.410004,121.839996,115.320000,117.769997,716400
2015-08-25,120.620003,120.650002,116.800003,116.830002,646600
2015-08-26,118.040001,122.889999,117.870003,122.669998,892100
2015-08-27,123.839996,126.470001,123.430000,125.709999,598600
2015-08-28,125.260002,126.250000,123.339996,124.809998,552200
2015-08-31,124.389999,124.919998,121.059998,121.379997,562700
2015-09-01,119.110001,120.349998,117.669998,118.360001,756200
2015-09-02,119.809998,122.220001,118.849998,122.220001,620300
2015-09-03,122.500000,124.300003,121.889999,122.669998,437800
2015-09-04,121.330002,122.150002,119.129997,120.010002,494600
2015-09-08,122.300003,123.639999,121.660004,123.550003,415500
2015-09-09,124.370003,124.760002,121.419998,121.680000,327800
2015-09-10,122.510002,124.000000,121.870003,122.900002,384200
2015-09-11,122.389999,124.750000,121.879997,124.589996,371600
2015-09-14,124.349998,124.750000,123.519997,124.160004,264200
2015-09-15,124.709999,124.989998,123.550003,124.680000,403000
2015-09-16,124.570000,124.889999,122.419998,124.500000,414500
2015-09-17,124.680000,125.959999,123.720001,124.070000,406000
2015-09-18,122.930000,124.150002,121.930000,122.160004,675400
2015-09-21,122.559998,123.610001,120.639999,121.190002,595200
2015-09-22,119.779999,120.540001,118.639999,119.820000,556300
2015-09-23,119.690002,120.949997,119.339996,119.930000,298700
2015-09-24,118.629997,119.470001,117.870003,118.720001,451100
2015-09-25,119.239998,120.360001,116.320000,117.160004,522600
2015-09-28,116.389999,116.940002,113.980003,115.230003,690900
2015-09-29,115.110001,118.690002,115.110001,117.199997,586400
2015-09-30,118.500000,119.610001,116.290001,118.209999,583600
2015-10-01,118.129997,118.500000,115.529999,117.360001,572000
2015-10-02,115.559998,119.389999,115.459999,119.309998,449800
2015-10-05,120.099998,120.680000,118.599998,119.739998,379400
2015-10-06,118.970001,118.980003,115.209999,117.379997,718300
2015-10-07,117.879997,120.589996,117.370003,119.559998,701000
2015-10-08,119.000000,119.860001,117.730003,119.760002,413400
2015-10-09,119.660004,121.379997,119.459999,120.919998,423500
2015-10-12,120.389999,121.139999,119.989998,120.589996,212200
2015-10-13,119.839996,121.120003,118.779999,119.059998,235900
2015-10-14,119.080002,120.650002,117.800003,118.010002,363200
2015-10-15,118.120003,120.629997,117.830002,120.599998,373700
2015-10-16,121.160004,121.379997,120.190002,120.989998,269400
2015-10-19,120.720001,121.769997,120.540001,121.589996,350700
2015-10-20,121.400002,122.169998,120.690002,122.010002,349400
2015-10-21,122.639999,124.029999,120.540001,121.339996,414900
2015-10-22,121.790001,124.129997,120.480003,123.180000,579000
2015-10-23,123.820000,124.580002,123.419998,124.269997,332200
2015-10-26,124.160004,124.599998,122.430000,124.160004,618700
2015-10-27,126.639999,129.929993,124.720001,127.000000,1139300
2015-10-28,127.480003,129.479996,126.180000,129.190002,552100
2015-10-29,128.820007,129.240005,127.150002,128.559998,476800
2015-10-30,128.839996,129.139999,127.699997,127.800003,467100
2015-11-02,128.210007,133.000000,127.540001,132.229996,572100
2015-11-03,131.889999,133.970001,131.229996,132.830002,618900
2015-11-04,133.050003,133.600006,131.559998,132.240005,397100
2015-11-05,132.360001,132.899994,130.929993,131.740005,370800
2015-11-06,131.470001,132.490005,130.860001,132.479996,351100
2015-11-09,131.929993,132.529999,130.529999,132.160004,342400
2015-11-10,131.960007,132.929993,130.880005,132.300003,315700
2015-11-11,132.929993,133.000000,131.580002,131.669998,295500
2015-11-12,130.619995,132.169998,129.419998,129.449997,358300
2015-11-13,129.619995,130.220001,128.000000,128.690002,399800
2015-11-16,128.850006,130.539993,128.740005,130.520004,519200
2015-11-17,130.389999,133.029999,130.190002,131.770004,435400
2015-11-18,132.130005,132.529999,131.149994,131.860001,895200
2015-11-19,131.889999,132.360001,130.399994,131.550003,792000
2015-11-20,131.880005,134.050003,131.169998,133.169998,1116000
2015-11-23,133.169998,134.050003,132.669998,133.729996,583500
2015-11-24,132.610001,133.279999,131.229996,132.830002,549700
2015-11-25,132.559998,133.979996,132.149994,133.259995,231700
2015-11-27,133.509995,134.649994,133.300003,134.100006,144400
