date,open,high,low,close,volume
2015-01-02,39.546739,39.765131,39.191857,39.410248,1784200
2015-01-05,39.355649,39.701433,39.100862,39.173656,3112100
2015-01-06,39.264652,39.455742,38.491186,38.791473,3977200
2015-01-07,39.128159,39.637736,39.109959,39.592236,2481800
2015-01-08,40.720595,40.829789,40.038127,40.201920,3121300
2015-01-09,40.092700,40.438481,39.746916,40.265591,2999100
2015-01-12,40.347504,40.347504,39.392050,39.510342,2168300
2015-01-13,39.938009,40.238297,38.736866,38.955257,3668600
2015-01-14,38.673169,39.337437,38.482079,39.155445,2481300
2015-01-15,39.373862,39.828840,39.037178,39.073574,2719300
2015-01-16,38.946171,40.302008,38.918873,40.238312,2761600
2015-01-20,40.295736,40.295736,39.402301,39.712269,3471000
2015-01-21,39.721389,40.687759,39.602871,40.341324,1991900
2015-01-22,40.432495,40.860980,39.794330,40.578362,2914700
2015-01-23,40.587489,40.842755,40.086072,40.222820,2885500
2015-01-26,40.149871,40.396022,39.976652,40.195454,1926800
2015-01-27,39.748746,40.022250,39.393196,39.475246,3008300
2015-01-28,39.867258,40.377794,39.265557,39.302025,2425100
2015-01-29,39.247322,39.821674,38.800607,39.493473,4927300
2015-01-30,39.365833,39.712268,38.873531,38.955582,3146000
2015-02-02,39.229082,39.548168,38.627381,39.548168,2136700
2015-02-03,39.666689,39.940192,39.384074,39.657574,4910800
2015-02-04,39.985774,40.149875,39.402307,39.621105,5102900
2015-02-05,39.703158,40.186345,39.311141,39.566410,3470900
2015-02-06,39.602887,40.332225,39.457020,39.803455,5408000
2015-02-09,39.657577,39.803444,38.891776,39.083225,4467100
2015-02-10,39.320253,40.122518,39.028519,40.031353,4111200
2015-02-11,40.915670,42.046137,40.915670,41.727055,7071100
2015-02-12,43.067201,43.213067,41.262095,41.745281,6989600
2015-02-13,40.788048,41.480914,40.441613,41.444447,6413300
2015-02-17,41.526494,42.155547,41.435328,42.119080,4055800
2015-02-18,42.037023,42.328757,41.772639,41.799988,3276900
2015-02-19,41.781765,41.936747,41.471798,41.617664,2928800
2015-02-20,41.663236,41.836452,41.125352,41.572067,3713000
2015-02-23,41.672374,41.872942,41.216540,41.553860,2664500
2015-02-24,41.617665,41.745298,41.280345,41.389748,1869800
2015-02-25,41.526495,41.909398,41.380628,41.681480,2958800
2015-02-26,41.781761,42.574911,41.754408,42.501976,4903000
2015-02-27,42.429062,42.739029,41.973228,42.018810,5555500
2015-03-02,42.018798,43.404535,42.018798,43.131035,5261700
2015-03-03,43.103679,43.158381,42.246712,42.429047,2256200
2015-03-04,42.301413,42.383463,41.809111,42.146427,3293000
2015-03-05,42.565789,42.693426,41.927624,42.356106,2327600
2015-03-06,42.210236,42.419919,41.635884,41.736168,3486500
2015-03-09,41.818220,42.811938,41.462670,42.201122,3757800
2015-03-10,42.055256,42.192004,41.645005,41.663239,2189500
2015-03-11,41.827347,42.465516,41.690596,41.945862,3245000
2015-03-12,42.219373,42.729906,42.064388,42.702557,2276500
2015-03-13,42.720788,42.720788,41.954986,42.347004,2487100
2015-03-16,42.584034,42.875768,42.438167,42.830185,2519800
2015-03-17,42.501989,43.158392,42.310540,42.985176,2906900
2015-03-18,42.830183,43.541283,42.547564,43.313366,3056000
2015-03-19,43.267774,43.523043,42.939572,43.222191,2000700
2015-03-20,43.295134,43.687148,42.939580,43.158382,4542700
2015-03-23,43.349841,43.486593,42.884892,42.985176,4820100
2015-03-24,43.067225,43.404542,42.629621,42.866657,1938100
2015-03-25,43.003391,43.194844,42.137309,42.182892,4148400
2015-03-26,41.954983,42.292299,41.654131,42.037033,3550800
2015-03-27,42.064375,42.419925,41.936742,42.137310,2801700
2015-03-30,42.365219,42.811934,42.319633,42.775467,2206900
2015-03-31,42.629604,42.784589,42.201122,42.201122,2768400
2015-04-01,42.210241,42.447276,41.900273,42.182892,4751300
2015-04-02,42.347003,42.538453,42.119086,42.392586,3084000
2015-04-06,42.073490,42.547555,41.945854,42.237591,2385300
2015-04-07,42.377327,42.797446,42.313396,42.340794,2367100
2015-04-08,42.349925,42.569120,42.121599,42.203796,2565400
2015-04-09,42.286006,42.687862,42.158144,42.514332,2720800
2015-04-10,42.559991,43.190173,42.286000,43.080574,2278300
2015-04-13,43.153646,43.327172,42.596529,42.614796,2009300
2015-04-14,42.614790,42.916182,42.030275,42.833984,2672500
2015-04-15,42.970980,43.126244,42.843118,42.925316,1578500
2015-04-16,42.742646,43.080567,42.596517,43.053169,1585500
2015-04-17,42.833960,42.952687,42.432104,42.715229,2885100
2015-04-20,42.824848,43.044043,42.660453,42.961845,2890200
2015-04-21,43.181038,43.455032,43.016643,43.418499,3139000
2015-04-22,43.336299,43.400230,42.861380,42.952709,2075700
2015-04-23,42.870525,43.016654,42.532603,42.970989,2113300
2015-04-24,42.824857,43.829494,42.678728,43.756428,3449500
2015-04-27,43.820368,43.829503,42.687872,42.770069,2684100
2015-04-28,42.669600,42.760929,41.683229,41.765427,4492400
2015-04-29,41.555369,41.957222,41.190045,41.299644,3997600
2015-04-30,41.171773,41.509695,40.468528,40.568989,4330200
2015-05-01,40.852123,41.016518,40.541599,40.742527,5835100
2015-05-04,40.870382,41.610160,40.833849,41.464031,4782900
2015-05-05,43.044050,43.327172,41.217440,41.719757,7681200
2015-05-06,41.948082,41.957213,41.272235,41.363567,4441400
2015-05-07,41.400094,41.783680,41.126099,41.610153,2427000
2015-05-08,42.002871,42.094200,41.619281,41.920673,2548200
2015-05-11,41.929820,42.331673,41.710626,42.094215,3405100
2015-05-12,41.756299,41.884161,41.409242,41.628437,2230400
2015-05-13,41.664948,42.012004,41.482286,41.664948,2159800
2015-05-14,41.893284,42.304271,41.537095,42.267738,1959600
2015-05-15,42.486924,42.843112,42.404727,42.459526,2831500
2015-05-18,42.422994,42.715252,42.304264,42.678719,2890600
2015-05-19,42.815709,43.555483,42.687847,43.336292,3845700
2015-05-20,43.354572,43.665096,42.916186,43.181042,2206600
2015-05-21,43.226694,43.738142,42.970967,43.655945,3599300
2015-05-22,43.573753,43.692484,43.381960,43.500690,1832300
2015-05-26,43.400232,43.884283,43.391097,43.792953,3999500
2015-05-27,43.820355,45.190312,43.537230,45.162914,5447800
2015-05-28,45.016789,45.254247,44.203949,44.852394,4934000
2015-05-29,45.153774,45.628692,44.870652,45.455166,5617100
2015-06-01,45.592156,46.003144,45.089840,45.464294,4496100
2015-06-02,45.409497,45.637823,44.660588,45.281635,2680500
2015-06-03,45.555626,45.573893,45.062441,45.254234,1976000
2015-06-04,44.797600,45.290785,44.614938,44.660606,2080700
2015-06-05,44.477933,44.907184,44.213074,44.761055,2412000
2015-06-08,44.523599,44.952853,44.514467,44.569263,1906400
2015-06-09,44.450532,45.089846,44.313539,44.971119,2675500
2015-06-10,45.126375,45.573896,44.751920,45.382099,2012100
2015-06-11,45.482570,45.701765,45.299908,45.546501,2055700
2015-06-12,45.327302,45.537362,44.761051,44.824986,2033300
2015-06-15,44.605795,45.071579,44.487064,44.998516,3015000
2015-06-16,45.025905,45.418627,44.660586,45.400360,1817900
2015-06-17,45.436906,46.003153,45.400372,45.820492,2804400
2015-06-18,45.930090,46.213212,45.811360,46.121883,3696100
2015-06-19,45.994014,46.231472,45.847885,45.884418,2906800
2015-06-22,46.213199,46.304532,45.729149,45.866146,2040400
2015-06-23,46.039691,46.441543,45.884430,46.094490,2104100
2015-06-24,45.893545,45.939210,45.400360,45.400360,2561900
2015-06-25,45.519103,50.578812,45.272510,50.578812,3228100
2015-06-26,49.254526,49.318457,44.076086,44.404877,20823300
2015-06-29,44.304412,44.468807,42.961856,42.989254,5149400
2015-06-30,43.537227,44.395735,43.117107,44.039547,4268800
2015-07-01,44.523600,44.788459,43.683361,44.231342,5532100
2015-07-02,44.386594,44.441394,43.738149,44.121738,2070900
2015-07-06,43.875147,44.203938,43.628555,44.203938,3088100
2015-07-07,44.331800,44.550991,43.016639,43.729019,5656200
2015-07-08,43.244975,43.318041,42.432135,42.450401,3452800
2015-07-09,43.025786,43.263243,42.523469,42.532600,3417400
2015-07-10,42.925316,43.098842,42.760920,42.888783,2917500
2015-07-13,43.016641,43.327165,42.779184,42.961845,3050000
2015-07-14,42.961846,43.436765,42.267733,43.345432,5636300
2015-07-15,43.381964,43.500695,42.934443,43.025776,2099400
2015-07-16,43.281495,44.039540,43.281495,43.838612,3423500
2015-07-17,43.838606,44.112597,43.582882,43.655945,2324000
2015-07-20,43.929949,44.779322,43.856886,44.733658,3364200
2015-07-21,45.391245,45.436909,44.688000,44.861526,4412700
2015-07-22,44.797581,45.720020,44.770183,45.683487,2937300
2015-07-23,45.628708,46.021429,45.217720,45.528244,2457900
2015-07-24,45.573895,45.939214,45.053311,45.199440,2081000
2015-07-27,45.108125,45.272520,44.541877,45.190323,1683500
2015-07-28,45.226845,45.272510,43.993882,44.614929,4846300
2015-07-29,44.843248,44.898047,43.719884,44.203938,3629900
2015-07-30,43.802077,44.496191,43.802077,44.340927,1576800
2015-07-31,44.587529,45.162912,44.514467,44.733658,2539800
2015-08-03,44.898055,45.199448,43.829491,44.277008,3559500
2015-08-04,44.852390,45.665231,44.094346,44.614929,4867300
2015-08-05,44.706260,44.861521,44.313539,44.395737,4118200
2015-08-06,45.263377,45.893556,43.811223,44.094345,3223400
2015-08-07,43.948208,44.267867,43.327161,44.121738,3466000
2015-08-10,44.295265,44.834115,44.094337,44.194801,3064500
2015-08-11,43.977967,44.407959,43.767546,44.106049,1946700
2015-08-12,43.822450,43.987128,42.889279,43.785854,3520300
2015-08-13,43.749274,44.261604,43.548000,43.602894,2574800
2015-08-14,43.593747,43.593747,42.944184,43.429070,2594500
2015-08-17,43.273530,44.563502,43.236934,44.545204,1849600
2015-08-18,44.453708,44.627532,43.630320,43.666916,2847800
2015-08-19,43.410770,44.078628,43.200350,43.831612,2153500
2015-08-20,43.328415,43.621174,42.340350,42.431839,2515600
2015-08-21,41.946969,42.376961,41.178475,41.187626,3775200
2015-08-24,38.891287,41.141880,34.518191,39.824459,5725500
2015-08-25,40.794220,41.022938,38.937027,38.937027,3814300
2015-08-26,39.842746,40.556350,38.415545,40.483158,5873300
2015-08-27,40.904006,42.221426,40.355083,41.956112,4602100
2015-08-28,42.093332,42.203120,41.224205,41.882912,2711400
2015-08-31,41.846319,42.001846,40.958891,41.050377,2580000
2015-09-01,40.208715,41.068696,40.053185,40.236160,4346100
2015-09-02,40.730179,41.315698,40.162959,41.279102,2699700
2015-09-03,41.462085,41.736547,40.547211,40.739334,2932500
2015-09-04,40.227003,40.922306,39.824457,40.263596,4195500
2015-09-08,40.913157,41.114427,40.089769,41.068684,4134900
2015-09-09,41.334000,41.407188,40.117216,40.208706,2964700
2015-09-10,40.190408,41.105282,40.071473,40.565506,2871200
2015-09-11,40.803372,41.288258,40.364233,41.169323,2476200
2015-09-14,41.050384,41.169319,40.428270,40.684437,2182200
2015-09-15,40.894865,41.288261,40.693592,41.224220,1999900
2015-09-16,40.977202,41.032092,39.979989,40.721035,4242600
2015-09-17,40.940599,42.660562,40.940599,42.093338,5470500
2015-09-18,41.452931,41.809731,41.077832,41.279102,8078600
2015-09-21,41.425484,41.690798,40.355083,40.711884,2502700
2015-09-22,40.263601,40.730189,40.016588,40.464874,2368400
