date,open,high,low,close,volume
2015-01-02,9.011255,9.017757,8.783699,8.907229,5228700
2015-01-05,8.887724,8.907229,8.608154,8.653666,5411400
2015-01-06,8.653662,8.751186,8.419603,8.458613,7171200
2015-01-07,8.523632,8.536635,8.406603,8.471619,4932000
2015-01-08,8.549639,8.692675,8.510630,8.601652,6674400
2015-01-09,8.621156,8.647163,8.367593,8.387097,5302400
2015-01-12,8.367594,8.419607,8.159542,8.374096,9183300
2015-01-13,8.432610,8.569144,8.387098,8.465118,6227800
2015-01-14,8.400102,8.562642,8.335085,8.543138,4677000
2015-01-15,8.549639,8.699177,8.504128,8.517132,7513500
2015-01-16,8.543135,8.705675,8.536633,8.692672,6423000
2015-01-20,8.738183,8.770692,8.406601,8.510627,6672500
2015-01-21,8.432610,8.595150,8.380597,8.582147,5309500
2015-01-22,8.621158,8.653666,8.348090,8.400103,4864700
2015-01-23,8.406604,8.458617,8.244063,8.244063,7662200
2015-01-26,8.237561,8.276570,8.114030,8.276570,4682200
2015-01-27,8.218056,8.315580,8.159541,8.276570,3538500
2015-01-28,8.283069,8.335082,7.996998,8.010001,5554400
2015-01-29,7.983996,8.114029,7.951488,8.088022,5447100
2015-01-30,8.009373,8.153567,7.976601,8.009373,6475000
2015-02-02,8.022481,8.107687,7.983155,8.101132,5405000
2015-02-03,8.094578,8.337088,8.094578,8.179784,8190100
2015-02-04,8.133906,8.317427,8.120798,8.206004,5828300
2015-02-05,8.245326,8.323977,8.199446,8.304315,3305000
2015-02-06,8.258435,8.291206,7.878285,7.911056,7097700
2015-02-09,7.897948,7.970045,7.734090,7.766861,7783500
2015-02-10,7.694763,7.996261,7.557122,7.970044,11226000
2015-02-11,7.897948,7.930719,7.740644,7.819296,9966500
2015-02-12,7.865175,7.891392,7.753752,7.773415,4403100
2015-02-13,7.760306,7.891392,7.688208,7.773415,4336600
2015-02-17,7.766862,7.766862,7.563678,7.629221,5690200
2015-02-18,7.622666,7.793078,7.589894,7.753752,5922600
2015-02-19,7.727535,7.845513,7.714427,7.766861,4350600
2015-02-20,7.773418,7.799636,7.629224,7.793082,5632400
2015-02-23,7.799634,7.845515,7.714429,7.812743,3463700
2015-02-24,7.779972,7.963492,7.766863,7.943830,6940600
2015-02-25,7.937274,7.976600,7.779971,7.865177,9024400
2015-02-26,7.943828,8.350195,7.943828,8.278098,11809400
2015-02-27,8.310871,8.527163,8.238773,8.500946,13541900
2015-03-02,8.461618,8.461618,8.225663,8.291205,8969000
2015-03-03,8.291206,8.533716,8.291206,8.520607,9570200
2015-03-04,8.468172,8.520606,8.330531,8.356749,7084500
2015-03-05,8.376413,8.409185,8.304316,8.323978,6011000
2015-03-06,8.206000,8.310869,7.989707,8.015924,7885800
2015-03-09,8.035589,8.074914,7.943828,7.989708,7395500
2015-03-10,7.943830,8.009373,7.917612,7.943830,10515700
2015-03-11,7.937272,7.976598,7.838957,7.897946,7554500
2015-03-12,7.924167,7.956939,7.871733,7.930722,6946800
2015-03-13,7.891395,7.897949,7.753754,7.812743,7016800
2015-03-16,7.865176,7.950382,7.838959,7.871730,5400700
2015-03-17,7.865176,8.015925,7.858622,7.989708,5414700
2015-03-18,8.015924,8.330532,7.963490,8.284652,6143000
2015-03-19,8.271547,8.337090,8.173232,8.206004,4109700
2015-03-20,8.219110,8.415739,8.186338,8.415739,9076500
2015-03-23,8.409186,8.500946,8.369860,8.441957,3821100
2015-03-24,8.402630,8.507499,8.264989,8.317424,4734200
2015-03-25,8.323977,8.323977,8.107685,8.192891,5064400
2015-03-26,8.173229,8.232218,8.081468,8.166675,3967500
2015-03-27,8.179784,8.278099,8.120796,8.179784,3532800
2015-03-30,8.206002,8.389523,8.179785,8.350197,3694100
2015-03-31,8.350193,8.435399,8.310867,8.422291,4051300
2015-04-01,8.428843,8.487832,8.284649,8.409181,5371200
2015-04-02,8.389522,8.455065,8.330533,8.415739,3860700
2015-04-06,8.428846,8.769670,8.422292,8.736898,7424500
