date,open,high,low,close,volume
2015-01-02,59.699136,60.214994,59.317265,60.154701,277400
2015-01-05,59.833123,61.079228,59.725934,60.878246,359800
2015-01-06,60.730866,61.340517,60.462886,61.186432,1329200
2015-01-07,61.333828,62.017174,60.757672,62.017174,543400
2015-01-08,62.017147,62.874681,61.923355,62.727291,718800
2015-01-09,62.211443,62.995282,60.127902,62.546417,407200
2015-01-12,62.821082,63.363743,62.539704,62.955074,287200
2015-01-13,62.807693,63.671928,62.747401,63.162766,459200
2015-01-14,62.908181,63.598228,62.553109,63.537930,243000
2015-01-15,63.906414,63.980109,63.363758,63.812622,326200
2015-01-16,63.839440,64.864461,63.631757,64.784065,298500
2015-01-20,64.770656,65.186026,63.759032,64.000214,374500
2015-01-21,64.000229,64.295008,63.671955,64.288307,203400
2015-01-22,64.757238,65.768857,64.348569,65.762161,364500
2015-01-23,65.882750,66.351717,65.614775,65.922951,326700
2015-01-26,65.889481,67.068593,65.715293,67.055191,352900
2015-01-27,66.961397,67.269578,66.358447,66.519234,285900
2015-01-28,66.820695,67.363357,66.103850,66.291435,349500
2015-01-29,66.472328,66.539322,65.802379,66.539322,224900
2015-01-30,66.445538,66.465635,65.299925,65.333420,408700
2015-02-02,65.360215,65.567903,63.832732,64.951546,518400
2015-02-03,65.098899,65.862640,64.006884,64.998405,363900
2015-02-04,64.797455,65.072131,63.973416,64.442383,351000
2015-02-05,64.629984,65.011855,64.542888,64.911362,483200
2015-02-06,64.710352,64.710352,62.720608,63.156071,764500
2015-02-09,63.129303,63.631765,62.841225,63.209694,641400
2015-02-10,63.249862,63.645130,62.626810,63.491039,405700
2015-02-11,63.571457,63.919833,63.142690,63.531261,433700
2015-02-12,63.551350,64.562974,63.303467,64.442383,269900
2015-02-13,64.361998,64.361998,63.310179,63.578159,275900
2015-02-17,63.571421,64.060486,63.156051,63.417336,293700
2015-02-18,63.477642,64.509364,62.975180,64.502663,392100
2015-02-19,64.382081,64.449075,63.249871,63.484352,319700
2015-02-20,63.544654,64.562979,63.477660,64.375389,350200
2015-02-23,64.469182,65.299917,64.442384,65.253021,356900
2015-02-24,64.991742,65.246320,63.698740,64.114105,565500
2015-02-25,64.140909,65.212826,64.114111,64.408890,542600
2015-02-26,64.087306,64.395482,63.310163,63.671936,427900
2015-02-27,63.779138,64.469190,63.470962,64.254807,394100
2015-03-02,64.428980,65.520999,64.395485,65.259720,642900
2015-03-03,64.985049,65.628199,64.241405,65.333420,439900
2015-03-04,65.125737,65.634900,64.650074,65.045341,495900
2015-03-05,65.266403,66.164137,65.018525,65.541084,424900
2015-03-06,64.542872,64.542872,63.142681,63.470955,669700
2015-03-09,63.658524,64.013601,63.236458,63.906406,571100
2015-03-10,63.678645,64.073912,63.022093,63.068989,681600
2015-03-11,63.042179,63.745627,62.988582,63.604939,580800
2015-03-12,64.201198,65.299914,64.087308,65.293213,404100
2015-03-13,65.299931,65.299931,64.341903,64.830963,235700
2015-03-16,65.132436,65.896177,64.569676,65.273125,324000
2015-03-17,65.159233,65.668391,64.884552,65.447311,324900
2015-03-18,65.454002,66.760406,64.857748,66.592918,395800
2015-03-19,66.318213,66.994863,66.016739,66.646492,503100
2015-03-20,66.927896,68.770256,66.512526,68.616165,753000
2015-03-23,68.428546,68.977903,68.039974,68.287857,391100
2015-03-24,68.374987,68.448682,67.718440,67.725136,414000
2015-03-25,67.785433,68.107011,66.338341,66.479034,425800
2015-03-26,66.304827,66.673296,65.306605,65.366898,541100
2015-03-27,65.643688,65.947472,65.211644,65.751701,269200
2015-03-30,65.981223,66.899317,65.839459,66.757553,375800
2015-03-31,66.717051,67.101840,66.001475,66.183746,326200
2015-04-01,66.210736,66.420006,65.218385,65.333145,588600
2015-04-02,65.218403,66.008233,65.171149,65.441177,751400
2015-04-06,65.549189,66.014988,65.441181,65.913727,772200
2015-04-07,65.886701,66.035217,64.637825,64.637825,377400
2015-04-08,64.766084,65.110365,64.705325,64.880844,318500
2015-04-09,64.739091,64.759342,63.490214,63.638725,1015200
2015-04-10,64.185537,64.698586,63.881753,64.138283,332400
2015-04-13,63.996520,64.421811,63.739990,63.739990,319800
2015-04-14,64.023491,64.469039,63.152658,63.172909,536900
2015-04-15,63.395713,63.773750,62.808401,62.855656,309200
2015-04-16,62.578861,63.132417,62.268330,62.889397,352700
2015-04-17,62.734130,63.058165,61.944301,62.700375,298700
2015-04-20,62.747636,63.355198,62.477612,62.788143,279100
2015-04-21,63.091912,63.618465,63.085160,63.307934,344000
2015-04-22,63.247181,63.571211,62.997404,63.145920,228500
2015-04-23,63.186434,63.645481,62.916406,63.463215,287400
2015-04-24,63.456473,64.145041,63.206696,63.631992,296900
2015-04-27,63.780503,64.057279,63.118934,63.193192,306400
2015-04-28,63.051422,63.881753,62.747638,63.429459,342300
2015-04-29,62.720620,63.004147,61.998292,62.140060,377000
2015-04-30,62.443879,62.484382,61.485283,62.362869,646400
2015-05-01,62.410104,63.220190,62.389853,63.037918,507500
2015-05-04,63.247190,63.591471,62.808394,62.977161,407300
2015-05-05,62.794894,63.355202,61.100475,61.384003,416500
2015-05-06,61.390732,61.998290,60.492890,61.100452,471400
2015-05-07,61.100464,62.173821,60.823683,62.079311,431100
2015-05-08,62.902909,63.996522,62.821899,63.226944,330800
2015-05-11,63.010919,63.220194,61.620279,61.768795,248200
2015-05-12,61.512262,62.599123,60.972205,62.538364,322600
2015-05-13,62.545118,62.956911,61.579770,61.701283,467200
2015-05-14,61.897046,63.010905,61.714775,62.990654,323000
2015-05-15,63.213431,63.766987,62.821890,63.665726,201000
2015-05-18,63.199945,63.935767,63.044677,63.814255,271500
2015-05-19,63.652240,64.104535,63.307953,63.814255,196300
2015-05-20,63.848017,64.313811,63.510482,63.881767,204900
2015-05-21,63.827742,64.212531,63.051413,63.280933,180000
2015-05-22,63.037908,63.679226,62.761133,63.105419,274800
2015-05-26,62.909668,63.031180,62.410113,63.004177,214700
2015-05-27,63.024446,63.929036,63.024446,63.780525,225500
2015-05-28,63.780494,63.983011,63.321447,63.746738,369600
2015-05-29,63.746732,63.861492,62.443849,62.599117,630500
