date,open,high,low,close,volume
2015-01-02,30.463845,30.650358,29.975359,30.335062,934000
2015-01-05,30.077505,30.197405,29.535728,29.673391,1793200
2015-01-06,29.184895,29.624533,28.785223,29.171574,1982800
2015-01-07,29.242616,29.486861,29.087189,29.429129,1341200
2015-01-08,29.651175,30.175188,29.651175,29.935389,1989200
2015-01-09,30.059733,30.126342,29.318118,29.344765,1890600
2015-01-12,29.389177,29.504639,28.931776,29.215986,1915600
2015-01-13,29.366974,29.882108,28.820758,29.073883,1804200
2015-01-14,28.794110,29.104968,28.674210,29.087204,907400
2015-01-15,29.136047,29.211540,28.829631,28.847395,816400
2015-01-16,28.878481,29.056114,28.709732,28.807430,1840800
2015-01-20,28.620901,28.865146,28.345575,28.767448,2409800
2015-01-21,28.647554,29.078311,28.647554,29.025021,1276600
2015-01-22,29.242625,29.455785,29.029469,29.344765,1237400
2015-01-23,29.247065,29.247065,28.336703,28.367788,1620600
2015-01-26,28.567617,28.567617,28.212352,28.492125,1470800
2015-01-27,28.114662,28.532096,28.012524,28.354464,1189400
2015-01-28,28.496568,28.669759,28.145746,28.150187,1353000
2015-01-29,28.221235,28.456598,28.034723,28.363340,1459600
2015-01-30,28.141303,28.492127,27.848211,28.123541,2011800
2015-02-02,28.358909,28.585390,27.905948,28.585390,1428400
2015-02-03,28.647563,29.122728,28.647563,29.020588,1955400
2015-02-04,28.945093,29.549041,28.945093,29.375851,2711200
2015-02-05,31.525200,32.639841,30.526022,31.987043,10971600
2015-02-06,31.560712,31.796073,31.032256,31.356436,3987600
2015-02-09,31.027818,31.405285,30.978969,31.356436,3112800
2015-02-10,31.511861,32.004789,31.458570,31.929296,3538800
2015-02-11,32.000340,32.262349,31.822711,32.151329,3354600
2015-02-12,32.235722,32.919604,32.177992,32.879639,3535400
2015-02-13,32.839665,33.305950,32.715323,33.274864,3523200
2015-02-17,32.937359,33.163840,32.275682,33.035057,2798200
2015-02-18,33.039496,34.282916,32.750844,34.265156,5424600
2015-02-19,33.785560,33.980953,32.741974,32.795261,9573600
2015-02-20,32.542136,32.595427,31.973715,32.502171,6567400
2015-02-23,32.257915,32.781928,32.009232,32.750843,3321400
2015-02-24,32.675360,32.675360,32.040326,32.222397,4080600
2015-02-25,32.195755,32.306774,31.924866,32.044769,2430400
2015-02-26,32.285002,32.378427,31.978033,32.218269,1874000
2015-02-27,32.115966,32.276124,31.897972,31.902422,2324400
2015-03-02,31.982494,32.333950,31.906865,32.325054,2672400
2015-03-03,32.147083,32.284995,31.991376,32.164879,1799600
2015-03-04,31.986927,32.111493,31.631021,31.719999,2078400
2015-03-05,31.840120,31.906853,31.364098,31.582088,1915600
2015-03-06,31.408578,31.533144,31.288462,31.506453,2107800
2015-03-09,31.457513,31.484205,31.168340,31.292906,2615000
2015-03-10,31.092721,31.292916,30.923668,31.150555,1804000
2015-03-11,31.230643,31.288480,30.678991,30.683441,3670200
2015-03-12,30.509929,31.199492,30.509929,31.114967,1724800
2015-03-13,31.052692,31.195054,30.621157,30.772415,1741000
2015-03-16,30.856938,31.337410,30.803551,31.324064,2103800
2015-03-17,31.141666,31.319619,30.852492,31.021549,1017200
2015-03-18,30.932572,31.648831,30.834698,31.564302,2311400
2015-03-19,31.315154,31.439721,31.106060,31.395233,1864600
2015-03-20,31.582078,31.728890,31.217276,31.675503,1676600
2015-03-23,31.671064,32.115945,31.444174,31.920197,2193400
2015-03-24,31.831223,32.013622,31.524254,31.813427,2696800
2015-03-25,31.791184,31.804530,31.168350,31.203941,2029600
2015-03-26,31.141660,31.141660,30.674533,31.030439,2028600
2015-03-27,31.092709,31.106054,30.767948,30.843576,1891600
2015-03-30,31.141656,31.582087,30.994845,31.542049,1077600
2015-03-31,31.377441,31.622127,31.292913,31.426378,1610800
2015-04-01,31.497560,31.506456,31.057126,31.275120,1682800
2015-04-02,31.279571,31.528707,31.168351,31.310713,1105600
2015-04-06,31.079376,32.182679,31.070477,32.093704,2457000
2015-04-07,32.058114,32.102604,31.582091,31.724453,2152600
2015-04-08,31.760029,32.289438,31.604322,32.284988,1435600
2015-04-09,32.285011,32.422923,31.862375,32.075916,1564800
2015-04-10,31.849017,32.227169,31.635477,32.218269,2218600
2015-04-13,32.151532,32.338385,31.986929,32.280548,1899200
2015-04-14,32.253857,32.440707,32.031417,32.436260,1781200
2015-04-15,32.551926,32.600863,32.244960,32.262753,2535600
2015-04-16,32.089250,32.178228,31.871259,31.920197,1858600
2015-04-17,31.742247,32.178232,31.488665,31.942446,2622600
2015-04-20,31.951345,32.231618,31.951345,32.080360,1280400
2015-04-21,32.080355,32.164883,31.920197,32.058109,1722800
