date,open,high,low,close,volume
2015-01-02,269.143780,270.579797,264.978578,268.203979,367000
2015-01-05,265.580238,266.354633,260.588027,261.264679,465900
2015-01-06,262.166741,264.369628,254.535543,257.204590,626400
2015-01-07,259.497736,263.129138,258.828610,262.647949,388300
2015-01-08,265.279404,266.640234,264.339604,265.715485,480600
2015-01-09,266.143991,266.542466,260.843526,262.565247,542500
2015-01-12,263.301911,264.933414,258.820951,260.835876,331500
2015-01-13,262.978792,266.519955,259.309806,261.625488,406700
2015-01-14,259.821060,261.384901,256.009246,259.948883,717400
2015-01-15,262.445078,262.828501,256.054431,257.467896,661800
2015-01-16,257.467806,262.099123,254.949135,261.693146,916300
2015-01-20,263.151688,264.347111,259.136862,260.580383,939800
2015-01-21,259.106820,263.896041,257.512922,262.768280,822300
2015-01-22,266.151528,272.196331,261.993851,271.256531,714600
2015-01-23,271.617344,271.955681,266.986005,266.993530,415000
2015-01-26,266.151537,269.497236,265.136547,268.700287,470000
2015-01-27,265.587677,266.903398,263.730630,264.256927,435800
2015-01-28,265.768127,266.685374,259.212076,259.407562,562200
2015-01-29,259.978985,261.760844,257.708412,260.843597,593600
2015-01-30,259.452605,261.610383,255.828728,256.009186,663200
2015-02-02,257.407658,261.715713,255.204771,261.369873,610100
2015-02-03,261.685641,265.700467,261.685641,265.362152,655300
2015-02-04,260.542795,266.399615,259.347371,263.730591,543800
2015-02-05,264.903486,270.527262,264.655389,269.775421,743600
2015-02-06,272.354207,276.278815,270.775337,272.489532,653700
2015-02-09,270.685107,272.609817,269.782889,271.316650,402500
2015-02-10,274.421777,279.722243,273.925560,278.684723,726700
2015-02-11,277.842656,279.872634,276.143512,278.105804,461300
2015-02-12,278.180960,282.286002,278.180960,281.849945,444700
2015-02-13,281.857495,284.218262,281.037969,282.722107,553700
2015-02-17,285.330987,287.834606,284.045324,285.947479,1122400
2015-02-18,286.105373,286.579037,283.285972,284.090424,583200
2015-02-19,283.210755,285.270790,282.729566,283.902435,498700
2015-02-20,282.481575,283.947674,280.549339,283.173279,774200
2015-02-23,283.571606,284.195623,280.962719,283.015228,443600
2015-02-24,283.977741,285.609246,283.443941,284.278473,451700
2015-02-25,284.000229,284.684407,282.361222,282.631897,443200
2015-02-26,281.782292,283.451378,280.624451,281.955200,397700
2015-02-27,281.955234,283.331115,279.218547,279.248627,702200
2015-03-02,279.248670,283.210862,276.587148,283.007874,478000
2015-03-03,281.398907,282.428925,278.820099,280.932770,428900
2015-03-04,279.095125,280.501767,277.703622,279.163208,371000
2015-03-05,279.813379,280.932640,277.801745,279.768005,366100
2015-03-06,279.458141,284.003229,275.918883,276.387756,538700
2015-03-09,276.387613,278.278244,274.928051,275.722107,519200
2015-03-10,273.188603,274.330551,269.278791,269.369537,531200
2015-03-11,270.095576,272.129897,269.702333,271.048462,464700
2015-03-12,272.704783,279.004359,272.704783,278.837982,474400
2015-03-13,279.049717,279.798423,275.427282,278.104401,521700
2015-03-16,280.320155,283.398086,279.601706,282.898956,491800
2015-03-17,282.112557,284.456946,280.970608,283.035187,531500
2015-03-18,282.815712,288.124596,280.909964,285.681915,595700
2015-03-19,284.350984,284.691307,279.147963,279.775665,632600
2015-03-20,280.282373,287.065960,280.131136,286.347534,681600
2015-03-23,285.803041,287.996170,282.853637,283.088074,453000
2015-03-24,282.324230,282.785533,279.132843,279.132843,452800
2015-03-25,279.730283,281.363768,275.094451,275.215454,391300
2015-03-26,272.810573,275.896097,272.258523,273.876892,417600
2015-03-27,273.642541,275.079417,272.440101,273.483734,386900
2015-03-30,274.595324,279.526083,274.595324,278.376587,470900
2015-03-31,276.947290,278.406875,275.805364,276.667480,426400
2015-04-01,275.661620,277.491739,273.642416,274.194489,593800
2015-04-02,274.761725,277.658162,274.270165,277.090973,351800
2015-04-06,274.413792,279.147940,273.423103,277.529572,345000
2015-04-07,277.355617,280.494061,277.037981,278.769806,448700
2015-04-08,279.851331,280.910103,277.885092,279.594208,569400
2015-04-09,279.813515,281.159644,278.059003,280.970581,392300
2015-04-10,281.719261,282.074701,278.316124,279.397583,348300
2015-04-13,279.775643,282.082204,279.548753,279.579010,421000
2015-04-14,279.700009,282.982142,277.612745,282.581329,581700
2015-04-15,283.125903,285.319032,282.422594,284.850159,710800
2015-04-16,286.256767,286.460970,275.555796,281.462128,901800
2015-04-17,279.579140,281.326082,274.640809,276.334808,798800
2015-04-20,278.301022,280.516837,277.869952,279.594208,416500
2015-04-21,281.084002,281.242832,277.620375,277.937988,448500
2015-04-22,279.125357,280.736179,276.334782,279.442993,451600
2015-04-23,278.679160,281.749545,277.491838,281.273102,432600
2015-04-24,281.878045,282.747731,279.647091,282.067108,355700
2015-04-27,283.284574,284.902965,280.705750,281.242706,354400
2015-04-28,279.942016,285.855894,279.942016,285.750031,395400
2015-04-29,284.063613,286.468491,276.652347,277.295166,981700
2015-04-30,276.992526,278.981474,274.020460,275.230469,673300
2015-05-01,277.189329,279.223651,276.047380,278.785034,412900
2015-05-04,279.654683,281.083989,278.860604,280.017670,375400
2015-05-05,278.663883,281.151936,276.122863,276.826172,380700
2015-05-06,277.083446,278.217826,273.045037,274.822235,427700
2015-05-07,274.897792,277.975746,274.391093,276.546417,431300
2015-05-08,277.809398,280.766349,276.554016,279.843719,445800
2015-05-11,279.473141,281.431856,278.066523,278.134583,431700
2015-05-12,276.690191,276.924627,274.050876,276.160828,452300
2015-05-13,275.639055,277.196935,274.905489,276.130615,435000
2015-05-14,277.937934,280.955397,277.469061,280.925140,419000
2015-05-15,281.325985,281.825114,278.732044,280.456299,415800
2015-05-18,279.934504,281.303319,278.860615,280.350433,391900
2015-05-19,281.091545,282.044430,278.996733,280.630219,406000
2015-05-20,280.289943,281.068883,278.058988,280.002563,447900
2015-05-21,280.191632,281.152065,278.323687,278.467377,390500
2015-05-22,278.595910,279.405082,277.945520,278.361450,303700
2015-05-26,277.552198,278.610946,275.896003,276.054810,695400
2015-05-27,276.811181,279.571499,275.865866,278.815247,352500
2015-05-28,277.529674,279.632056,276.849028,279.442993,358100
2015-05-29,279.412706,279.412706,276.032255,276.622131,627000
2015-06-01,276.848887,277.748829,274.254947,275.480072,418400
2015-06-02,274.368479,275.790238,272.659363,274.822235,430800
2015-06-03,275.570824,277.552202,274.156613,275.994324,464400
