date,open,high,low,close,volume
2015-01-02,23.3122,23.3491,22.9645,23.1173,1641400
2015-01-05,23.2596,23.6442,23.1805,23.2964,2695100
2015-01-06,23.328,23.4071,22.5062,22.6642,2604200
2015-01-07,22.8961,23.1595,22.7538,23.012,2540300
2015-01-08,23.2859,23.4914,23.1595,23.2174,2607800
2015-01-09,23.2174,23.3017,23.0067,23.0594,1190000
2015-01-12,23.0488,23.1437,22.7907,22.875,1267400
2015-01-13,22.9751,23.0752,22.4693,22.7117,2393300
2015-01-14,22.4746,22.8803,22.3692,22.8118,2032400
2015-01-15,23.0067,23.0594,22.1532,22.2639,4852200
2015-01-16,22.2586,22.7222,22.1901,22.7169,2761400
2015-01-20,22.8328,23.0014,22.601,22.8697,2654900
2015-01-21,22.7907,23.3281,22.7433,23.1437,1617700
2015-01-22,23.2701,23.3386,23.0278,23.2543,2615300
2015-01-23,23.2069,23.228,22.817,22.8381,1789500
2015-01-26,22.7275,22.8803,22.4272,22.8118,2818000
2015-01-27,22.5483,22.8381,22.3798,22.7591,1954900
2015-01-28,22.8697,22.9487,22.4482,22.4746,1478600
2015-01-29,22.4851,22.7222,22.2639,22.6221,2015500
2015-01-30,22.4061,22.6379,22.1532,22.1796,2839000
2015-02-02,22.2428,22.443,22.0373,22.306,3366900
2015-02-03,22.3534,22.7169,22.3534,22.6959,3379300
2015-02-04,22.601,22.9277,22.4851,22.6748,2178600
2015-02-05,22.7169,22.8118,22.6642,22.7538,1805400
2015-02-06,22.7169,22.7854,22.2639,22.3534,3367500
2015-02-09,22.3376,22.5062,22.2639,22.3271,2770500
2015-02-10,22.659,23.1489,22.4377,22.9962,3811700
2015-02-11,22.9962,23.0857,22.6484,22.7802,3088400
2015-02-12,23.1384,23.4176,22.738,23.3649,5060300
2015-02-13,23.2754,23.2912,22.796,23.0172,4098900
2015-02-17,22.9382,23.2227,22.9277,23.1173,3125300
2015-02-18,22.9909,23.307,22.9382,23.2806,4033000
2015-02-19,23.3439,23.5599,23.2332,23.4282,2793100
2015-02-20,23.3597,23.6547,23.1858,23.5546,2018600
2015-02-23,23.4966,23.7126,23.3965,23.6178,2115500
2015-02-24,23.6758,23.9813,23.6336,23.8812,3231600
2015-02-25,23.9076,24.1868,23.8443,24.1552,3613800
2015-02-26,24.171,24.3501,24.0762,24.3185,3911900
2015-02-27,24.308,24.3923,24.1657,24.3396,4115100
2015-03-02,24.3396,24.4449,24.2763,24.4449,2888100
2015-03-03,24.3764,24.4449,24.1552,24.171,2485200
2015-03-04,24.0438,24.1021,23.6144,23.7734,2497200
2015-03-05,23.906,23.906,23.5243,23.5296,2345800
2015-03-06,23.3123,23.4607,22.8723,23.1321,3625200
2015-03-09,23.2487,23.254,22.9465,23.0737,2607600
2015-03-10,22.814,23.0154,22.6603,22.6868,2722400
2015-03-11,22.6603,22.6762,22.3476,22.496,2202600
2015-03-12,22.602,22.7769,22.5225,22.6603,2323100
2015-03-13,22.5649,22.6338,22.0666,22.1832,2694400
2015-03-16,22.3582,22.4748,22.2097,22.4748,2140700
2015-03-17,22.3052,22.3529,22.0083,22.1302,4397200
2015-03-18,22.1143,22.6868,21.7486,22.6073,4163600
2015-03-19,22.5914,22.8034,22.4536,22.6868,2819200
2015-03-20,22.8458,23.0207,22.7345,22.9359,3450100
2015-03-23,22.9253,23.1055,22.8829,23.0207,1853700
2015-03-24,23.4183,23.5455,23.2275,23.3547,3671600
2015-03-25,23.5243,23.5349,23.2116,23.3494,2953200
2015-03-26,23.2487,23.3335,22.973,23.1692,3134900
2015-03-27,23.1162,23.3441,23.0578,23.3229,1770000
2015-03-30,23.4024,23.7257,23.2911,23.6992,1747300
2015-03-31,23.6144,23.6568,23.3918,23.4289,1679300
2015-04-01,23.4077,23.5773,23.3017,23.572,1515400
2015-04-02,23.519,23.7946,23.4554,23.7363,2957500
2015-04-06,23.6886,24.3194,23.6303,24.224,2225700
2015-04-07,24.2028,24.3989,24.1074,24.2558,1843800
2015-04-08,24.2664,24.489,24.1233,24.2346,2115900
2015-04-09,24.2399,24.5155,24.224,24.4572,1579900
2015-04-10,24.383,24.4572,24.0756,24.2346,2633200
