date,open,high,low,close,volume
2015-01-02,49.392108,50.062277,49.304423,49.799221,2133900
2015-01-05,49.536180,49.680237,49.323231,49.479813,2962900
2015-01-06,49.642649,50.056022,49.210482,49.385853,4014400
2015-01-07,49.699027,50.525778,49.523656,50.419304,4292400
2015-01-08,50.682360,51.559219,50.544567,51.214737,5096600
2015-01-09,51.327461,51.433940,51.014298,51.120777,1933800
2015-01-12,51.308668,51.427671,50.920348,51.058136,2512500
2015-01-13,51.421417,51.496578,50.099868,50.939148,4029500
2015-01-14,50.694885,51.233526,50.406775,51.139576,4040100
2015-01-15,51.271102,51.490315,51.076942,51.127045,2609800
2015-01-16,51.183414,51.828529,51.158360,51.753368,4539200
2015-01-20,51.909937,52.028941,51.170872,51.365036,3330800
2015-01-21,51.139567,51.264830,50.832668,50.957932,3801700
2015-01-22,52.461138,53.525891,52.204341,53.394363,6469200
2015-01-23,53.525865,54.997731,53.525865,54.383934,5424000
2015-01-26,54.452841,55.254538,54.039463,55.148064,4765200
2015-01-27,54.859953,55.335962,54.678322,54.991486,2777100
2015-01-28,55.398575,55.611529,54.571824,54.590618,3545200
2015-01-29,54.584374,54.603163,53.644884,54.340107,3046600
2015-01-30,54.227349,54.847411,53.970553,54.183506,3608500
2015-02-02,54.233625,54.308786,53.250293,54.089573,4003000
2015-02-03,54.045727,55.016531,53.644879,54.640736,3468600
2015-02-04,54.352631,54.803587,53.813990,54.033203,3071900
2015-02-05,54.196044,54.603157,53.995619,54.321312,4424200
2015-02-06,54.628207,55.655382,53.995616,54.277466,6463100
2015-02-09,54.014414,54.459106,53.694991,53.983101,3888600
2015-02-10,54.227367,54.709636,54.064520,54.596897,5152400
2015-02-11,54.690865,54.772286,54.026960,54.603180,2239300
2015-02-12,54.678332,54.953912,54.377693,54.859962,1873100
2015-02-13,54.859953,55.123013,54.509211,55.116749,2788600
2015-02-17,55.398580,56.018647,54.847414,54.866203,4077300
2015-02-18,55.041569,55.267047,54.740935,55.241993,4116300
2015-02-19,55.110485,55.304650,54.847429,54.985222,2800100
2015-02-20,54.941370,55.749332,54.903792,55.561432,3217600
2015-02-23,55.692970,55.768131,54.659530,55.054119,3377300
2015-02-24,54.935109,55.060377,53.732563,54.371414,3752200
2015-02-25,54.371412,55.085424,54.139674,54.227360,3061300
2015-02-26,54.202325,54.202325,53.375574,53.920475,2773100
2015-02-27,54.064515,54.152200,53.682455,54.058250,2590700
2015-03-02,54.239881,54.809840,53.958036,54.108353,3098200
2015-03-03,53.958037,54.214828,53.857822,54.051987,2192700
2015-03-04,53.989337,54.026920,53.601018,53.751335,1896900
