date,open,high,low,close,volume
2015-01-02,52.843251,52.912011,52.484188,52.743938,2522800
2015-01-05,52.667540,53.041880,52.293195,52.354313,2950700
2015-01-06,52.507090,52.614045,51.666728,51.804241,3437400
2015-01-07,52.048717,52.285549,51.750772,52.216789,2908000
2015-01-08,52.675194,52.950221,52.468927,52.927303,2745200
2015-01-09,52.980766,53.049526,52.369600,52.407795,2284300
2015-01-12,52.407781,52.682808,51.773691,52.148037,2353900
2015-01-13,52.453633,52.965487,52.201525,52.507111,4434200
2015-01-14,51.865377,52.430707,51.827177,52.293194,2579200
2015-01-15,52.530019,52.667533,52.109838,52.193874,2383700
2015-01-16,52.148052,52.912014,51.964697,52.843254,3787800
2015-01-20,52.743942,52.858537,52.239724,52.682823,3275000
2015-01-21,52.329541,52.959277,52.037714,52.490814,3373100
2015-01-22,52.590648,53.327899,52.298815,53.235741,3084400
2015-01-23,52.874826,52.990023,51.530876,51.561596,4587800
2015-01-26,51.423345,51.523179,50.862729,50.908806,5433500
2015-01-27,50.448015,50.632326,49.818279,50.424976,5951000
2015-01-28,50.724486,50.847359,49.879713,50.010273,6750300
2015-01-29,52.682811,53.343266,52.390984,53.013039,6902200
2015-01-30,52.490822,52.675134,51.807329,51.853405,5926600
2015-02-02,51.730532,53.059119,51.438705,52.982323,4609000
2015-02-03,53.135921,53.158960,52.606020,53.135921,3345500
2015-02-04,53.181998,53.596703,53.020724,53.143597,3075300
2015-02-05,53.366328,53.896230,53.220417,53.596722,3408400
2015-02-06,53.535271,53.558309,52.959292,53.220406,2667900
2015-02-09,53.089846,53.304883,52.913216,53.043770,2113000
2015-02-10,53.274157,53.466150,52.920891,53.327915,1962700
2015-02-11,53.412391,53.658142,53.036081,53.350952,2232000
2015-02-12,53.235775,53.650481,53.235775,53.642799,2829900
2015-02-13,53.397022,53.873166,53.373984,53.819408,2554900
2015-02-17,53.757972,54.111238,53.473821,53.903889,3342300
2015-02-18,53.573660,54.226434,53.573660,54.172676,2771400
2015-02-19,54.034455,54.364683,53.696546,53.919258,3245500
2015-02-20,53.857814,54.026769,53.427752,53.942291,2358900
2015-02-23,54.533621,54.533621,54.111235,54.280190,2389100
2015-02-24,54.418453,54.694923,54.118944,54.533649,2497100
2015-02-25,54.564369,54.671885,54.333975,54.533649,2498500
2015-02-26,54.479878,54.748667,54.264847,54.610432,1855900
2015-02-27,54.556654,54.625768,54.318585,54.387699,1997300
2015-03-02,54.387733,54.587407,54.057505,54.533649,1787700
2015-03-03,54.525940,54.525940,53.980681,54.280190,2010300
