date,open,high,low,close,volume
2015-01-02,35.051114,35.165221,34.684345,34.932934,3070588
2015-01-05,34.757691,34.884025,34.415372,34.586533,4495187
2015-01-06,34.692496,34.778075,34.060833,34.350174,4294330
2015-01-07,34.668042,34.786225,34.464280,34.558010,4920112
2015-01-08,34.884032,35.161147,34.851429,35.091869,4403983
2015-01-09,35.214116,35.258944,34.786218,34.855495,3101832
2015-01-12,34.655807,34.798440,34.293110,34.423519,4540119
2015-01-13,34.769924,35.018513,34.081210,34.374626,5707472
2015-01-14,34.020071,34.268660,33.681827,33.832611,7131774
2015-01-15,34.011929,34.068982,33.421020,33.429169,6238628
2015-01-16,33.323198,33.677741,33.111286,33.636990,6323732
2015-01-20,33.840770,34.007856,33.579957,33.812244,5035270
2015-01-21,33.726650,34.089347,33.600317,33.930412,4500245
2015-01-22,34.223833,34.456120,33.889662,34.435745,5777103
2015-01-23,34.435759,34.452059,34.264599,34.289051,5630105
2015-01-26,34.174932,34.289039,33.914116,34.093426,4554700
2015-01-27,34.419445,34.757689,34.077126,34.492798,5345929
2015-01-28,34.663963,34.696564,33.759261,33.763336,5902676
2015-01-29,33.967094,34.223834,33.502517,34.203457,4055384
2015-01-30,34.032283,34.117862,33.555479,33.571781,4409339
2015-02-02,33.596256,34.134188,33.253936,34.126038,5133467
2015-02-03,34.521324,34.692485,34.342013,34.647655,6469540
2015-02-04,34.435753,34.672116,34.276818,34.370548,4262341
2015-02-05,34.582472,34.884039,34.549868,34.835136,3014943
2015-02-06,34.802521,34.965531,34.435752,34.553932,2941444
2015-02-09,34.354253,34.676198,34.276825,34.415382,2779865
2015-02-10,34.606898,34.855487,34.366460,34.826962,2885948
2015-02-11,34.806593,35.014430,34.700637,34.908474,3130547
2015-02-12,35.010349,35.307841,34.961447,35.291542,3040236
2015-02-13,35.210043,35.421956,35.128539,35.377129,2942634
2015-02-17,35.352677,35.442334,35.242648,35.373055,2855745
2015-02-18,35.373052,35.686846,35.226344,35.637943,2940105
2015-02-19,35.462710,35.658321,35.450486,35.552364,3287811
2015-02-20,35.515682,35.821325,35.275244,35.731670,5983316
2015-02-23,35.560513,35.711297,35.373053,35.397503,2881931
2015-02-24,35.283407,35.507544,35.254879,35.470867,3653223
2015-02-25,35.450482,35.735748,35.381202,35.544212,3471112
2015-02-26,35.507528,35.902828,35.462701,35.784645,3200922
2015-02-27,35.743905,35.805031,35.548291,35.568668,3297184
2015-03-02,35.540131,35.796871,35.540131,35.646088,3073861
2015-03-03,35.544206,35.617559,35.320067,35.474926,2428439
2015-03-04,34.879957,35.254877,34.822903,35.091869,7140255
2015-03-05,35.177446,35.275251,35.030737,35.185596,3369791
2015-03-06,35.034811,35.100013,34.659888,34.729168,4467662
2015-03-09,34.794359,35.161130,34.676178,35.083702,3489859
2015-03-10,34.753612,34.798439,34.496872,34.496872,3328727
2015-03-11,34.517260,34.590616,34.354250,34.382778,3119686
2015-03-12,34.464273,34.941077,34.456122,34.867722,3470963
2015-03-13,34.859573,34.892177,34.378697,34.721016,3558745
2015-03-16,34.839197,35.393432,34.769920,35.373055,6015751
2015-03-17,35.144842,35.246721,35.006283,35.157066,2872706
2015-03-18,35.051113,35.764279,34.745470,35.568668,4140339
2015-03-19,35.495312,35.674622,35.271173,35.458633,3875654
2015-03-20,35.597186,35.678692,35.438254,35.515682,5808050
2015-03-23,35.613493,35.658320,35.352678,35.360828,4177088
2015-03-24,35.258955,35.340461,35.018517,35.018517,3209998
2015-03-25,35.040966,35.102189,34.428719,34.428719,6106360
2015-03-26,34.387891,34.673606,34.236870,34.416462,3883390
2015-03-27,34.379735,34.694022,34.326673,34.632797,3154650
2015-03-30,34.694013,35.000134,34.685849,34.938911,2678990
2015-03-31,34.853195,34.902175,34.632788,34.653194,3739666
2015-04-01,34.604219,34.628710,34.147074,34.245033,4012980
2015-04-02,34.318502,34.502175,34.118501,34.363400,2937724
2015-04-06,34.196053,34.840955,34.085850,34.681770,2436920
2015-04-07,34.567487,35.098102,34.538916,34.828712,3923562
2015-04-08,34.840950,34.947073,34.649111,34.836868,3493876
2015-04-09,34.730743,34.934825,34.657272,34.881763,2445549
2015-04-10,35.032800,35.040963,34.624634,34.685860,4300430
2015-04-13,34.832793,34.930753,34.563403,34.787895,3531220
2015-04-14,34.665450,34.930758,34.534839,34.889942,3430345
2015-04-15,34.796054,35.008298,34.796054,34.938911,3396720
2015-04-16,34.787901,35.012391,34.734840,34.873615,4306232
2015-04-17,34.591974,34.612383,34.179730,34.375648,5578626
2015-04-20,34.616468,34.767489,34.506263,34.661366,3998251
2015-04-21,34.742995,34.898100,34.694018,34.775650,3911510
2015-04-22,34.730759,34.861371,34.543002,34.796066,6511943
2015-04-23,34.514420,34.751155,34.142992,34.567482,11351265
2015-04-24,34.445043,34.506266,33.898100,34.000141,8870306
2015-04-27,34.294012,34.408296,33.885847,33.914417,6667422
2015-04-28,33.808291,33.991966,33.706250,33.983803,3698155
2015-04-29,33.861366,33.963407,33.718508,33.796059,4950761
2015-04-30,33.755230,33.808292,33.302167,33.420536,4374524
2015-05-01,33.506257,33.771565,33.445032,33.681767,3861519
2015-05-04,33.714410,33.959309,33.685837,33.751144,2819739
2015-05-05,33.759320,33.865443,33.563401,33.632790,4275434
2015-05-06,33.747071,33.857276,33.416458,33.608295,4597996
2015-05-07,33.579736,34.069533,33.559326,33.955246,5586363
2015-05-08,34.224631,34.457284,34.179733,34.298100,3787723
2015-05-11,34.220545,34.338914,34.106258,34.106258,3362649
2015-05-12,34.000128,35.245032,33.987883,35.102173,14476308
2015-05-13,36.734844,36.836885,35.289941,35.653206,28088780
