date,open,high,low,close,volume
2015-01-02,21.776589,22.179858,21.717573,22.056911,2420431
2015-01-05,21.924116,22.342141,21.919197,22.278208,4333806
2015-01-06,22.391330,22.833943,22.376577,22.701160,5526673
2015-01-07,22.819186,23.271635,22.671648,23.183113,4284616
2015-01-08,23.276555,23.443764,22.750337,22.873283,6525743
2015-01-09,22.897871,23.074915,22.592960,22.897871,3780634
2015-01-12,22.991310,23.325730,22.942133,23.261797,2922656
2015-01-13,23.330648,23.478186,23.133930,23.217535,3261719
2015-01-14,23.089669,23.507694,23.001145,23.478186,3960815
2015-01-15,23.507693,23.797849,23.306056,23.684736,4163506
2015-01-16,23.704416,23.866709,23.512618,23.709335,3796225
2015-01-20,24.373251,24.397840,23.586382,23.689659,4838008
2015-01-21,23.630651,23.630651,23.168366,23.350330,4657057
2015-01-22,23.483095,23.665059,23.281460,23.620796,4440641
2015-01-23,23.709333,23.822446,23.547040,23.679825,3895814
2015-01-26,23.561793,23.679822,23.389664,23.650314,2952522
2015-01-27,23.566718,23.729010,23.537210,23.586390,2201161
2015-01-28,23.665075,23.906053,23.532290,23.547043,3339896
2015-01-29,23.591301,23.714248,23.433927,23.581465,3135668
2015-01-30,23.694576,23.748675,23.222455,23.256882,7111526
2015-02-02,23.242125,23.251961,22.696235,23.202784,3466276
2015-02-03,23.188028,23.261797,22.760168,23.020819,3480660
2015-02-04,22.878205,22.888041,22.278218,22.307724,6210508
2015-02-05,22.389889,22.524346,22.160810,22.509407,4063808
2015-02-06,22.554220,22.554220,21.722568,21.822166,5054204
2015-02-09,21.822169,21.981528,21.717589,21.732531,3146648
2015-02-10,21.418793,21.463614,20.691720,21.254456,9631327
2015-02-11,21.354058,21.553257,21.065221,21.209641,4245856
2015-02-12,21.244496,21.388916,21.124978,21.249475,3537207
2015-02-13,21.269403,21.364022,21.060246,21.349083,3610004
2015-02-17,21.433744,21.707642,21.284345,21.403864,3738361
2015-02-18,21.443699,21.687717,21.204660,21.687717,3102179
2015-02-19,21.657834,21.687714,21.344096,21.393896,3073522
2015-02-20,21.443696,21.687714,21.388917,21.642893,5053655
2015-02-23,21.608036,21.782336,21.538318,21.777355,3874403
2015-02-24,21.548276,21.593095,20.940719,20.995501,5826866
2015-02-25,21.249470,21.279350,20.851074,21.065212,3703993
2015-02-26,21.075178,21.075178,20.741522,20.806261,3362735
2015-02-27,20.861031,21.110028,20.696694,21.095089,2812198
2015-03-02,21.115021,21.334138,20.965622,21.005463,3142037
2015-03-03,20.950682,21.085141,20.806264,21.025381,2435035
2015-03-04,21.015418,21.115018,20.751482,20.806261,2168989
2015-03-05,20.900882,21.289317,20.871002,20.885941,3407753
2015-03-06,20.572203,20.572203,20.009467,20.089146,4671551
2015-03-09,20.188752,20.343130,20.124013,20.238550,2547909
2015-03-10,20.338144,20.402883,20.168825,20.233564,2415820
2015-03-11,20.233570,20.263451,19.860074,19.909874,5674903
2015-03-12,20.044333,20.203692,19.984575,20.084173,15372769
2015-03-13,20.084170,20.148910,19.954692,20.014450,3559936
2015-03-16,20.094132,20.402889,20.094132,20.198711,4224665
2015-03-17,20.198704,20.442722,20.059266,20.293324,3284777
2015-03-18,20.308270,20.806266,20.168831,20.746506,4586236
2015-03-19,20.671811,20.900890,20.537354,20.537354,3009398
2015-03-20,20.502489,21.164825,20.437750,21.134945,5352421
2015-03-23,21.164823,21.398881,21.105063,21.124983,2891034
2015-03-24,21.100080,21.229561,20.940721,21.144901,4128590
2015-03-25,21.124982,21.274380,20.736544,20.821203,3547858
2015-03-26,20.771407,20.975585,20.726586,20.841125,4555273
2015-03-27,20.880970,21.075188,20.826190,20.990528,3531827
2015-03-30,21.199678,21.822171,21.085138,21.817192,6092802
2015-03-31,21.862011,22.036309,21.493493,21.518394,5029828
2015-04-01,21.488507,21.787304,21.309228,21.712605,4561641
2015-04-02,21.697675,22.056230,21.642894,21.906832,3991999
2015-04-06,22.115983,22.305222,21.961604,22.205622,4043275
2015-04-07,22.220570,22.250450,21.931733,22.026352,4077862
2015-04-08,21.921775,21.996475,21.792297,21.871975,2918484
2015-04-09,21.782342,21.842101,21.239527,21.324186,3131386
2015-04-10,21.473582,21.583140,21.139923,21.234543,2672203
2015-04-13,21.244501,21.279360,21.105062,21.105062,2179969
2015-04-14,21.299277,21.383936,21.204657,21.264418,1835746
2015-04-15,21.264419,21.617995,21.214619,21.418797,6032741
2015-04-16,21.299277,21.563215,21.214618,21.443697,3542917
2015-04-17,21.413822,21.692699,21.364022,21.523380,3856615
2015-04-20,21.528359,21.682737,21.418799,21.578157,3182333
2015-04-21,21.523373,21.647872,21.219597,21.339115,3096140
2015-04-22,21.304261,21.339120,20.930764,21.010443,4692303
2015-04-23,21.010440,21.269397,20.950679,21.199678,2772450
2015-04-24,21.219603,21.289322,21.080165,21.139923,1815763
2015-04-27,21.124980,21.304259,21.060241,21.119999,2950765
2015-04-28,21.045301,21.134942,20.920804,21.100080,2083894
2015-04-29,20.856066,20.975584,20.452689,20.557266,3436081
2015-04-30,20.397902,20.532361,19.889948,20.064245,7012816
2015-05-01,20.049315,20.382971,20.019435,20.218634,3734408
2015-05-04,20.323202,20.392922,20.168824,20.293324,3308054
2015-05-05,20.298306,20.392925,19.640951,19.695730,3824444
2015-05-06,19.695734,19.695734,19.317259,19.521437,4262656
2015-05-07,19.579543,19.958501,19.579543,19.827129,4021645
2015-05-08,20.110084,20.539571,20.054504,20.120190,3857933
2015-05-11,19.710906,20.105024,19.700801,19.791752,3555434
2015-05-12,19.619966,19.907974,19.468383,19.832182,3310909
2015-05-13,19.963552,20.140399,19.488590,19.503748,5176960
2015-05-14,19.670493,19.867554,19.640178,19.837236,2912774
2015-05-15,19.938293,20.302095,19.913030,20.110088,5617258
2015-05-18,19.978712,20.150507,19.902920,20.120190,2298663
2015-05-19,20.003978,20.317250,19.988820,20.125246,2664407
2015-05-20,20.246513,20.291988,20.069664,20.099981,1802477
2015-05-21,20.145452,20.216192,19.892814,19.983763,2589084
2015-05-22,19.948397,20.059558,19.741233,19.978714,2224877
2015-05-26,20.003976,20.003976,19.604806,19.766495,3497130
2015-05-27,19.806909,19.973650,19.705854,19.933229,1997152
2015-05-28,19.877658,19.943344,19.655334,19.766495,1659956
2015-05-29,19.781650,19.852388,19.529010,19.564381,5132930
2015-06-01,19.655330,19.867547,19.564380,19.761438,2763776
