date,open,high,low,close,volume
2015-01-02,66.088816,66.244218,64.759269,65.260002,916800
2015-01-05,64.914648,64.957811,64.318941,64.474342,1350900
2015-01-06,64.474343,64.603846,63.723234,63.878635,1588300
2015-01-07,64.232614,64.431179,63.809578,64.172180,1586600
2015-01-08,64.439829,65.277271,64.249892,65.095970,1475300
2015-01-09,65.121838,65.268605,64.448433,64.664268,1155900
2015-01-12,64.517512,64.828309,63.507397,64.111740,1947400
2015-01-13,64.163569,65.432683,63.913199,64.336235,1451000
2015-01-14,63.438345,64.094480,63.049837,63.990883,1321500
2015-01-15,63.947728,64.034061,63.395190,63.636925,1540700
2015-01-16,63.300186,64.215325,63.067086,64.077194,1654300
2015-01-20,64.508901,64.526165,63.878659,64.344864,1549700
2015-01-21,63.317473,64.405286,62.928972,63.870018,1972700
2015-01-22,64.275780,65.035525,63.671444,64.845589,2247900
2015-01-23,64.793797,64.793797,63.153447,63.628281,3108600
2015-01-26,63.343382,63.559218,62.618172,62.903076,2360700
2015-01-27,62.057011,62.160614,61.107336,61.944778,3381200
2015-01-28,62.126078,62.126078,60.761996,60.779266,2644500
2015-01-29,61.133225,62.212402,61.029628,62.134705,2648700
2015-01-30,61.616699,62.039735,60.865589,60.943287,2362200
2015-02-02,61.055500,62.031073,60.787866,62.013809,3291700
2015-02-03,62.419589,62.989391,62.126050,62.885788,2163600
2015-02-04,62.799479,63.369288,62.523210,62.635448,2392600
2015-02-05,64.396646,67.936352,64.396646,67.685982,6222500
2015-02-06,67.711865,70.051520,67.573728,68.678810,5206100
2015-02-09,68.523422,68.747886,67.694615,68.601120,2667900
2015-02-10,69.283166,69.386769,68.316221,69.075966,2400300
2015-02-11,69.145045,69.766652,68.886046,69.378151,1770600
2015-02-12,69.240018,70.163794,69.240018,69.852997,1666900
2015-02-13,70.094731,71.424278,69.913430,71.217072,3703900
2015-02-17,70.699071,70.914907,70.189703,70.604103,2051600
2015-02-18,70.224182,70.785355,70.111950,70.362320,1283600
2015-02-19,70.327808,70.448675,69.861603,69.999741,1190000
2015-02-20,69.775283,70.655889,69.602617,70.621361,1229900
2015-02-23,70.465944,71.122079,70.345077,70.914879,1525000
