date,open,high,low,close,volume
2015-01-02,8.456678,8.489224,8.234277,8.331916,24777900
2015-01-05,8.201727,8.207151,7.968476,8.006448,44079700
2015-01-06,8.071543,8.082391,7.800322,7.930508,32981600
2015-01-07,8.017296,8.185453,8.011872,8.158331,26065300
2015-01-08,8.353608,8.397003,8.261393,8.364457,33943400
2015-01-09,8.386157,8.391582,8.169180,8.250546,23420800
2015-01-12,8.304793,8.310217,8.196304,8.255973,22750800
2015-01-13,8.342762,8.397006,8.180029,8.250546,26279400
2015-01-14,8.174604,8.223424,8.044418,8.196301,36798300
2015-01-15,8.201728,8.223426,8.028147,8.060693,24981300
2015-01-16,8.033570,8.158331,8.001023,8.147483,32089900
2015-01-20,8.180030,8.207152,8.001024,8.142059,28553700
2015-01-21,8.125784,8.196302,8.071540,8.120360,23281500
2015-01-22,8.142058,8.174604,8.082389,8.152906,23669200
2015-01-23,8.147482,8.180029,8.076965,8.087813,21620600
2015-01-26,8.125782,8.217997,8.120358,8.180026,25237200
2015-01-27,8.114934,8.131207,7.984748,8.055265,34609100
2015-01-28,8.126503,8.126503,7.901832,7.923751,40579800
2015-01-29,8.011429,8.197741,7.836076,8.137464,40731100
2015-01-30,8.082667,8.159384,8.016910,8.060748,30439700
2015-02-02,8.082666,8.384054,8.077186,8.367615,40371800
2015-02-03,8.477211,8.652564,8.460771,8.575847,48335400
2015-02-04,8.592285,8.778598,8.575845,8.696401,41179500
2015-02-05,8.773114,8.778594,8.630640,8.685438,25713200
2015-02-06,8.679962,8.767638,8.641603,8.690921,28187700
2015-02-09,8.636122,8.784077,8.614203,8.723799,20286700
2015-02-10,8.795034,8.844352,8.718318,8.816954,27928500
2015-02-11,8.811475,8.937510,8.773117,8.904632,34285300
2015-02-12,8.953949,9.014227,8.932029,8.964909,23738800
2015-02-13,8.948471,8.964911,8.871755,8.932032,19954600
2015-02-17,8.882714,8.932032,8.767639,8.827917,44362300
2015-02-18,8.855315,8.948471,8.800517,8.882713,22812700
2015-02-19,8.871757,9.030670,8.860797,9.003271,24863900
