date,open,high,low,close,volume
2015-01-02,13.899899,13.981624,13.613865,13.763692,6398800
2015-01-05,13.634298,13.681970,13.341453,13.348264,7497700
2015-01-06,13.382315,13.477661,12.803436,12.810246,27930000
2015-01-07,13.007747,13.028177,12.810246,12.953264,12862200
2015-01-08,13.069040,13.259729,13.034988,13.246109,14648800
2015-01-09,13.280164,13.293785,12.871543,12.891974,6877500
2015-01-12,12.871541,12.926024,12.619559,12.694472,11466400
2015-01-13,12.844297,12.946452,12.537831,12.605935,10613100
2015-01-14,12.422056,12.469728,12.244987,12.401625,14223000
2015-01-15,12.381194,12.496969,12.197314,12.272228,9330800
2015-01-16,12.231367,12.483350,12.197316,12.462918,10179300
2015-01-20,12.626370,12.626370,12.183697,12.313094,10920000
2015-01-21,12.231365,12.381193,11.870418,11.938521,28189900
2015-01-22,11.972579,12.292664,11.897665,12.197320,25885700
2015-01-23,12.149645,12.367575,12.033869,12.033869,11882900
2015-01-26,12.074729,12.285851,12.013436,12.210937,9073400
2015-01-27,12.027058,12.170076,11.972576,12.033869,7305500
2015-01-28,12.149647,12.149647,11.727406,11.727406,7541200
2015-01-29,11.693349,11.918090,11.672918,11.890848,7230300
2015-01-30,11.734211,11.972573,11.686539,11.781883,10799900
2015-02-02,11.931712,12.238177,11.856798,12.176884,12585500
2015-02-03,12.217748,12.469730,12.204127,12.428868,11502400
2015-02-04,12.408438,12.585507,12.353955,12.496973,13803800
2015-02-05,12.428864,12.721709,12.428864,12.687656,9960900
2015-02-06,12.817057,13.048608,12.803436,12.864729,23096100
2015-02-09,12.762574,12.885160,12.708091,12.796626,9746400
2015-02-10,12.735333,12.851109,12.721712,12.837488,8922800
2015-02-11,12.817055,12.844297,12.728521,12.789814,8543100
2015-02-12,12.878348,13.089469,12.789815,13.069038,9823000
2015-02-13,13.069039,13.184814,13.021366,13.116711,4802300
2015-02-17,13.123521,13.259727,13.000934,13.259727,8209300
2015-02-18,13.212059,13.239301,13.000939,13.014560,8327400
2015-02-19,12.966884,13.116711,12.776194,13.075850,7479700
2015-02-20,13.062228,13.212055,12.885159,13.205244,7565700
2015-02-23,13.198435,13.198435,13.021367,13.137143,6071300
2015-02-24,13.191624,13.307400,13.137142,13.205244,9432200
2015-02-25,13.300593,13.300593,13.103093,13.212058,6592900
2015-02-26,13.171196,13.259730,13.150765,13.239300,3978400
2015-02-27,13.212052,13.293777,13.171191,13.184812,6902200
2015-03-02,13.157574,13.307403,13.103092,13.286971,7420900
2015-03-03,13.225674,13.314208,13.171191,13.273346,7684700
2015-03-04,13.232486,13.239296,13.062227,13.130331,6020700
2015-03-05,13.130331,13.157572,12.987314,13.150762,4870000
2015-03-06,13.157574,13.450419,13.048609,13.246109,8028200
2015-03-09,13.273348,13.280158,13.184814,13.259727,7392000
2015-03-10,13.069042,13.164387,12.987318,12.994128,6977000
2015-03-11,13.034988,13.041798,12.891971,12.953264,8030000
2015-03-12,13.082661,13.205247,12.919213,13.103092,15268000
2015-03-13,13.096283,13.123525,12.905594,12.994128,9607800
2015-03-16,13.075846,13.143949,13.007743,13.109898,9314300
2015-03-17,13.116708,13.150759,12.973690,13.109898,9765100
2015-03-18,13.096279,13.266538,12.973693,13.116711,9162300
2015-03-19,13.041798,13.178005,12.939643,13.089470,9223000
2015-03-20,13.164383,13.280159,13.082658,13.266538,7396700
2015-03-23,13.286970,13.368693,13.137143,13.137143,4967400
2015-03-24,13.082659,13.143952,12.973694,13.062229,6054200
2015-03-25,13.048607,13.055418,12.810245,12.817056,9405600
2015-03-26,12.762577,13.055422,12.708095,13.000939,10634300
2015-03-27,12.939220,12.994076,12.815793,12.966647,8355900
2015-03-30,13.055795,13.124365,13.000938,13.069509,5706700
2015-03-31,13.021507,13.069506,12.891223,12.925508,11565300
2015-04-01,12.877509,12.973507,12.774652,12.973507,8702000
2015-04-02,12.973511,13.090081,12.904941,13.014653,5482100
2015-04-06,12.870656,13.090081,12.808943,13.014653,6633900
2015-04-07,13.062648,13.227218,13.042078,13.158648,4932300
