date,open,high,low,close,volume
2015-01-02,17.167060,17.226694,16.958341,17.152151,5009300
2015-01-05,17.025437,17.107434,16.824173,16.913624,7039700
2015-01-06,16.317281,16.973253,16.317281,16.622904,7835600
2015-01-07,16.757073,16.973246,16.660169,16.861433,5839900
2015-01-08,17.092521,17.509956,17.070157,17.405598,9533600
2015-01-09,17.427959,17.495047,17.308692,17.375780,6461700
2015-01-12,17.427957,17.480138,17.204332,17.353416,5867000
2015-01-13,17.450318,17.808120,17.107424,17.256508,9155900
2015-01-14,17.077611,17.345963,16.950889,17.331055,6829000
2015-01-15,17.741031,17.741031,17.152149,17.159603,9173200
2015-01-16,17.107433,17.360876,16.988166,17.271425,9960800
2015-01-20,17.405593,17.413047,17.085061,17.256508,8305300
2015-01-21,17.196877,17.390686,17.017976,17.360870,8283000
2015-01-22,17.472685,17.703765,17.345963,17.681402,6610300
2015-01-23,17.659040,17.837941,17.614313,17.778307,6603100
2015-01-26,17.703765,17.979572,17.547227,17.823032,8039600
2015-01-27,17.673946,18.620632,17.666493,18.434277,16548000
2015-01-28,18.538639,18.754810,18.016843,18.054113,14824600
2015-01-29,18.158472,18.158472,17.345962,17.733582,14157400
2015-01-30,17.629222,18.001933,17.599406,17.718674,11472400
2015-02-02,17.793219,18.031754,17.316148,18.001936,9573700
2015-02-03,18.016846,18.188292,17.852854,18.151022,9609500
2015-02-04,18.121205,18.277744,18.001937,18.091389,9187700
2015-02-05,18.054113,18.374645,18.016843,18.247923,8666000
2015-02-06,18.262827,18.374640,18.016838,18.046654,10167100
2015-02-09,18.054112,18.270285,18.016842,18.069021,7757300
2015-02-10,18.195742,18.560998,18.039204,18.523727,8829900
2015-02-11,18.516279,18.538642,18.210656,18.300106,5990300
2015-02-12,18.359737,18.672814,18.344830,18.531185,7373200
2015-02-13,18.531180,18.657901,18.456637,18.635538,6191200
2015-02-17,18.605723,18.635540,18.285193,18.337372,6591400
2015-02-18,18.367182,18.404454,18.165920,18.359728,6260200
2015-02-19,18.337377,18.449190,18.262834,18.374647,7059100
2015-02-20,18.329919,18.605724,18.083930,18.605724,6922500
2015-02-23,18.590815,18.605723,18.426822,18.471548,4922100
2015-02-24,18.441731,18.501364,18.315009,18.471548,5006500
2015-02-25,18.411628,18.516494,18.299271,18.426609,5410500
2015-02-26,18.426607,18.568926,18.284287,18.329229,6489700
2015-02-27,18.351702,18.479040,18.231854,18.276796,7660000
2015-03-02,18.216869,18.464055,18.164436,18.449074,6902000
2015-03-03,18.404137,18.628853,18.336723,18.426609,7297600
2015-03-04,18.351699,18.643828,18.186909,18.538961,7113900
2015-03-05,18.501515,18.613872,18.396647,18.441591,4808100
2015-03-06,18.374176,18.441590,17.962198,17.999651,6211300
2015-03-09,18.007139,18.082043,17.707519,17.797405,9646200
2015-03-10,17.662578,17.662578,17.258092,17.265581,11204600
2015-03-11,17.400409,17.400409,16.973452,17.003414,10838000
2015-03-12,17.040866,17.355467,16.891056,17.325504,10354100
2015-03-13,17.198168,17.318017,16.958472,17.228130,7769000
2015-03-16,17.355471,17.774938,17.332999,17.759956,7456100
2015-03-17,17.737482,17.759953,17.505278,17.505278,7177700
2015-03-18,17.415390,17.872310,17.325504,17.797405,6871200
2015-03-19,17.692540,17.752463,17.280562,17.325504,8291200
2015-03-20,17.370451,17.677561,17.355470,17.520260,12800900
2015-03-23,17.512763,17.707516,17.497783,17.580177,5931100
2015-03-24,17.602653,17.685049,17.527748,17.535238,6116500
2015-03-25,17.565204,17.655089,16.995926,17.010906,9335800
2015-03-26,16.935995,16.943486,16.666337,16.831127,12019900
2015-03-27,16.868585,17.055847,16.786189,17.033375,4843200
