date,open,high,low,close,volume
2015-01-02,91.049656,91.778120,89.511791,90.580208,198100
2015-01-05,90.369763,90.709710,88.564793,89.220413,210200
2015-01-06,90.442592,93.113621,89.851732,92.498474,438300
2015-01-07,93.129797,94.036329,91.535274,92.336586,381700
2015-01-08,93.145990,95.436599,92.733193,95.298996,341100
2015-01-09,95.226156,95.849392,93.744948,93.793510,183200
2015-01-12,94.262964,94.327718,92.401343,93.485939,254300
2015-01-13,93.720669,95.153308,92.077584,93.016487,300800
2015-01-14,91.583840,93.210740,90.920131,91.891411,432700
2015-01-15,91.753816,93.024577,90.515432,91.332924,335800
2015-01-16,90.879636,93.753015,90.879636,93.607323,274000
2015-01-20,93.566876,94.262962,91.761913,92.911263,369700
2015-01-21,92.757466,93.979665,92.279922,93.817787,285900
2015-01-22,94.602882,96.950149,93.429252,96.642578,312600
2015-01-23,96.642603,96.990646,95.404219,96.812576,258900
2015-01-26,96.496906,96.780196,95.307084,96.739723,272100
2015-01-27,95.226157,96.877338,95.226157,96.359322,309700
2015-01-28,97.354867,97.767663,95.436588,95.865570,216200
2015-01-29,95.938421,96.254087,94.416747,95.906044,224700
2015-01-30,95.112841,95.841304,94.084896,94.376282,283200
2015-02-02,94.473373,95.557968,92.765535,95.517502,223800
2015-02-03,95.914132,98.188549,95.914132,98.075233,317000
2015-02-04,98.075254,98.690401,97.468202,97.824341,208100
2015-02-05,98.649915,98.917019,97.541038,97.808136,184000
2015-02-06,97.613892,99.143662,97.241568,98.512329,375200
2015-02-09,97.905276,98.423292,96.343129,96.496918,212100
2015-02-10,97.128228,97.710999,96.221696,97.524834,176000
2015-02-11,97.063479,99.006045,97.063479,98.722755,256700
2015-02-12,99.435025,100.835293,98.609438,100.446777,284900
2015-02-13,100.390118,101.393775,99.645470,101.272369,402300
2015-02-17,101.507119,102.785970,101.191447,101.588058,420600
2015-02-18,101.337132,103.967689,101.337132,103.935318,528900
2015-02-19,106.841072,112.328817,104.712341,107.650475,1074000
2015-02-20,107.650452,111.535583,107.205278,111.446548,821900
2015-02-23,111.470855,115.275042,111.470855,115.266953,533300
2015-02-24,113.858581,115.161719,112.045516,113.049179,648900
2015-02-25,113.421518,116.173480,112.871118,114.991760,488800
2015-02-26,114.206628,116.440574,114.052840,115.453102,385800
2015-02-27,115.744530,115.793092,114.271412,114.392830,328100
2015-03-02,114.392808,116.416314,113.567215,116.189682,579500
2015-03-03,115.331713,116.367747,114.028575,115.088890,302600
2015-03-04,114.894068,116.314517,113.952510,116.006073,417300
2015-03-05,116.119711,116.119711,114.122972,114.350243,256900
2015-03-06,113.351882,113.619739,110.510982,111.257744,449100
2015-03-09,111.736615,113.944401,111.071027,113.059654,362900
2015-03-10,112.215514,112.759342,111.160321,111.468765,317100
2015-03-11,111.809655,112.816149,110.892447,112.751213,327400
2015-03-12,113.684645,114.553154,112.775561,114.163536,244300
2015-03-13,113.725239,114.959004,112.353488,113.092125,254200
2015-03-16,113.773923,114.569371,112.621331,113.173271,368800
2015-03-17,112.856754,114.196042,111.898971,113.928185,244000
2015-03-18,113.822651,115.023954,112.385976,114.837257,209000
2015-03-19,114.991523,115.210682,113.684709,114.715553,195000
2015-03-20,115.218704,116.882661,114.845336,116.127800,406000
2015-03-23,116.192764,116.541795,114.471994,115.446014,260400
2015-03-24,115.640832,116.663551,114.674924,115.454147,268500
2015-03-25,115.454131,115.527180,111.898945,112.012581,213700
2015-03-26,111.842136,113.051552,111.298308,112.256104,286100
2015-03-27,112.345425,113.075937,111.306468,111.712311,460400
2015-03-30,112.832414,115.884360,112.377872,115.186310,388900
2015-03-31,114.821062,115.275604,113.019119,113.757744,287300
2015-04-01,113.579126,114.277176,111.736609,114.147316,234200
2015-04-02,114.139187,115.007696,112.621339,113.181404,162100
2015-04-06,112.645709,114.885956,112.540186,114.756096,188200
2015-04-07,114.756089,116.062903,114.658679,114.788551,193200
2015-04-08,114.950875,115.657050,113.960618,114.301537,232100
2015-04-09,113.765814,114.293404,113.197636,113.911911,208300
2015-04-10,113.822637,115.275560,113.822637,115.259323,240600
2015-04-13,114.691155,115.015824,113.619724,113.838882,263700
2015-04-14,113.798292,114.317770,112.613238,112.824272,270100
2015-04-15,113.806435,114.204153,113.019099,113.416817,228100
2015-04-16,113.587244,114.390804,112.613224,114.090485,259000
2015-04-17,113.157065,113.157065,111.062915,111.606743,156800
2015-04-20,111.980121,112.743095,111.606741,112.142456,189700
2015-04-21,112.872968,113.449270,112.109982,112.994728,353000
2015-04-22,112.946011,113.757696,111.476862,113.441139,169200
2015-04-23,112.775578,113.627850,112.426547,112.832390,209600
2015-04-24,112.921680,113.562919,112.572661,113.278824,131300
2015-04-27,113.262593,113.717147,111.338902,112.110001,193000
2015-04-28,111.606734,112.580754,110.486604,111.379463,203400
2015-04-29,111.225235,111.769062,110.859979,110.949265,199000
2015-04-30,110.097045,110.860031,106.590569,106.809715,433200
2015-05-01,107.191136,109.204112,106.663545,108.733345,291600
2015-05-04,108.473650,110.584037,107.215535,110.113258,231900
2015-05-05,110.332379,110.519075,108.506087,108.660309,300800
2015-05-06,109.033700,109.512592,107.897333,108.546684,293900
2015-05-07,104.553192,104.553192,97.824319,100.267494,1337700
2015-05-08,98.554825,99.488264,94.886010,96.387627,1286800
2015-05-11,96.225315,98.944460,96.192847,98.173355,636100
2015-05-12,97.426605,98.627902,96.899008,97.946083,504100
2015-05-13,98.733418,99.894128,98.230171,99.504517,444400
2015-05-14,99.796733,101.233420,99.715566,100.770760,309900
2015-05-15,100.697717,100.900638,99.472076,99.756165,257600
2015-05-18,99.431471,100.429847,99.025628,100.243156,218100
2015-05-19,97.402241,98.611650,97.118152,97.799965,395600
2015-05-20,98.343804,99.520746,97.337310,99.131134,343100
2015-05-21,99.610022,100.389239,99.106775,99.942810,242200
2015-05-22,99.423345,100.178213,98.506143,99.723671,261300
2015-05-26,99.179860,99.618171,98.944470,99.293495,377200
2015-05-27,99.350498,101.174637,98.829316,100.905907,263200
2015-05-28,100.539424,101.109472,99.790225,100.498711,254300
2015-05-29,100.539428,101.296772,99.228327,100.971031,402700
2015-06-01,101.728405,101.728405,98.650169,99.130638,572000
2015-06-02,98.128977,100.588306,98.128977,99.293495,329100
2015-06-03,99.806532,100.629025,98.821171,99.171341,252800
2015-06-04,98.617584,99.269065,96.198968,97.216904,254200
2015-06-05,96.915582,97.510053,95.865072,97.453049,222800
2015-06-08,97.526324,97.713621,96.492098,96.834129,212200
2015-06-09,96.972570,96.972570,95.539315,95.637039,251400
2015-06-10,96.223380,97.697348,96.003502,96.703842,401000
2015-06-11,96.760866,97.371627,96.174534,96.524704,564200
2015-06-12,95.710321,96.426951,95.588168,96.198929,291100
2015-06-15,95.360180,95.946511,94.057224,95.034439,336200
2015-06-16,95.148451,96.182677,94.741277,95.164742,293700
2015-06-17,95.278729,96.076793,94.496956,95.751053,285100
2015-06-18,95.840613,96.752679,95.653310,96.076775,334300
2015-06-19,95.832481,96.589825,95.628894,95.637039,326700
2015-06-22,96.117528,96.190822,95.018159,96.109383,262300
2015-06-23,96.003507,97.208745,94.798275,97.151741,429000
2015-06-24,97.111002,97.111002,94.610954,94.684242,254900
2015-06-25,95.034454,95.343910,94.252680,94.619141,239400
2015-06-26,94.619143,94.912309,93.413905,93.519768,488200
2015-06-29,92.599513,92.925254,91.410566,91.573433,288600
