date,open,high,low,close,volume
2015-10-19,8.077531,8.077531,7.195552,7.226116,2721233.000000
2015-10-20,7.095128,7.392032,7.095128,7.365834,1220907.000000
2015-10-21,7.531751,7.575414,7.160622,7.195551,135236.000000
2015-10-22,7.295975,7.444427,7.090762,7.400765,189261.000000
2015-10-23,7.531753,7.531753,7.357104,7.422597,103061.000000
2015-10-26,7.470626,7.470626,7.121327,7.169355,885743.000000
2015-10-27,7.230484,7.313442,6.811325,6.868087,1094274.000000
2015-10-28,6.942309,7.138791,6.918295,7.108227,509801.000000
2015-10-29,6.990338,7.103860,6.789492,6.964141,499650.000000
2015-10-30,6.942308,7.029634,6.427094,6.427094,4214161.000000
2015-11-02,6.544983,6.623575,6.051598,6.326671,70312635.000000
2015-11-03,6.143288,6.422728,5.970823,6.269909,69176379.000000
2015-11-04,6.283010,6.335405,5.942443,5.964275,54241942.000000
2015-11-05,5.955543,6.064699,5.728500,5.798359,38180025.000000
2015-11-06,5.754694,6.322304,5.741595,6.287374,51702744.000000
2015-11-09,6.226250,6.322306,6.169488,6.200052,30158099.000000
2015-11-10,6.169486,6.304839,6.117092,6.291741,25426050.000000
2015-11-11,6.200051,6.248080,6.152023,6.160756,18942302.000000
2015-11-12,6.029766,6.034132,5.933708,5.981737,35050675.000000
2015-11-13,5.942442,6.007935,5.741595,5.846385,25678456.000000
2015-11-16,5.837653,5.942442,5.737230,5.842020,23712203.000000
2015-11-17,5.842021,5.890050,5.728499,5.772161,21370697.000000
2015-11-18,5.885681,5.994837,5.758624,5.955541,22402515.000000
2015-11-19,5.907513,6.064697,5.903147,6.016668,22662319.000000
2015-11-20,6.016668,6.387798,5.973006,6.204416,31932509.000000
2015-11-23,6.186953,6.204417,5.924979,6.047233,26354291.000000
2015-11-24,5.929345,6.123643,5.894415,5.977374,41484183.000000
2015-11-25,6.073432,6.488224,6.042869,6.165123,39017248.000000
2015-11-27,6.165120,6.392164,6.134557,6.265543,10395090.000000
2015-11-30,6.213149,6.549349,6.191317,6.488221,50075613.000000
2015-12-01,6.496957,6.933580,6.483858,6.815692,43197341.000000
2015-12-02,6.710902,6.785127,6.492589,6.527520,21818558.000000
2015-12-03,6.549348,6.697799,6.365966,6.383430,32527478.000000
2015-12-04,6.283010,6.678153,6.217516,6.645407,20648579.000000
2015-12-07,6.573103,6.783441,6.538046,6.770295,16424439.000000
2015-12-08,6.612542,6.700183,6.406584,6.647598,19988745.000000
2015-12-09,6.568720,6.744003,6.432876,6.507371,24538415.000000
2015-12-10,6.481079,6.489844,6.367145,6.450405,19528668.000000
2015-12-11,6.568719,6.748384,6.196244,6.213772,18265779.000000
2015-12-14,6.266357,6.353998,6.099838,6.327705,19834755.000000
2015-12-15,6.358380,6.564337,6.347425,6.380290,22175746.000000
2015-12-16,6.406582,6.489843,6.375908,6.441639,13490889.000000
2015-12-17,6.402201,6.450404,6.231300,6.270739,13118732.000000
2015-12-18,6.253212,6.303606,6.134896,6.205009,33271447.000000
2015-12-21,6.187483,6.310181,6.077931,6.143662,16970372.000000
2015-12-22,6.152424,6.196246,6.099839,6.161189,12547163.000000
2015-12-23,6.218153,6.559955,6.156805,6.533662,19359710.000000
